Timer,Start,Stop,At expiry
T321,Upon receiving measConfig including a reportConfig with the reportType set to reportCGI,"Upon acquiring the information needed to set all fields of cgi-info, upon receiving measConfig that includes removal of the reportConfig with the reportType set to reportCGI and upon detecting that a cell is not broadcasting SIB1.","Initiate the measurement reporting procedure, stop performing the related measurements."
T322,Upon receiving measConfig including reportConfigNR with the reportType set to reportSFTD and drx-SFTD-NeighMeas is set to true.,"Upon acquiring the SFTD measurement results, upon receiving measConfig that includes removal of the reportConfig with the reportType set to reportSFTD.","Initiate the measurement reporting procedure, stop performing the related measurements."
T325,Upon reception of RRCRelease message with deprioritisationTimer.,When PLMN selection or SNPN selection is performed on request by NAS according to TS 38.304 [20].,Stop deprioritisation of all frequencies or NR signalled by RRCRelease and discard the stored deprioritisation request(s).
T330,Upon receiving LoggedMeasurementConfiguration message,"Upon log volume exceeding the suitable UE memory, upon initiating the release of LoggedMeasurementConfiguration procedure",Perform the actions specified in 5.5a.1.4
T331,Upon receiving RRCRelease message with measIdleDuration,"Upon receiving RRCSetup, RRCResume, RRCRelease with idle/inactive measurement configuration, upon cell selection/reselection to a cell that does not belong to the validityArea (if configured), or upon cell re-selection to another RAT.",Perform the actions as specified in 5.7.8.3.
T342,Upon transmitting UEAssistanceInformation message with DelayBudgetReport.,"Upon releasing delayBudgetReportingConfig during the connection re-establishment/resume procedures, and upon receiving delayBudgetReportingConfig set to release.",No action.
T345,Upon transmitting UEAssistanceInformation message with overheatingAssistance,"Upon releasing overheatingAssistanceConfig during the connection re-establishment procedure, upon initiating the connection resumption procedure, and upon receiving overheatingAssistanceConfig set to release.",No action.
T346a (The UE maintains one instance of this timer per cell group),Upon transmitting UEAssistanceInformation message with drx-Preference.,"Upon releasing drx-PreferenceConfig during the connection re-establishment/resume procedures, upon receiving drx-PreferenceConfig set to release, or upon performing MR-DC release.",No action.
T346b (The UE maintains one instance of this timer per cell group),Upon transmitting UEAssistanceInformation message with maxBW-Preference.,"Upon releasing maxBW-PreferenceConfig during the connection re-establishment/resume procedures, upon receiving maxBW-PreferenceConfig set to release, or upon performing MR-DC release.",No action.
T346c (The UE maintains one instance of this timer per cell group),Upon transmitting UEAssistanceInformation message with maxCC-Preference.,"Upon releasing maxCC-PreferenceConfig during the connection re-establishment/resume procedures, upon receiving maxCC-PreferenceConfig set to release, or upon performing MR-DC release.",No action.
T346d (The UE maintains one instance of this timer per cell group),Upon transmitting UEAssistanceInformation message with maxMIMO-LayerPreference.,"Upon releasing maxMIMO-LayerPreferenceConfig during the connection re-establishment/resume procedures, upon receiving maxMIMO-LayerPreferenceConfig set to release, or upon performing MR-DC release.",No action.
T346e (The UE maintains one instance of this timer per cell group),Upon transmitting UEAssistanceInformation message with minSchedulingOffsetPreference.,"Upon releasing minSchedulingOffsetPreferenceConfig during the connection re-establishment/resume procedures, upon receiving minSchedulingOffsetPreferenceConfig set to release, or upon performing MR-DC release.",No action.
T346f,Upon transmitting UEAssistanceInformation message with releasePreference.,"Upon releasing releasePreferenceConfig during the connection re-establishment/resume procedures, or upon receiving releasePreferenceConfig set to release.",No action.
T346g,Upon transmitting UEAssistanceInformation message with musim-PreferredRRC-State.,"Upon receiving RRCRelease, or upon receiving musim-LeaveAssistanceConfig set to release.",Perform the actions as specified in 5.3.8.6.
T346h,Upon transmitting UEAssistanceInformation message with musim-GapPreferenceList and/or musim-GapPriorityPreferenceList and/or musim-GapKeepPreference Information.,"Upon releasing musim-GapAssistanceConfig during the connection re-establishment/resume procedures, or upon receiving musim-GapAssistanceConfig set to release.",No action.
T346i,Upon transmitting UEAssistanceInformation message with scg-DeactivationPreference,Upon releasing scg-DeactivationPreferenceConfig during RRC connection re-establishment/resume or upon receiving scg-DeactivationPreferenceConfig set to release.,No action.
T346j (The UE maintains one instance of this timer per cell group),Upon transmitting UEAssistanceInformation message with rlm-RelaxationReportingConfig.,"Upon releasing rlm-RelaxationReportingConfig during the connection re-establishment/resume procedures, upon receiving rlm-RelaxationReportingConfig set to release, or upon performing MR-DC release.",No action.
T346k (The UE maintains one instance of this timer per cell group),Upon transmitting UEAssistanceInformation message with bfd-RelaxationReportingConfig.,"Upon releasing bfd-RelaxationReportingConfig during the connection re-establishment/resume procedures, upon receiving bfd-RelaxationReportingConfig set to release, or upon performing MR-DC release.",No action.
T346l(The UE maintains one instance of this timer per QoS flow),Upon transmitting UEAssistanceInformation message with ul-TrafficInfo for the concerned QoS flow.,"Upon releasing ul-TrafficInfoReportingConfig during the connection re-establishment/resume procedures, or upon receiving ul-TrafficInfoReportingConfig set to release.",No action.
T346m,Upon transmitting UEAssistanceInformation message with multiRx-PreferenceFR2.,"Upon releasing multiRx-PreferenceReportingConfigFR2 during the connection re-establishment/resume procedures, upon receiving multiRx-PreferenceReportingConfigFR2 set to release.",No action.
T346n,Upon transmission of MUSIM temporary restriction of musim-CapRestriction for affected bands or combination of bands and/or avoided band(s) or combination of bands.,"Upon releasing musim-CapabilityRestrictionConfig during the connection re-establishment/resume procedures, or upon receiving musim-CapabilityRestrictionConfig set to release.",No action.
T346o,Upon transmission of UEAssistanceInformation message with gapOccasionCancelRatio.,Upon releasing gapOccasionCancelRatioReportConfig during the connection re-establishment/resume procedure or upon receiving gapOccasionCancelRatioReportConfig set to release.,No action.
T346p (The UE maintains one instance of this timer per cell group),Upon transmitting UEAssistanceInformation message with lpwus-OffsetPreference.,"Upon releasing lpwus-OffsetPreferenceConfig during the connection re-establishment/resume procedures, upon receiving lpwus-OffsetPreferenceConfig set to release, or upon performing MR-DC release.",No action.
T346q,Upon transmitting UEAssistanceInformation message with fbs-Preference.,"Upon releasing fbs-PreferenceReportingConfig during the connection re-establishment/resume procedures, upon receiving fbs-PreferenceReportingConfig set to release.",No action.
T348,"Upon transmission of MUSIM temporary restriction of musim-CapRestriction for serving cell(s) with capabilities restricted, release of SCell or PSCell or release of SCG.",Upon reception of RRCReconfiguration message that does not exceed UE temporary capability restriction indicated via musim-CapRestriction.,UE may apply the temporary UE capability restriction in accordance with the one indicated in the last transmission of the UEAssistanceInformation message including musim-CapRestriction. UE may apply the temporary capability restriction that SCG is not supported if ServCellIndex of PSCell was included in indicated MUSIM-CellToRelease-r18.
T350,Upon transmitting DedicatedSIBRequest message with requestedSIB-List and/or  requestedPosSIB-List or requestedPeriodicAD-PosSIB-List.,"Upon acquiring the requested SIB(s) or posSIB(s), upon releasing onDemandSIB-Request during the connection re-establishment procedures, upon receiving onDemandSIB-Request set to release, upon reception of RRCRelease or upon successful change of PCell while in RRC_CONNECTED.",No action
T380,Upon reception of t380 in RRCRelease.,"Upon reception of RRCResume, RRCSetup or RRCRelease.",Perform the actions as specified in 5.3.13.
T390,When access attempt is barred at access barring check for an Access Category. The UE maintains one instance of this timer per Access Category.,"Upon cell (re)selection, upon relay (re)selection, upon entering RRC_CONNECTED, upon reception of RRCReconfiguration including reconfigurationWithSync, upon change of PCell while in RRC_CONNECTED, upon reception of MobilityFromNRCommand, or upon reception of RRCRelease.",Perform the actions as specified in 5.3.14.4.
T400,Upon transmission of RRCReconfigurationSidelink,Upon reception of RRCReconfigurationFailureSidelink or RRCReconfigurationCompleteSidelink,Perform the Sidelink radio link failure related actions as specified in 5.8.9.3.
T420,Upon reception of the RRCReconfiguration message including sl-PathSwitchConfig where sl-IndirectPathMaintain is not included in reconfigurationWithSync,"Upon successfully sending RRCReconfigurationComplete message (i.e., PC5 RLC acknowledgement is received from target L2 U2N Relay UE)",Perform the RRC re-establishment procedure as specified in 5.3.7.
T421,Upon reception of the RRCReconfiguration message including sl-IndirectPathAddChange where sl-IndirectPathMaintain is not included in reconfigurationWithSync,"Upon successfully sending RRCReconfigurationComplete message (i.e., PC5 RLC acknowledgement is received from target L2 U2N Relay UE) if split SRB1 with duplication is configured, or upon reception of RRCReconfigurationCompleteSidelink if split SRB1 with duplication is not configured, or upon initiation of indirect path failure information procedure.",Perform the Failure Information Reporting as specified in 5.7.3c.
T430,"Start or restart from the subframe indicated by epochTime upon reception of SIB19, or upon reception of RRCReconfiguration message for the target cell including reconfigurationWithSync, or upon conditional reconfiguration execution i.e. when applying a stored RRCReconfiguration message for the target cell including reconfigurationWithSync, or upon satellite switch with resynchronization.","Stop T430, if it is running, for the source cell upon reception of RRCReconfiguration message including reconfigurationWithSync, or upon conditional reconfiguration execution i.e. when applying a stored RRCReconfiguration message including reconfigurationWithSync, or upon satellite switch with resynchronization.",Perform the actions as specified in 5.2.2.6.
