NR CA Configuration,Uplink CA Configurations or single uplink carrier5,Channel bandwidths for carrier(MHz),Channel bandwidths for carrier(MHz),Channel bandwidths for carrier(MHz),Channel bandwidths for carrier(MHz),MaximumAggregated bandwidth(MHz),Bandwidth combination set
,,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",,,190,3
,,See n41 channel bandwidths in Table 5.3.5-1 for each carrier,,,,190,4 and 5
CA_n41(3A),"n413,4","10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",,190,0
,,See n41 channel bandwidths in Table 5.3.5-1 for each carrier,,,,190,4 and 5
CA_n41(4A),n413,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",190,0
,,See n41 channel bandwidths in Table 5.3.5-1 for each carrier,,,,190,4 and 5
CA_n46(2A),-,"10, 20, 40, 60, 80","10, 20, 40, 60, 80",,,160,0
CA_n48(2A),-,"10, 15, 20, 40, 50, 60, 80, 90, 100","10, 15, 20, 40, 50, 60, 80, 90, 100",,,1402,0
,,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",,,1402,1
,,See n48 channel bandwidths in Table 5.3.5-1 for each carrier,,,,1402,4 and 5
CA_n48(3A),-,"10, 15, 20, 40,50, 60, 80, 90, 100","10, 15, 20, 40,50, 60, 80, 90, 100","10, 15, 20, 40,50, 60, 80, 90, 100",,1402,0
,,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",,1402,1
CA_n48(4A),-,"10, 15, 20, 40, 50, 60, 80, 90, 100","10, 15, 20, 40, 50, 60, 80, 90, 100","10, 15, 20, 40, 50, 60, 80, 90, 100","10, 15, 20, 40, 50, 60, 80, 90, 100",1352,0
,,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",1352,1
CA_n66(2A),n663,"5, 10, 15, 20","5, 10, 15, 20, 40",,,60,0
,,"5, 10, 15, 20, 25, 30, 40","5, 10, 15, 20, 25, 30, 40",,,80,1
,,"5, 10, 15, 20, 40","5, 10, 15, 20, 40",,,80,2
,,See n66 channel bandwidths in Table 5.3.5-1 for each carrier,,,,85,4 and 5
CA_n66(3A),-,"5, 10, 15, 20, 40","5, 10, 15, 20, 40","5, 10, 15, 20, 40",,80,0
,,See n66 channel bandwidths in Table 5.3.5-1 for each carrier,,,,80,4 and 5
CA_n71(2A),n713,"5, 10, 15, 20","5,10,15, 20",,,30,0
,,See n71 channel bandwidths in Table 5.3.5-1 for each carrier up to 25 MHz per carrier,,,,30,4 and 5
"CA_n77(2A)6,9","n773,4CA_n77(2A)3,4","20, 40, 80, 100","20, 40, 80, 100",,,200,0
,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,,200,1
,,See n77 channel bandwidths in Table 5.3.5-1 for each carrier,,,,200,4 and 5
CA_n77(3A),"n773,4CA_n77(2A)3","20, 40, 80, 100","20, 40, 80, 100","20, 40, 80, 100",,300,0
,,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100","10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,300,1
,,See n77 channel bandwidths in Table 5.3.5-1 for each carrier,,,,300,4 and 5
"CA_n78(2A)6, 9","n783,4CA_n78(2A)3,4","10, 20, 40, 50, 60, 80, 90, 100","10, 20, 40, 50, 60, 80, 90, 100",,,200,0
,,"10, 20, 25, 30, 40, 50, 60, 80, 90, 100","10, 20, 25, 30, 40, 50, 60, 80, 90, 100",,,200,1
,,"10, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100","10, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,,200,2
,,See n78 channel bandwidths in Table 5.3.5-1 for each carrier,,,,200,4 and 5
CA_n79(2A),CA_n79(2A),See n79 channel bandwidths in Table 5.3.5-1 for each carrier,,,,200,4 and 5
CA_n96(2A),-,"20, 40, 60, 80","20, 40, 60, 80",,,160,0
CA_n96(3A),-,"20, 40, 60, 80","20, 40, 60, 80","20, 40, 60, 80",,240,0
CA_n96(4A),-,"20, 40, 60, 80","20, 40, 60, 80","20, 40, 60, 80","20, 40, 60, 80",320,0
CA_n102(2A),-,"20, 40, 60, 80","20, 40, 60, 80",,,160,0
CA_n102(3A),-,"20, 40, 60, 80","20, 40, 60, 80","20, 40, 60, 80",,240,0
CA_n102(4A),-,"20, 40, 60, 80","20, 40, 60, 80","20, 40, 60, 80","20, 40, 60, 80",320,0
"NOTE 1:Void.NOTE 2:Parameter value accounts for both, the maximum frequency range of band n48 (150 MHz), and the minimum frequency gaps in between NR non-contiguous component carriers.NOTE 3:Minimum requirements for Power Class 2 are applicable for this uplink combination or single uplink carrier in this downlink/uplink combinationNOTE 4:Minimum requirements for Power Class 1.5 are applicable for this uplink combination or single uplink carrier in this downlink/uplink combinationNOTE 5:Only single uplink carriers with power class other than PC3 are listed.NOTE 6:Maximum 6 dB power spectral density imbalance between downlink carriers is assumed when UE does not indicate intraBandNR-CA-non-collocated-r18 or UE indicates intraBandNR-CA-non-collocated-r18 and nonCollocatedTypeNR-CA-r18 is provided. Clause 7.10A.2 power imbalance requirement apply if the UE indicates intraBandNR-CA-non-collocated-r18 and nonCollocatedTypeNR-CA-r18 is not provided and UE is configured with maxMIMO-Layers with value less than or equal to 2. For these UEs, the power spectral density imbalance condition also applies for these carriers when applicable intra-band non-contiguous NR CA configuration is a subset of a higher order NR CA configuration.NOTE 7:Unless otherwise stated, only RF requirements for dual PA architecture are applicable for UL CA_n26(2A) and UE shall indicate the dualPA-Architecture for UL CA_n26(2A).NOTE 8:For each channel bandwidth of each component carrier, refer to Table 5.3.5-1 for the applicable SCSs. For a given band, not all UE channel bandwidths support the same SCSs.NOTE 9:Maximum 6 dB power spectral density imbalance between downlink carriers is assumed when the UE indicates intraBandNR-CA-non-collocated-r19 and nonCollocatedTypeNR-CA-r1900 is provided with value type1 or is absent. Clause 7.10A.2 power imbalance requirement is applied, if the UE indicates intraBandNR-CA-non-collocated-r19 and nonCollocatedTypeNR-CA-r1900 is provided with value type4 and UE is configured with maxMIMO-Layers equal to 4. For these UEs, the power spectral density imbalance condition is also applied for their carriers when applicable intra-band non-contiguous NR CA configuration is a subset of a higher order NR CA configuration.",,,,,,,
