Change history,,,,,,,
Date,TSG #,TSG Doc.,CR,Rev,Subject/Comment,Old,New
28/05/08,RP_40,RP-080432,0023,-,Clarification of modulation symbols to REs mapping for DVRB,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0024,1,Consideration on the scrambling of PDSCH,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0025,-,Corrections to Initialization of DL RS Scrambling,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0026,1,CR on Downlink RS,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0027,-,CR on Uplink RS,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0028,1,Fixed timing advance offset for LTE TDD and half-duplex FDD,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0029,1,Timing of random access preamble format 4,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0030,1,Uplink sounding RS bandwidth configuration,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0031,-,Use of common RS when UE-specific RS are configured,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0032,1,Uplink RS Updates,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0033,-,Orthogonal cover sequence for shortened PUCCH format 1a and 1b,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0034,-,Clarification of PDCCH mapping,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0035,-,TDD PRACH time/frequency mapping,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0036,-,Cell Specific Uplink Sounding RS Subframe Configuration,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0038,-,PDCCH length for carriers with mixed MBSFN and Unicast Traffic,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0040,-,"Correction to the scrambling sequence generation for PUCCH, PCFICH, PHICH, MBSFN RS and UE specific RS",8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0041,-,PDCCH coverage in narrow bandwidths,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0042,-,Closed-Loop and Open-Loop Spatial Multiplexing,8.2.0,8.3.0
28/05/08,RP_40,RP-080432,0043,-,Removal of small-delay CDD,8.2.0,8.3.0
09/09/08,RP_41,RP-080668,48,1,Frequency Shifting of UE-specific RS,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,49,1,Correction of PHICH to RE mapping in extended CP subframe,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,50,-,Corrections to for handling remaining Res,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,51,-,PRACH configuration for frame structure type 1,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,52,2,Correction of PUCCH index generation formula,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,53,-,Orthogonal cover sequence for shortened PUCCH format 1a and 1b,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,54,-,Correction of mapping of ACK/NAK to binary bit values,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,56,2,Remaining issues on SRS hopping,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,57,1,Correction of n_cs(n_s) and OC/CS remapping for PUCCH formats 1/1a/1b and 2/2a/2b,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,59,-,Corrections to Rank information scrambling in Uplink Shared Channel,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,60,-,Definition on the slot number for frame structure type 2,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,61,-,Correction of the Npucch sequence upper limit for the formats 1/1a/1b,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,62,1,Clarifications for DMRS parameters,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,63,-,Correction of n_prs,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,64,1,Introducing missing L1 parameters to 36.211,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,65,3,Clarification on reception of synchronization signals,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,66,-,Correction to the downlink/uplink timing,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,67,-,ACK/NACK Scrambling scheme on PUCCH,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,68,-,DCI format1C,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,69,-,Refinement for REG Definition for n = 4,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,71,-,Correcting Ncs value for PRACH preamble format 0-3,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,73,-,Correction of the half duplex timing advance offset value,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,74,-,Correction to Precoding for Transmit Diversity,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,75,-,Clarification on number of OFDM symbols used for PDCCH,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,77,-,Number of antenna ports for PDSCH,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,78,-,Correction to Type 2 PUSCH predetermined hopping for Nsb=1 operation,8.3.0,8.4.0
09/09/08,RP_41,RP-080668,79,-,PRACH frequency location,8.3.0,8.4.0
03/12/08,RP_42,RP-081074,70,1,Correction for the definition of UE-specific reference signals,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,72,2,Corrections to precoding for large delay CDD,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,80,-,Correction to the definition of nbar_oc for extended CP,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,81,1,Specification of reserved REs not used for RS,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,82,2,Clarification of the random access preamble transmission timing,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,83,1,Indexing of PRACH resources within the radio frame,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,84,6,Alignment of RAN1/RAN2 specification,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,86,-,Clarification on scrambling of ACK/NAK bits for PUCCH format 2a/2b,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,87,-,Correction of introduction of shortened SR,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,88,-,Corrections to 36.211,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,89,-,Clarification on PUSCH DM RS Cyclic Shift Hopping,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,92,1,Correction to the uplink DM RS assignment,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,93,-,Clarify the RNTI used in scrambling sequence initialization,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,94,1,On linkage Among UL Power Control Parameters,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,95,-,Clarification on PUSCH pre-determined hopping pattern,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,96,-,Clarification of SRS sequence-group and base sequence number,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,97,1,SRS subframe configuration,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,98,-,Remaining SRS details for TDD,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,99,-,Clarifying UL VRB Allocation,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,100,-,Clarification on PUCCH resource hopping,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,101,-,Correction for definition of Qm and a pseudo code syntax error in Scrambling.,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,105,1,Remaining Issues on SRS of TDD,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,106,-,Correction of reference to RAN4 specification of supported uplink bandwidth,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,107,-,General corrections to SRS,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,109,2,Correction to PCFICH specification,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,110,1,Correction to Layer Mapping for Transmit Diversity with Four Antenna Ports,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,111,-,Correction of the mapping of cyclic shift filed in DCI format 0 to the dynamic cyclic shift offset,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,112,-,DRS collision handling,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,113,-,Clarification to enable reuse of non-active PUCCH CQI RBs for PUSCH,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,114,1,PUSCH Mirror Hopping operation,8.4.0,8.5.0
03/12/08,RP_42,RP-081074,108,1,Extended and normal cyclic prefix in DL and UL for LTE TDD,8.4.0,8.5.0
04/03/09,RP_43,RP-090234,115,1,Alignment of PRACH configuration index for FS type 1 and type 2,8.5.0,8.6.0
04/03/09,RP_43,RP-090234,118,1,Clarification for DRS Collision handling,8.5.0,8.6.0
04/03/09,RP_43,RP-090234,121,1,Removing inverse modulo operation,8.5.0,8.6.0
04/03/09,RP_43,RP-090234,123,1,Clarification on the use of preamble format 4,8.5.0,8.6.0
04/03/09,RP_43,RP-090234,124,-,Clarification of RNTI used in scrambling sequence,8.5.0,8.6.0
04/03/09,RP_43,RP-090234,125,1,Clarifying PDCCH RE mapping,8.5.0,8.6.0
04/03/09,RP_43,RP-090234,126,-,Correction of preamble format 4 timing,8.5.0,8.6.0
04/03/09,RP_43,RP-090234,127,2,Corrections to SRS,8.5.0,8.6.0
04/03/09,RP_43,RP-090234,128,2,Clarification of PDSCH Mapping to Resource Elements,8.5.0,8.6.0
04/03/09,RP_43,RP-090234,129,1,Alignment with correct ASN1 parameter names,8.5.0,8.6.0
04/03/09,RP_43,RP-090234,130,-,Correction to PUCCH format 1 mapping to physical resources,8.5.0,8.6.0
04/03/09,RP_43,RP-090234,132,-,Correction to type-2 PUSCH hopping,8.5.0,8.6.0
04/03/09,RP_43,RP-090234,134,-,Alignment of SRS configuration,8.5.0,8.6.0
27/05/09,RP_44,RP-090527,135,-,Correction on UE behavior for PRACH 20ms periodicity,8.6.0,8.7.0
15/09/09,RP_45,RP-090888,137,1,Clarification on DMRS sequence for PUSCH,8.7.0,8.8.0
15/09/09,RP_45,RP-090888,138,1,Correction to PHICH resource mapping for TDD and to PHICH scrambling,8.7.0,8.8.0
01/12/09,RP_46,RP-091168,142,-,Clarification of the transmit condition for UE specific reference signals,8.8.0,8.9.0
01/12/09,RP_46,RP-091172,139,2,Introduction of LTE positioning,8.9.0,9.0.0
01/12/09,RP_46,RP-091177,140,3,Editorial corrections to 36.211,8.9.0,9.0.0
01/12/09,RP_46,RP-091257,141,1,Introduction of enhanced dual layer transmission,8.9.0,9.0.0
16/03/10,RP_47,RP-100209,144,1,Removal of square brackets on positioning subframe periodicities,9.0.0,9.1.0
16/03/10,RP_47,RP-100209,145,-,Clarification of the CP length of empty OFDM symbols in PRS subframes,9.0.0,9.1.0
16/03/10,RP_47,RP-100210,146,-,Clarification of MBSFN subframe definition,9.0.0,9.1.0
07/12/10,RP_50,RP-101320,148,-,Introduction of Rel-10 LTE-Advanced features in 36.211,9.1.0,10.0.0
15/03/11,RP_51,RP-110254,149,1,Correction on UE behavior for PRACH preamble format 4,10.0.0,10.1.0
15/03/11,RP_51,RP-110256,150,-,Corrections to Rel-10 LTE-Advanced features in 36.211,10.0.0,10.1.0
01/06/11,RP_52,RP-110818,153,2,PUSCH interaction with periodic SRS,10.1.0,10.2.0
01/06/11,RP_52,RP-110819,154,1,Correction on describing PUCCH format 3,10.1.0,10.2.0
01/06/11,RP_52,RP-110821,155,3,Correction on codebooks for CSI-RS based feedback for up to 4 CSI-RS ports.,10.1.0,10.2.0
01/06/11,RP_52,RP-110821,156,-,Correction on overlapping non-zero-power and zero-power CSI-RS configurations,10.1.0,10.2.0
01/06/11,RP_52,RP-110821,157,-,Correction on CSI-RS configuration,10.1.0,10.2.0
01/06/11,RP_52,RP-110821,158,-,PDSCH transmission in MBSFN subframes,10.1.0,10.2.0
01/06/11,RP_52,RP-110823,159,-,Correction on implicit derivation of transmission comb per antenna port for SRS,10.1.0,10.2.0
01/06/11,RP_52,RP-110823,160,-,Uplink DMRS sequence in RACH procedure,10.1.0,10.2.0
15/09/11,RP_53,RP-111229,162,-,Corrections on DMRS for Extended CP,10.2.0,10.3.0
15/09/11,RP_53,RP-111228,163,-,Clarification of applicability of precoding power scaling factors for PDSCH,10.2.0,10.3.0
15/09/11,RP_53,RP-111228,164,-,Correction to modulation and upconversion on PRACH,10.2.0,10.3.0
15/09/11,RP_53,RP-111229,165,-,Clarification on cyclic prefix of PDSCH in MBSFN subframes,10.2.0,10.3.0
15/09/11,RP_53,RP-111229,166,3,Corrections on indication in scrambling identity field in DCI format 2B and 2C,10.2.0,10.3.0
05/12/11,RP_54,RP-111668,167,-,A correction to PDSCH precoding for CQI calculation,10.3.0,10.4.0
05/12/11,RP_54,RP-111668,168,-,Correction to figure of CSI-RS pattern in extended-CP subframe,10.3.0,10.4.0
13/06/12,RP_56,RP-120736,169,-,Correction to resource mapping for PDSCH,10.4.0,10.5.0
13/06/12,RP_56,RP-120739,171,-,Correction for DMRS group hopping and sequence hopping,10.4.0,10.5.0
13/06/12,RP_56,RP-120738,172,-,Correction to assumed CSI-RS transmissions in subframes used for paging,10.4.0,10.5.0
04/09/12,RP_57,RP-121274,170,4,Introduction of an additional special subframe configuration,10.5.0,11.0.0
04/09/12,RP_57,RP-121272,173,-,Inclusion of Rel-11 features,10.5.0,11.0.0
04/12/12,RP_58,RP-121839,175,-,Correction to assumed CSI-RS transmissions in secondary cells,11.0.0,11.1.0
04/12/12,RP_58,RP-121846,176,-,Correction to assumed CSI-RS transmissions in secondary cells,11.0.0,11.1.0
26/02/13,RP_59,RP-130254,178,-,Clarification of CSI RS mapping to resource elements,11.1.0,11.2.0
26/02/13,RP_59,RP-130254,180,-,Correction to CSI Reference Signals,11.1.0,11.2.0
26/02/13,RP_59,RP-130255,181,-,Additional clarifications/corrections for introducing Rel-11 features,11.1.0,11.2.0
11/06/13,RP_60,RP-130752,182,-,Correction to EPDCCH PRB pair indication,11.2.0,11.3.0
11/06/13,RP_60,RP-130752,183,-,CR on collision between EPDCCH and PSS/SSS/PBCH,11.2.0,11.3.0
03/09/13,,,,,MCC clean-up,11.3.0,11.4.0
03/09/13,RP_60,RP-131250,185,-,Correction to QCL behaviour on CRS,11.3.0,11.4.0
03/12/13,RP_62,RP-131894,186,-,Correction on the derivation of the non-MBSFN region by PCFICH,11.4.0,11.5.0
03/12/13,RP_62,RP-131896,184,3,Introduction of Rel 12 feature for Downlink MIMO Enhancement,11.5.0,12.0.0
03/03/14,RP_63,RP-140286,187,-,On PMCH starting symbol in an MBSFN subframe,12.0.0,12.1.0
10/06/14,RP_64,RP-140858,189,-,CR on antenna port definitions,12.1.0,12.2.0
10/06/14,RP_64,RP-140858,190,1,Clarification of downlink subframes,12.1.0,12.2.0
10/06/14,RP_64,RP-140862,191,-,"Inclusion of eIMTA, TDD-FDD CA, and coverage enhancements",12.1.0,12.2.0
10/09/14,RP_65,RP-141485,192,-,Inclusion of low-cost MTC and 256QAM,12.2.0,12.3.0
10/09/14,RP_65,RP-141477,194,-,CR on port 5 UE-specific reference signal when PDSCH is overlapped with EPDCCH,12.2.0,12.3.0
08/12/14,RP_66,RP-142098,195,3,Clarification of PUSCH rate matching with SRS,12.3.0,12.4.0
08/12/14,RP_66,RP-142106,197,4,Inclusion of small-cell enhancements,12.3.0,12.4.0
09/03/15,RP_67,RP-150366,196,7,Inclusion of ProSe,12.4.0,12.5.0
09/03/15,RP_67,RP-150364,198,-,Correction on 256QAM applicability to PMCH,12.4.0,12.5.0
09/03/15,RP_67,RP-150364,199,-,Correction of discovery signal transmission,12.4.0,12.5.0
15/06/15,RP_68,RP-150935,201,-,Alignment of ProSe parameters,12.5.0,12.6.0
14/09/15,RP_69,RP-151465,203,-,Clarification on SRS BW configuration,12.6.0,12.7.0
07/12/15,RP_70,RP-152036,209,1,Modify max TA for dual connectivity,12.7.0,12.8.0
07/12/15,RP_70,RP-152025,206,2,Introduction of EB/FD-MIMO,12.8.0,13.0.0
07/12/15,RP_70,RP-152027,208,1,Introduction of Rel-13 eCA,12.8.0,13.0.0
07/12/15,RP_70,RP-152125,204,2,eD2D CR for 36.211,12.8.0,13.0.0
07/12/15,RP_70,RP-152258,205,4,Introduction of LAA,12.8.0,13.0.0
