Index of indicator (bit number),"Definition(description of the supported functionality, if indicator set to one)",Notes,"If indicated ""Yes"" the feature shall be implemented and successfully tested for this version of the specification",FDD/ TDD diff
11,- EUTRA RRC_CONNECTED to CDMA2000 1xRTT CS Active handover,- related to SR-VCC- can only be set to 1 if the UE has sets bit number 24 to 1,,Yes
12,- EUTRA RRC_CONNECTED to CDMA2000 HRPD Active handover,- can only be set to 1 if the UE has set bit number 26 to 1,,Yes
13,- Inter-frequency handover (within FDD or TDD),- can only be set to 1 if the UE has set bit number 25 to 1,"Yes (except for category M1 and M2 UEs), unless UE only supports band 13",No
14,- Measurement reporting event: Event A4 – Neighbour > threshold- Measurement reporting event: Event A5 – Serving < threshold1 & Neighbour > threshold2,,Yes (except for category M1 and M2 UEs),No
15,"- Measurement reporting event: Event B1 – Neighbour > threshold for UTRAN FDD or UTRAN TDD, if the UE supports either only UTRAN FDD or only UTRAN TDD and has set bit number 22 to 1- Measurement reporting event: Event B1 – Neighbour > threshold for UTRAN FDD or UTRAN TDD, if the UE supports both UTRAN FDD and UTRAN TDD and has set bit number 22 or 39 to 1, respectively- Measurement reporting event: Event B1 – Neighbour > threshold for GERAN, 1xRTT or HRPD, if the UE has set bit number 23, 24 or 26 to 1, respectively","- can only be set to 1 if the UE has set at least one of the bit number 22, 23, 24, 26 or 39 to 1.- even if the UE sets bits 41, it shall still set bit 15 to 1 if measurement reporting event B1 is tested for all RATs supported by UE- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.","Yes for FDD, if UE supports only UTRAN FDD and does not support UTRAN TDD or GERAN or 1xRTT or HRPD",Yes
16,"- Intra-frequency periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCells- Inter-frequency periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCells, if the UE has set bit number 25 to 1- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCells for UTRAN FDD or UTRAN TDD, if the UE supports either only UTRAN FDD or only UTRAN TDD and has set bit number 22 to 1- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCells for UTRAN FDD or UTRAN TDD, if the UE supports both UTRAN FDD and UTRAN TDD and has set bit number 22 or 39 to 1, respectively- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCells for GERAN, 1xRTT or HRPD, if the UE has set bit number 23, 24 or 26 to 1, respectively.NOTE: Event triggered periodical reporting (i.e., with triggerType set to event and with reportAmount > 1) is a mandatory functionality of event triggered reporting and therefore not the subject of this bit.","- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.",Yes,No
17,Intra-frequency ANR features (including the case of (NG)EN-DC wherein MN and SN have the same DRX cycle and on-duration configured by MN completely contains on-duration configured by SN) including:- Intra-frequency periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCells- Intra-frequency periodical measurement reporting where triggerType is set to periodical and purpose is set to reportCGI.,"- can only be set to 1 if the UE has set bit number 5 to 1.- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.",Yes,No
18,Inter-frequency ANR features (including the case of (NG)EN-DC wherein MN and SN have the same DRX cycle and on-duration configured by MN completely contains on-duration configured by SN) including:- Inter-frequency periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCells- Inter-frequency periodical measurement reporting where triggerType is set to periodical and purpose is set to reportCGI,"- can only be set to 1 if the UE has set bit number 5 and bit number 25 to 1.- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.","Yes, unless UE only supports band 13",No
19,"Inter-RAT ANR features (including the case of (NG)EN-DC wherein MN and SN have the same DRX cycle and on-duration configured by MN completely contains on-duration configured by SN) including:- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCells for GERAN, if the UE has set bit number 23 to 1- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCellsForSON for UTRAN FDD or UTRAN TDD, if the UE supports either only UTRAN FDD or only UTRAN TDD and has set bit number 22 to 1- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCellsForSON for UTRAN FDD or UTRAN TDD, if the UE supports both UTRAN FDD and UTRAN TDD and has set bit number 22 or 39 to 1, respectively- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportStrongestCellsForSON for 1xRTT or HRPD, if the UE has set bit number 24 or 26 to 1, respectively- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportCGI for UTRAN FDD or UTRAN TDD, if the UE supports either only UTRAN FDD or only UTRANTDD and has set bit number 22 to 1- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportCGI for UTRAN FDD or UTRAN TDD, if the UE supports both UTRAN FDD and UTRAN TDD and has set bit number 22 or 39 to 1, respectively- Inter-RAT periodical measurement reporting where triggerType is set to periodical and purpose is set to reportCGI for GERAN, 1xRTT or HRPD, if the UE has set bit number 23, 24 or 26 to 1, respectively","- can only be set to 1 if the UE has set bit number 5 to 1 and the UE has set at least one of the bit number 22, 23, 24 or 26 to 1.- even if the UE sets bits 33 to 37, it shall still set bit 19 to 1 if inter-RAT ANR features are tested for all RATs for which inter-RAT measurement reporting is indicated as tested",,Yes
20,"If bit number 7 is set to 0:- SRB1 and SRB2 for DCCH + 8x AM DRBIf bit number 7 is set to 1:- SRB1 and SRB2 for DCCH + 8x AM DRB- SRB1 and SRB2 for DCCH + 5x AM DRB + 3x UM DRBNOTE: UE which indicate support for a DRB combination also support all subsets of the DRB combination. Therefore, release of DRB(s) never results in an unsupported DRB combination.","- Regardless of what bit number 7 and bit number 20 is set to, UE shall support at least SRB1 and SRB2 for DCCH + 4x AM DRB- Regardless of what bit number 20 is set to, if bit number 7 is set to 1, UE shall support at least SRB1 and SRB2 for DCCH + 4x AM DRB + 1x UM DRB- If flexibleUM-AM-Combinations is included the UE shall support any combination of RLC UM and RLC AM bearers as long as the total number of bearers is at most 8, regardless of what FGI20 indicates",Yes,No
21,- Predefined intra- and inter-subframe frequency hopping for PUSCH with N_sb > 1- Predefined inter-subframe frequency hopping for PUSCH with N_sb > 1,"- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.",,No
22,"- UTRAN FDD or UTRAN TDD measurements, reporting and measurement reporting event B2 in E-UTRA connected mode, if the UE supports either only UTRAN FDD or only UTRAN TDD- UTRAN FDD measurements, reporting and measurement reporting event B2 in E-UTRA connected mode, if the UE supports both UTRAN FDD and UTRAN TDD","- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.","Yes for FDD, if UE supports UTRA FDD",Yes
23,"- GERAN measurements, reporting and measurement reporting event B2 in E-UTRA connected mode","- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.",,Yes
24,"- 1xRTT measurements, reporting and measurement reporting event B2 in E-UTRA connected mode","- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.","Yes for FDD, if UE supports enhanced 1xRTT CSFB for FDDYes for TDD, if UE supports enhanced 1xRTT CSFB for TDD",Yes
25,"- Inter-frequency measurements and reporting in E-UTRA connected modeNOTE: The UE setting this bit to 1 and indicating support for FDD and TDD frequency bands in the UE capability signalling implements and is tested for FDD measurements while the UE is in TDD, and for TDD measurements while the UE is in FDD.",- A category M1 or M2 UE shall set this bit to 1 only if ceMeasurements-r14 is supported.,"Yes, unless UE only supports band 13",No
26,"- HRPD measurements, reporting and measurement reporting event B2 in E-UTRA connected mode","- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.","Yes for FDD, if UE supports HRPD",Yes
27,"- EUTRA RRC_CONNECTED to UTRA FDD or UTRA TDD CELL_DCH CS handover, if the UE supports either only UTRAN FDD or only UTRAN TDD- EUTRA RRC_CONNECTED to UTRA FDD CELL_DCH CS handover, if the UE supports both UTRAN FDD and UTRAN TDD","- related to SR-VCC- can only be set to 1 if the UE has set bit number 8 to 1 and supports SR-VCC from EUTRA defined in TS 24.008 [49]- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.","Yes for FDD, if UE supports VoLTE and UTRA FDD",Yes
28,- TTI bundling,"- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.",Yes for FDD,Yes
29,- Semi-Persistent Scheduling,"- If a category M1 or M2 UE does not support this feature group, this bit shall be set to 0.",,Yes
30,- Handover between FDD and TDD,- can only be set to 1 if the UE has set bit number 13 to 1,,No
31,"- Indicates whether the UE supports the mechanisms defined for cells broadcasting multi band information i.e. comprehending multiBandInfoList, disregarding in RRC_CONNECTED the related system information fields and understanding the EARFCN signalling for all bands, that overlap with the bands supported by the UE, and that are defined in the earliest version of TS 36.101 [42] that includes all UE supported bands.",,Yes,No
32,Undefined,,,
