UE-EUTRA-Capability field descriptions,,FDD/ TDD diff
"ce-HARQ-AckBundlingIndicates whether the UE supports HARQ-ACK bundling in half duplex FDD in CE mode A, as specified in TS 36.212 [22] and TS 36.213 [23].",,-
ce-InactiveStateIndicates whether UE operating in CE mode supports RRC_INACTIVE when connected to 5GC. A UE including this field also supports short eDRX cycles in RRC_INACTIVE when connected to 5GC.,,No
"ce-MeasRSS-Dedicated, ce-MeasRSS-DedicatedSameRBsIndicates whether the UE operating in CE mode A/B supports receiving neighbour cell RSS information in dedicated signalling and performing serving cell and neighbour cell measurements based on RSS in RRC_CONNECTED as specified in TS 36.306 [5] and TS 36.133 [16].",,Yes
"ce-ModeA, ce-ModeBIndicates whether the UE supports operation in CE mode A and/or B, as specified in TS 36.211 [21] and TS 36.213 [23].",,-
"crs-ChEstMPDCCH-CE-ModeA, crs-ChEstMPDCCH-CE-ModeBIndicates whether UE operating in CE mode A/B supports using CRS for improving MPDCCH channel estimation.",,Yes
crs-ChEstMPDCCH-CSIIndicates whether UE operating in CE mode A supports CSI-based mapping for improving MPDCCH channel estimation.,,Yes
crs-ChEstMPDCCH-ReciprocityTDDIndicates whether UE operating in CE mode A supports using CRS for improving MPDCCH channel estimation with reciprocity-based candidates in TDD.,,No
"ceMeasurementsIndicates whether the UE supports intra-frequency RSRQ measurements and inter-frequency RSRP and RSRQ measurements in RRC_CONNECTED, as specified in TS 36.133 [16] and TS 36.304 [4].",,-
"ce-MultiTB-64QAMIndicates whether the UE supports downlink 64QAM for multiple TB scheduling in connected mode for PDSCH when operating in CE mode A, as specified in TS 36.211 [21] and TS 36.213 [23]. This field can be included only if ce-PUSCH-SubPRB-Allocation is included.",,Yes
"ce-MultiTB-EarlyTerminationIndicates whether the UE supports early termination of PUSCH transmission for multiple TB scheduling in connected mode, as specified in TS 36.211 [21] and TS 36.213 [23].",,Yes
"ce-MultiTB-FrequencyHoppingIndicates whether the UE supports frequency hopping for multiple TB scheduling for PDSCH/PUSCH in connected mode, as specified in TS 36.211 [21] and TS 36.213 [23].",,Yes
"ce-MultiTB-HARQ-AckBundlingIndicates whether the UE supports downlink HARQ-ACK bundling for multiple TB scheduling in connected mode when operating in CE mode A, as specified in TS 36.211 [21] and TS 36.213 [23].",,Yes
"ce-MultiTB-InterleavingIndicates whether the UE supports TB interleaving for multiple TB scheduling in connected mode for PDSCH/PUSCH when operating in CE mode A or B, as specified in TS 36.211 [21] and TS 36.213 [23].",,Yes
"ce-MultiTB-SubPRBIndicates whether the UE supports sub-PRB allocation for multiple TB scheduling for PUSCH in connected mode, as specified in TS 36.211 [21] and TS 36.213 [23]. This field can be included only if ce-PUSCH-SubPRB-Allocation is included.",,Yes
"ce-PDSCH-14HARQProcesses, ce-PDSCH-14HARQProcesses-Alt2Indicates whether the UE supports 14-HARQ processes, as specified in TS 36.212 [22].",,-
ce-PDSCH-64QAMIndicates whether the UE supports 64QAM for non-repeated unicast PDSCH in CE mode A.,,Yes
"ce-PDSCH-FlexibleStartPRB-CE-ModeA, ce-PDSCH-FlexibleStartPRB-CE-ModeB,ce-PUSCH-FlexibleStartPRB-CE-ModeA, ce-PUSCH-FlexibleStartPRB-CE-ModeBThis field indicates whether UE supports flexible starting PRB for PDSCH/PUSCH when operating in coverage enhancement mode A/B, as specified in TS 36.211 [21] and TS 36.213 [22].",,Yes
"ce-PDSCH-MaxTBSIndicates whether the UE supports downlink TBS of 1736 bits, as specified in TS 36.212 [22].",,-
ce-PDSCH-PUSCH-EnhancementIndicates whether the UE supports new numbers of repetitions for PUSCH and modulation restrictions for PDSCH/PUSCH in CE mode A as specified in TS 36.212 [22] and TS 36.213 [23].,,No
"ce-PDSCH-PUSCH-MaxBandwidthIndicates the maximum supported PDSCH/PUSCH channel bandwidth in CE mode A and B, as specified in TS 36.212 [22] and TS 36.213 [23]. Value bw5 corresponds to 5 MHz and value bw20 corresponds to 20 MHz. If the field is absent the maximum PDSCH/PUSCH channel bandwidth in CE mode A and B is 1.4 MHz. If the setting of this parameter is 20 MHz, the max supported PUSCH channel bandwidth in CE mode A is 5 MHz. The maximum PUSCH channel bandwidth in CE mode B is 1.4 MHz regardless of the setting of this parameter. Parameter: transmission bandwidth configuration, see TS 36.101 [42], table 5.6-1 and TS 36.108 [114], table 5.3A-1.",,Yes
ce-PDSCH-TenProcessesIndicates whether the UE supports 10 DL HARQ processes in FDD in CE mode A.,,Yes
"ce-PUCCH-EnhancementIndicates whether the UE supports repetition levels 64 and 128 for PUCCH in CE Mode B, as specified in TS 36.211 [21] and in TS 36.213 [23].",,No
"ce-PUSCH-NB-MaxTBSIndicates whether the UE supports 2984 bits max UL TBS in 1.4 MHz in CE mode A operation, as specified in TS 36.212 [22] and TS 36.213 [23].",,Yes
"ce-PUSCH-SubPRB-AllocationIndicates whether the UE supports sub-PRB resource allocation for PUSCH in CE mode A or B, as specified in TS 36.211 [21], TS 36.212 [22] and TS 36.213 [23].",,Yes
ce-RetuningSymbolsIndicates the number of retuning symbols in CE mode A and B as specified in TS 36.211 [21]. Value n0 corresponds to 0 retuning symbols and value n1 corresponds to 1 retuning symbol. If the field is absent the number of retuning symbols in CE mode A and B is 2.,,No
ce-SchedulingEnhancementIndicates whether the UE supports dynamic HARQ-ACK delay for HD-FDD in CE mode A as specified in TS 36.212 [22] and TS 36.213 [23].,,No
ce-SRS-EnhancementIndicates whether the UE supports SRS coverage enhancement in TDD with support of SRS combs 2 and 4 as specified in TS 36.213 [23]. This field can be included only if ce-SRS-EnhancementWithoutComb4 is not included.,,Yes
ce-SRS-EnhancementWithoutComb4Indicates whether the UE supports SRS coverage enhancement in TDD with support of SRS comb 2 but without support of SRS comb 4 as specified in TS 36.213 [23]. This field can be included only if ce-SRS-Enhancement is not included.,,-
ce-SwitchWithoutHOIndicates whether the UE supports switching between normal mode and enhanced coverage mode without handover.,,-
"ce-UL-HARQ-ACK-FeedbackThis field indicates whether UE supports uplink HARQ ACK feedback when operating in coverage enhancement, as specified in TS36.213 [22].",,Yes
channelMeasRestrictionIndicates for a particular transmission mode whether the UE supports channel measurement restriction.,,Yes
"choIndicates whether the UE supports conditional handover including execution condition, candidate cell configuration and maximum 8 candidate cells.",,Yes
cho-FailureIndicates whether the UE supports conditional handover during re-establishment procedure when the selected cell is configured as candidate cell for condition handover.,,Yes
cho-FDD-TDDIndicates whether the UE supports conditional handover between FDD and TDD cells.,,No
cho-TwoTriggerEventsIndicates whether the UE supports 2 trigger events for same execution condition. It is mandatory supported if the UE suppors cho.,,Yes
"codebook-HARQ-ACKIndicates whether the UE supports determining HARQ ACK codebook size based on the DAI-ased solution and/or the number of configured CCs. The first bit is set to ""1"" if the UE supports the DAI-based codebook size determination. The second bit is set to ""1"" if the UE supports the codebook determination based on the number of configured CCs.",,No
commMultipleTxIndicates whether the UE supports multiple transmissions of sidelink communication to different destinations in one SC period. If commMultipleTx-r13 is set to supported then the UE support 8 transmitting sidelink processes.,,-
commSimultaneousTxIndicates whether the UE supports simultaneous transmission of EUTRA and sidelink communication (on different carriers) in all bands for which the UE indicated sidelink support in a band combination (using commSupportedBandsPerBC).,,-
"commSupportedBandsIndicates the bands on which the UE supports sidelink communication, by an independent list of bands i.e. separate from the list of supported E-UTRA band, as indicated in supportedBandListEUTRA.",,-
"commSupportedBandsPerBCIndicates, for a particular band combination, the bands on which the UE supports simultaneous reception of EUTRA and sidelink communication. If the UE indicates support simultaneous transmission (using commSimultaneousTx), it also indicates, for a particular band combination, the bands on which the UE supports simultaneous transmission of EUTRA and sidelink communication. The first bit refers to the first band included in commSupportedBands, with value 1 indicating sidelink is supported.",,-
"configN (in MIMO-CA-ParametersPerBoBCPerTM)If signalled, the field indicates for a particular transmission mode whether the UE supports non-precoded EBF/ FD-MIMO (class A) related configuration N for the concerned band combination.",,-
configN (in MIMO-UE-ParametersPerTM)Indicates for a particular transmission mode whether the UE supports non-precoded EBF/ FD-MIMO (class A) related configuration N for band combinations for which the concerned capabilities are not signalled.,,Yes
"continueEHC-ContextIndicates that the UE supports EHC context continuation operation where the UE keeps the established EHC context(s) upon PDCP re-establishment, as specified in TS 36.323 [8].",,No
crossCarrierScheduling,,Yes
crossCarrierScheduling-B5CIndicates whether the UE supports cross carrier scheduling beyond 5 DL CCs.,,No
crossCarrierSchedulingLAA-DLIndicates whether the UE supports cross-carrier scheduling from a licensed carrier for LAA cell(s) for downlink. This field can be included only if downlinkLAA is included.,,-
crossCarrierSchedulingLAA-ULIndicates whether the UE supports cross-carrier scheduling from a licensed carrier for LAA cell(s) for uplink. This field can be included only if uplinkLAA is included.,,-
"crs-DiscoverySignalsMeasIndicates whether the UE supports CRS based discovery signals measurement, and PDSCH/EPDCCH RE mapping with zero power CSI-RS configured for discovery signals.",,Yes
"crs-IM-TM1-toTM9-OneRX-PortIndicates whether the DL Cateogry 1bis UE ot the DL Category M2 UE supports CRS interference mitigation (IM) while operating in the following transmission modes (TM): TM 1, TM 2, …, TM 8 and TM 9.",,No
crs-InterfHandlIndicates whether the UE supports CRS interference handling.,,Yes
crs-InterfMitigationTM10The field defines whether the UE supports CRS interference mitigation in transmission mode 10. The UE supporting the crs-InterfMitigationTM10 capability shall also support the crs-InterfHandl capability.,,No
"crs-InterfMitigationTM1toTM9Indicates whether the UE supports CRS interference mitigation (IM) while operating in the following transmission modes (TM): TM 1, TM 2, …, TM 8 and TM 9. The UE shall not include the field if it does not support CRS IM in TMs 1-9. If the field is present, the UE supports CRS-IM on at least one arbitrary downlink CC for up to crs-InterfMitigationTM1toTM9-r13 downlink CC CA configuration. The UE signals crs-InterfMitigationTM1toTM9-r13 value to indicate the maximum crs-InterfMitigationTM1toTM9-r13 downlink CC CA configuration where UE may apply CRS IM. For example, the UE sets ""crs-InterfMitigationTM1toTM9-r13 = 3"" to indicate that the UE supports CRS-IM on at least one DL CC for supported non-CA, 2DL CA and 3DL CA configurations. The UE supporting the crs-InterfMitigationTM1toTM9-r13 capability shall also support the crs-InterfHandl-r11 capability.",,-
"crs-IntfMitigIndicate whether the UE supports CRS interference mitigation as specified in TS 36.133 [16], clause 3.6.1.1.",,Yes
"crs-LessDwPTSIndicates whether the UE supports TDD special subframe configuration 10 without CRS transmission on the 5th symbol of DwPTS, i.e. ssp10-CRS-LessDwPTS, as specified in TS 36.211 [17].",,-
"csi-ReportingAdvanced, csi-ReportingAdvancedMaxPorts (in MIMO-CA-ParametersPerBoBCPerTM)If signalled, the field indicates that for a particular transmission mode, the maximum number of CSI-RS ports supported by the UE for advanced CSI reporting is different in the concerned band of band combination than the value indicated by the field csi-ReportingAdvanced or csi-ReportingAdvancedMaxPorts in MIMO-UE-ParametersPerTM. The UE shall not include both csi-ReportingAdvanced and csi-ReportingAdvancedMaxPorts for a particular transmission mode in the concerned band of band combination.",,-
csi-ReportingAdvanced (in MIMO-UE-ParametersPerTM)Indicates for a particular transmission mode the maximum number of CSI-RS ports supported by the UE for advanced CSI reporting. The field csi-ReportingAdvanced indicates 32 CSI-RS ports. The UE shall not include both csi-ReportingAdvanced and csi-ReportingAdvancedMaxPorts for a particular transmission mode.,,Yes
"csi-ReportingAdvancedMaxPorts (in MIMO-UE-ParametersPerTM)Indicates for a particular transmission mode the maximum number of CSI-RS ports supported by the UE for advanced CSI reporting. The field csi-ReportingAdvancedMaxPorts indicates 8, 12, 16, 20, 24 or 28 CSI-RS ports. The UE shall not include both csi-ReportingAdvanced and csi-ReportingAdvancedMaxPorts for a particular transmission mode.",,-
"csi-ReportingNP (in MIMO-CA-ParametersPerBoBCPerTM)If signalled, value different indicates that for a particular transmission mode, the CSI reporting on non-precoded CSI-RS with 20, 24, 28 or 32 antenna ports for the concerned band of band combination is different than the value indicated by field csi-ReportingNP in MIMO-UE-ParametersPerTM.",,-
"csi-ReportingNP (in MIMO-UE-ParametersPerTM)Indicates for a particular transmission mode whether the UE supports CSI reporting on non-precoded CSI-RS with 20, 24, 28, or 32 antenna ports for band combinations for which the concerned capabilities are not signalled in MIMO-CA-ParametersPerBoBCPerTM, and the FD-MIMO processing capability condition as described in NOTE 8 is satisfied.",,Yes
"csi-RS-DiscoverySignalsMeasIndicates whether the UE supports CSI-RS based discovery signals measurement. If this field is included, the UE shall also include crs-DiscoverySignalsMeas.",,Yes
csi-RS-DRS-RRM-MeasurementsLAAIndicates whether the UE supports performing RRM measurements on LAA cell(s) based on CSI-RS-based DRS. This field can be included only if downlinkLAA is included.,,-
csi-RS-EnhancementsTDDIndicates for a particular transmission mode whether the UE supports CSI-RS enhancements applicable for TDD.,,Yes
"csi-SubframeSetIndicates whether the UE supports REL-12 DL CSI subframe set configuration, REL-12 DL CSI subframe set dependent CSI measurement/feedback, configuration of up to 2 CSI-IM resources for a CSI process with no more than 4 CSI-IM resources for all CSI processes of one frequency if the UE supports tm10, configuration of two ZP-CSI-RS for tm1 to tm9, PDSCH RE mapping with two ZP-CSI-RS configurations, and EPDCCH RE mapping with two ZP-CSI-RS configurations if the UE supports EPDCCH. This field is only applicable for UEs supporting TDD.",,Yes
csi-SubframeSet2ForDormantSCellIndicates whether the UE supports second CSI subframe set for periodic CSI reporting for dormant serving cells. A UE that indicates support of this field shall also indicate support for dormantSCellState-r15. This field is only applicable for UEs supporting TDD.,,-
dataInactMonIndicates whether the UE supports the data inactivity monitoring as specified in TS 36.321 [6].,,-
"dc-SupportIncluding this field indicates that the UE supports synchronous DC and power control mode 1. Including this field for a band combination entry comprising of single band entry indicates that the UE supports intra-band contiguous DC. Including this field for a band combination entry comprising of two or more band entries, indicates that the UE supports DC for these bands and that the serving cells corresponding to a band entry shall belong to one cell group (i.e. MCG or SCG). Including field asynchronous indicates that the UE supports asynchronous DC and power control mode 2. Including this field for a TDD/FDD band combination indicates that the UE supports TDD/FDD DC for this band combination.",,-
delayBudgetReportingIndicates whether the UE supports delay budget reporting.,,No
demodulationEnhancementsThis field defines whether the UE supports advanced receiver in SFN scenario (350 km/h) as specified in TS 36.101 [42].,,-
demodulationEnhancements2This field defines whether the UE supports further enhanced receiver in HST-SFN scenario (up to 500 km/h velocity) as specified in TS 36.101 [42].,,-
"densityReductionNP, densityReductionBFIndicates whether the UE supports CSI-RS density reduction with values 1, 1/2 and 1/3 for non-precoded CSI-RS and beamformed CSI-RS respectively.",,Yes
"deviceTypeUE may set the value to ""noBenFromBatConsumpOpt"" when it does not foresee to particularly benefit from NW-based battery consumption optimisation. Absence of this value means that the device does benefit from NW-based battery consumption optimisation.",,-
"diffFallbackCombReportIndicates that the UE supports reporting of UE radio access capabilities for the CA band combinations asked by the eNB as well as, if any, reporting of different UE radio access capabilities for their fallback band combination as specified in TS 36.306 [5]. The UE does not report fallback combinations if their UE radio access capabilities are the same as the ones for the CA band combination asked by the eNB.",,-
differentFallbackSupportedIndicates that the UE supports different capabilities for at least one fallback case of this band combination.,,-
directMCG-SCellActivationResumeIndicates whether the UE supports having an E-UTRA MCG SCell configured in activated SCell state.,,-
directSCellActivationIndicates whether the UE supports having an E-UTRA SCell configured in activated SCell state in the RRCConnectionReconfiguration message. This field is applicable to both LTE standalone and LTE-DC.,,-
directSCellHibernationIndicates whether the UE supports having an SCell configured in dormant SCell state.,,-
"directSCG-SCellActivationNEDCIndicates whether the UE supports having an E-UTRA SCG SCell configured in activated SCell state in the RRCConnectionReconfiguration message contained in the NR RRCReconfiguration message, as defined in TS 36.321 [6] and TS 38.331 [82].If the UE indicates support of directSCG-SCellActivationNEDC-r16, the UE shall also indicate support of ne-dc as specified in TS 38.331 [82].",,-
directSCG-SCellActivationResumeIndicates whether the UE supports having an E-UTRA SCG SCell configured in activated SCell state.,,-
"discInterFreqTxIndicates whether the UE support sidelink discovery announcements either a) on the primary frequency only or b) on other frequencies also, regardless of the UE configuration (e.g. CA, DC). The UE may set discInterFreqTx to supported when having a separate transmitter or if it can request sidelink discovery transmission gaps.",,-
"discoverySignalsInDeactSCellIndicates whether the UE supports the behaviour on DL signals and physical channels when SCell is deactivated and discovery signals measurement is configured as specified in TS 36.211 [21], clause 6.11A. This field is included only if UE supports carrier aggregation and includes crs-DiscoverySignalsMeas.",,Yes
discPeriodicSLSSIndicates whether the UE supports periodic (i.e. not just one time before sidelink discovery announcement) Sidelink Synchronization Signal (SLSS) transmission and reception for sidelink discovery.,,-
discScheduledResourceAllocIndicates whether the UE supports transmission of discovery announcements based on network scheduled resource allocation.,,-
disc-UE-SelectedResourceAllocIndicates whether the UE supports transmission of discovery announcements based on UE autonomous resource selection.,,-
disc-SLSSIndicates whether the UE supports Sidelink Synchronization Signal (SLSS) transmission and reception for sidelink discovery.,,-
"discSupportedBandsIndicates the bands on which the UE supports sidelink discovery. One entry corresponding to each supported E-UTRA band, listed in the same order as in supportedBandListEUTRA.",,-
discSupportedProcIndicates the number of processes supported by the UE for sidelink discovery.,,-
discSysInfoReportingIndicates whether the UE supports reporting of system information for inter-frequency/PLMN sidelink discovery.,,-
dl-256QAMIndicates whether the UE supports 256QAM in DL on the band.,,-
"dl-1024QAMIndicates whether the UE supports 1024QAM in DL on the band or on the band within the band combination. When dl-1024QAM-ScalingFactor and dl-1024QAM-TotalWeightedLayers are included, the UE supports 1024QAM in a set of CCs in a band combination if the CCs belong to bands indicated to support 1024QAM in that band combination and the 1024QAM processing capability condition as specified in equation 4.3.5.31-1 in TS 36.306 [5] is satisfied.",,-
