Definitions for parameters,Per,M,FDD-TDD DIFF,FR1-FR2 DIFF
"csi-RSRP-AndRSRQ-MeasWithSSB-r16Indicates whether the UE can perform CSI-RSRP and CSI-RSRQ measurement as specified in TS 38.215 [13], where CSI-RS resource is configured with an associated SS/PBCH in shared spectrum channel access.",Band,No,N/A,N/A
"csi-RSRP-AndRSRQ-MeasWithoutSSB-r16Indicates whether the UE can perform CSI-RSRP and CSI-RSRQ measurement as specified in TS 38.215 [13], where CSI-RS resource is configured for a cell that transmits SS/PBCH block and without an associated SS/PBCH block in shared spectrum channel access.",Band,No,N/A,N/A
"csi-SINR-Meas-r16Indicates whether the UE can perform CSI-SINR measurements based on configured CSI-RS resources as specified in TS 38.215 [13] in shared spectrum channel access. If the UE supports this feature, the UE needs to report maxNumberCSI-RS-RRM-RS-SINR. UE indicating support of this feature shall indicate support of csi-RSRP-AndRSRQ-MeasWithSSB-r16.",Band,No,N/A,N/A
"ssb-AndCSI-RS-RLM-r16Indicates whether the UE can perform radio link monitoring procedure based on measurement of SS/PBCH block and CSI-RS as specified in TS 38.213 [11] and TS 38.133 [5] in shared spectrum channel access. If the UE supports this feature, the UE needs to report maxNumberResource-CSI-RS-RLM.UE indicating support of this feature shall indicate support of csi-RS-RLM-r16 and either ssb-RLM-DynamicChAccess-r16 or ssb-RLM-Semi-StaticChAccess-r16.",Band,No,N/A,N/A
csi-RS-CFRA-ForHO-r16Indicates whether the UE can perform reconfiguration with sync using a contention free random access with 4-step RA type on PRACH resources that are associated with CSI-RS resources of the target cell in shared spectrum channel access.UE indicating support of this feature shall indicate support of either csi-RSRP-AndRSRQ-MeasWithSSB-r16 or csi-RSRP-AndRSRQ-MeasWithoutSSB-r16.,Band,No,N/A,N/A
"periodicAndSemi-PersistentCSI-RS-r16indicates whether the UE supports validating P/SP-CSI-RS reception when receiving a DCI granting a PDSCH over the same set of symbols, and when receiving a DCI triggering an A-CSI-RS over the same set of symbols.",Band,No,N/A,N/A
pusch-PRB-interlace-r16Indicates whether the UE supports PRB interlace frequency domain resource allocation for PUSCH.,Band,No,N/A,N/A
"pucch-F0-F1-PRB-Interlace-r16Indicates whether the UE supports PRB interlace frequency domain resource allocation for PUCCH format 0, 1, 2 and 3.",Band,No,N/A,N/A
"occ-PRB-PF2-PF3-r16Indicates whether the UE supports OCC for PRB interface mapping for PUCCH format 2 and 3. If the UE supports this feature, the UE needs to report pucch-F0-F1-PRB-Interlace-r16.",Band,No,N/A,N/A
"extCP-rangeCG-PUSCH-r16Indicates whether the UE supports generating a CP extension of length longer than 1 symbol for Configured Grant PUSCH transmission. If the UE supports this feature, the UE needs to report configuredUL-GrantType1 or configuredUL-GrantType1-v1650 and/or configuredUL-GrantType2 or configuredUL-GrantType2-v1650.",Band,No,N/A,N/A
"configuredGrantWithReTx-r16Indicates whether the UE supports configured grant with retransmission in configured grant resource, comprised of retransmission timer, DFI monitoring and CG-UCI in CG-PUSCH. If the UE supports this feature, the UE needs to report configuredUL-GrantType1 or configuredUL-GrantType1-v1650 and/or configuredUL-GrantType2 or configuredUL-GrantType2-v1650.",Band,No,N/A,N/A
ed-Threshold-r16Indicates whether the UE supports using ED threshold given by gNB for UL to DL COT sharing. A UE that supports this feature shall also support ul-DynamicChAccess-r16.,Band,No,N/A,N/A
ul-DL-COT-Sharing-r16Indicates whether the UE supports UL to DL COT sharing. A UE that supports this feature shall also support ul-DynamicChAccess-r16.,Band,No,N/A,N/A
"mux-CG-UCI-HARQ-ACK-r16Indicates whether the UE supports multiplexing CG-UCI with HARQ ACK. If the UE supports this feature, the UE needs to report configuredGrantWithReTx-r16.",Band,No,N/A,N/A
"cg-resourceConfig-r16Indicates whether the UE supports configuration of resources with cg-nrofSlots-r16 and cg-nrofPUSCH-InSlot-r16. If the UE supports this feature, the UE needs to report configuredUL-GrantType1 or configuredUL-GrantType1-v1650 and/or configuredUL-GrantType2 or configuredUL-GrantType2-v1650.",Band,No,N/A,N/A
"dl-ReceptionLBT-subsetRB-r16Indicates whether the UE supports reception in a wideband carrier when LBT is successful in a subset of the configured RB sets, which are either contiguous or non-contiguous, of the carrier.",Band,No,N/A,N/A
dl-ReceptionIntraCellGuardband-r16Indicates whether the UE supports reception in the non-zero intra-cell guardband between contiguous RB sets in DL wideband carrier operation wider than 20MHz when LBT is successful only in a subset of RB sets. A UE that indicates support of this capability shall also indicate support of dl-ReceptionLBT-subsetRB-r16.,Band,No,N/A,N/A
"ul-Semi-StaticChAccessDependentConfig-r17Indicates whether the UE supports initiating a semi-static channel occupancy with configurations dependent on gNB semi-static channel access configurations, comprised of the following functional components:-Support initiating a semi-static channel access occupancy by the UE where the corresponding period is the same as, integer multiple of, or inter-factor of the period configured for a semi-static channel occupancy that can be initiated by gNB;-Sensing to initiate a semi-static CO or transmit after a gap greater than 16us from any transmission burst within a UE-initiated CO;-Determination of COT initiator assumption based on rules for configured UL;-Validating COT initiator assumption indicated in UL scheduling DCI.A UE supporting this feature shall also indicate support of ul-Semi-StaticChAccess-r16.",Band,No,N/A,N/A
ul-Semi-StaticChAccessIndependentConfig-r17Indicates whether the UE supports initiating a semi-static channel access occupancy by the UE where the corresponding period is independently configured from the period configured for a semi-static channel occupancy that can be initiated by gNB. A UE supporting this feature shall also indicate support of ul-Semi-StaticChAccess-r16 and ul-Semi-StaticChAccessDependentConfig-r17.,Band,No,N/A,N/A
