Definitions for parameters,Per,M,FDD-TDDDIFF,FR1-FR2DIFF
dci-UL-PriorityIndicator-r16Indicates whether the UE supports the priority indicator field configured in DCI formats 0_1 and 0_2 in a BWP when configured to monitor both DCI formats 0_1 and 0_2 in the BWP. A UE supporting this feature shall also support ul-IntraUE-Mux-r16 and dci-Format1-2And0-2-r16.,UE,No,No,No
defaultSpatialRelationPathlossRS-r16Indicates the UE support of default spatial relation and pathloss reference RS for dedicated PUCCH/SRS and PUSCH. The UE indicating support of this also indicates the capabilities of supported SRS resources and maximum supported spatial relations for the supported FR2 bands using supportedSRS-Resources and maxNumberConfiguredSpatialRelations.,UE,No,No,FR2 only
"deltaPowerClassReporting-r18Indicates whether the UE supports ΔPPowerClass /ΔPPowerClass, CA/ΔPPowerClass, EN-DC/ΔPPowerClass, NR-DC reporting which is triggered upon uplink duty cycle exceedance or upon return to the power class after the duty cycle exceedance, as specified in TS 38.101-1 [2] and TS 38.101-3 [4].Value type1 indicates the UE can only report ∆PPowerClass for non-CA operation, value type2 indicates the UE can report ∆PPowerClass for non-CA operation, and the UE can also report ∆PPowerClass/ ΔPPowerClass,CA/∆PPowerClass,EN-DC/∆PPowerClass,NR-DC for CA operation.",UE,No,No,FR1 only
dl-64QAM-MCS-TableAltIndicates whether the UE supports the alternative 64QAM MCS table for PDSCH.,UE,No,No,Yes
dl-SchedulingOffset-PDSCH-TypeAIndicates whether the UE supports DL scheduling slot offset (K0) greater than 0 for PDSCH mapping type A.,UE,Yes,Yes,Yes
dl-SchedulingOffset-PDSCH-TypeBIndicates whether the UE supports DL scheduling slot offset (K0) greater than 0 for PDSCH mapping type B.,UE,Yes,Yes,Yes
"downlinkSPSIndicates whether the UE supports PDSCH reception based on semi-persistent scheduling. One SPS configuration is supported per cell group. This applies only to non-shared spectrum channel access. For shared spectrum channel access, downlinkSPS-r16 applies.",UE,No,No,No
dynamicBetaOffsetInd-HARQ-ACK-CSIIndicates whether the UE supports indicating beta-offset (UCI repetition factor onto PUSCH) for HARQ-ACK and/or CSI via DCI among the RRC configured beta-offsets.,UE,No,No,No
dynamicHARQ-ACK-CodebookIndicates whether the UE supports HARQ-ACK codebook dynamically constructed by DCI(s). This field shall be set to supported.,UE,Yes,No,No
dynamicHARQ-ACK-CodeB-CBG-Retx-DLIndicates whether the UE supports HARQ-ACK codebook size for CBG-based (re)transmission based on the DAI-based solution as specified in TS 38.213 [11].,UE,No,No,No
"dynamicIndicationSchedulingRestriction-r18Indicates whether the UE supports dynamic indication of applicable minimum scheduling restriction by DCI format 0_3 and 1_3, minimum scheduling offset K0 configuration for PDSCH and aperiodic CSI-RS triggering offset, minimum scheduling offset K2 configuration for PUSCH and extended value range for aperiodic CSI-RS triggering offset.A UE supporting this feature shall also indicate support of at least one of multiCell-PDSCH-DCI-1-3-SameSCS-r18, multiCell-PDSCH-DCI-1-3-DiffSCS-r18, multiCell-PUSCH-DCI-0-3-SameSCS-r18 and multiCell-PUSCH-DCI-0-3-DiffSCS-r18.",UE,No,No,No
"dynamicIndicationSchedulingRestrictionDiff-r19Indicates whether the UE supports dynamic indication of applicable minimum scheduling restriction by DCI format 0_3 and 1_3, minimum scheduling offset K0 configuration for PDSCH and aperiodic CSI-RS triggering offset, minimum scheduling offset K2 configuration for PUSCH and extended value range for aperiodic CSI-RS triggering offset with different SCS and/or different carrier type.A UE supporting this feature shall also indicate support of at least one of multiCell-PDSCH-DCI-1-3-DiffSCS-DiffCC-r19 and multiCell-PUSCH-DCI-0-3-DiffSCS-DiffCC-r19.",UE,No,No,No
dynamicPRB-BundlingDLIndicates whether UE supports DCI-based indication of the PRG size for PDSCH reception.,UE,No,No,No
"dynamicSFIIndicates whether the UE supports monitoring for DCI format 2_0 and determination of slot formats via DCI format 2_0. This applies only to non-shared spectrum channel access. For shared spectrum channel access, dynamicSFI-r16 applies.This capability is not applicable to NCR-MT.",UE,No,Yes,Yes
dynamicSwitchRA-Type0-1-PDSCHIndicates whether the UE supports dynamic switching between resource allocation Types 0 and 1 for PDSCH as specified in TS 38.212 [10].,UE,No,No,No
dynamicSwitchRA-Type0-1-PUSCHIndicates whether the UE supports dynamic switching between resource allocation Types 0 and 1 for PUSCH as specified in TS 38.212 [10].,UE,No,No,No
"enhancedPowerControl-r16For DG-PUSCH, one bit (separately from SRI) in UL grant is used to indicate the P0 value if SRI is present in the UL grant, and 1 or 2 bits is used to indicate the P0 value if SRI is not present in the UL grant.",UE,No,No,Yes
extendedCG-Periodicities-r16Indicates that the UE supports extended periodicities for CG Type 1 (if the UE indicates configuredUL-GrantType1 or configuredUL-GrantType1-v1650 capability) or CG Type 2 (if the UE indicates configuredUL-GrantType2 or configuredUL-GrantType2-v1650 capability) as specified by periodicityExt-r16 field of IE ConfiguredGrantConfig in TS 38.331 [9].,UE,No,No,No
extendedSPS-Periodicities-r16Indicates that the UE supports extended periodicities for downlink SPS as specified by periodicityExt-r16 field of IE SPS-Config in TS 38.331 [9].,UE,No,No,No
fdd-PCellUL-TX-AllUL-Subframe-r16Indicates whether the UE configured with tdm-patternConfig-r16 can be semi-statically configured with LTE UL transmissions in all UL subframes not limited to the reference tdm-pattern (only for type 1 UE) in case of LTE FDD PCell. UE indicating support can configure its LTE FDD PCell with this feature on the band combination which indicates support of either tdm-restrictionFDD-endc-r16or tdm-restrictionDualTX-FDD-endc-r16.,UE,No,FDD only,FR1 only
"fdra-Type-1-Gty-2-4-8-16-RBs-RIV-DCI-1-3-And-0-3-r18Indicates whether the UE supports FDRA Type 1 granularity of 2, 4, 8, or 16 consecutive RBs based RIV for DCI format 0_3 and FDRA Type 1 granularity of 2, 4, 8, or 16 consecutive RBs based RIV for DCI format 1_3.A UE supporting this feature shall also indicate support of at least one of multiCell-PDSCH-DCI-1-3-SameSCS-r18, multiCell-PDSCH-DCI-1-3-DiffSCS-r18, multiCell-PUSCH-DCI-0-3-SameSCS-r18 or multiCell-PUSCH-DCI-0-3-DiffSCS-r18.",UE,No,No,No
"fdra-Type-1-Gty-2-4-8-16-RBs-RIV-DCI-1-3-And-0-3-Diff-r19Indicates whether the UE supports FDRA Type 1 granularity of 2, 4, 8, or 16 consecutive RBs based RIV for DCI format 0_3 and FDRA Type 1 granularity of 2, 4, 8, or 16 consecutive RBs based RIV for DCI format 1_3 with different SCS and/or different carrier type.A UE supporting this feature shall also indicate support of at least one of multiCell-PDSCH-DCI-1-3-DiffSCS-DiffCC-r19 and multiCell-PUSCH-DCI-0-3-DiffSCS-DiffCC-r19.",UE,No,No,No
"harqACK-CB-SpatialBundlingPUCCH-Group-r16Indicates whether the UE supports HARQ-ACK codebook type and HARQ-ACK spatial bundling configuration per PUCCH group as specified in TS 38.213 [11]. If the UE indicates support of this, it also supports two NR PUCCH groups with same numerology by setting twoPUCCH-Group to supported.",UE,No,No,No
harqACK-separateMultiDCI-MultiTRP-r16Indicates whether the UE support of separate HARQ-ACK. The capability signalling of this feature includes the following:-maxNumberLongPUCCHs-r16 indicates maximum number of long PUCCHs within a slot for separate HARQ-AckThe UE that indicates support of this feature shall support multiDCI-MultiTRP-r16.,UE,No,No,No
harqACK-jointMultiDCI-MultiTRP-r16Indicates whether the UE support of joint HARQ-ACK. The UE that indicates support of this feature shall support multiDCI-MultiTRP-r16.,UE,No,No,No
k1-RangeExtensionATG-r18Indicates whether the UE supports extended K1 value range of (0..31) for unpaired spectrum. The UE indicating support of this feature shall also indicate support of airToGroundNetwork-r18.NOTE:This capability is applicable only for bands defined in Clause 5.2J in TS 38.101-1 [2].,UE,No,TDD only,FR1 only
"pucch-F0-2WithoutFHIndicates whether the UE supports transmission of a PUCCH format 0 or 2 without frequency hopping. When included, the UE does not support PUCCH formats 0 and 2 without frequency hopping. When not included, the UE supports the PUCCH formats 0 and 2 without frequency hopping.",UE,Yes,No,Yes
"pucch-F1-3-4WithoutFHIndicates whether the UE supports transmission of a PUCCH format 1, 3 or 4 without frequency hopping. When included, the UE does not support PUCCH formats 1, 3 and 4 without frequency hopping. When not included, the UE supports the PUCCH formats 1, 3 and 4 without frequency hopping.",UE,Yes,No,Yes
interleavingVRB-ToPRB-PDSCHIndicates whether the UE supports receiving PDSCH with interleaved VRB-to-PRB mapping as specified in TS 38.211 [6].,UE,Yes,No,No
interSlotFreqHopping-PUSCHIndicates whether the UE supports inter-slot frequency hopping for PUSCH transmissions.,UE,No,No,No
"intraSlotFreqHopping-PUSCHIndicates whether the UE supports intra-slot frequency hopping for PUSCH transmission, except for PUSCH scheduled by PDCCH in the Type1-PDCCH common search space before RRC connection establishment.",UE,Yes,No,Yes
"jointPowerSpatialAdaptation-r18Indicates whether the UE supports joint operation of power domain and spatial domain adaptation.A UE supporting this feature shall also indicate one of the following capabilities:{spatialAdaptation-CSI-Feedback-r18 and powerAdaptation-CSI-Feedback-r18}, or {spatialAdaptation-CSI-FeedbackPUSCH-r18 and powerAdaptation-CSI-FeedbackPUSCH-r18}, or {spatialAdaptation-CSI-FeedbackPUCCH-r18 and powerAdaptation-CSI-FeedbackPUCCH-r18}, or {spatialAdaptation-CSI-FeedbackAperiodic-r18 and powerAdaptation-CSI-FeedbackAperiodic-r18}.",UE,No,No,No
"maxHARQ-ProcessNumberATG-r18Indicates the maximal supported HARQ process numbers for UL and for DL respectively. For each value of maxHARQ-ProcessNumberATG-r18, value u16d32 indicates the maximal supported HARQ process number is 16 for UL and 32 for DL, value u32d16 indicates the maximal supported HARQ process number is 32 for UL and 16 for DL, value u32d32 indicates the maximal supported HARQ process number is 32 for UL and 32 for DL. The UE indicating support of this feature shall also indicate support of airToGroundNetwork-r18.NOTE:This capability is applicable only for bands defined in Clause 5.2J in TS 38.101-1 [2].",UE,No,No,FR1 only
"maxLayersMIMO-Adaptation-r16Indicates whether the UE supports the network configuration of maxMIMO-Layers per DL BWP. If the UE supports this feature, the UE needs to report maxLayersMIMO-Indication.",UE,No,No,Yes
maxLayersMIMO-IndicationIndicates whether the UE supports the network configuration of maxMIMO-Layers as specified in TS 38.331 [9].,UE,Yes,No,No
maxNumberPathlossRS-update-r16Indicates the maximum number of configured pathloss reference RSs for PUSCH/PUCCH/SRS by RRC that the UE can support for MAC-CE based pathloss reference RS update.,UE,No,No,No
maxNumberSearchSpacesIndicates whether the UE supports up to 10 search spaces in an SCell per BWP.,UE,No,No,No
"maxNumberSRS-PosPathLossEstimateAllServingCells-r16Indicates the maximum number of pathloss estimates that the UE can simultaneously maintain for all the SRS resource sets for positioning across all cells in addition to the up to four pathloss estimates that the UE maintains per serving cell for the PUSCH/PUCCH/SRS transmissions. The UE shall include this field if the UE supports any of olpc-SRS-PosBasedOnPRS-Serving-r16, olpc-SRS-PosBasedOnSSB-Neigh-r16 and olpc-SRS-PosBasedOnPRS-Neigh-r16. Otherwise, the UE does not include this field;",UE,No,No,No
"maxNumberSRS-PosSpatialRelationsAllServingCells-r16Indicates the maximum number of maintained spatial relations for all the SRS resource sets for positioning across all serving cells in addition to the spatial relations maintained spatial relations per serving cell for the PUSCH/PUCCH/SRS transmissions. It is only applied for FR2. The UE can include this field only if the UE supports any of spatialRelation-SRS-PosBasedOnSSB-Serving-r16, spatialRelation-SRS-PosBasedOnCSI-RS-Serving-r16, spatialRelation-SRS-PosBasedOnPRS-Serving-r16, spatialRelation-SRS-PosBasedOnSSB-Neigh-r16 or spatialRelation-SRS-PosBasedOnPRS-Neigh-r16. Otherwise, the UE does not include this field;",UE,No,No,FR2 only
"maxTotalResourcesForAcrossFreqRanges-r16Indicates the maximum total number of SSB/CSI-RS/CSI-IM resources for beam management, pathloss measurement, BFD, RLM and new beam identification across frequency ranges (both FR1 and FR2) that the UE supports.The capability signalling includes the following:-maxNumberResWithinSlotAcrossCC-AcrossFR-r16 indicates maximum total number of SSB/CSI-RS/CSI-IM resources configured to measure within a slot across all CCs across all frequency ranges for any of L1-RSRP measurement, L1-SINR measurement, pathloss measurement, BFD, RLM and new beam identification.-maxNumberResAcrossCC-AcrossFR-r16 indicates maximum total number of SSB/CSI-RS/CSI-IM resources configured across all CCs across all frequency ranges for any of L1-RSRP measurement, L1-SINR measurement, pathloss measurement, BFD, RLM and new beam identification.gNB takes into conjunction of this feature and the features maxTotalResourcesForOneFreqRange-r16, beamManagementSSB-CSI-RS, maxNumberCSI-RS-BFD, maxNumberSSB-BFD and maxNumberCSI-RS-SSB-CBD when configuring SSB/CSI-RS/CSI-IM resources for beam management, pathloss measurement, BFD, RLM and new beam identification across frequency ranges. The signalled values apply to the shortest slot duration defined in any FR(s) that are supported by the UE.NOTE 1:The ""configured to measure"" RS is counted within the duration of a reference slot in which the corresponding reference signals are transmitted.NOTE 2:Regarding the ""configured to measure"" RS counting-(basic usage 1): If one resource is used for one or multiple of BFD/RLM, it is counted as one.-(basic usage 2): If one resource is used for one or multiple of New Beam Identification/PL-RS/L1-RSRP, add 1.-L1-RSRP measurement includes cases associated with reports with reportQuantity set to 'ssb-Index-RSRP', 'cri-RSRP' or with reportQuantity set to 'none' and CSI-RS-ResourceSet with trs-Info not configured.-If one resource is used for L1-SINR in addition to basic usage 1 & 2, add N if referred N times by one or more CSI Reporting settings with reportQuantity-r16 = 'ssb-Index-SINR-r16' or 'cri-SINR-r16'.",UE,No,No,No
"maxTotalResourcesForOneFreqRange-r16Indicates the maximum total number of SSB/CSI-RS/CSI-IM resources for beam management, pathloss measurement, BFD, RLM and new beam identification for one frequency range that the UE supports.The capability signalling includes the following:-maxNumberResWithinSlotAcrossCC-OneFR-r16 indicates maximum total number of SSB/CSI-RS/CSI-IM resources configured to measure within a slot across all CCs in one frequency range for any of L1-RSRP measurement, L1-SINR measurement, pathloss measurement, BFD, RLM and new beam identification-maxNumberResAcrossCC-OneFR-r16 indicates maximum total number of SSB/CSI-RS/CSI-IM resources configured across all CCs in one frequency range for any of L1-RSRP measurement, L1-SINR measurement, pathloss measurement, BFD, RLM and new beam identification.gNB takes into conjunction of this feature and the features beamManagementSSB-CSI-RS, maxNumberCSI-RS-BFD, maxNumberSSB-BFD and maxNumberCSI-RS-SSB-CBD when configuring SSB/CSI-RS/CSI-IM resources for beam management, pathloss measurement, BFD, RLM and new beam identification across one frequency range.NOTE 1:The reference slot duration is the shortest slot duration defined for the reported FR supported by the UE.NOTE 2:For RS configured for new beam identification, they are always counted regardless of beam failure event.NOTE 3:The maxNumberResWithinSlotAcrossCC-AcrossFR-r16 only counts those in active BWP but the maxNumberResAcrossCC-AcrossFR-r16 counts all configured including both active and inactive BWP.NOTE 4:The ""configured to measure"" RS is counted within the duration of a reference slot in which the corresponding reference signals are transmitted.NOTE 5:Regarding the ""configured to measure"" RS counting-(basic usage 1): If one resource is used for one or multiple of BFD/RLM, it is counted as one.-(basic usage 2): If one resource is used for one or multiple of New Beam Identification/PL-RS/L1-RSRP, add 1.-L1-RSRP measurement includes cases associated with reports with reportQuantity set to 'ssb-Index-RSRP', 'cri-RSRP' or with reportQuantity set to 'none' and CSI-RS-ResourceSet with trs-Info not configured.-If one resource is used for L1-SINR in addition to basic usage 1 & 2, add N if referred N times by one or more CSI Reporting settings with reportQuantity-r16 = 'ssb-Index-SINR-r16' or 'cri-SINR-r16'.",UE,No,No,Yes
"monitoringDCI-SameSearchSpace-r16Indicates whether the UE supports monitoring both DCI format 0_1/1_1 and DCI format 0_2/1_2 in the same search space. If the UE supports this feature, the UE needs to report dci-Format1-2And0-2-r16.",UE,No,No,No
mTRP-PDCCH-singleSpan-r17Indicates the support of PDCCH repetition for PDCCH monitoring with a single span of three contiguous OFDM symbols that is within the first four OFDM symbols in a slot. It is applicable to 15kHz SCS only.The UE indicating support of this feature shall also indicate support of pdcch-MonitoringSingleSpanFirst4Sym-r16 and mTRP-PDCCH-Repetition-r17.,UE,No,No,FR1 only
multiPDSCH-PerSlotType1-CB-Support-r17Indicates whether the UE supports RRC configuration multiPDSCH-PerSlotType1-CB-r17 as specified in TS 38.331 [9].,UE,No,No,No
"multipleCORESETIndicates whether the UE supports configuration of up to two PDCCH CORESETs per BWP in addition to the CORESET with CORESET-ID 0 in the BWP. If this is not supported, the UE supports one PDCCH CORESET per BWP in addition to the CORESET with CORESET-ID 0 in the BWP. It is mandatory with capability signalling for FR2 and optional for FR1.",UE,CY,No,Yes
"multipleCORESET-RedCap-r17Indicates whether the (e)RedCap UE supports configuration of up to three PDCCH CORESETs in the RedCap specific initial DL BWP when it does not contain CD-SSB and CORESET#0. If this is not supported, the field description of multipleCORESET applies to the RedCap-specific initial BWP. The (e)RedCap UE reporting this capability shall also report multipleCORESET.",UE,No,No,Yes
multiPUSCH-DCI-0-1-r18Indicates whether the UE supports multi-PUSCHs type 2 configured grant release by DCI format 0_1.A UE supporting this feature shall indicate support of configuredUL-GrantType2.A UE supporting this feature and dci-Format1-2And0-2-r16 (DCI format 0_2/1_2) shall also support type2-CG-ReleaseDCI-0-2-r16 (Type 2 configured grant release by DCI format 0_2).,UE,No,No,No
multiPUSCH-DCI-0-2-r18Indicates whether the UE supports multi-PUSCHs type 2 configured grant release by DCI format 0_2.A UE supporting this feature shall indicate support of configuredUL-GrantType2 and type2-CG-ReleaseDCI-0-1-r16.,UE,No,No,No
"multiRxPreferenceIndication-r18Indicates whether the UE supports providing multi-Rx operation preference for FR2, as defined in TS 38.331 [9].NOTE:It is only supported for power class 3.",UE,No,TDD only,FR2-1 only
"mux-HARQ-ACK-PUSCH-DiffSymbolIndicates whether the UE supports HARQ-ACK piggyback on a PUSCH with/without aperiodic CSI once per slot when the starting OFDM symbol of the PUSCH is different from the starting OFDM symbols of the PUCCH resource that HARQ-ACK would have been transmitted on. This applies only to non-shared spectrum channel access. For shared spectrum channel access, mux-HARQ-ACK-PUSCH-DiffSymbol-r16 applies.",UE,Yes,No,Yes
"mux-HARQ-ACK-withoutPUCCH-onPUSCH-r16Indicates that the UE is implemented according to the definition in TS 38.213 [11] for multiplexing HARQ-ACK in a PUSCH in a PUCCH slot when the UE has no HARQ-ACK for any DL activity to transmit, but it receives UL grant(s) with UL-TDAI field indicating HARQ-ACK multiplexing on a PUSCH, and it transmits multiple PUSCHs in the PUCCH slot. In this release of the specification, the UE shall include this field.",UE,Yes,No,No
