Type of coexistence BS,Frequency range for co-location requirement,Maximum Level,Measurement Bandwidth,Note
,1447.9 - 1462.9 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 21 or 74, since it is already covered by the requirement in clause 6.6.4.2. This requirement does not apply to Home BS operating in band 32, 50 or 75."
UTRA FDD Band XII orE-UTRA Band 12,699 - 716 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 12 or 85, since it is already covered by the requirement in clause 6.6.4.2. For Home BS operating in Band 29, it applies 1 MHz below the Band 29 downlink operating band (Note 5)"
UTRA FDD Band XIII orE-UTRA Band 13,777 - 787 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 13, since it is already covered by the requirement in clause 6.6.4.2."
UTRA FDD Band XIV orE-UTRA Band 14,788 - 798 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 14, since it is already covered by the requirement in clause 6.6.4.2."
E-UTRA Band 17,704 - 716 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 17, since it is already covered by the requirement in clause 6.6.4.2. For Home BS operating in Band 29, it applies 1 MHz below the Band 29 downlink operating band (Note 5)"
UTRA FDD Band XX or E-UTRA Band 20,832 - 862 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 20, since it is already covered by the requirement in clause 6.6.4.2."
UTRA FDD Band XXII orE-UTRA Band 22,3410 - 3490 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 22, since it is already covered by the requirement in clause 6.6.4.2. This requirement does not apply to Home BS operating in Band 42"
E-UTRA Band 24,1626.5 – 1660.5 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 24, since it is already covered by the requirement in clause 6.6.4.2."
UTRA FDD Band XXV orE-UTRA Band 25,1850 - 1915 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 25, since it is already covered by the requirement in clause 6.6.4.2"
UTRA FDD Band XXVI orE-UTRA Band 26,814 - 849 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 26, since it is already covered by the requirement in clause 6.6.4.2. For Home BS operating in Band 5, it applies for 814 MHz to 824 MHz, while the rest is covered in clause 6.6.4.2.  For EUTRA BS operating in Band 27, it applies 3 MHz below the Band 27 downlink operating band."
E-UTRA Band 27,807 - 824 MHz,-71 dBm,100 kHz,"This requirement does not apply to E-UTRA BS operating in Band 27, since it is already covered by the requirement in clause 6.6.4.2.  For E-UTRA BS operating in Band 26, it applies for 807 MHz to 814 MHz, while the rest is covered in clause 6.6.4.2.  This requirement also applies to E-UTRA BS operating in Band 28, starting 4 MHz above the Band 28 downlink operating band (Note 4)."
E-UTRA Band 28,703 – 748 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 28, since it is already covered by the requirement in clause 6.6.4.2. This requirement does not apply to Home BS operating in Band 44.For E-UTRA BS operating in Band 67, it applies for 703 MHz to 736 MHz. For E-UTRA BS operating in Band 68, it applies for 728MHz to 733MHz."
E-UTRA Band 30,2305 – 2315 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 30, since it is already covered by the requirement in clause 6.6.4.2. This requirement does not apply to Home BS operating in Band 40."
UTRA TDD Band a) or E-UTRA Band 33,1900 - 1920 MHz,-71 dBm,100 kHz,This requirement does not apply to Home BS operating in Band 33
UTRA TDD Band a) or E-UTRA Band 34,2010 - 2025 MHz,-71 dBm,100 kHz,This requirement does not apply to Home BS operating in Band 34
UTRA TDD Band b) or E-UTRA Band 35,1850 – 1910 MHz,-71 dBm,100 kHz,This requirement does not apply to Home BS operating in Band 35
UTRA TDD Band b) or E-UTRA Band 36,1930 - 1990 MHz,-71 dBm,100 kHz,This requirement does not apply to Home BS operating in Band 2 and 36
UTRA TDD Band c) or E-UTRA Band 37,1910 - 1930 MHz,-71 dBm,100 kHz,"This is not applicable to Home BS operating in Band 37. This unpaired band is defined in ITU-R M.1036, but is pending any future deployment."
UTRA TDD Band d) or E-UTRA Band 38,2570 - 2620 MHz,-71 dBm,100 kHz,This requirement does not apply to Home BS operating in Band 38.
UTRA TDD Band f) or E-UTRA Band 39,1880 - 1920MHz,-71 dBm,100 kHz,This is not applicable to Home BS operating in Band 39
UTRA TDD Band e) or E-UTRA Band 40,2300 - 2400MHz,-71 dBm,100 kHz,This is not applicable to Home BS operating in Band 30 or 40
E-UTRA Band 41,2496 – 2690 MHz,-71 dBm,100 kHz,This is not applicable to Home BS operating in Band 41
E-UTRA Band 42,3400 - 3600 MHz,-71 dBm,100 kHz,"This is not applicable to Home BS operating in Band 22, 42, 43, 48 or 52."
E-UTRA Band 43,3600 - 3800 MHz,-71 dBm,100 kHz,"This is not applicable to Home BS operating in Band 42, 43 or 48."
E-UTRA Band 44,703 - 803 MHz,-71 dBm,100 kHz,This is not applicable to Home BS operating in Band 28 or 44
E-UTRA Band 48,3550 - 3700 MHz,-71 dBm,100 kHz,"This is not applicable to Home BS operating in Band 22, 42, 43 or 48."
E-UTRA Band 50,1432 - 1517 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in Band 11, 21, 32, 50, 51, 74, 75 or 76."
E-UTRA Band 51,1427 - 1432 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in Band 50, 51, 75 or 76."
E-UTRA Band 52,3300 - 3400 MHz,-71 dBm,100 kHz,This is not applicable to Home BS operating in Band 42 or 52.
E-UTRA Band 54,1670 - 1675 MHz,-71 dBm,100 kHz,This is not applicable to Home BS operating in Band 54.
E-UTRA Band 65,1920 - 2010 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 65, since it is already covered by the requirement in clause 6.6.4.2.For Home BS operating in Band 1, it applies for 1980 MHz to 2010 MHz, while the rest is covered in clause 6.6.4.2."
E-UTRA Band 66,1710 - 1780 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 66, since it is already covered by the requirement in clause 6.6.4.2. For Home BS operating in Band 4, it applies for 1755 MHz to 1780 MHz, while the rest is covered in clause 6.6.4.2. For Home BS operating in Band 10, it applies for 1770 MHz to 1780 MHz, while the rest is covered in clause 6.6.4.2."
E-UTRA Band 68,698-728 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 68, since it is already covered by the requirement in clause 6.6.4.2. For Home BS operating in Band 28, it applies between 698 MHz and 703 MHz, while the rest is covered in clause 6.6.4.2."
E-UTRA Band 70,1695 - 1710 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 70, since it is already covered by the requirement in clause 6.6.4.2."
E-UTRA Band 71,663 – 698 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 71, since it is already covered by the requirement in clause 6.6.4.2."
E-UTRA Band 74,1427 – 1470 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in Band 74, since it is already covered by the requirement in clause 6.6.4.2. This requirement does not apply to BS operating in band 32, 50, 51, 75 or 76."
E-UTRA Band 85,698 - 716 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 85, since it is already covered by the requirement in clause 6.6.4.2. For Home BS operating in Band 29, it applies 1 MHz below the Band 29 downlink operating band (Note 5)."
E-UTRA Band 103,787 –788 MHz,-71 dBm,100 kHz,"This requirement does not apply to Home BS operating in band 103, since it is already covered by the requirement in clause 6.6.4.2."
