UE DL Category,UE UL Category,UE categories,Maximum UE channel bandwidth [MHz]
DL Category 20,UL Category 3,"Category 11, 9, 6, 4DL Category 16 and UL Category 3DL Category 19 and UL Category 3",
DL Category 20,UL Category 5,"Category 11, 9, 6, 4DL Category 16, 11 and UL Category 5DL Category 19 and UL Category 5",
DL Category 20,UL Category 7,"Category 12, 10, 7, 4DL Category 16 and UL Category 7DL Category 19 and UL Category 7",
DL Category 20,UL Category 13,"Category 12, 10, 7, 4DL Category 16, 12 and UL Category 13DL Category 19 and UL Category 13",
DL Category 20,UL Category 15,"Category 12, 10, 7, 4DL Category 16,12 and UL Category 13DL Category 19 and UL Category 13DL Category 19 and UL Category 15",
DL Category 20,UL Category 16,"Category 11, 9, 6, 4DL Category 11 and UL Category 5DL Category 16 and UL Category 5DL Category 19 and UL Category 5DL Category 19 and UL Category 16",
DL Category 20,UL Category 18,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 16 and UL Category 13DL Category 19 and UL Category 13DL Category 19 and UL Category 18",
DL Category 20,UL Category 20,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 16 and UL Category 13DL Category 19 and UL Category 15DL Category 19 and UL Category 20",
DL Category 20,UL Category 21,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 16 and UL Category 13DL Category 19 and UL Category 15DL Category 19 and UL Category 21",
DL Category 21,UL Category 3,"Category 11, 9, 6, 4DL Category 16 and UL Category 3DL Category 18 and UL Category 3",
DL Category 21,UL Category 5,"Category 11, 9, 6, 4DL Category 16, 11 and UL Category 5DL Category 18 and UL Category 5",
DL Category 21,UL Category 7,"Category 12, 10, 7, 4DL Category 16 and UL Category 7DL Category 18 and UL Category 7",
DL Category 21,UL Category 13,"Category 12, 10, 7, 4DL Category 16, 12 and UL Category 13DL Category 18 and UL Category 13",
DL Category 21,UL Category 15,"Category 12, 10, 7, 4DL Category 16,12 and UL Category 13DL Category 18 and UL Category 13DL Category 18 and UL Category 15",
DL Category 21,UL Category 16,"Category 11, 9, 6, 4DL Category 11 and UL Category 5DL Category 16 and UL Category 5DL Category 18 and UL Category 5DL Category 18 and UL Category 16",
DL Category 21,UL Category 18,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 16 and UL Category 13DL Category 18 and UL Category 13DL Category 18 and UL Category 18",
DL Category 21,UL Category 20,"Category 12, 10, 7, 4DL Category 12 and UL Category 13DL Category 16 and UL Category 13DL Category 18 and UL Category 15DL Category 18 and UL Category 20",
DL Category 22,UL Category 20,DL Category 20 and UL Category 20 (NOTE3),
DL Category 22,UL Category 22,DL Category 20 and UL Category 20 (NOTE3),
DL Category 22,UL Category 22,DL Category 20 and UL Category 20 (NOTE3),
DL Category 22,UL Category 23,DL Category 20 and UL Category 20 (NOTE3),
DL Category 22,UL Category 24,DL Category 20 and UL Category 20 (NOTE3),
DL Category 22,UL Category 25,DL Category 20 and UL Category 20 (NOTE3),
DL Category 22,UL Category 26,DL Category 20 and UL Category 20 (NOTE3),
DL Category 23,UL Category 20,DL Category 20 and UL Category 20 (NOTE3),
DL Category 23,UL Category 22,DL Category 20 and UL Category 20 (NOTE3),
DL Category 23,UL Category 23,DL Category 20 and UL Category 20 (NOTE3),
DL Category 23,UL Category 24,DL Category 20 and UL Category 20 (NOTE3),
DL Category 23,UL Category 25,DL Category 20 and UL Category 20 (NOTE3),
DL Category 23,UL Category 26,DL Category 20 and UL Category 20 (NOTE3),
DL Category 24,UL Category 20,DL Category 20 and UL Category 20 (NOTE3),
DL Category 24,UL Category 22,DL Category 20 and UL Category 20 (NOTE3),
DL Category 24,UL Category 23,DL Category 20 and UL Category 20 (NOTE3),
DL Category 24,UL Category 24,DL Category 20 and UL Category 20 (NOTE3),
DL Category 24,UL Category 25,DL Category 20 and UL Category 20 (NOTE3),
DL Category 24,UL Category 26,DL Category 20 and UL Category 20 (NOTE3),
DL Category 25,UL Category 20,DL Category 20 and UL Category 20 (NOTE3),
DL Category 25,UL Category 22,DL Category 20 and UL Category 20 (NOTE3),
DL Category 25,UL Category 23,DL Category 20 and UL Category 20 (NOTE3),
DL Category 25,UL Category 24,DL Category 20 and UL Category 20 (NOTE3),
DL Category 25,UL Category 25,DL Category 20 and UL Category 20 (NOTE3),
DL Category 25,UL Category 26,DL Category 20 and UL Category 20 (NOTE3),
DL Category 26,UL Category 20,DL Category 20 and UL Category 20 (NOTE3),
DL Category 26,UL Category 22,DL Category 20 and UL Category 20 (NOTE3),
DL Category 26,UL Category 23,DL Category 20 and UL Category 20 (NOTE3),
DL Category 26,UL Category 24,DL Category 20 and UL Category 20 (NOTE3),
DL Category 26,UL Category 25,DL Category 20 and UL Category 20 (NOTE3),
DL Category 26,UL Category 26,DL Category 20 and UL Category 20 (NOTE3),
"NOTE 1:The UE indicating DL category 1bis is only required to support 1Rx antenna even though the UE indicates UE category 1 for legacy compatibility.NOTE 2:Void.NOTE 3:The UE indicating DL Category 20 and UL Category 20 also indicates Category 12, 10, 7, 4, DL Category 12 and UL Category 13, DL Category 16 and UL Category 13, DL Category 19 and UL Category 15, DL Category 19 and UL Category 20.",,,
