Change history,,,,,,,
Date,TSG #,TSG Doc.,CR,Rev,Cat,Subject/Comment,New version
,RP-67,RP-150373,0259,-,,Clarification of TDD DC capability,12.4.0
,RP-67,RP-150373,0258,-,,Extended number of measurement identities capability,12.4.0
,RP-67,RP-150373,0253,-,,Introduction of total L2 buffer sizes for UEs supporting split bearersNOTE: Modifications on L2 buffer sizes with support for split bearers for Cat 13-15 in Table 4.1-3 were moved to Table 4.1A-3 due to the clash with CR0261R1.,12.4.0
,RP-67,RP-150374,0267,-,,Introduction of ProSe,12.4.0
,RP-67,RP-150376,0266,1,,Change related to configuration of the priority for frequency bands in mFBI,12.4.0
,RP-67,RP-150379,0261,1,,Introduction of UL64QAM based on split of DL and UL categories,12.4.0
06/2015,RP-68,RP-150921,0269,-,,Dual Connectivity L2 buffer size for category combinations with UL64QAM,12.5.0
,RP-68,RP-150917,0272,1,,Corrections on MIMO capabilities,12.5.0
,RP-68,RP-150923,0277,-,,Clarification on UL 64QAM capability,12.5.0
,RP-68,RP-150917,0276,-,,UE support of CA fallback configurations,12.5.0
,RP-68,RP-150921,0283,1,,Corrections on requirements of sidelink reception in TS 36.306,12.5.0
,RP-68,RP-150951,0280,1,,Introduction of new DL UE categories 15&16,12.5.0
09/2015,RP-69,RP-151438,0287,-,,Remove support of additionalSpectrumEmissionPCell,12.6.0
,RP-69,RP-151442,0288,-,,Capturing PCell support for FDD-TDD CA,12.6.0
,RP-69,RP-151442,0292,-,,Clarification of the maximum number of bits of a single DL-SCH transport block for DL Category 16,12.6.0
,RP-69,RP-151442,0293,-,,Capturing mandatory/optional features of Rel-12 UEs,12.6.0
,RP-69,RP-151439,0298,-,,CR for IDC signalling enhancement for UL CA,12.6.0
,RP-69,RP-151441,0289,1,,Corrections on UE sidelink capabilities in TS 36.306,12.6.0
,RP-69,RP-151467,0290,2,,Additional MIMO/CSI capability for intra-band contiguous CA,12.6.0
,RP-69,RP-151597,0296,3,,Capability for 4-layer MIMO with TM3 and TM4,12.6.0
12/2015,RP-70,RP-152053,0309,-,,Definitions of sidelink terminologies in TS 36.306,12.7.0
,RP-70,RP-152055,0310,-,,Correction on categories in supportedBandCombination,12.7.0
,RP-70,RP-152048,0303,1,,Clarification on support of extended wait time,12.7.0
,RP-70,RP-152053,0312,1,,Clarification on tdd-FDD-CA-PCellDuplex,12.7.0
,RP-70,RP-152049,0299,2,,Alternative new maximum transport block sizes for DL 64QAM and 256QAM in TM9/10,12.7.0
,RP-70,RP-152048,0318,-,,Enabling multiple NS and P-Max operation per cell,12.7.0
,RP-70,RP-152055,0315,1,,Correction on capability rsrq-OnAllSymbols,12.7.0
,RP-70,RP-152053,0313,1,,Clarification on Pcell support,12.7.0
12/2015,RP-70,RP-152074,0301,1,,Introduction of DC enhancement,13.0.0
,RP-70,RP-152078,0319,-,,Introduction of Licensed-Assisted Access using LTE,13.0.0
,RP-70,RP-152075,0308,1,,Introduction of RS-SINR measurements,13.0.0
,RP-70,RP-152080,0304,1,,Introduction of SC-PTM,13.0.0
,RP-70,RP-152066,0314,-,,Introduction of Application specific Congestion control for Data Communication in LTE,13.0.0
,RP-70,RP-152084,0311,1,,White-list of cells for EUTRA measurement reporting,13.0.0
,RP-70,RP-152071,0305,2,,Introduction of CA enhancement,13.0.0
,RP-70,RP-152076,0322,-,,Introducing extended DRX,13.0.0
03/2016,RP-71,RP-160470,0323,1,,Capture the UE capability for the extension of the MeasObjectId to 64,13.1.0
,RP-71,RP-160470,0330,-,,Miscellaneous corrections to TS 36.306,13.1.0
,RP-71,RP-160460,0333,1,,MDT enhancements support,13.1.0
,RP-71,RP-160460,0334,1,,The introduction of UE capability concerning extended E-UTRA frequency priorities,13.1.0
,RP-71,RP-160459,0335,3,,Introduction of LWIP UE capabilities,13.1.0
,RP-71,RP-160457,0337,2,,Introducing LWA and RCLWI UE capabilities,13.1.0
,RP-71,RP-160460,0338,1,,Leftover UE capabilities for LAA,13.1.0
,RP-71,RP-160470,0339,1,,Minor corrections for CA enhancements,13.1.0
,RP-71,RP-160462,0341,1,,Reference errors for inter-RAT capabilities,13.1.0
,RP-71,RP-160453,0342,1,,UE capabilities for LC and CE,13.1.0
,RP-71,RP-160454,0343,2,,Introduction of eD2D Capability,13.1.0
,RP-71,RP-160464,0344,2,,Modification of network requested CA band combination retrieval for intra-band non-contiguous CA,13.1.0
,RP-71,RP-160467,0346,1,,Correction on capability phy-TDD-ReConfig-FDD(TDD)-Pcell,13.1.0
,RP-71,RP-160470,0347,1,,ANR in case of MFBI,13.1.0
,RP-71,RP-160455,0348,-,,36.306 CR on TM10 CRS-IM UE capability report signalling introduction,13.1.0
,RP-71,RP-160470,0349,-,,Introduction of capability on PDSCH collision handling,13.1.0
,RP-71,RP-160470,0350,1,,Corrections on SC-PTM,13.1.0
,RP-71,RP-160470,0351,-,,SC-PTM reception on non-Pcell,13.1.0
,RP-71,RP-160460,0352,1,,Additional Layer 1 capabilities for Rel-13 CA enhancements,13.1.0
06/2016,RP-72,RP-161080,1321,-,,Correction to WLAN measurement support for LWIP,13.2.0
,RP-72,RP-161080,1322,-,,Introducing EBF/FD-MIMO capabilities,13.2.0
,RP-72,RP-161080,1315,-,,Clarifications on LWA capability,13.2.0
,RP-72,RP-161080,1326,-,,MBMS reception via MBSFN or SC-PTM,13.2.0
,RP-72,RP-161080,1329,-,,Corrections on capability linking for measurement object extension,13.2.0
,RP-72,RP-161080,1327,2,,Capturing a new capability signalling format for Rel-13 CA enhancements,13.2.0
,RP-72,RP-161080,1330,-,,Correction on the value of maxmum channel bandwidth,13.2.0
,RP-72,RP-161080,1334,2,,UE capabilities for eMTC,13.2.0
,RP-72,RP-161080,1333,1,,UE Power Class in UE capability signaling,13.2.0
,RP-72,RP-161080,1314,2,,Miscellaneous corrections to TS 36.306,13.2.0
,RP-72,RP-161080,1323,1,,Clarification on eD2D capability,13.2.0
,RP-72,RP-161076,1317,-,,Clarification on maximum number of DL-SCH transport block bits for DL Category 15 and 16,13.2.0
,RP-72,RP-161076,1318,-,,UE capability of an additional Rx and Tx requirement for a CA band combination,13.2.0
,RP-72,RP-161081,1328,2,,Introduction of NB-IoT UE capabilities,13.2.0
,RP-72,RP-161076,1320,2,,Definition of a fallback band combination,13.2.0
09/2016,RP-73,RP-161761,1338,1,,Support of CAT 9/10 and CAT 13,13.3.0
,RP-73,RP-161760,1346,2,,Introduction of 1.2Gbps and 1.6Gbps UE categories in Rel-13,13.3.0
,RP-73,RP-161826,1347,2,,Continuous uplink transmission in eMTC,13.3.0
,RP-73,RP-161751,1350,1,,Indication of the maxLayersMIMO,13.3.0
,RP-73,RP-161759,1352,1,,Supporting new UE Rx – Tx time difference mapping table,13.3.0
,RP-73,RP-161761,1353,-,,Introducing UE capability of Rel 13 CCH IM,13.3.0
,RP-73,RP-161761,1354,-,,Introducing UE capability of CRS-IM for TM 1-9,13.3.0
09/2016,RP-73,RP-161745,1348,-,,Introduction of enhanced LAA for LTE,14.0.0
12/2016,RP-74,RP-162327,1361,1,,Capability for LWIP aggregation,14.1.0
,RP-74,RP-162327,1364,1,,Miscellaneous corrections to TS 36.306,14.1.0
,RP-74,RP-162318,1367,-,,Clarification on UE power class 2 indication,14.1.0
,RP-74,RP-162317,1369,1,,Correction on simultaneous transmission of PUCCH and PUSCH for B5C,14.1.0
,RP-74,RP-162321,1370,1,,Correction on simultaneous transmission of PUCCH and PUSCH for eLAA,14.1.0
,RP-74,RP-162327,1371,-,,Extension of PollByte,14.1.0
,RP-74,RP-162317,1373,-,,Definition of cch-InterfMitigation-MaxNumCCs,14.1.0
,RP-74,RP-162310,1377,-,,Clarification on UE category requirement,14.1.0
,RP-74,RP-162329,1383,1,,UE capabilities for Latency Reduction,14.1.0
,RP-74,RP-162314,1393,-,,Correction on channel bandwidth definition for NB-IoT,14.1.0
,RP-74,RP-162321,1397,-,,Introduction of capabilities for eLAA,14.1.0
,RP-74,RP-162555,1399,1,,Introduction of new UL UE category 15 for 225Mbps,14.1.0
03/2017,RP-75,RP-170630,1382,2,B,Introduction of mobility enhancement UE capabilities,14.2.0
,RP-75,RP-170639,1402,1,A,Introduction of 1Rx UE category,14.2.0
,RP-75,RP-170628,1403,1,B,Capability for extended reporting of WLAN measurements,14.2.0
,RP-75,RP-170668,1404,-,B,Introduction of a new special subframe configuration,14.2.0
,RP-75,RP-170637,1406,2,B,Introduction of UE capabilities for NB-IoT enhancements,14.2.0
,RP-75,RP-170636,1407,2,B,Introduction of UE capabilities for feMTC enhancements,14.2.0
,RP-75,RP-170657,1410,-,A,Support of multiple DRBs for S1-U data transfer,14.2.0
,RP-75,RP-170642,1416,1,B,Introduction of data inactivity timer,14.2.0
,RP-75,RP-170652,1419,1,A,IOT indication for unicast MPDCCH/PDSCH/PUSCH frequency hopping,14.2.0
,RP-75,RP-170638,1423,1,B,Introduction of Voice and Video enhancements for LTE,14.2.0
,RP-75,RP-170646,1424,1,B,Introduction of SRS switching capability,14.2.0
,RP-75,RP-170628,1425,1,B,Introduction of Enhanced LTE-WLAN Aggregation (eLWA),14.2.0
,RP-75,RP-170632,1426,2,B,Introduction of new UL UE categories for UL 256QAM support,14.2.0
,RP-75,RP-170634,1429,2,B,CR for introduction of measurement gap enhancement,14.2.0
,RP-75,RP-170642,1430,1,C,Functional modification of retrieving different UE capabilities for a fallback band combination,14.2.0
,RP-75,RP-170636,1431,-,B,FeMTC UE CE mode and maximum PDSCH/PUSCH BW preference indication,14.2.0
,RP-75,RP-170806,1434,1,A,Feature optionality for Cat.1bis UE,14.2.0
06/2017,RP-76,RP-171231,1437,1,F,Correction on UE capabilities for eLAA,14.3.0
,RP-76,RP-171225,1438,2,B,Introduction of new Transport Block Size for DL 256QAM,14.3.0
,RP-76,RP-171236,1439,4,F,UE capabilities for eLWA,14.3.0
,RP-76,RP-171248,1442,2,A,Entry-Level UE Support UL 64QAM,14.3.0
,RP-76,RP-171224,1443,2,F,Miscellaneous corrections to TS 36.306,14.3.0
,RP-76,RP-171222,1445,1,F,CR for introduction of non-uniform gap in measurement gap enhancement,14.3.0
,RP-76,RP-171247,1446,1,B,Introduction of a new UL UE category for 300Mbps with 64QAM,14.3.0
,RP-76,RP-171223,1448,2,F,Corrections to capabilities for feMTC,14.3.0
,RP-76,RP-171223,1452,1,C,CE mode configuration/deconfiguration without handover,14.3.0
,RP-76,RP-171241,1458,1,A,Optional feature without UE capability bit for VoLTE,14.3.0
,RP-76,RP-171243,1461,2,A,LAA/WiFi sharing indication,14.3.0
,RP-76,RP-171225,1462,1,F,Update of ROHC profile referenc,14.3.0
,RP-76,RP-171225,1463,-,B,UE Capabilitites to enable Uplink-Only RoHC operations,14.3.0
,RP-76,RP-171224,1464,-,F,Corrections to capabilities for NB-IoT,14.3.0
,RP-76,RP-171234,1465,-,F,UL 256QAM capability clarification,14.3.0
,RP-76,RP-171221,1470,-,B,Introduction of FeMBMS to 36.306,14.3.0
,RP-76,RP-171223,1475,-,F,Correction on the description of ce-srsEnhancement for FeMTC,14.3.0
,RP-76,RP-171223,1476,-,F,Minor correction on TS 36.306 for FeMTC,14.3.0
,RP-76,RP-171407,1478,2,B,Introduction of UE capability for V2X in 36.306,14.3.0
,RP-76,RP-171223,1479,2,B,Introduction of enhanced RLM measurement capabilities,14.3.0
,RP-76,RP-171229,1480,-,B,Introduction of UE capabilities for high speed,14.3.0
,RP-76,RP-171223,1483,-,F,Correction to ceMeasurements-r14 measurement capability,14.3.0
,RP-76,RP-171224,1484,-,B,Introduction of RRC connection re-establishment for NB-IoT control plane,14.3.0
09/2017,RP-77,RP-171919,1486,-,A,RoHC profile support for CIoT-only NB-IoT UE,14.4.0
,RP-77,RP-171914,1494,1,F,Correction on UE category combination,14.4.0
,RP-77,RP-171918,1498,2,A,Clarification on MBMS reception with 256QAM,14.4.0
,RP-77,RP-171913,1499,-,F,Cat-M1 indication by Cat-M2 UE,14.4.0
,RP-77,RP-171913,1500,-,F,Corrections on TS 36.306 for Rel-14 MTC,14.4.0
,RP-77,RP-171914,1501,2,F,Clarification on NCSG UE capability,14.4.0
,RP-77,RP-171915,1502,-,C,UE Capabilty for support of RLC UM for LWA bearer,14.4.0
,RP-77,RP-171913,1504,2,C,Introduction of Release Assistance Indication,14.4.0
,RP-77,RP-171920,1506,2,A,TM9 capabilities in CE mode,14.4.0
,RP-77,RP-171915,1507,1,F,Introduction of interference randomisation in NB-IoT,14.4.0
12/2017,RP-78,RP-172615,1490,5,B,Introduction of the temporary UE capability for overheating indication,14.5.0
,RP-78,RP-172721,1508,2,B,Introduction of DL 2Gbps Category,14.5.0
,RP-78,RP-172622,1511,2,A,UE capabilities for Tx antenna selection,14.5.0
,RP-78,RP-172616,1514,-,F,UE capability for support of SRS enhancements without support of comb 4,14.5.0
,RP-78,RP-172616,1518,1,B,Introduction of Enhanced CRS and SU-MIMO Interference Mitigation Performance Requirements for LTE,14.5.0
,RP-78,RP-172617,1523,2,C,Introduction of relaxed monitoring in NB-IoT,14.5.0
,RP-78,RP-172624,1528,1,A,TM6 capabilities in CE mode,14.5.0
,RP-78,RP-172616,1533,-,F,MUST capability,14.5.0
,RP-78,RP-172617,1534,1,F,Correction to random access power control in 36.306,14.5.0
,RP-78,RP-172616,1536,1,B,Introduction of a new UE capability for ssp10 with less CRS,14.5.0
03/2018,RP-79,RP-180443,1545,-,F,Correction to description for HARQ-ACK delay for Rel-14 MTC,14.6.0
,RP-79,RP-180443,1552,1,C,Introduction of support of relaxed monitoring for BL and CE UE,14.6.0
,RP-79,RP-180448,1555,2,B,Introduction of LTE DL 1.4Gbps Category,14.6.0
,RP-79,RP-180446,1561,1,F,Capability for for reading shared PLMN information from non-CSG cells,14.6.0
,RP-79,RP-180446,1564,1,F,Supported bandwidths in Fallback band combination,14.6.0
,RP-79,RP-180494,1566,2,F,Correction on SRS carrier switching,14.6.0
03/2018,RP-79,RP-180440,1559,2,B,Introduction of EN-DC capabilities,15.0.0
07/2018,RP-80,RP-181222,1519,1,B,Introduction of QoE Measurement Collection for LTE,15.1.0
,RP-80,RP-181221,1535,3,B,Running 36.306 CR to introduce assistance information for local cache,15.1.0
,RP-80,RP-181218,1542,3,B,Introduction of shortened TTI and processing time for LTE,15.1.0
,RP-80,RP-181226,1543,3,B,Introduction of DEFLATE based UDC Solution,15.1.0
,RP-80,RP-181228,1546,3,B,Enhancement of SRS antenna switching in TS 36.306,15.1.0
,RP-80,RP-181220,1547,3,B,Support of 1024QAM in TS 36.306,15.1.0
,RP-80,RP-181234,1569,3,A,Addition of the number of SL processes for V2X sidelink communication,15.1.0
,RP-80,RP-181171,1570,2,C,Introduction of support for MAC PDU containing UE contention resolution identity MAC control element without RRC response message in NB-IoT,15.1.0
,RP-80,RP-181232,1575,2,A,Correction on reducedIntNonContComb-r13 description,15.1.0
,RP-80,RP-181232,1578,3,A,Different power class support for band combinations,15.1.0
,RP-80,RP-181252,1581,3,B,Introduction of further NB-IoT enhancements in 36.306,15.1.0
,RP-80,RP-181227,1584,1,B,Running 36.306 CR to introduce BT and WLAN in MDT,15.1.0
,RP-80,RP-181224,1591,3,B,Introduction of even further eMTC enhancmenets for eMTC,15.1.0
,RP-80,RP-181250,1592,2,B,UE capability definitions for euCA,15.1.0
,RP-80,RP-181225,1599,-,B,Implementing network-based CRS interference mitigation,15.1.0
,RP-80,RP-181233,1602,-,A,UE capability for handling of multiple numerologies in FeMBMS,15.1.0
,RP-80,RP-181233,1604,1,A,Additional UE capabilities for SRS carrier switching,15.1.0
,RP-80,RP-181232,1606,-,A,Additional UE capabilities for advanced CSI in FD-MIMO,15.1.0
,RP-80,RP-181223,1608,2,B,Introduce reportCGI towards NR neighbour cell,15.1.0
,RP-80,RP-181236,1611,1,A,Introduction of DL Channel Quality reporting,15.1.0
,RP-80,RP-181235,1612,1,A,Introduction of serving cell idle mode measurements reporting in 36.306,15.1.0
,RP-80,RP-181254,1613,1,B,Introduction of increased number of E-UTRAN data bearers,15.1.0
,RP-80,RP-181228,1614,2,B,Control Plane latency reduction,15.1.0
,RP-80,RP-181247,1616,2,B,Introduction of time reference provision,15.1.0
,RP-80,RP-181249,1618,-,B,Introduce feLAA in TS 36.306,15.1.0
,RP-80,RP-181247,1619,-,B,Introduction of Ultra Reliable Low Latency Communication for LTE,15.1.0
09/2018,RP-81,RP-181960,1593,2,B,Advanced CSI CBSR CBSR related capability for FD-MIMO,15.2.0
,RP-81,RP-181960,1596,1,B,Avoiding FGI20 limitation,15.2.0
,RP-81,RP-181960,1600,1,B,Introduction of QoE Measurement Collection for MTSI services,15.2.0
,RP-81,RP-181948,1620,1,B,Introduction of UE capability for eV2X in TS 36.306,15.2.0
,RP-81,RP-181940,1621,1,F,Cell reselection priorities for NR frequency,15.2.0
,RP-81,RP-181963,1623,-,A,Add missing NB-IoT capabilities in clause 4,15.2.0
,RP-81,RP-181945,1624,1,F,Introducing FDD-TDD differentiation in NB-IoT in 36.306,15.2.0
,RP-81,RP-181960,1627,-,B,Introduction of modulation enhancements,15.2.0
,RP-81,RP-181947,1628,2,B,UE categories for 1024QAM,15.2.0
,RP-81,RP-181949,1633,1,F,UE capability related with SPS,15.2.0
,RP-81,RP-181956,1635,2,B,Introduction of capabilities for Rel-15 Aerial WI,15.2.0
,RP-81,RP-181945,1636,1,F,Make additional SIB transmission an optional feature with capability reporting,15.2.0
,RP-81,RP-181960,1637,1,C,Introduction of Geofencing information in CMAS,15.2.0
,RP-81,RP-181964,1643,-,B,Introduction of further enhancements to CoMP,15.2.0
,RP-81,RP-181949,1644,1,C,UE capabilities for short TTI,15.2.0
,RP-81,RP-181949,1645,2,C,UE capabilities for Ultra Reliable Low Latency Communication,15.2.0
12/2018,RP-82,RP-182671,1625,2,F,Removal of duplicate rel-15 NB-IoT/eMTC capabilities and introducing TDD-FDD differentiation for WUS capabilities in eMTC,15.3.0
,RP-82,RP-182671,1632,3,F,Missing UE capability introduction for efeMTC,15.3.0
,RP-82,RP-182678,1646,3,F,Correction on UE capability for eV2X,15.3.0
,RP-82,RP-182679,1647,2,F,Correction on SPS configuration for HRLLC,15.3.0
