Channel bandwidth,,,,,,,,
EUTRA CA Configuration,EUTRA band,1.4 MHz(dBm),3 MHz(dBm),5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm),Duplex mode
,46,,,,,,-83,TDD
CA_46A-48ACA_46A-48A-48ACA_46A-48CCA_46A-48DCA_46A-48ECA_46C-48ACA_46C-48A-48ACA_46C-48CCA_46C-48DCA_46C-48ECA_46D-48ACA_46D-48CCA_46D-48A-48ACA_46E-48ACA_46E-48C,46,,,,,,-83,TDD
,48,,,-99,-96,-94.2,-93,TDD
CA_46A-66A CA_46A-46A-66ACA_46A-66A-66ACA_46A-66CCA_46A-46C-66ACA_46A-46D-66ACA_46C-66ACA_46C-66A-66ACA_46D-66ACA_46D-66A-66ACA_46E-66ACA_46E-66A-66A,46,,,,,,-90,TDD
,66,,,-99.5,-96.5,-94.7,-93.5,FDD
CA_46A-70A,46,,,,,,-90,TDD
,70,,,-100,-97,-95.2,,FDD
CA_46A-71ACA_46C-71ACA_46D-71A,46,,,,,,-90,FDD
,71,,,-97.2,-94.2,-92.0,-87.5,TDD
"NOTE 1:The transmitter shall be set to PUMAX as defined in subclause 6.2.5A.NOTE 2:Reference measurement channel is A.3.2 with one sided dynamic OCNG Pattern OP.1 FDD/TDD/FS3 as described in Annex A.5.1.1/A.5.2.1/A.5.4.1.NOTE 3:The signal power is specified per port.NOTE 4:VoidNOTE 5:The requirement for B46 does not apply when there is at least one individual RE within the B46 downlink transmission bandwidth which falls into the reference sensitivity exclusion region as specified in Table 7.3.1A-0eC.NOTE 6: VoidNOTE 7:7 indicates that the requirement is modified by -0.5 dB when the carrier frequency of the assigned E-UTRA channel bandwidth is within 865-894 MHz.NOTE 8:When Band 46 have self interference problems by dual uplink CA, then the requirements not apply in exclusion zone which is frequency range within (harmonics frequency region + FHD) and IMD frequency region as follow.NOTE 9:The requirement for B49 does not apply when there is at least one individual RE within the B49 downlink transmission bandwidth which falls into the reference sensitivity exclusion region as specified in Table 7.3.1A-0eD.NOTE 10:These requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the aggressor (lower) band for which the 2nd transmitter harmonic is within the downlink transmission bandwidth of a victim (higher) band which excludes band 46 and a range FHD above and below the edge of this downlink transmission bandwidth. The value FHD depends on the E-UTRA configuration: FHD = 10 MHz for CA_2-46-48, CA_46-48-66, and CA_2-46-48-66. For harmonic issue not related with band 46, the uplink configuration of CA_2-48, CA_48-66 and CA_2-48-66 in Table 7.3.1A-0b can be used.NOTE 11:The requirements should be verified for UL EARFCN of the aggressor (lower) band (superscript LB) such that in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band.NOTE 12:The requirements are only applicable to channel bandwidths with a carrier frequency at  MHz offset from  in the victim (higher band) with , whereandare the channel bandwidths configured in the aggressor (lower) and victim (higher) bands in MHz, respectively.IMD frequency rangeDL_CA configurationUL_CA configurationExclusion zone center frequencyExclusion zone BWCA_1A-3A-46ACA_1A-3A2*fc_1A + fc_3A2*BW_1A + BW_3ACA_1A-3A-46ACA_1A-3Afc_1A – 2*fc_3ABW_1A + 2*BW_3AIMD frequency rangeDL_CA configurationUL_CA configurationExclusion zone center frequencyExclusion zone BWCA_1A-5A-46ACA_1A-5A2*fc_1A + 2*fc_5A2*BW_1A + 2*BW_5ACA_1A-7A-46ACA_1A-7A3*fc_7A - fc_1A3*BW_7A + BW_1ACA_5A-7A-46ACA_5A-7A2*fc_7A + fc_5A2*BW_7A + BW_5AIMD frequency rangeDL_CA configurationUL_CA configurationExclusion zone center frequencyExclusion zone BWCA_2A-5A-46DCA_2A-5A3*fc_5A + 1*fc_2A3*BW_5A + 1*BW_2ACA_2A-5A-46DCA_2A-5A2*fc_5A – 3*fc_2A2*BW_5A + 3*BW_2AIMD frequency rangeDL_CA configurationUL_CA configurationExclusion zone center frequencyExclusion zone BWCA_5A-46D-66ACA_5A-66A3*fc_66A + 1*fc_5A3*BW_66A + 1*BW_5ACA_5A-46D-66ACA_5A-66A2*fc_66A – 3*fc_5A2*BW_66A + 3*BW_5ACA_5A-46D-66ACA_5A-66A2*fc_66A + 3*fc_5A2*BW_66A + 3*BW_5AIMD frequency rangeDL_CA configurationUL_CA configurationExclusion zone center frequencyExclusion zone BWCA_13A-46D-66ACA_13A-66A2*fc_66A + 2*fc_13A2*BW_66A + 2*BW_13ACA_13A-46D-66ACA_13A-66A2*fc_66A + 3*fc_13A2*BW_66A + 3*BW_13AIMD frequency rangeDL_CA configurationUL_CA configurationExclusion zone center frequencyExclusion zone BWCA_2A-13A-46DCA_2A-13A-46A-46DCA_2A-13A-46A-46CCA_2A-13A-46CCA_2A-13A-46A-46ACA_2A-13A-46ACA_2A-13A-46ECA_2A-13A3*fc_13A + 1*fc_2A3*BW_13A + 1*BW_2AIMD frequency rangeDL_CA configurationUL_CA configurationExclusion zone center frequencyExclusion zone BWCA_2A-46E-66ACA_2A-46D-66ACA_2A-46C-66ACA_2A-46A-66ACA_2A-66A2*fc_2A + 1*fc_66A2*fc_66A + 1*fc_2A1*fc_2A – 4*fc_66A1*fc_66A – 4*fc_2A2*BW_2A + 1*BW_66A2*BW_66A + 1*BW_2A1*BW_2A + 4*BW_66A1*BW_66A + 4*BW_2AIMD frequency rangeDL_CA configurationUL_CA configurationExclusion zone center frequencyExclusion zone BWCA_2A-46E-48A,CA_2A-46D-48ACA_2A-46D-48CCA_2A-46C-48CCA_2A-46A-48CCA_2A-46C-48ACA_2A-46A-48ACA_2A-48A1*fc_2A + 1*fc_48A2*fc_48A – 1*fc_2A1*BW_2A + 1*BW_48A2*BW_48A + 1*BW_2AIMD frequency rangeDL_CA configurationUL_CA configurationExclusion zone center frequencyExclusion zone BWCA_46D-48C-66ACA_46C-48C-66ACA_46A-48C-66ACA_46D-48A-66ACA_46C-48A-66ACA_46A-48A-66ACA_48A-66A1*fc_48A + 1*fc_66A2*fc_48A – 1*fc_66A1*BW_48A + 1*BW_66A2*BW_48A + 1*BW_66A",,,,,,,,
