EUTRA Operating Band,Uplink (UL) operating bandBS receiveUE transmit,,,Downlink (DL) operating bandBS transmit UE receive,,,Duplex Mode
41,2496 MHz,,2690 MHz,2496 MHz,,2690 MHz,TDD
42,3400 MHz,–,3600 MHz,3400 MHz,–,3600 MHz,TDD
43,3600 MHz,–,3800 MHz,3600 MHz,–,3800 MHz,TDD
44,703 MHz,–,803 MHz,703 MHz,–,803 MHz,TDD
45,1447 MHz,–,1467 MHz,1447 MHz,–,1467 MHz,TDD
46,5150 MHz,–,5925 MHz,5150 MHz,–,5925 MHz,TDD8
47,5855 MHz,–,5925 MHz,5855 MHz,–,5925 MHz,TDD11
48,3550 MHz,–,3700 MHz,3550 MHz,–,3700 MHz,TDD
49,3550 MHz,–,3700 MHz,3550 MHz,–,3700 MHz,TDD16
50,1432 MHz,-,1517 MHz,1432 MHz,-,1517 MHz,TDD13
51,1427 MHz,-,1432 MHz,1427 MHz,-,1432 MHz,TDD13
52,3300 MHz,-,3400 MHz,3300 MHz,-,3400 MHz,TDD
53,2483.5 MHz,-,2495 MHz,2483.5 MHz,-,2495 MHz,TDD
54,1670 MHz,-,1675 MHz,1670 MHz,-,1675 MHz,TDD
…,,,,,,,
64,Reserved,,,,,,
65,1920 MHz,–,2010 MHz,2110 MHz,–,2200 MHz,FDD
66,1710 MHz,–,1780 MHz,2110 MHz,–,2200 MHz,FDD4
67,,N/A,,738 MHz,–,758 MHz,FDD2
68,698 MHz,–,728 MHz,753 MHz,–,783 MHz,FDD
69,N/A,,,2570 MHz,–,2620 MHz,FDD2
70,1695 MHz,–,1710 MHz,1995 MHz,–,2020 MHz,FDD10
71,663 MHz,–,698 MHz,617 MHz,–,652 MHz,FDD
72,451 MHz,–,456 MHz,461 MHz,–,466 MHz,FDD
73,450 MHz,–,455 MHz,460 MHz,–,465 MHz,FDD
74,1427 MHz,–,1470 MHz,1475 MHz,–,1518 MHz,FDD
75,,N/A,,1432 MHz,–,1517 MHz,FDD2
76,,N/A,,1427 MHz,–,1432 MHz,FDD2
85,698 MHz,–,716 MHz,728 MHz,–,746 MHz,FDD
87,410 MHz,–,415 MHz,420 MHz,–,425 MHz,FDD
88,412 MHz,–,417 MHz,422 MHz,–,427 MHz,FDD
10318,787 MHz,–,788 MHz,757 MHz,–,758 MHz,FDD
106,896 MHz,–,901 MHz,935 MHz,–,940 MHz,FDD
11119,1800 MHz,–,1810 MHz,1820 MHz,–,1830 MHz,FDD
"NOTE 1:Band 6, 23 is not applicableNOTE 2:Restricted to E-UTRA operation when carrier aggregation is configured. The downlink operating band is paired with the uplink operating band (external) of the carrier aggregation configuration that is supporting the configured Pcell.NOTE 3:  A UE that complies with the E-UTRA Band 65 minimum requirements in this specification shall also comply with the E-UTRA Band 1 minimum requirements.NOTE 4:The range 2180-2200 MHz of the DL operating band  is restricted to E-UTRA operation when carrier aggregation is configured.NOTE 5:A UE that supports E-UTRA Band 66 shall receive in the entire DL operating bandNOTE 6:A UE that supports E-UTRA Band 66 and CA operation in any CA band shall also comply with the minimum requirements specified for the DL CA configurations CA_66B, CA_66C and CA_66A-66A.NOTE 7:A UE that complies with the E-UTRA Band 66 minimum requirements in this specification shall also comply with the E-UTRA Band 4 minimum requirements.NOTE 8:This band is an unlicensed band restricted to licensed-assisted operation using Frame Structure Type 3 NOTE 9:In this version of the specification, restricted to E-UTRA DL operation when carrier aggregation is configured.NOTE 10:The range 2010-2020 MHz of the DL operating band is restricted to E-UTRA operation when carrier aggregation is configured and TX-RX separation is 300 MHz The range 2005-2020 MHz of the DL operating band is restricted to E-UTRA operation when carrier aggregation is configured and TX-RX separation is 295 MHz.NOTE 11:This band is unlicensed band used for V2X communication. There is no expected network deployment in this band so Frame Structure Type 1 is used.NOTE 12:A UE that complies with the E-UTRA Band 74 minimum requirements in this specification shall also comply with the E-UTRA Band 11 and Band 21 minimum requirements.NOTE 13:UE that complies with the E-UTRA Band 50 minimum requirements in this specification shall also comply with the E-UTRA Band 51 minimum requirements.NOTE 14:A UE that complies with the E-UTRA Band 75 minimum requirements in this specification shall also comply with the E-UTRA Band 76 minimum requirements.NOTE 15:Uplink transmission is not allowed at this band for UE with external vehicle-mounted antennas.NOTE 16:This band is restricted to licensed-assisted operation using Frame Structure Type 3 NOTE 17: DL operation in this band is restricted to 1526 – 1536 MHz and UL operation is restricted to 1627.5 – 1637.5 MHz and 1646.5 – 1656.5 MHz.NOTE 18:This band is restricted to NB-IoT operation only NOTE 19: This band is targeted for HD-FDD operation except in large form factor UEs which may not be implementable with miniature acoustic RF filters",,,,,,,
