E-UTRA CA Band,E-UTRA Band (Table 5.5-1)
CA_1-7-20-42,"1, 7, 20, 42"
CA_1-7-28-32,"1, 7, 28, 32"
CA_1-7-28-38,"1, 7, 28, 38"
CA_1-7-28-40,"1, 7, 28, 40"
CA_1-7-28-40-40,"1, 7, 28, 40"
CA_1-7-32-38,"1, 7, 32, 38"
CA_1-8-11-28,"1, 8, 11, 28"
CA_1-8-11-42,"1, 8, 11, 42"
CA_1-8-20-28,"1, 8, 20, 28"
CA_1-8-20-32,"1, 8, 20, 32"
CA_1-8-20-38,"1, 8, 20, 38"
CA_1-8-28-32,"1, 8, 28, 32"
CA_1-8-32-38,"1, 8, 32, 38"
CA_1-19-21-42,"1, 19, 21, 42"
CA_1-20-28-321,"1, 20, 28, 32"
CA_1-20-28-381,"1, 20, 28, 38"
CA_1-20-32-42,"1, 20, 32, 42"
CA_2-2-5-12-66,"2, 5, 12, 66"
CA_2-2-5-30-66,"2, 5, 30, 66"
CA_2-2-7-12-66,"2. 7, 12, 66"
CA_2-7-12-66-66,"2. 7, 12, 66"
CA_2-2-12-30-66,"2, 12, 30, 66"
CA_2-2-14-30-66,"2, 14, 30, 66"
CA_2-4-5-12,"2, 4, 5, 12"
CA_2-4-5-29,"2, 4, 5, 29"
CA_2-4-5-30,"2, 4, 5, 30"
CA_2-4-7-12,"2, 4, 7, 12"
CA_2-4-12-30,"2, 4, 12, 30"
CA_2-4-29-30,"2, 4, 29, 30"
CA_2-5-7-28,"2, 5, 7, 28"
CA_2-5-7-66,"2, 5, 7, 66"
CA_2-2-5-7-66,"2, 5, 7, 66"
CA_2-5-7-7-66,"2, 5, 7, 66"
CA_2-5-7-66-66,"2, 5, 7, 66"
CA_2-5-12-66,"2, 5, 12, 66"
CA_2-5-30-66,"2, 5, 30, 66"
CA_2-5-30-66-66,"2, 5, 30, 66"
CA_2-7-12-66,"2, 7, 12, 66"
CA_2-7-13-66,"2, 7, 13, 66"
CA_2-7-7-13-66,"2, 7, 13, 66"
CA_2-7-26-66,"2, 7, 26, 66"
CA_2-7-28-66,"2, 7, 28, 66"
CA_2-7-29-66,"2, 7, 29, 66"
CA_2-7-7-29-66,"2, 7, 29, 66"
CA_2-7-46-66,"2, 7, 46, 66"
CA_2-12-30-66,"2, 12, 30, 66"
CA_2-12-30-66-66,"2, 12, 30, 66"
CA_2-13-48-66,"2, 13, 48, 66"
CA_2-13-48-48-66,"2, 13, 48, 66"
CA_2-14-30-66,"2, 14, 30, 66"
CA_2-14-30-66-66,"2, 14, 30, 66"
CA_2-29-30-66,"2, 29, 30, 66"
CA_2-2-29-30-66,"2, 29, 30, 66"
CA_2-46-48-66,"2, 46, 48, 66"
CA_3-3-5-7-282,"3, 5, 7, 28"
CA_3-5-7-282,"3, 5, 7, 28"
CA_3-5-7-7-282,"3, 5, 7, 28"
CA_3-7-8-20,"3, 7, 8, 20"
CA_3-7-8-28,"3, 7, 8, 28"
CA_3-7-8-38,"3, 7, 8, 38"
CA_3-7-8-40,"3, 7, 8, 40"
CA_3-7-20-28,"3, 7, 20, 28"
CA_3-7-20-32,"3, 7, 20, 32"
CA_3-7-20-38,"3, 7, 20, 38"
CA_3-7-20-42,"3, 7, 20, 42"
CA_3-7-28-38,"3, 7, 28, 38"
CA_3-7-28-40,"3, 7, 28, 40"
CA_3-7-28-40-40,"3, 7, 28, 40"
CA_3-7-32-46,"3, 7, 32, 46"
CA_3-8-11-28,"3, 8, 11, 28"
CA_3-8-20-28,"3, 8, 20, 28"
CA_3-8-20-38,"3, 8, 20, 38"
CA_3-8-40-41,"3, 8, 40, 41"
CA_3-19-21-42,"3, 19, 21, 42"
CA_3-20-28-38,"3, 20, 28, 38"
CA_3-20-32-42,"3, 20, 32, 42"
CA_3-20-32-43,"3, 20, 32, 43"
CA_3-21-28-42,"3, 21, 28, 42"
CA_3-28-41-42,"3, 28, 41, 42"
CA_3-32-42-43,"3, 32, 42, 43"
CA_7-8-20-28,"7, 8, 20, 28"
CA_7-8-20-32,"7, 8, 20, 32"
CA_7-8-20-38,"7, 8, 20, 38"
CA_7-8-28-32,"7, 8, 28, 32"
CA_7-8-32-38,"7, 8, 32, 38"
CA_7-20-28-32,"7, 20, 28, 32"
CA_7-20-28-38,"7, 20, 28, 38"
CA_7-20-32-38,"7, 20, 32, 38"
CA_8-20-28-32,"8, 20, 28, 32"
CA_8-20-32-38,"8, 20, 32, 38"
NOTE 1:The frequency range in band 28 is restricted for this CA band combination to 703-733 MHz for the UL and 758-788 MHz for the DLNOTE 2:The frequency range in band 28 is restricted for this CA band combination to 718-748 MHz for the UL and 773-803 MHz for the DL,
