EUTRA CA Configuration,EUTRA band,Channel bandwidth,,,,,,Duplex mode,Applicable active UL band
,719,,,-96.2,-93.2,-91.5,-90.3,FDD,42
"CA_25A-41A, CA_25A-25A-41A, CA_25A-41C, CA_25A-25A-41C, CA_25A-41D, CA_25A-25A-41D, CA_25A-41E, CA_25A-25A-41E, CA_25A-41F, CA_25A-25A-41F",25,,,-95.9,-92.9,-91.1,-89.9,FDD,41
CA_28A-40A,40,,,-95.1,-92.9,-91.4,-90.5,TDD,28
CA_28A-40A,28,,,-96.8,-94.1,-92.5,-89.8,FDD,40
CA_28A-40C,40,,,-95.1,-92.9,-91.4,-90.5,TDD,28
CA_28A-40C,28,,,-96.8,-94.1,-92.5,-89.8,FDD,40
CA_28A-40D,40,,,-95.1,-92.9,-91.4,-90.5,TDD,28
CA_28A-40D,28,,,-96.8,-94.1,-92.5,-89.8,FDD,40
CA_28A-71A,71,,,-85.1,-82.1,-79.9,75.4,FDD,28
,28,,,-91.9,-88.9,-87.1,-84.4,FDD,71
CA_38A-66ACA_38C-66A,66,,,-97.6,-94.6,-92.8,-91.6,FDD,38
"NOTE 1:The transmitter shall be set to PUMAX as defined in subclause 6.2.5ANOTE 2:Reference measurement channel is A.3.2 with one sided dynamic OCNG Pattern OP.1 FDD/TDD as described in Annex A.5.1.1/A.5.2.1NOTE 3:The signal power is specified per portNOTE 4:These requirements apply regardless of the channel bandwidth and the location of UL band.NOTE 5: The B41 requirements are modified by -0.5dB when carrier frequency of the assigned E-UTRA channel bandwidth is within 2545-2690 MHz.NOTE 6: The antenna isolation for MSD calculation is assumed as 10 dB. For conducted mode REFSENS test such antenna isolation is not observed as the antennas are disconnected. Additionally antenna isolation assumption is under discussion depending on the frequency rangeNOTE 7:These requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the aggressor (lower) band for which the 2nd transmitter harmonic is within the downlink transmission bandwidth of a victim (higher) band and a range FHD above and below the edge of this downlink transmission bandwidth. The value FHD depends on the E-UTRA configuration: FHD = 10 MHz for CA_3A-42A, CA_3A-42C, CA_3A-42D, CA_3A-3A-42C, CA_3A-42A-42C, CA_1A-3A-42A, CA_1A-3A-42C, CA_1A-3A-42D, CA_3A-19A-42A, CA_3A-19A-42C, CA_1A-3A-19A-42A, CA 3A-41A-42A, CA_3A-41A-42C, CA_3A-41C-42A, and CA_3A-41C-42C.NOTE 8:The requirements should be verified for UL EARFCN of the aggressor (lower) band (superscript LB) such that in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band.NOTE 9:The requirements are only applicable to channel bandwidths with a carrier frequency at  MHz offset from  in the victim (higher band) with , whereandare the channel bandwidths configured in the aggressor (lower) and victim (higher) bands in MHz, respectively.NOTE 10:Only applicable for UE supporting inter-band carrier aggregation with uplink in one E-UTRA band and without simultaneous Rx/Tx.NOTE 11:VoidNOTE 12:These requirements apply when the uplink is active in Band 1 and the separation between the lower edge of the uplink channel in Band 1 and the upper edge of the downlink channel in Band 3 is < 60 MHz. For each channel bandwidth in Band 3 and Band 41, the requirement applies regardless of channel bandwidth in Band 1.NOTE 13:These requirements apply when the uplink is active in Band 1 and the separation between the lower edge of the uplink channel in Band 1 and the upper edge of the downlink channel in Band 3 is ≥ 60 MHz. For each channel bandwidth in Band 3 and Band 41, the requirement applies regardless of channel bandwidth in Band 1.NOTE 14:The B41 requirements also apply to the supported CA_1A-41A.NOTE 15:These requirements apply when the uplink is active in Band 1 and the separation between the lower edge of the uplink channel in Band 1 and the upper edge of the downlink channel in Band 3 is < 60 MHz. For each channel bandwidth other than Band 1, the requirement applies regardless of channel bandwidth in Band 1NOTE 16:These requirements apply when the uplink is active in Band 1 and the separation between the lower edge of the uplink channel in Band 1 and the upper edge of the downlink channel in Band 3 is ≥ 60 MHz. For each channel bandwidth other than Band 1, the requirement applies regardless of channel bandwidth in Band 1.NOTE 17:The B41 requirements are modified by -0.1dB when carrier frequency of the assigned E-UTRA channel bandwidth is within 2545-2690 MHz.NOTE 18:No requirements apply when there is at least one individual RE within the downlink transmission bandwidth of band5 for which the 3rd receiver harmonic is within the uplink transmission bandwidth of band41. The reference sensitivity is only verified when this is not the case (the requirements specified in clause 7.3.1 apply).NOTE 19:Applicable for the operations with 2 or 4 antenna ports supported in the band with carrier aggregation configured.",,,,,,,,,
