E-UTRA operating band combination,E-UTRA Band,"ΔRIB,c [dB]"
,38,0
,1,0.2
"CA_1-3-20-41, CA_1-3-3-20-41",3,0.2
,20,0
,41,0.5
CA_1-3-20-42,1,0.2
,3,0.2
,20,0
,42,0.5
CA_1-3-20-43,1,0
,3,0
,20,0
,43,0.5
CA_1-3-21-28,1,0
,3,0.3
,21,0.5
,28,0.2
CA_1-3-21-42,1,0.2
,3,0.3
,21,0.5
,42,0.5
,1,0
CA_1-3-28-32,3,0
,28,0.2
,32,0
,1,0
CA_1-3-28-38,3,0
,28,0.2
,38,0.2
CA_1-3-28-40,1,0
,3,0
,28,0.2
,40,0
CA_1-3-28-42,1,0.2
,3,0.2
,28,0.2
,42,0.5
CA_1-3-28-71,1,0.2
,3,0.2
,28,0.6
,71,0.6
CA_1-3-32-42,1,0.2
,3,0.2
,32,0
,42,0.5
CA_1-3-32-43,1,0
,3,0
,32,0
,43,0.5
CA_1-3-40-41,1,0
,3,0
,40,0
,41,06/0.57
CA_1-3-41-42,1,0.2
,3,0.2
,41,0
,42,0.5
CA_1-3-42-4311,1,0.2
,3,0.2
,42,0.5
,43,0.5
CA_1-5-7-28CA_1-5-7-7-28,1,0
,5,0.1
,7,0
,28,0.2
CA_1-5-7-46,1,0
,5,0
,7,0
CA_1-7-8-20,1,0
,7,0
,8,0.2
,20,0.2
CA_1-7-8-28,1,0
,7,0
,8,0.2
,28,0.2
CA_1-7-8-32,1,0
,7,0
,8,0.2
,32,0
CA_1-7-8-38,1,0
,7,0
,8,0
,38,0.2
CA_1-7-8-40,1,0
,7,0.3
,8,0.2
,40,0.8
CA_1-7-20-28,1,0
,7,0
,20,0.2
,28,0.2
CA_1-7-20-32,1,0
,7,0
,20,0
,32,0
,1,0
CA_1-7-20-38,7,0
,20,0
,38,0.2
CA_1-7-20-42,1,0.2
,7,0.2
,20,0.2
,42,0.5
CA_1-7-28-32,1,0
,7,0
,28,0.2
,32,0
,1,0
CA_1-7-28-38,7,0
,28,0.2
,38,0.2
CA_1-7-28-40CA_1-7-28-40-40,1,0
,7,0.3
,28,0.2
,40,0.8
,1,0
CA_1-7-32-38,7,0
,32,0
,38,0.2
CA_1-8-11-289,1,0
,8,0.2
,11,0
,28,0.2
CA_1-8-11-42,1,0
,8,0.2
,11,0
,42,0.5
CA_1-8-20-28,1,0
,8,0.2
,20,0.2
,28,0.2
CA_1-8-20-32,1,0
,8,0
,20,0
,32,0
CA_1-8-20-38,1,0
,8,0
,20,0
,38,0
CA_1-8-28-32,1,0
,8,0.2
,28,0.2
,32,0
,1,0
CA_1-8-32-38,8,0
,32,0
,38,0
CA_1-19-21-42,1,0
,19,0
,21,0
,42,0.5
CA_1-20-28-32,1,0
,20,0.2
,28,0.2
,32,0
,1,0
CA_1-20-28-38,20,0.2
,28,0.2
,38,0
,1,0
CA_1-20-32-38,20,0
,32,0
,38,0
CA_1-20-32-42,1,0
,20,0
,32,0
,42,0.5
CA_1-20-32-43,1,0
,20,0
,32,0
,43,0.5
CA_1-21-28-42,1,0
,21,0
,28,0.2
,42,0.5
CA_1-32-42-4311,1,0
,32,0
,42,0.5
,43,0.5
CA_2-4-5-12,2,0.3
,4,0.3
,5,0.5
,12,0.5
CA_2-4-5-29,2,0.3
,4,0.3
,5,0
CA_2-4-5-30,2,0.4
,4,0.4
,5,0
,30,0.5
CA_2-4-7-12,2,0.3
,4,0.3
,7,0.5
,12,0.5
CA_2-4-12-30,2,0.4
,4,0.4
,12,0.5
,30,0.5
CA_2-4-29-30,2,0.4
,4,0.4
,30,0.5
CA_2-5-7-28,2,0
,5,0.2
,7,0
,28,0.2
"CA_2-5-7-66, CA_2-2-5-7-66, CA_2-5-7-7-66, CA_2-5-7-66-66",2,0.3
,5,0
,7,0.5
,66,0.5
"CA_2-5-12-66, CA_2-2-5-12-66",2,0.3
,5,0.5
,12,0.5
,66,0.3
"CA_2-5-30-66, CA_2-2-5-30-66, CA_2-5-30-66-66",2,0.4
,5,0
,30,0.5
,66,0.4
"CA_2-5-46-66, CA_2-5-46-66-66",2,0.3
,5,0
,66,0.3
"CA_2-7-12-66, CA_2-2-7-12-66, CA_2-7-12-66-66",2,0.3
,7,0.5
,12,0.5
,66,0.3
CA_2-7-13-66CA_2-7-7-13-66,2,0.3
,7,0.5
,13,0
,66,0.5
CA_2-7-26-66,2,0.3
,7,0.5
,26,0
,66,0.5
CA_2-7-28-66,2,0.3
,7,0.5
,28,0.2
,66,0.5
"CA_2-7-29-66, CA_2-7-7-29-66",2,0.3
,7,0.5
,66,0.5
CA_2-7-46-66,2,0.3
,7,0.5
,46,0
,66,0.5
"CA_2-12-30-66, CA_2-2-12-30-66, CA_2-12-30-66-66",2,0.4
,12,0.5
,30,0.5
,66,0.4
"CA_2-13-46-66, CA_2-13-46-66-66",2,0.3
,13,0
,66,0.3
"CA_2-13-48-66, CA_2-13-48-48-66",2,0.3
,13,0
,48,0.5
,66,0.3
"CA_2-14-30-66, CA_2-2-14-30-66, CA_2-14-30-66-66",2,0.4
,14,0
,30,0.5
,66,0.4
"CA_2-29-30-66, CA_2-2-29-30-66",2,0.4
,30,0.5
,66,0.4
CA_2-46-48-66,2,0.3
,48,0.5
,66,0.3
"CA_3-5-7-28, CA_3-3-5-7-28, CA_3-5-7-7-28",3,0
,5,0.1
,7,0
,28,0.1
CA_3-7-8-20,3,0
,7,0
,8,0
,20,0
CA_3-7-8-28,3,0
,7,0
,8,0.2
,28,0.1
CA_3-7-8-38,3,0
,7,0
,8,0
,38,0.2
CA_3-7-8-40,3,0
,7,0.3
,8,0.2
,40,0.8
CA_3-7-20-28,3,0
,7,0
,20,0.2
,28,0.1
CA_3-7-20-32,3,0
,7,0
,20,0
,32,0
,3,0
CA_3-7-20-38,7,0
,20,0
,38,0
CA_3-7-20-42,3,0.2
,7,0.2
,20,0
,42,0.5
CA_3-7-28-32,1,0
,3,0
,28,0
,32,0
CA_3-7-28-38,3,0
,7,0
,28,0
,38,0.2
CA_3-7-28-40CA_3-7-28-40-40,3,0
,7,0.3
,28,0
,40,0.8
CA_3-7-32-46,3,0
,7,0
,32,0
CA_3-8-11-2810,3,0.3
,8,0.2
,11,0.5
,28,0.2
CA_3-8-20-28,3,0
,8,0.2
,20,0.1
,28,0.1
CA_3-8-20-38,3,0
,8,0
,20,0
,38,0
,3,0
CA_3-8-20-40,8,0
,20,0
,40,0
,3,0
CA_3-8-28-38,8,0.2
,28,0.1
,38,0.2
,3,0
CA_3-8-28-40,8,0.2
,28,0.1
,40,0
CA_3-8-40-41,3,0
,8,0
,40,0
,41,06/0.57
CA_3-19-21-42,3,0.3
,19,0
,21,0.5
,42,0.5
,3,0
CA_3-20-28-38,20,0.1
,28,0.2
,38,0.2
,3,0
CA_3-20-28-40,20,0.1
,28,0.1
,40,0
CA_3-20-32-42,3,0.2
,20,0
,32,0
,42,0.5
CA_3-20-32-43,3,0
,20,0
,32,0
,43,0.5
CA_3-21-28-42,3,0.3
,21,0.5
,28,0.2
,42,0.5
CA_3-28-41-42,3,0.5
,28,0.2
,41,0.46/0.57
,42,0.5
CA_3-32-42-4311,3,0.2
,32,0
,42,0.5
,43,0.5
CA_7-8-20-28,7,0
,8,0.2
,20,0.2
,28,0.2
CA_7-8-20-32,7,0
,8,0.2
,20,0.2
,32,0
,7,0
CA_7-8-20-38,8,0.2
,20,0.2
,38,0.2
CA_7-8-28-32,7,0
,8,0.2/0.112
,28,0
,32,0
,7,0
CA_7-8-32-38,8,0.2
,32,0
,38,0.2
CA_7-20-28-32,7,0
,20,0.2
,28,0.2
,32,0
,7,0
CA_7-20-28-38,20,0.2
,28,0.2
,38,0.2
,7,0
CA_7-20-32-38,20,0
,32,0
,38,0.2
CA_8-20-28-32,8,0
,20,0
,28,0
,32,0
,8,0.2
CA_8-20-28-38,20,0
,28,0.1
,38,0
,8,0.2
CA_8-20-28-40,20,0
,28,0.1
,40,0
,8,0
CA_8-20-32-38,20,0
,32,0
,38,0
"NOTE 1:The above additional tolerances are only applicable for the E-UTRA operating bands that belong to the supported inter-band carrier aggregation configurations.NOTE 2:The above additional tolerances also apply in intra-band and non-aggregated operation for the supported E-UTRA operating bands that belong to the supported inter-band carrier aggregation configurations.NOTE 3: Tolerances for a UE supporting multiple 4DL inter-band CA configurations are FFS.NOTE 4: The above additional tolerances applicable for the E-UTRA operating bands that belong to the supported highest order inter-band carrier aggregation configuration, also applies to the same E-UTRA operating bands that belong to a supported lower order CA configuration.NOTE 5: For UE supporting E-UTRA band 42, 43 or 48 and CA configurations including Band 42, 43 or 48, the applicable ΔRIB,c in Band 42, 43, or 48 is the max(Band 42 ΔRIB,c , Band 43 ΔRIB,c, Band 48 ΔRIB,c).NOTE 6:The requirement is applied for UE transmitting on the frequency range of 2545-2690MHz.NOTE 7:The requirement is applied for UE transmitting on the frequency range of 2496-2545MHz.NOTE 8:Only applicable for UE supporting inter-band carrier aggregation with the uplink active in Band 1, Band 3 or Band 8.NOTE 9:Only applicable for UE supporting inter-band carrier aggregation with the uplink active in Band 1, Band 8 or Band 11.NOTE 10:Only applicable for UE supporting inter-band carrier aggregation with the uplink active in Band 3, Band 8 or Band 11.NOTE 11:Applicable for UE supporting inter-band carrier aggregation without simultaneous Rx/Tx among TDD bands.NOTE 12: Only applicable for UE supporting inter-band carrier aggregation with the uplink active in Band 8.",,
