E-UTRA CA Configuration,Spurious emission,,,,,,
,Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
,Frequency range,799,-,805,-35,0.00625,3
CA_14-66,Frequency range,769,-,775,-35,0.00625,3
,Frequency range,799,-,805,-35,0.00625,3
CA_18-28,Frequency range,470,-,710,-26.2,6,23
,Frequency range,758,-,773,-32,1,3
,Frequency range,773,-,799,-50,1,
,Frequency range,799,-,803,-40,1,3
,Frequency range,860,-,890,-40,1,
,Frequency range,945,-,960,-50,1,3
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_19-21,Frequency range,945,-,960,-50,1,
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_19-42,Frequency range,945,-,960,-50,1,
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_20-68,Frequency range,758,-,788,-50,1,
CA_21-28,Frequency range,470,-,710,-26.2,6,23
,Frequency range,773,-,803,-50,1,
,Frequency range,945,-,960,-50,1,
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_21-42,Frequency range,945,-,960,-50,1,
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_26-46,Frequency range,703,-,799,-50,1,
,Frequency range,799,-,803,-40,1,2
,Frequency range,945,-,960,-50,1,
,,,,,,,
CA_26-48,Frequency range,703,-,799,-50,1,
,Frequency range,799,-,803,-40,1,2
,Frequency range,945,-,960,-50,1,
,,,,,,,
CA_28-40,Frequency range,758,-,773,-32,1,
,Frequency range,773,-,803,-50,1,
,,,,,,,
CA_28-41,Frequency range,470,-,694,-42,8,"3, 22"
,Frequency range,470,-,710,-26.2,6,23
,Frequency range,662,-,694,-26.2,6,3
,Frequency range,758,-,773,-32,1,3
,Frequency range,773,-,803,-50,1,
,,,,,,,
CA_28-42,Frequency range,470,-,710,-26.2,6,23
,Frequency range,758,-,773,-32,1,3
,Frequency range,773,-,803,-50,1,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"NOTE 1:VoidNOTE 2:As exceptions, measurements with a level up to the applicable requirements defined in Table 6.6.3.1-2 are permitted for each assigned E-UTRA carrier used in the measurement due to 2nd, 3rd, 4th [or 5th] harmonic spurious emissions. In case the exceptions are allowed due to spreading of the harmonic emission the exception is also allowed for the first 1 MHz frequency range immediately outside the harmonic emission on both sides of the harmonic emission. This results in an overall exception interval centred at the harmonic emission of (2MHz + N x LCRB x 180kHz), where N is 2, 3 or 4 for the 2nd, 3rd or 4th harmonic respectively. The exception is allowed if the measurement bandwidth (MBW) totally or partially overlaps the overall exception interval.NOTE 3:These requirements also apply for the frequency ranges that are less than FOOB (MHz) in Table 6.6.3.1-1 and Table 6.6.3.1A-1 from the edge of the aggregated channel bandwidth.NOTE 4:VoidNOTE 5:Applicable when the assigned E-UTRA carrier is confined within 718 MHz and 748 MHz and when the channel bandwidth used is 5 or 10 MHz. Applicable when the assigned E-UTRA carrier is confined within 715 MHz and 718 MHz and when the channel bandwidth used is 3 MHz.NOTE 6:VoidNOTE 7:VoidNOTE 8:VoidNOTE 9:VoidNOTE10:VoidNOTE 11:This requirement is applicable only for the following cases:- for carriers of 5 MHz channel bandwidth when carrier centre frequency (Fc) is within the range 902.5 MHz ≤ Fc <  907.5 MHz with an uplink transmission bandwidth less than or equal to 20 RB- for carriers of 5 MHz channel bandwidth when carrier centre frequency (Fc) is within the range 907.5 MHz ≤ Fc ≤  912.5 MHz without any restriction on uplink transmission bandwidth.- for carriers of 10 MHz channel bandwidth when carrier centre frequency (Fc) is Fc = 910 MHz with an uplink transmission bandwidth less than or equal to 32 RB with RBstart > 3.NOTE 12:VoidNOTE13:VoidNOTE 14:VoidNOTE 15:These requirements also apply for the frequency ranges that are less than FOOB (MHz) in Table 6.6.3.1-1 and Table 6.6.3.1A-1 from the edge of the channel bandwidth.NOTE 16:VoidNOTE 17:This requirement is applicable only when Band 3 transmission frequency is less than or equal to 1765 MHz.NOTE 18:This requirement applies when the E-UTRA carrier is confined within 2545-2575MHz or 2595-2645MHz and the channel bandwidth is 10 or 20 MHzNOTE 19:VoidNOTE 20:VoidNOTE 21:This requirement is applicable for any channel bandwidths within the range 2500 - 2570 MHz with the following restriction: for carriers of 15 MHz bandwidth when carrier centre frequency is within the range 2560.5 - 2562.5 MHz and for carriers of 20 MHz bandwidth when carrier centre frequency is within the range 2552 - 2560 MHz the requirement is applicable only for an uplink transmission bandwidth less than or equal to 54 RB.NOTE 22:This requirement is applicable in the case of a 10 MHz E-UTRA carrier confined within 703 MHz and 733 MHz, otherwise the requirement of -25 dBm with a measurement bandwidth of 8 MHz applies.NOTE 23:This requirement is applicable for 5 and 10 MHz E-UTRA channel bandwidth allocated within 718-728MHz. For carriers of 10 MHz bandwidth, this requirement applies for an uplink transmission bandwidth less than or equal to 30 RB with RBstart > 1 and RBstart<48.NOTE 24: VoidNOTE 25: VoidNOTE 26: For these adjacent bands, the emission limit could imply risk of harmful interference to UE(s) operating in the protected operating band.",,,,,,,
