E-UTRA operating band combination,E-UTRA Band,"ΔTIB,c [dB]"
,8,0.6
,28,0.5
CA_3-8-32,3,0.8
,8,0.3
CA_3-8-38,3,0.5
,8,0.3
,38,0.5
CA_3-8-40,3,0.5
,8,0.3
,40,0.5
"CA_3-8-41, CA_3A-8A-41A-41A",3,0.5
,8,0.3
,41,0.35
,,0.86
CA_3-8-42,3,0.6
,8,0.6
,42,0.8
CA_3-8-71,3,0.3
,8,0.6
,71,0.6
CA_3-11-18,3,0.8
,11,0.9
,18,0.3
CA_3-11-26,3,0.8
,11,0.9
,26,0.3
CA_3-11-28,3,0.8
,11,0.9
,28,0.6
CA_3-18-42,3,0.6
,18,0.3
,42,0.8
"CA_3-19-21, CA_3-3-19-21",3,0.8
,19,0.3
,21,0.9
CA_3-19-42,3,0.6
,19,0.3
,42,0.8
"CA_3-20-28,CA_3-3-20-28",3,0.3
,20,0.5
,28,0.5
CA_3-20-32,3,0.5
,20,0.3
CA_3-20-38,3,0.3
,20,0.3
,38,0.3
CA_3-20-42,3,0.6
,20,0.3
,42,0.8
CA_3-20-43,3,0.3
,20,0.3
,43,0.8
CA_3-20-67,3,0.3
,20,0.5
CA_3-21-28,3,0.8
,21,0.9
,28,0.3
CA_3-21-42,3,0.8
,21,0.9
,42,0.8
CA_3-28-38,3,0.5
,28,0.5
,38,0.5
CA_3-28-40CA_3-28-40-40,3,0.5
,28,0.3
,40,0.5
CA_3-28-41,3,0.5
,28,0.3
,41,0.35/0.86
"CA_3-28-42, CA_3-28-42-42",3,0.6
,28,0.5
,42,0.8
CA_3-28-71,3,0.5
,28,1.1
,71,1.1
CA_3-32-42,3,0.6
,42,0.8
CA_3-32-43,3,0.3
,43,0.8
CA_3-32-46,3,0.5
CA_3-40-41,3,0.5
,40,0.5
,41,0.35
,,0.86
CA_3-41-4214CA_3-41-42-42,3,1
,41,0.35/0.86
,42,0.8
CA_3-42-4313,3,0.6
,42,0.8
,43,0.8
"CA_4-5-12, CA_4-5-12-12, CA_4-4-5-12",4,0.3
,5,0.8
,12,0.8
CA_4-5-13,4,0.3
,5,0.5
,13,0.5
CA_4-5-29,4,0.3
,5,0.5
"CA_4-5-30, CA_4-4-5-30",4,0.5
,5,0.3
,30,0.3
CA_4-7-12,4,0.5
,7,0.5
,12,0.8
CA_4-7-28,4,0.5
,7,0.5
,28,0.6
"CA_4-12-30, CA_4-4-12-30",4,0.5
,12,0.8
,30,0.3
"CA_4-29-30, CA_4-4-29-30",4,0.5
,30,0.3
CA_5-7-28CA_5-7-7-28,5,0.5
,7,0.3
,28,0.5
CA_5-7-46,5,0.3
,7,0.3
CA_5-7-66CA_5-7-66-66CA_5-7-7-66,5,0.3
,7,0.5
,66,0.5
CA_5-12-46,5,0.8
,12,0.4
CA_5-12-48,5,0.8
,12,0.4
,48,0.3
CA_5-12-66,5,0.3
,12,0.8
,66,0.8
"CA_5-30-66, CA_5-30-66-66",5,0.3
,30,0.3
,66,0.5
CA_5-40-41,5,0.3
,40,0.5
,41,0.5
"CA_5-46-66, CA_5-46-66-66",5,0.3
,66,0.3
CA_5-48-66,5,0.3
,48,0.8
,66,0.6
CA_7-8-20,7,0.3
,8,0.6
,20,0.6
CA_7-8-28,7,0.3
,8,0.6
,28,0.514
,,0.3
CA_7-8-32,7,0.7
,8,0.6
CA_7-8-38,7,0.5
,8,0.5
,38,0.5
CA_7-8-40,7,0.5
,8,0.6
,40,0.6
"CA_7-12-66, CA_7-12-66-66",7,0.5
,12,0.8
,66,0.5
CA_7-13-66 CA_7-7-13-66,7,0.5
,13,0.3
,66,0.5
CA_7-20-28,7,0.3
,20,0.6
,28,0.6
CA_7-20-32,7,0.7
,20,0.3
,32,N/A
CA_7-20-38,7,0.3
,20,0.3
,38,0.3
CA_7-20-42,7,0.3
,20,0.3
,42,0.8
CA_7-26-66,7,0.5
,26,0.3
,66,0.5
CA_7-28-32,7,0.7
,28,0.3
CA_7-28-38,7,0.3
,28,0.3
,38,0.3
CA_7-28-40CA_7-28-40-40,7,0.5
,28,0.3
,40,0.6
CA_7-28-66,7,0.5
,28,0.6
,66,0.5
CA_7-29-66,7,0.5
,66,0.5
CA_7-30-66,7,0.5
,30,0.5
,66,0.5
CA_7-32-46,7,0.7
,7,0.5
CA_7-38-66,38,0.5
,66,0.5
CA_7-46-66,7,0.5
,66,0.5
CA_8-11-2817,8,0.6
,11,0.4
,28,0.6
CA_8-11-42,8,0.6
,11,0.4
,42,0.8
CA_8-20-28,8,0.6
,20,0.5
,28,0.5
CA_8-20-32,8,0.4
,20,0.4
CA_8-20-38,8,0.4
,20,0.4
,38,0.3
CA_8-28-32,8,0.614
,,0.3
,28,0.514
,,0.3
CA_8-32-38,8,0.3
,38,0.3
CA_8-20-40,8,0
,20,0
,40,0
CA_8-28-38,8,0
,28,0
,38,0
CA_8-28-40,8,0
,28,0
,40,0
CA_8-28-4115,8,0.6
,28,0.5
,41,0.3
CA_8-28-71,8,0.8
,28,1.1
,71,1.1
CA_8-39-41,8,0.3
,39,0.319
,41,0.319
CA_8-40-41,8,0.3
,40,0.510
,41,0.510
"CA_12-30-66, CA_12-30-66-66",12,0.8
,30,0.3
,66,0.5
CA_13-46-66,13,0.3
,66,0.3
CA_13-48-66,13,0.3
,48,0.8
,66,0.6
"CA_14-30-66, CA_14-30-66-66",14,0.3
,30,0.3
,66,0.5
CA_19-21-42,19,0.3
,21,0.4
,42,0.8
CA_20-28-32,20,0.5
,28,0.7
,20,0.5
CA_20-28-38,28,0.5
,38,0.3
,20,0
CA_20-28-40,28,0
,40,0
CA_20-32-38,20,0.3
,38,0.3
CA_20-32-42,20,0.5
,42,0.8
CA_20-32-43,20,0.3
,43,0.8
"CA_20-38-4020, CA_20-38-40-4020",20,0.3
,38,0.3
,40,0.3
CA_21-28-42,21,0.4
,28,0.5
,42,0.8
"CA_25-26-41, CA_25-25-26-41",25,0.3
,26,0.3
,41,0.3
"CA_28-41-4210, CA_28-41-42-4210",28,0.5
,41,0.31
,42,0.81
"CA_29-30-66, CA_29-30-66-66",30,0.3
,66,0.5
CA_29-46-66,66,0.3
"CA_29-66-70, CA_29-66-66-70",66,0.5
,70,0.5
CA_32-42-4313,42,0.8
,43,0.8
CA_46-48-66,48,0.8
,66,0.6
"CA_46-48-71, CA_46-48-48-71",46,0
,48,0.8
,71,0.3
"CA_66-70-71, CA_66-66-70-71",66,0.5
,70,0.5
,71,0.6
"NOTE 1:The above additional tolerances are only applicable for the E-UTRA operating bands that belong to the supported inter-band carrier aggregation configurationsNOTE 2:The above additional tolerances also apply in non-aggregated operation for the supported E-UTRA operating bands that belong to the supported inter-band carrier aggregation configurationsNOTE 3:Unless otherwise specified, in case the UE supports more than one of the above 3DL inter-band carrier aggregation configurations and a E-UTRA operating band belongs to more than one 3DL inter-band carrier aggregation configurations then:-When the E-UTRA operating band frequency range is ≤ 1GHz and the tolerances are the same, the value applies to the band. If the tolerances are different, the applicable additional 3DL tolerance is FFS. In case there is a harmonic relation between low band UL and high band DL, then the maximum tolerance among the different supported 3DL carrier aggregation configurations involving such band shall be applied-When the E-UTRA operating band frequency range is >1GHz, the applicable additional 3DL tolerance shall be the maximum tolerance above that applies for that operating band among the supported 3DL CA configurationsNOTE 4: The above additional tolerances applicable for the E-UTRA operating bands that belong to the supported highest order inter-band carrier aggregation configuration, also applies to the same E-UTRA operating bands that belong to a supported lower order CA configuration.NOTE 5: The requirement is specified for the frequency range of 2545-2690MHz.NOTE 6: The requirement is specified for the frequency range of 2496-2545MHz.NOTE 7: For UE supporting E-UTRA band 65 and CA configurations including Band 1, the Band 65 ΔTIB,c is the max(Band 65 ΔTIB,c , Band 1 ΔTIB,c)NOTE 8: Only applicable for UE supporting inter-band carrier aggregation with the uplink active in Band 1 or Band 42.NOTE 9: Only applicable for UE supporting inter-band carrier aggregation with uplink in one E-UTRA band and without simultaneous Rx/Tx on Band 41 and Band 42.NOTE 10:Applicable for UE supporting inter-band carrier aggregation without simultaneous Rx/Tx among TDD bands.NOTE 11:Only applicable for UE supporting inter-band carrier aggregation with the uplink active in Band 1 or Band 8NOTE 12:Only applicable for UE supporting inter-band carrier aggregation with the uplink active in Band 3 or Band 8.NOTE 13:Applicable for UE supporting inter-band carrier aggregation without simultaneous Rx/Tx among TDD bands.NOTE 14:Applicable for UE supporting inter-band carrier aggregation without simultaneous Rx/Tx among TDD bands.NOTE 15:Only applicable for UE supporting inter-band carrier aggregation with the uplink active in Band 8 or Band 41.NOTE 16:For UE supporting E-UTRA band 42, 43 or 48 and CA configurations including Band 42, 43 or 48, the applicable ΔTIB,c in Band 42, 43, or 48 is the max(Band 42 ΔTIB,c , Band 43 ΔTIB,c, Band 48 ΔTIB,c).NOTE 17:Only applicable for UE supporting inter-band carrier aggregation with the uplink active in Band 8 or Band 11.NOTE 18:The values in the table reflect what can be achieved with the present state of the art technology. They shall be reconsidered when the state of the art technology progresses.NOTE 19:Only applicable for UE supporting inter-band carrier aggregation with uplink in one E-UTRAN band and without simultaneous Rx/Tx on band 39 and band 41NOTE 20:Only applicable for UE supporting inter-band carrier aggregation with uplink in one E-UTRA band and without simultaneous Rx/Tx among TDD bands",,
