E-UTRA CA Band,E-UTRA Band(Table 5.5-1)
CA_2-4-29,"2, 4, 29"
CA_2-4-30,"2, 4, 30"
CA_2-4-71,"2, 4, 71"
CA_2-2-4-71,"2, 4, 71"
CA_2-5-7,"2, 5, 7"
CA_2-5-7-7,"2, 5, 7"
CA_2-5-12,"2, 5, 12"
CA_2-2-5-12,"2, 5, 12"
CA_2-5-13,"2, 5, 13"
CA_2-5-28,"2, 5, 28"
CA_2-5-29,"2, 5, 29"
CA_2-5-30,"2, 5, 30"
CA_2-5-46,"2, 5, 46"
CA_2-5-66,"2, 5, 66"
CA_2-5-66-66,"2, 5, 66"
CA_2-7-12,"2, 7, 12"
CA_2-7-13,"2, 7, 13"
CA_2-2-7-13,"2, 7, 13"
CA_2-2-7-7-13,"2, 7, 13"
CA_2-7-26,"2, 7, 26"
CA_2-7-28,"2, 7, 28"
CA_2-7-29,"2, 7, 29"
CA_2-7-30,"2, 7, 30"
CA_2-7-46,"2, 7, 46"
CA_2-7-66,"2, 7, 66"
CA_2-7-7-66,"2, 7, 66"
CA_2-7-66-66,"2, 7, 66"
CA_2-7-7-66-66,"2, 7, 66"
CA_2-2-7-66-66,"2, 7, 66"
CA_2-12-30,"2, 12, 30"
CA_2-12-66,"2, 12, 66"
CA_2-12-66-66,"2, 12, 66"
CA_2-13-46,"2, 13, 46"
CA_2-13-48,"2, 13, 48"
CA_2-13-48-48,"2, 13, 48"
CA_2-13-66,"2, 13, 66"
CA_2-13-66-66,"2, 13, 66"
CA_2-14-30,"2, 14, 30"
CA_2-2-14-30,"2, 14, 30"
CA_2-14-66,"2, 14, 66"
CA_2-2-14-66,"2, 14, 66"
CA_2-14-66-66,"2, 14, 66"
CA_2-14-66-66-66,"2, 14, 66"
CA_2-26-66,"2, 26, 66"
CA_2-28-66,"2, 28, 66"
CA_2-2-29-30,"2, 29, 30"
CA_2-29-30,"2, 29, 30"
CA_2-29-66,"2, 29, 66"
CA_2-30-66,"2, 30, 66"
CA_2-30-66-66,"2, 30, 66"
CA_2-46-48,"2, 46, 48"
CA_2-46-66,"2, 46, 66"
CA_2-46-46-66,"2, 46, 66"
CA_2-48-66,"2, 48,66"
CA_2-48-48-66,"2, 48, 66"
CA_2-66-71,"2, 66, 71"
CA_2-2-66-71,"2, 66, 71"
CA_2-66-66-71,"2, 66, 71"
CA_3-5-7,"3, 5, 7"
CA_3-5-7-7,"3, 5, 7"
CA_3-5-28,"3, 5, 28"
CA_3-3-5-282,"3, 5, 28"
CA_3-5-40,"3, 5, 40"
CA_3-5-40-40,"3, 5, 40"
CA_3-5-41,"3, 5, 41"
CA_3-3-7-8,"3, 7, 8"
CA_3-3-7-7-8,"3, 7, 8"
CA_3-7-7-8,"3, 7, 8"
CA_3-7-8,"3, 7, 8"
CA_3-7-20,"3, 7, 20"
CA_3-3-7-20,"3, 7, 20"
CA_3-3-7-7-20,"3, 7, 20"
CA_3-7-7-20,"3, 7, 20"
CA_3-7-26,"3, 7, 26"
CA_3-7-7-26,"3, 7, 26"
CA_3-7-28,"3, 7, 28"
CA_3-3-7-28,"3, 7, 28"
CA_3-7-32,"3, 7, 32"
CA_3-7-38,"3, 7, 38"
CA_3-3-7-38,"3, 7, 38"
CA_3-7-40,"3, 7, 40"
CA_3-7-40-40,"3, 7, 40"
CA_3-7-42,"3, 7, 42"
CA_3-7-46,"3, 7, 46"
CA_3-8-11,"3, 8, 11"
CA_3-8-20,"3, 8, 20"
CA_3-8-28,"3, 8, 28"
CA_3-8-32,"3, 8, 32"
CA_3-8-38,"3, 8, 38"
CA_3-8-40,"3, 8, 40"
CA_3-8-41,"3, 8, 41"
CA_3-8-41-41,"3, 8, 41"
CA_3-8-42,"3, 8, 42"
CA_3-11-18,"3, 11,18"
CA_3-11-26,"3, 11, 26"
CA_3-11-28,"3, 11, 28"
CA_3-18-42,"3, 18, 42"
CA_3-19-21,"3, 19, 21"
CA_3-3-19-21,"3, 19, 21"
CA_3-19-42,"3, 19, 42"
CA_3-20-28,"3, 20, 28"
CA_3-3-20-28,"3, 20, 28"
CA_3-20-32,"3, 20, 32"
CA_3-20-38,"3, 20, 38"
CA_3-20-42,"3, 20, 42"
CA_3-20-43,"3, 20, 43"
CA_3-21-28,"3, 21, 28"
CA_3-21-42,"3, 21, 42"
CA_3-28-32,"3, 28, 32"
CA_3-28-38,"3, 28, 38"
CA_3-28-40,"3, 28, 40"
CA_3-28-40-40,"3, 28, 40"
CA_3-28-41,"3, 28, 41"
CA_3-28-42,"3, 28, 42"
CA_3-28-42-42,"3, 28, 42"
CA_3-32-42,"3, 32, 42"
CA_3-32-43,"3, 32, 43"
CA_3-32-46,"3, 32, 46"
CA_3-40-41,"3, 40, 41"
CA_3-41-42,"3, 41, 42"
CA_3-41-42-42,"3, 41, 42"
CA_3-42-43,"3, 42, 43"
CA_4-5-12,"4, 5, 12"
CA_4-4-5-12,"4, 5, 12"
CA_4-5-12-12,"4, 5, 12"
CA_4-5-13,"4, 5, 13"
CA_4-5-29,"4, 5, 29"
CA_4-5-30,"4, 5, 30"
CA_4-4-5-30,"4, 5, 30"
CA_4-7-12,"4, 7, 12"
CA_4-7-28,"4, 7, 28"
CA_4-12-30,"4, 12, 30"
CA_4-4-12-30,"4, 12, 30"
CA_4-29-30,"4, 29, 30"
CA_4-4-29-30,"4, 29, 30"
CA_5-7-28,"5, 7, 28"
CA_5-7-46,"5, 7, 46"
CA_5-7-66,"5, 7, 66"
CA_5-7-7-66,"5, 7, 66"
CA_5-7-66-66,"5, 7, 66"
CA_5-12-46,"5, 12, 46"
CA_5-12-48,"5, 12, 48"
CA_5-12-66,"5, 12, 66"
CA_5-30-66,"5, 30, 66"
CA_5-30-66-66,"5, 30, 66"
CA_5-40-41,"5, 40, 41"
CA_5-46-66,"5, 46, 66"
CA_5-46-66-66,"5, 46, 66"
CA_5-48-66,"5, 48, 66"
CA_5-48-66-66,"5, 48, 66"
CA_7-8-20,"7, 8, 20"
CA_7-8-28,"7, 8, 28"
CA_7-8-32,"7, 8, 32"
CA_7-8-38,"7, 8, 38"
CA_7-8-40,"7, 8, 40"
CA_7-12-66,"7, 12, 66"
CA_7-12-66-66,"7, 12, 66"
CA_7-13-66,"7, 13, 66"
CA_7-7-13-66,"7, 13, 66"
CA_7-20-28,"7, 20, 28"
CA_7-20-32,"7, 20, 32"
CA_7-20-38,"7, 20, 38"
CA_7-20-42,"7, 20, 42"
CA_7-25-66,"7, 25, 66"
CA_7-7-25-66,"7, 25, 66"
CA_7-7-25-25-66,"7, 25, 66"
CA_7-25-25-66,"7, 25, 66"
CA_7-26-66,"7, 26, 66"
CA_7-28-32,"7, 28, 32"
CA_7-28-38,"7, 28, 38"
CA_7-28-40,"7, 28, 40"
CA_7-28-40-40,"7, 28, 40"
CA_7-28-66,"7, 28, 66"
CA_7-29-66,"7, 29, 66"
CA_7-7-29-66,"7, 29, 66"
CA_7-30-66,"7, 30, 66"
CA_7-32-46,"7, 32, 46"
CA_7-38-66,"7, 38, 66"
CA_7-46-66,"7, 46, 66"
CA_8-11-28,"8, 11, 28"
CA_8-11-42,"8, 11, 42"
CA_8-20-28,"8, 20, 28"
CA_8-20-32,"8, 20, 32"
CA_8-20-38,"8, 20, 38"
CA_8-28-32,"8, 28, 32"
CA_8-28-41,"8, 28, 41"
CA_8-32-38,"8, 32, 38"
CA_8-39-41,"8, 39 ,41"
CA_8-40-41,"8, 40, 41"
CA_12-30-66,"12, 30, 66"
CA_12-30-66-66,"12, 30, 66"
CA_13-46-66,"13, 46, 66"
CA_13-48-66,"13, 48, 66"
CA_13-48-48-66,"13, 48, 66"
CA_14-30-66,"14, 30, 66"
CA_14-30-66-66,"14, 30, 66"
CA_19-21-42,"19, 21, 42"
CA_20-28-32,"20, 28, 32"
CA_20-28-38,"20, 28, 38"
CA_20-32-38,"20, 32, 38"
CA_20-32-42,"20, 32, 42"
CA_20-32-43,"20, 32, 43"
CA_20-38-40,"20, 38, 40"
CA_25-26-41,"25, 26, 41"
CA_25-25-26-41,"25, 26, 41"
CA_20-38-40-40,"20, 38, 40"
CA_21-28-42,"21, 28, 42"
CA_29-30-66-66,"29, 30, 66"
CA_28-41-42,"28, 41, 42"
CA_28-41-42-42,"28, 41, 42"
CA_29-30-66,"29, 30, 66"
CA_29-46-66,"29, 46, 66"
CA_29-66-70,"29, 66, 70"
CA_29-66-66-70,"29, 66, 70"
CA_32-42-43,"32, 42, 43"
CA_46-48-66,"46, 48, 66"
CA_46-48-71,"46, 48, 71"
CA_46-48-48-71,"46, 48, 71"
CA_66-70-71,"66, 70, 71"
CA_66-66-70-71,"66, 70, 71"
NOTE 1:The frequency range in band 28 is restricted for this CA band combination to 703-733 MHz for the UL and 758-788 MHz for the DLNOTE 2:The frequency range in band 28 is restricted for this CA band combination to 718-748 MHz for the UL and 773-803 MHz for the DL,
