E-UTRA operating band combination,E-UTRA Band,"ΔRIB,c [dB]"
CA_28-46,28,0
CA_28-66,28,0.2
,66,0
CA_28-71,28,0.8
,71,0.8
CA_29-30,30,0
"CA_29-66, CA_29-66-66",66,0
CA_29-70,70,0
CA_30-48,30,04
,48,0.54
"CA_30-66, CA_30-66-66",30,0.5
,66,0.4
CA_32-42,42,0.5
CA_32-43,43,0.5
CA_34-39,34,0.21
,39,0.21
CA_34-41,34,0.21
,41,0.21
"CA_38-40, CA_38-40-40",38,0.54
,40,0.54
CA_38-66,38,0.5
,66,0.5
CA_39-40,39,0.34
,40,0.34
CA_39-41,39,0.24
,41,0.24
CA_39-41,39,0.27
,41,0.27
CA_39-42,39,04
,42,0.54
CA_39-46,39,0
CA_40-41,40,04
,41,04
"CA_40-42,CA_40-42-42, CA_40-40-42-42",40,0.47
,42,0.57
CA_40-43,40,0.44
,43,0.54
CA_40-46,40,0
CA_40-68,40,0
,68,0
CA_40-71,40,0
,71,0.2
"CA_41-42, CA_41-42-42",41,0.44
,42,0.54
"CA_41-42, CA_41-42-42",41,07
,42,0.57
CA_41-46,41,0
CA_41-48,41,04
,48,0.54
CA_41-106,41,0.2
,106,0
CA_42-43,42,04
,43,04
CA_42-46,42,0
"CA_46-48, CA_46-48-48",48,0.5
CA_46-53,53,0
"CA_46-66, CA_46-66-66",66,0
CA_46-70,70,0
CA_46-71,71,0
CA_48-53,48,0.54
,53,04
"CA_48-66, CA_48-48-66, CA_48-66-66, CA_48-48-66-66",48,0.5
,66,0.2
"CA_48-71, CA_48-48-71",48,0
,71,0
CA_48-106,48,0.5
,106,0.2
"CA_66-70, CA_66-66-70",66,0
,70,0
"CA_66-71, CA_66-66-71",66,0
,71,0
CA_70-71,70,0
,71,0
"NOTE 1:The above additional tolerances are only applicable for the E-UTRA operating bands that belong to the supported inter-band carrier aggregation configurationsNOTE 2:The above additional tolerances also apply in intra-band and non-aggregated operation for the supported E-UTRA operating bands that belong to the supported inter-band carrier aggregation configurationsNOTE 3:In case the UE supports more than one of the above 2DL inter-band carrier aggregation configurations and a E-UTRA operating band belongs to more than one 2DL inter-band carrier aggregation configurations then:-When the E-UTRA operating band frequency range is ≤ 1GHz, the applicable additional tolerance shall be the average of the 2DL tolerances in Table 7.3.1-1A, truncated to one decimal place that would apply for that operating band among the supported 2DL CA configurations. In case there is a harmonic relation between low band UL and high band DL, then the maximum tolerance among the different supported 2DL carrier aggregation configurations involving such band shall be applied-When the E-UTRA operating band frequency range is >1GHz, the applicable additional tolerance shall be the maximum 2DL tolerance in Table 7.3.1-1A that would apply for that operating band among the supported 2DL CA configurationsNOTE 4:Only applicable for UE supporting inter-band carrier aggregation with uplink in one E-UTRA band and without simultaneous Rx/Tx.NOTE 5:Unless otherwise specified, in case the UE supports more than one of the above 3DL inter-band carrier aggregation configurations and a E-UTRA operating band belongs to more than one 3DL inter-band carrier aggregation configurations then:-When the E-UTRA operating band frequency range is ≤ 1GHz and the tolerances are the same, the value applies to the band. If the tolerances are different, the applicable additional 3DL tolerance is FFS. In case there is a harmonic relation between low band UL and high band DL, then the maximum tolerance among the different supported 3DL carrier aggregation configurations involving such band shall be applied-When the E-UTRA operating band frequency range is >1GHz, the applicable additional 3DL tolerance shall be the maximum tolerance above that applies for that operating band among the supported 3DL CA configurations.NOTE 6:The above additional tolerances applicable for the E-UTRA operating bands that belong to the supported highest order inter-band carrier aggregation configuration, also applies to the same E-UTRA operating bands that belong to a supported lower order CA configuration.NOTE 7:Applicable for UE supporting inter-band carrier aggregation without simultaneous Rx/Tx.NOTE 8:Only applicable for UE supporting inter-band carrier aggregation with the uplink active in the FDD band.NOTE 9:For Band 28, the requirements only apply for the restricted frequency range specified for this CA configuration (Table 5.5A-2).NOTE 10:The requirement is applied for UE transmitting on the frequency range of 2545-2690MHz.NOTE 11:The requirement is applied for UE transmitting on the frequency range of 2496-2545MHz.NOTE 12:For UE supporting E-UTRA band 42, 43 or 48 and CA configurations including Band 42, 43 or 48, the applicable ΔRIB,c in Band 42, 43, or 48 is the max(Band 42 ΔRIB,c , Band 43 ΔRIB,c, Band 48 ΔRIB,c).NOTE 13: Only applicable for UE supporting inter-band carrier aggregation with the uplink active in Band 8.",,
