E-UTRA CA configuration / Bandwidth combination set,,,,,,,,,,
E-UTRA CA Configuration,Uplink CA configurations (NOTE 5),E-UTRA Bands,1.4MHz,3MHz,5MHz,10MHz,15MHz,20MHz,Maximum aggregated bandwidth[MHz],Bandwidth combination set
CA_1A-3A-8A-20A-38A,CA_1A-3ACA_1A-8ACA_3A-8A,1,,,Yes,Yes,Yes,Yes,90,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-8A-20A-40A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,40,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-20A-28A-38A7,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,20,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-20A-32A-42A,-,1,,,Yes,Yes,Yes,,75,0
,,3,,,Yes,Yes,Yes,,,
,,20,,,Yes,,,,,
,,32,,,Yes,Yes,Yes,Yes,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-20A-32A-43A,-,1,,,Yes,Yes,Yes,,75,0
,,3,,,Yes,Yes,Yes,,,
,,20,,,Yes,,,,,
,,32,,,Yes,Yes,Yes,Yes,,
,,43,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-32A-42A-43A,-,1,,,Yes,Yes,Yes,,90,0
,,3,,,Yes,Yes,Yes,,,
,,32,,,Yes,Yes,Yes,Yes,,
,,42,,,Yes,Yes,Yes,Yes,,
,,43,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-8A-20A-28A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,7,,,Yes,Yes,Yes,Yes,,
,,8,Yes,Yes,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-8A-20A-32A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,7,,,Yes,Yes,Yes,Yes,,
,,8,Yes,Yes,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-8A-20A-38A11,-,1,,,Yes,Yes,Yes,Yes,90,0
,,7,,,,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,20,,,,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-8A-28A-32A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,7,,,Yes,Yes,Yes,Yes,,
,,8,Yes,Yes,Yes,Yes,,,,
,,28,,Yes,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-8A-32A-38A12,-,1,,,Yes,Yes,Yes,Yes,90,0
,,7,,,Yes,Yes,Yes,Yes,,
,,8,Yes,Yes,Yes,Yes,,,,
,,32,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-20A-28A-32A,-,1,,,Yes,Yes,Yes,Yes,100,0
,,7,,,Yes,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
,,28,,Yes,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-7C-20A-28A-32A,-,1,,,Yes,Yes,Yes,Yes,120,0
,,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,28,,Yes,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
"CA_1A-7A-20A-28A-38A7,13",-,1,,,Yes,Yes,Yes,Yes,100,0
,,7,,,,Yes,Yes,Yes,,
,,20,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
"CA_1A-7C-20A-28A-38A7,13",-,1,,,Yes,Yes,Yes,Yes,120,0
,,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,
,,20,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-20A-32A-38A14,-,1,,,Yes,Yes,Yes,Yes,90,0
,,7,,,,Yes,Yes,Yes,,
,,20,,,Yes,Yes,,,,
,,32,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-8A-20A-28A-32A7,-,1,,,Yes,Yes,Yes,Yes,90,0
,,8,,,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-8A-20A-32A-38A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,8,,,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_3A-7A-8A-20A-28A,-,3,Yes,Yes,Yes,Yes,Yes,Yes,90,0
,,7,,,Yes,Yes,Yes,Yes,,
,,8,Yes,Yes,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_3A-7A-8A-20A-38A15,-,3,,,Yes,Yes,Yes,Yes,90,0
,,7,,,,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
"CA_3A-7A-20A-28A-38A7,16",-,3,,,Yes,Yes,Yes,Yes,100,0
,,7,,,,Yes,Yes,Yes,,
,,20,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
"CA_3A-7C-20A-28A-38A7,16",-,3,,,Yes,Yes,Yes,Yes,120,0
,,7,See CA_7C Bandwidth Combination Set 2 in Table 5.6A.1-1,,,,,,,
,,20,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_3A-8A-20A-28A-38A,-,3,Yes,Yes,Yes,Yes,Yes,Yes,90,0
,,8,Yes,Yes,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,28,,Yes,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_3A-8A-20A-28A-40A,-,3,Yes,Yes,Yes,Yes,Yes,Yes,90,0
,,8,Yes,Yes,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,28,,Yes,Yes,Yes,Yes,Yes,,
,,40,,,Yes,Yes,Yes,Yes,,
CA_7A-8A-20A-28A-32A7,-,7,,,Yes,Yes,Yes,Yes,90,0
,,8,Yes,Yes,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,28,,Yes,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_7A-8A-20A-32A-38A17,-,7,,,Yes,Yes,Yes,Yes,90,0
,,8,Yes,Yes,Yes,Yes,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
"CA_7A-20A-28A-32A-38A7,18",-,7,,,Yes,Yes,Yes,Yes,100,0
,,20,,,Yes,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
"NOTE 1:The CA Configuration refers to a combination of an operating band and a CA bandwidth class specified in Table 5.6A-1 (the indexing letter). Absence of a CA bandwidth class for an operating band implies support of all classes.NOTE 2:For each band combination, all combinations of indicated bandwidths belong to the set.NOTE 3:For the supported CC bandwidth combinations, the CC downlink and uplink bandwidths are equal.NOTE 4:A terminal which supports a DL CA configuration shall support all the lower order fallback DL CA combinations and it shall support at least one bandwidth combination set for each of the constituent lower order DL combinations containing all the bandwidths specified within each specific combination set of the upper order DL combination.NOTE 5:Uplink CA configurations are the configurations supported by the present release of specifications.NOTE 6:If the UE supports uplink CA for corresponding downlink CA it shall support this uplink CA configuration.NOTE 7:Power imbalance between downlink carriers on Band 20 and Band 28 is assumed to be within 6dB.NOTE 8:UL carrier shall be supported in Band 1, 3 or 8 only. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within 6dB.NOTE 9:UL carrier shall be supported in Band 1, 3 or 20 only. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within 6dB.NOTE 10:UL carrier shall be supported in Band 1, 3, 8 or 28 only. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within 6dB.NOTE 11:UL carrier shall be supported in Bands 1, 8 and 20 only. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within 6dB.NOTE 12:UL carrier shall be supported in Band 1 or 8 only. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within [dB.NOTE 13:UL carrier shall be supported in Bands 1, 20 and 28 only. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within 6dB.NOTE 14:UL carrier shall be supported in Band 1 or 20 only. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within 6dB.NOTE 15:UL carrier shall be supported in Bands 3, 8 and 20 only. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within 6dB.NOTE 16:UL carrier shall be supported in Bands 3, 20 and 28 only. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within 6dB.NOTE 17:UL carrier shall be supported in Band 8 or 20 only. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within 6dB.NOTE 18:UL carrier shall be supported in Band 20 or 28 only. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within 6dB.",,,,,,,,,,
