E-UTRA Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,,,Source of IMD
EUTRA CA,EUTRA CA,EUTRA band,UL Fc,UL BW,UL,DL Fc,DL BW,MSD,Duplex mode,
CA_2A-12A-30A,CA_2A-12A,2,1885,5,25,1965,5,N/A,FDD,N/A
,,12,708.5,5,25,738.5,5,N/A,,N/A
,,30,2308,5,25,2353,5,12.0,,IMD4
CA_2A-4A-5ACA_2A-2A-4A-5A,CA_2A-5A,2,1900,5,25,1980,5,N/A,FDD,N/A
,,5,834,5,25,879,5,,,N/A
,,4,1732,5,25,2132,5,7.6,,IMD4
CA_2A-4A-13A,CA_2A-13A,2,1855,5,25,1935,5,N/A,FDD,N/A
,,13,782,5,25,751,5,,,N/A
,,4,1746,5,25,2146,5,7.6,,IMD4
,CA_4A-13A,4,1750,5,25,2150,5,N/A,FDD,N/A
,,13,780,5,25,749,5,,,N/A
,,2,1860,5,25,1940,5,6.2,,IMD4
"CA_2A-2A-5A-66A-66A,CA_2A-5A-66A,CA_2A-5A-66B,CA_2A-5A-66C,CA_2A-5B-66A,CA_2A-5B-66B,CA_2A-5B-66C,CA_2A-2A-5A-66A,CA_2A-2A-5A-66B,CA_2A-2A-5A-66C,CA_2A-5A-66A-66A",CA_2A-5A,2,1900,5,25,1980,5,N/A,FDD,N/A
,,5,834,5,25,879,5,,,N/A
,,66,1712,5,25,2132,5,7.2,,IMD4
CA_2A-5B-66A-66A,CA_2A-5A,2,1900,5,25,1980,5,N/A,FDD,N/A
,,5,834,5,25,879,5,,,N/A
,,66,1712,5,25,2132,5,7.2,,IMD4
CA_2A-13A-66A-66B,CA_2A-13A,2,1860,5,25,1940,5,N/A,FDD,N/A
,,13,782,5,25,751,5,,,N/A
,,66,1736,5,25,2156,5,7.2,,IMD4
CA_2A-13A-66A-66B,CA_13A-66A,2,1880,5,25,1960,5,6.2,FDD,IMD4
,,13,782,5,25,751,5,N/A,,N/A
,,66,1762,5,25,2162,5,,,N/A
CA_2A-48A-66ACA_2A-48C-66A,CA_48A-66A,2,1880,5,25,1960,5,28.3,FDD-TDD,IMD2
,,48,3695,5,25,3695,5,N/A,,N/A
,,66,1735,5,25,2135,5,N/A,,N/A
CA_2A-48A-66ACA_2A-48C-66A,CA_2A-48A,2,1905,5,25,1985,5,N/A,FDD-TDD,N/A
,,48,3560,5,25,3560,5,N/A,,N/A
,,66,1755,5,25,2155,5,12.1,,IMD4
CA_3A-5A-7A,CA_3A-5A,3,1780,10,50,1875,10,N/A,FDD,N/A
,,5,845,5,25,890,5,N/A,,N/A
,,7,2505,10,50,2625,10,30.0,,IMD21
,CA_3A-7A,3,1725,10,50,1820,10,N/A,FDD,N/A
,,7,2565,10,50,2685,10,N/A,,N/A
,,5,840,5,25,885,5,19.0,,IMD3
CA_3A-7A-8ACA_3C-7A-8A,CA_3A-7A,3,1735,5,25,1830,5,N/A,FDD,N/A
,,7,2530,10,50,2650,10,,,N/A
,,8,895,5,25,940,5,18.0,,IMD3
,CA_3A-8A,3,1780,5,25,1875,5,N/A,FDD,N/A
,,8,890,5,25,935,5,,,N/A
,,7,2550,10,50,2670,10,29.0,,IMD2+IMD34
CA_3A-7A-20A,CA_3A-7A,3,1737,5,25,1832,5,N/A,FDD,N/A
,,7,2543,10,50,2663,10,N/A,,N/A
,,20,847,10,20,806,10,10.5,,IMD2
,CA_3A-20A,3,1775,10,50,1870,10,N/A,FDD,N/A
,,20,855,5,25,896,5,N/A,,N/A
,,7,2510,10,50,2630,10,26.0,,IMD21
CA_3A-7A-26A,CA_3A-7A,3,1720,5,25,1815,5,N/A,FDD,N/A
,,7,2560,10,50,2680,10,N/A,,N/A
,,26,835,5,25,880,5,17.5,,IMD3
CA_3A-7A-26A,CA_3A-26A,3,1780,5,25,1875,5,N/A,FDD,N/A
,,26,845,5,25,890,5,N/A,,N/A
,,7,2505,10,50,2625,10,29.0,,IMD21
CA_3A-7A-28ACA_3A-7C-28A,CA_3A-7A,3,1747,5,25,1842,5,N/A,FDD,N/A
,,7,2543,5,25,2663,5,N/A,,N/A
,,28,741,5,25,796.0,5,20.0,,IMD2
,CA_3A-28A,3,1712.5,5,25,1807.5,5,N/A,FDD,N/A
,,28,743,5,25,798,5,N/A,,N/A
,,7,2562,5,25,2682,5,17.0,,IMD3
,CA_7A-28A,7,2543,5,25,2663,5,N/A,FDD,N/A
,,28,710.5,5,25,765.5,5,N/A,,N/A
,,3,1737.5,5,25,1832.5,5,26.0,,IMD2
CA_3A-7A-32ACA_3A-7C-32A,CA_3A-7ACA_7C,3,1775,5,25,1870,5,N/A,FDD,N/A
,,7,2510,10,50,2630,10,N/A,,N/A
,,32,-,-,-,1470,5,10.5,,IMD4
CA_3A-7A-40A CA_3A-7A-40CCA_3A-7A-40D CA_3A-7A-40A-40A,CA_7A-40A,3,N/A,5,N/A,1866.6,5,3.4,FDD,IMD5
,,7,2530,5,25,2650,5,N/A,FDD,N/A
,,40,2310,5,25,2310,5,N/A,TDD,N/A
CA_3A-8A-20A,CA_3A-8A,3,1720,5,25,1815,5,N/A,FDD,N/A
,,8,910,5,25,955,5,N/A,,N/A
,,20,851,5,25,810,5,27.0,,IMD2
CA_3A-8A-38A,CA_3A-8A,3,1720,5,25,1815,5,N/A,FDD-TDD,N/A
,,8,890,5,25,935,5,N/A,,N/A
,,38,2610,5,25,2610,5,26.4,,IMD2
,CA_3A-8A,3,1750,5,25,1845,5,N/A,FDD-TDD,N/A
,,8,900,5,25,945,5,N/A,,N/A
,,38,2600,5,25,2600,5,15.7,,IMD3
CA_3A-8A-41ACA_3A-8A-41A-41A,CA_3A-8A,3,1780,5,25,1875,5,N/A,FDD,N/A
,,8,885,5,25,930,5,N/A,FDD,N/A
,,41,2665,5,25,2665,5,27.4,TDD,IMD21
,CA_3A-41A,3,1715,5,25,1810,5,N/A,FDD,N/A
,,8,905,5,25,950,5,28.9,FDD,IMD21
,,41,2665,5,25,2665,5,N/A,TDD,N/A
,CA_8A-41A,3,N/A,N/A,N/A,N/A,N/A,N/A,FDD,IMD2
,,8,N/A,N/A,N/A,N/A,N/A,N/A,FDD,N/A
,,41,N/A,N/A,N/A,N/A,N/A,N/A,TDD,N/A
CA_3A-11A-18A,CA_3A-11A,3,1725,5,25,1820,5,N/A,FDD,N/A
,,11,1440,5,25,1448,5,N/A,,N/A
,,18,825,5,25,870,5,4.9,,IMD5
,CA_11A-18A,11,1432,5,25,1481,5,N/A,FDD,N/A
,,18,820,5,25,865,5,N/A,,N/A
,,3,1753,5,25,1848,5,4.0,,IMD5
CA_3A-11A-26A,CA_3A-11A,3,1725,5,25,1820,5,N/A,FDD,N/A
,,11,1440,5,25,1448,5,N/A,,N/A
,,26,825,5,25,870,5,4.9,,IMD5
,CA_3A-26A,3,1782.5,5,25,1877.5,5,N/A,FDD,N/A
,,26,816.5,5,25,861.5,5,N/A,,N/A
,,11,1435.5,5,25,1483.5,5,5.0,,IMD5
,CA_11A-26A,11,1440,5,25,1488,5,N/A,FDD,N/A
,,26,824,5,25,869,5,N/A,,N/A
,,3,1761,5,25,1856,5,4.5,,IMD5
CA_3A-19A-21A,CA_19A-21A,19,832.5,5,25,877.5,5,N/A,FDD,N/A
,,21,1460.4,5,25,1508.4,5,N/A,,N/A
,,3,1774.6,5,25,1869.6,5,4.0,,IMD5
,,3,1760,5,25,1855,5,N/A,FDD,N/A
CA_3A-20A-38A,CA_3A-20A,20,850,5,25,809,5,N/A,,N/A
,,38,2610,5,25,2610,5,28.4,TDD,IMD21
CA_3A-20A-67ACA_3C-20A-67A,CA_3A-20A,3,1775,5,25,1870,5,N/A,FDD,N/A
,,20,840,5,25,799,5,N/A,,N/A
,,67,N/A,5,25,745,5,9.4,,IMD4
CA_3A-21A-28A,CA_3A-21A,3,1782,5,25,1877,5,N/A,FDD,N/A
,,21,1451,5,25,1499,5,N/A,,N/A
,,28,734,5,25,789,5,3.0,,IMD5
CA_3A-28A-41A,CA_3A-41,3,1720,5,25,1815,5,N/A,FDD,N/A
,,41,2510,5,25,2510,5,N/A,TDD,N/A
,,28,735,5,25,790,5,26.0,FDD,IMD21
CA_3A-41A-42A,CA_41A-42A,41,2640,10,50,2640,10,N/A,TDD,N/A
,,42,3425,10,50,3425,10,,TDD,N/A
,,3,1760,5,25,1855,5,16.0,FDD,IMD3
CA_5A-46D-66A,CA_5A_46D,5,834,5,25,879,5,N/A,FDD-TDD,N/A
,,46,5491,20,100,5491,20,,,N/A
,,66,1755,5,25,2155,5,0.3,,IMD5
CA_7A-28A-40A CA_7A-28A-40CCA_7A-28A-40D CA_7A-28A-40A-40A,CA_28A-40A,7,N/A,5,N/A,2630,5,5.9,FDD,IMD5
,,28,743,5,25,798,5,N/A,FDD,N/A
,,40,2310,5,25,2310,5,N/A,TDD,N/A
CA_13A-48A-66A,CA_13A-48A,13,782,5,25,751,5,N/A,FDD-TDD,N/A
,,48,3695,5,25,3695,5,N/A,,N/A
,,66,1731,5,25,2131,5,17.1,,IMD3
CA_19A-21A-42A,CA_19A-21A,19,842.5,5,25,887.5,5,N/A,FDD,N/A
,,21,1450.4,5,25,1498.4,5,N/A,FDD,N/A
,,42,3508.7,5,25,3508.7,5,13.0,TDD,IMD4
,CA_21A-42A,21,1460.4,5,25,1508.4,5,N/A,FDD,N/A
,,42,3500,5,25,3500,5,N/A,FDD,N/A
,,19,836.2,5,25,881.2,5,13.0,TDD,IMD4
CA_28A-41A-42A,CA_41A-42A,41,2672,10,50,2672,10,N/A,TDD,N/A
,,42,3460,10,50,3460,10,,TDD,N/A
,,28,733,5,25,788,5,26.0,FDD,IMD2
CA_1A-21A-42A6,CA_1A-42A,1,,,,,,,FDD,N/A
,,42,,,,,,,TDD,N/A
,,21,,,,,,,FDD,N/A
CA_2A-5A-48ACA_2A-5A-48CCA_2A-5A-48D,CA_5A-48A,2,1882,5,25,1962,5,15.6,FDD-TDD,IMD3
,,5,839,5,25,884,5,N/A,,N/A
,,48,3640,5,25,3640,5,N/A,,N/A
CA_2A-5A-48ACA_2A-5A-48CCA_2A-5A-48D,CA_2A-5A,2,1905,5,25,1985,5,N/A,FDD-TDD,N/A
,,5,844,5,25,889,5,N/A,,N/A
,,48,3593,5,25,3593,5,16.6,,IMD3
CA_2A-13A-48ACA_2A-13A-48CCA_2A-13A-48D,CA_13A-48A,2,1903.5,5,25,1983.5,5,15.6,FDD-TDD,IMD3
,,13,784.5,5,25,753.5,5,N/A,,N/A
,,48,3552.5,5,25,3552.5,5,N/A,,N/A
"CA_2A-48A-66A,CA_2A-48D-66A,CA_2A-48E-66A,CA_2A-48A-66A-66A,CA_2A-48C-66A-66A,CA_2A-48D-66A-66A,CA_2A-48E-66A-66A",CA_2A-66A,2,1855,5,25,1935,5,N/A,FDD-TDD,N/A
,,48,3625,5,25,3625,5,32.0,,IMD2
,,66,1770,5,25,2190,5,N/A,,N/A
"CA_2A-14A-66A,CA_2A-2A-14A-66A,CA_2A-14A-66A-66A,CA_2A-2A-14A-66A-66A,CA_2A-14A-66A-66A-66A",CA_2A-14A,2,1870,5,25,1950,5,N/A,FDD,N/A
,,14,793,5,25,763,5,N/A,,N/A
,,66,1734,5,25,2154,5,7.2,,IMD4
,CA_14A-66A,2,1874,5,25,1954,5,6.2,FDD,IMD4
,,14,793,5,25,763,5,N/A,,N/A
,,66,1770,5,25,2190,5,N/A,,N/A
"NOTE 1:This band is subject to IMD3 also which MSD is not specified.NOTE 1:Both of the transmitters shall be set min(+20 dBm, PCMAX_L,c) as defined in subclause 6.2.5ANOTE 2:RBSTART = 0NOTE 3:VoidNOTE 4:This MSD requirement apply with both IMD2 and IMD3 products should be generated.NOTE 5:For operations with 4 antenna ports, the MSD in the applicable bands shall be modified by the absolute value of ΔRIB,4R in Table 7.3.1-1a when MSD > 0.NOTE 6:Due to the spectrum holdings of the operator, the deployed frequency ranges do not result MSD to interested downlink channel. Therefore, no requirements apply for this CA configuration.NOTE 7:This band is subject to IMD5 also which MSD is not specified.",,,,,,,,,,
