E-UTRA CA Band,E-UTRA Band(Table 5.5-1)
CA_7-30,"7, 30"
CA_7-32,"7, 32"
CA_7-40,"7, 40"
CA_7-40-40,"7, 40"
CA_7-42,"7, 42"
CA_7-42-42,"7, 42"
CA_7-46,"7, 46"
CA_7-7-46,"7, 46"
CA_7-66,"7, 66"
CA_7-7-66,"7, 66"
CA_7-7-66-66,"7, 66"
CA_7-66-66,"7, 66"
CA_8-11,"8, 11"
CA_8-20,"8, 20"
CA_8-27,"8, 27"
CA_8-28,"8, 28"
CA_8-32,"8, 32"
CA_8-38,"8, 38"
CA_8-39,"8, 39"
CA_8-40,"8, 40"
CA_8-41,"8, 41"
CA_8-41-41,"8, 41"
CA_8-42,"8, 42"
CA_8-46,"8, 46"
CA_8-48,"8, 48"
CA_11-18,"11, 18"
CA_11-26,"11, 26"
CA_11-28,"11, 28"
CA_11-41,"11, 41"
CA_11-42,"11, 42"
CA_11-46,"11, 46"
CA_12-25,"12, 25"
CA_12-30,"12, 30"
CA_12-46,"12, 46"
CA_12-48,"12, 48"
CA_12-66,"12, 66"
CA_12-66-66,"12, 66"
CA_12-71,"12, 71"
CA_13-46,"13, 46"
CA_13-46-46,"13, 46"
CA_13-48,"13, 48"
CA_13-48-48,"13, 48"
CA_13-66,"13, 66"
CA_13-66-66,"13, 66"
CA_14-66,"14, 66"
CA_14-66-66,"14, 66"
CA_14-66-66-66,"14, 66"
CA_14-30,"14, 30"
CA_18-281,"18, 28"
CA_18-41,"18, 41"
CA_18-42,"18, 42"
CA_19-21,"19, 21"
CA_19-282,"19, 28"
CA_19-42,"19, 42"
CA_19-46,"19, 46"
CA_20-281,"20, 28"
CA_20-31,"20, 31"
CA_20-32,"20, 32"
CA_20-38,"20, 38"
CA_20-40,"20, 40"
CA_20-40-40,"20, 40"
CA_20-41,"20, 41"
CA_20-42,"20, 42"
CA_20-42-42,"20, 42"
CA_20-43,"20, 43"
CA_20-67,"20, 67"
CA_20-75,"20, 75"
CA_20-76,"20, 76"
CA_21-28,"21, 28"
CA_21-42,"21, 42"
CA_21-46,"21, 46"
CA_23-29,"23, 29"
CA_25-26,"25, 26"
CA_25-25-26,"25, 26"
CA_25-41,"25, 41"
CA_25-25-41,"25, 41"
CA_25-46,"25, 46"
CA_25-66,"25, 66"
CA_26-41,"26, 41"
CA_26-46,"26, 46"
CA_26-48,"26, 48"
CA_26-48-48,"26, 48"
CA_26-66,"26, 66"
CA_28-32,"28, 32"
CA_28-38,"28, 38"
CA_28-40,"28, 40"
CA_28-40-40,"28, 40"
CA_28-41,"28, 41"
CA_28-42,"28, 42"
CA_28-42-42,"28, 42"
CA_28-46,"28, 46"
CA_28-66,"28, 66"
CA_29-30,"29, 30"
CA_29-66,"29, 66"
CA_29-66-66,"29, 66"
CA_29-70,"29, 70"
CA_30-66,"30, 66"
CA_30-66-66,"30, 66"
CA_32-42,"32, 42"
CA_32-43,"32, 43"
CA_34-39,"34, 39"
CA_34-41,"34, 41"
CA_38-40,"38, 40"
CA_38-40-40,"38, 40"
CA_39-41,"39, 41"
CA_39-40,"39, 40"
CA_39-42,"39, 42"
CA_39-46,"39, 46"
CA_40-41,"40, 41"
CA_40-42,"40, 42"
CA_40-42-42,"40, 42"
CA_40-40-42,"40, 42"
CA_40-40-42-42,"40, 42"
CA_40-43,"40, 43"
CA_40-46,"40, 46"
CA_41-42,"41, 42"
CA_41-42-42,"41, 42"
CA_41-46,"41, 46"
CA_41-48,"41, 48"
CA_42-43,"42, 43"
CA_42-46,"42, 46"
CA_46-48,"46, 48"
CA_46-48-48,"46, 48"
CA_46-53,"46, 53"
CA_46-66,"46, 66"
CA_46-46-66,"46, 66"
CA_46-66-66,"46, 66"
CA_46-70,"46, 70"
CA_46-71,"46, 71"
CA_48-53,"48, 53"
CA_48-66,"48, 66"
CA_48-66-66,"48, 66"
CA_48-48-66-66,"48, 66"
CA_48-48-66,"48, 66"
CA_48-71,"48, 71"
CA_48-48-71,"48, 71"
CA_66-70,"66, 70"
CA_66-66-70,"66, 70"
CA_66-71,"66, 71"
CA_66-66-71,"66, 71"
CA_70-71,"70, 71"
NOTE 1:The frequency range in band 28 is restricted for this CA band combination to 703-733 MHz for the UL and 758-788 MHz for the DL. This restriction also apply for any band combinations when CA_20-28 is a subset of a higher order band combination.NOTE 2:The frequency range in band 28 is restricted for this CA band combination to 718-748 MHz for the UL and 773-803 MHz for the DL,
