E-UTRA CA configuration / Bandwidth combination set,,,,,,,,,,
E-UTRA CA Configuration,Uplink CA configurations (NOTE 5),E-UTRA Bands,1.4MHz,3MHz,5MHz,10MHz,15MHz,20MHz,Maximum aggregated bandwidth[MHz],Bandwidth combination set
CA_1A-1A-3C-28A,CA_3CCA_1A-3ACA_1A-28ACA_3A-28A,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,100,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-32A,CA_1A-3A,1,,,Yes,Yes,Yes,Yes,60,0
,,3,,,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
,,1,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-32A,CA_3C CA_1A-3A,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,80,0
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-38A,CA_1A-3A,1,,,Yes,Yes,Yes,Yes,60,0
,,3,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-38A,CA_3CCA_1A-3A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-38A,-,1,See CA_1A-1A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3C-38A,-,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,100,0
,,3,See CA_3C Bandwidth combination set 0 in table 5.6A.1-1,,,,,,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-38A,,1,,,Yes,Yes,Yes,Yes,80,0
,-,3,See CA_3A-3A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-40A,CA_1A-3ACA_1A-40ACA_3A-40A,1,,,Yes,Yes,Yes,Yes,60,0
,,3,,,Yes,Yes,Yes,Yes,,
,,40,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-40A-40A,CA_1A-3ACA_1A-40ACA_3A-40A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,40,See CA_40A-40A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,
CA_1A-3A-40C,CA_1A-40ACA_3A-40A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,40,See CA_40C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-40D,CA_1A-40ACA_3A-40A,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,40,See CA_40D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3C-40A,-,1,,,Yes,Yes,Yes,Yes,80,0
,,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
,,40,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-40C,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,40,See CA_40C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-41A9,CA_1A-3A,1,,,Yes,Yes,Yes,Yes,60,0
,,3,,,Yes,Yes,Yes,Yes,,
,,41,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-41A,-,1,,,Yes,Yes,Yes,Yes,,
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,80,0
,,41,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-41C,-,1,,,Yes,Yes,Yes,Yes,,
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,80,0
,,41,See CA_41C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-41A-41A,CA_1A-3ACA_1A-41ACA_3A-41A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,41,See CA_41A-41A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,
CA_1A-3A-41C9,CA_1A-3A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,41,See CA_41C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-41D9,CA_1A-3A,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,41,See CA_41D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-42A,CA_1A-3A CA_1A-42A CA_3A-42A,1,,,Yes,Yes,Yes,Yes,60,0
,,3,,,Yes,Yes,Yes,Yes,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-42A,CA_1A-3A CA_1A-42A CA_3A-42A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-42A-42A,-,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,42,See CA_42A-42A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
CA_1A-3A-42A-42C,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,42,See CA_42A-42C Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
CA_1A-3A-42C,CA_1A-3A CA_1A-42ACA_1A-42CCA_3A-42ACA_3A-42CCA_42C,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,42,See CA_42C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-42C-42C,-,1,,,Yes,Yes,Yes,Yes,120,0
,,3,,,Yes,Yes,Yes,Yes,,
,,42,See CA_42C-42C Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
CA_1A-3A-42D,CA_1A-3ACA_1A-42ACA_3A-42ACA_1A-42CCA_3A-42C,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,42,See CA_42D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-43A,-,1,,,Yes,Yes,Yes,,50,0
,,3,,,Yes,Yes,Yes,,,
,,43,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-46A,-,1,,,Yes,Yes,Yes,Yes,60,0
,,3,,,Yes,Yes,Yes,Yes,,
,,46,,,,Yes,,Yes,,
,-,1,,,Yes,Yes,Yes,Yes,60,1
,,3,,,Yes,Yes,Yes,Yes,,
,,46,,,,,,Yes,,
CA_1A-3A-46C,-,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,46,See CA_46C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,
,-,1,,,Yes,Yes,Yes,Yes,80,1
,,3,,,Yes,Yes,Yes,Yes,,
,,46,See CA_46C in Table 5.6A.1-1 of TS 36.101 Bandwidth Combination Set 0,,,,,,,
CA_1A-3A-46D,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,46,See CA_46D in Table 5.6A.1-1 of TS 36.101 Bandwidth Combination Set 0,,,,,,,
CA_1A-3A-46E,-,1,,,Yes,Yes,Yes,Yes,120,0
,,3,,,Yes,Yes,Yes,Yes,,
,,46,See CA_46E in Table 5.6A.1-1 of TS 36.101 Bandwidth Combination Set 0,,,,,,,
CA_1A-3A-71A,-,1,,,Yes,Yes,Yes,Yes,60,0
,,3,,,Yes,Yes,Yes,Yes,,
,,71,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-71A,-,1,,,Yes,Yes,Yes,Yes,80,0
,,3,See CA_3C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
,,71,,,Yes,Yes,Yes,Yes,,
CA_1A-5A-40A,CA_1A-5A6,1,,,Yes,Yes,Yes,Yes,50,0
,,5,,,Yes,Yes,,,,
,,40,,,,Yes,Yes,Yes,,
CA_1A-5A-41A11,-,1,,,Yes,Yes,Yes,Yes,50,0
,,5,,,Yes,Yes,,,,
,,41,,,,,,Yes,,
CA_1A-5A-46A,CA_1A-5A6,1,,,Yes,Yes,Yes,Yes,50,0
,,5,,,Yes,Yes,,,,
,,46,,,,,,Yes,,
CA_1A-1A-5A-7A,-,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,70,0
,,5,,,Yes,Yes,,,,
,,7,,,,Yes,Yes,Yes,,
CA_1A-5A-7A,CA_1A-5A6CA_1A-7ACA_5A-7A,1,,,Yes,Yes,,,40,0
,,5,,,Yes,Yes,,,,
,,7,,,,Yes,Yes,Yes,,
,,1,,,Yes,Yes,Yes,Yes,50,1
,,5,,,Yes,Yes,,,,
,,7,,,,Yes,Yes,Yes,,
CA_1A-5A-7A-7A,CA_1A-5A6CA_1A-7ACA_5A-7A,1,,,Yes,Yes,Yes,Yes,70,0
,,5,,,Yes,Yes,,,,
,,7,See CA_7A-7A Bandwidth Combination Set 3 in Table 5.6A.1-3,,,,,,,
CA_1A-5A-28A,-,1,,,Yes,Yes,Yes,,45,0
,,5,,,Yes,Yes,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-5A-46C,CA_1A-5A6,1,,,Yes,Yes,Yes,Yes,70,0
,,5,,,Yes,Yes,,,,
,,46,See CA_46C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-5A-46D,-,1,,,Yes,Yes,Yes,Yes,90,0
,,5,,,Yes,Yes,,,,
,,46,See CA_46D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-7A-8A,CA_1A-7A CA_1A-8ACA_7A-8A,1,,,Yes,Yes,Yes,Yes,50,0
,,7,,,,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,1,,,Yes,Yes,Yes,Yes,50,1
,,7,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
CA_1A-7A-8B,CA_1A-7ACA_1A-8ACA_1A-8BCA_7A-8ACA_7A-8BCA_8B,1,,,Yes,Yes,Yes,Yes,60,0
,,7,,,Yes,Yes,Yes,Yes,,
,,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-7A-7A-8A,CA_1A-7ACA_1A-8ACA_7A-8A,1,,,Yes,Yes,Yes,Yes,70,0
,,7,See CA_7A-7A Bandwidth combination set 1 in Table 5.6A.1-3,,,,,,,
,,8,,,Yes,Yes,,,,
CA_1A-7A-7A-8B,CA_1A-7ACA_1A-8ACA_1A-8BCA_7A-8ACA_7A-8BCA_8B,1,,,Yes,Yes,Yes,Yes,80,0
,,7,See CA_7A-7A Bandwidth combination set 1 in Table 5.6A.1-3,,,,,,,
,,8,See CA_8B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-7A-20A,CA_1A-7ACA_1A-20ACA_7A-20A,1,,,Yes,Yes,Yes,Yes,50,0
,,7,,,,Yes,Yes,Yes,,
,,20,,,Yes,Yes,,,,
,,1,,,Yes,Yes,Yes,Yes,60,1
,,7,,,,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
,,1,,,Yes,Yes,Yes,Yes,60,2
,,7,,,Yes,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-7A-20A,CA_1A-7ACA_1A-20ACA_7A-20A,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,80,0
,,7,,,Yes,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-7A-20A,CA_1A-7ACA_1A-20ACA_7A-20A,1,,,Yes,Yes,Yes,Yes,80,0
,,7,See CA_7A-7A Bandwidth Combination Set 3 in Table 5.6A.1-3,,,,,,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-7A-7A-20A,CA_1A-7ACA_1A-20ACA_7A-20A,1,See CA_1A-1A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,100,0
,,7,See CA_7A-7A Bandwidth Combination Set 1 in Table 5.6A.1-3,,,,,,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-7C-20A,CA_7C,1,,,Yes,Yes,Yes,Yes,80,0
,,7,See CA_7C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,
,,20,,,Yes,Yes,Yes,Yes,,
CA_1A-7A-26A,CA_1A-7ACA_1A-26ACA_7A-26A,1,,,Yes,Yes,Yes,Yes,55,0
,,7,,,Yes,Yes,Yes,Yes,,
,,26,,,Yes,Yes,Yes,,,
CA_1A-7A-7A-26A,CA_1A-7A CA_1A-26A CA_7A-26A,1,,,Yes,Yes,Yes,Yes,75,0
,,7,See CA_7A-7A Bandwidth Combination Set 3 in Table 5.6A.1-3,,,,,,,
,,26,,,Yes,Yes,Yes,,,
CA_1A-7C-26A,CA_1A-7A CA_1A-26A CA_7A-26ACA_7C,1,,,Yes,Yes,Yes,Yes,75,0
,,7,See CA_7C Bandwidth combination set 2 in Table 5.6A.1-1,,,,,,,
,,26,,,Yes,Yes,Yes,,,
CA_1A-7A-28A,CA_1A-7A CA_1A-28A CA_7A-28A,1,,,Yes,Yes,Yes,Yes,55,0
,,7,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,,,
,,1,,,Yes,Yes,Yes,Yes,60,1
,,7,,,,Yes,Yes,Yes,,
,,28,,,,Yes,Yes,Yes,,
,,1,,,Yes,Yes,Yes,Yes,60,2
,,7,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
