Network Signalling value,Requirements (subclause),E-UTRA Band,Channel bandwidth (MHz),Resources Blocks (NRB),A-MPR (dB)
NS_22,6.6.3.3.16,"42(NOTE 8), 43","5, 10, 15, 20",Table 6.2.4-17,
NS_23,6.6.3.3.17,"42(NOTE 8), 43","5, 10, 15, 20",N/A,
NS_24,6.6.3.3.20,65 (NOTE 4),"5, 10, 15, 20",Table 6.2.4-19,
NS_25,6.6.3.3.21,65 (NOTE 4),"5, 10, 15, 20",Table 6.2.4-20,
NS_26,6.6.3.3.22,68,"10, 15",Table 6.2.4-21,
NS_27,"6.6.2.2.5,6.6.3.3.23",48,"5, 10, 15, 20",Table 6.2.4-22,
NS_28,"6.2.2A,6.6.2.2.66.6.3.3.24",46 (NOTE 5),20,Table 6.2.4-23,
NS_29,"6.2.2A,6.6.2.3.1a, 6.6.3.3.25",46 (NOTE 5),20,Table 6.2.4-24,
NS_30,"6.2.2A, 6.6.3.3.26",46 (NOTE 5),20,Table 6.2.4-25,
NS_31,"6.2.2A, 6.6.3.3.27",46 (NOTE 5),20,Table 6.2.4-26,
NS_32,-,-,-,-,-
…,,,,,
NS_35,6.6.2.2.7,71,"5, 10, 15, 20",N/A,
NS_36,6.6.3.3.28,68,"5, 10, 15",Table 6.2.4-27,
NS_38,6.6.3.3.29,74,"1.4, 3, 5, 10, 15, 20",Table 6.2.4-28,
NS_39,6.6.3.3.30,74,"10, 15, 20",Table 6.2.4-29,
NS_40,6.6.3.3.31,51,"3, 5","Table 6.2.4-30a, Table 6.2.4-30b",
NS_41,6.6.3.3.31,50,"3, 5, 10, 15, 20",Table 6.2.4-31,
NS_42,6.6.3.3.32,50,"3, 5, 10, 15, 20",Table 6.2.4-32,
NS_43,6.6.2.2.56.6.3.3.23,49,20,Table 6.2.4-33,
NS_44,6.6.3.3.33,38 (Note 7),"5, 10, 15, 20",Table 6.2.4-34,
NS_45,6.6.3.3.34,53,"1.4, 3, 5, 10",N/A,
..,,,,,
NS_56,6.6.3.3.35,24,"5, 10",Table 6.2.4-34a,
..,,,,,
NS_62,6.6.3.3.36,54,"1.4, 3, 5",N/A,
NS_UAV_7010,6.6.3K,3,"1.4, 3, 5, 10, 15, 20",Table 6.6.3K-1,
NS_UAV_4410,6.6.3K,38,"5, 10, 15, 20",Table 6.6.3K-2,
NS_UAV_4610,6.6.3K,7,"5, 10, 15, 20",Table 6.6.3K-3,
"NOTE 1:Applicable when the lower edge of the assigned E-UTRA UL channel bandwidth frequency is larger than or equal to the upper edge of PHS band (1915.7 MHz) + 4 MHz + the channel BW assigned, where channel BW is as defined in subclause 5.6.  A-MPR for operations below this frequency is not covered in this version of specifications except for the channel assignments in NOTE2 as the emissions requirement in 6.6.3.3.1 may not be met. For 10MHz channel bandwidth whose carrier frequency is larger than or equal to 1945 MHz or 15 MHz channel bandwidth whose carrier frequency is larger than or equal to 1947.5 MHz, no A-MPR applies.NOTE 2:Applicable when carrier frequency is 1932.5 MHz for 15MHz channel bandwidth or 1930 MHz for 20MHz channel bandwidth case.NOTE 3:Applicable when the E-UTRA carrier is within 1920-1980 MHz.NOTE 4:Applicable when the upper edge of the channel bandwidth frequency is greater than 1980MHz.NOTE 5:Applicable only for an LAA Scell configured in Band 46.NOTE 6:Applicable when the E-UTRA carrier is within 1447.9 – 1462.9 MHzNOTE 7:Applicable for power class 2 UE in E-UTRA carrier with channel bandwidth is confined within 2570 MHz and 2615 MHzNOTE 8:Not applicable for power class 2 UE in Band 42NOTE 9: Applicable only for power class 1 UE in Band 12. Not applicable for all other cases.NOTE 10:The index of the sequence NS_UAV corresponds to the value of additionalSpectrumEmission when associated to a IE field NS-PmaxListAerial as described in [7]NOTE 11:Applicable only for power class 2 UE. Not applicable for all other cases.",,,,,
