E-UTRA CA configuration / Bandwidth combination set,,,,,,,,,,
E-UTRA CA Configuration,Uplink CA configurations (NOTE 5),E-UTRA Bands,1.4MHz,3MHz,5MHz,10MHz,15MHz,20MHz,Maximum aggregated bandwidth[MHz],Bandwidth combination set
CA_1A-3A-8A-32A,-,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-8A-38A,CA_1A-3ACA_1A-8ACA_3A-8A,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-8A-38A,CA_3CCA_1A-3A CA_1A-8ACA_3A-8A,1,,,Yes,Yes,Yes,Yes,90,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,8,,,Yes,Yes,,,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-8A-38A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,8,,,Yes,Yes,,,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-8A-41A,CA_1A-3ACA_1A-8ACA_1A-41ACA_3A-8ACA_3A-41ACA_8A-41A,1,,,Yes,Yes,Yes,Yes,70,0
,,3,Yes,Yes,Yes,Yes,Yes,Yes,,
,,8,Yes,Yes,Yes,Yes,,,,
,,41,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-8A-41A,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,8,,,Yes,Yes,,,,
,,41,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-8A-41A-41A,CA_1A-3ACA_1A-8ACA_1A-41ACA_3A-8ACA_3A-41ACA_8A-41A,1,,,Yes,Yes,Yes,Yes,90,0
,,3,Yes,Yes,Yes,Yes,Yes,Yes,,
,,8,Yes,Yes,Yes,Yes,,,,
,,41,See CA_41A-41A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,
CA_1A-3A-8A-41C,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,41,See CA_41C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-8A-42A,-,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-8A-42C,-,1,,,Yes,Yes,Yes,Yes,90,0
,,3,,,Yes,Yes,Yes,Yes,,
,,8,,,Yes,Yes,,,,
,,42,See CA_42C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-11A-28A,-,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,11,,,Yes,Yes,,,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-18A-42A,-,1,,,Yes,Yes,Yes,Yes,75,0
,,3,,,Yes,Yes,Yes,Yes,,
,,18,,,Yes,Yes,Yes,,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-18A-42C,-,1,,,Yes,Yes,Yes,Yes,95,0
,,3,,,Yes,Yes,Yes,Yes,,
,,18,,,Yes,Yes,Yes,,,
,,42,See CA_42C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-19A-21A,CA_1A-3A CA_1A-19A6 CA_1A-21A CA_3A-19A CA_3A-21A CA_19A-21A,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,19,,,Yes,Yes,Yes,,,
,,21,,,Yes,Yes,Yes,,,
CA_1A-3A-19A-42A,CA_1A-3A CA_1A-19A6 CA_1A-42A CA_3A-19A CA_3A-42A CA_19A-42A6,1,,,Yes,Yes,Yes,Yes,75,0
,,3,,,Yes,Yes,Yes,Yes,,
,,19,,,Yes,Yes,Yes,,,
,,42,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-19A-21A,CA_1A-3A CA_1A-19A6 CA_1A-21A CA_3A-19A CA_3A-21A CA_19A-21A,1,,,Yes,Yes,Yes,Yes,90,0
,,3,See CA_3A-3A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,
,,19,,,Yes,Yes,Yes,,,
,,21,,,Yes,Yes,Yes,,,
CA_1A-3A-19A-42C,CA_1A-3A CA_1A-19A6 CA_1A-42A CA_3A-19A CA_3A-42A CA_19A-42A6,1,,,Yes,Yes,Yes,Yes,95,0
,,3,,,Yes,Yes,Yes,Yes,,
,,19,,,Yes,Yes,Yes,,,
,,42,See CA_42C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
CA_1A-3A-20A-28A7,-,1,,,Yes,Yes,Yes,Yes,80,0
,,3,,,Yes,Yes,Yes,Yes,,
,,20,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-1A-3A-20A-28A7,-,1,See CA_1A-1A Bandwidth combination set 0 in in Table 5.6A.1-3,,,,,,100,0
,,3,,,Yes,Yes,Yes,Yes,,
,,20,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-3A-20A-28A7,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3A-3A Bandwidth combination set 0 in in Table 5.6A.1-3,,,,,,,
,,20,,,,Yes,Yes,Yes,,
,,28,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-20A-32A,-,1,,,Yes,Yes,Yes,Yes,70,0
,,3,,,Yes,Yes,Yes,Yes,,
,,20,,,,Yes,,,,
,,32,,,Yes,Yes,Yes,Yes,,
,,1,,,Yes,Yes,Yes,,55,1
,,3,,,Yes,Yes,Yes,,,
,,20,,,Yes,,,,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-20A-32A,-,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
,,20,,,Yes,Yes,Yes,Yes,,
,,32,,,Yes,Yes,Yes,Yes,,
CA_1A-3A-20A-38A,CA_1A-3ACA_1A-20ACA_3A-20A,1,,,Yes,Yes,Yes,Yes,80,0
,,3,Yes,Yes,Yes,Yes,Yes,Yes,,
,,20,,,Yes,Yes,Yes,Yes,,
,,38,,,Yes,Yes,Yes,Yes,,
CA_1A-3C-20A-38A,CA_3CCA_1A-3A,1,,,Yes,Yes,Yes,Yes,100,0
,,3,See CA_3C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,
