E-UTRA CA configuration / Bandwidth combination set,,,,,,,,,,,,,,,,
E-UTRA CA Configuration,Uplink CA configurations (NOTE 4),E-UTRA Bands,1.4MHz,3MHz,,5MHz,,10MHz,,15MHz,,,,20MHz,Maximum aggregated bandwidth[MHz],Bandwidth combination set
,,40,See CA_40D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-41A8,-,1,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,41,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-41A,CA_1A-41A,1,,,,Yes,,Yes,,Yes,,,,Yes,40,1
,,41,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-41A-41A,CA_1A-41A,1,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,41,See CA_41A-41A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_1A-41C8,CA_1A-41ACA_1A-41C,1,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,41,See CA_41C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-41D8,-,1,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,41,See CA_41D Bandwidth combination set 0 at Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-42A,CA_1A-42A,1,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,42,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-42A-42A,CA_1A-42A,1,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,42,See CA_42A-42A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_1A-42C,CA_1A-42ACA_1A-42C CA_42C,1,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,42,See CA_42C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-42A-42C,CA_1A-42A,1,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,42,See CA_42A-42C Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_1A-42C-42C,CA_1A-42A,1,,,,Yes,,Yes,,Yes,,,,Yes,100,0
,,42,See CA_42C-42C Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_1A-42D,CA_1A-42A,1,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,42,See CA_42D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-42E,CA_1A-42A,1,,,,Yes,,Yes,,Yes,,,,Yes,100,0
,,42,See CA_42E Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-43A,-,1,,,,Yes,,Yes,,Yes,,,,,35,0
,,43,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-46A,-,1,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,46,,,,,,,,,,,,Yes,,
,,1,,,,Yes,,Yes,,Yes,,,,Yes,40,1
,,46,,,,,,Yes,,,,,,Yes,,
CA_1A-46C,-,1,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,46,See CA_46C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
,-,1,,,,Yes,,Yes,,Yes,,,,Yes,60,1
,,46,See CA_46C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-46D,-,1,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,46,See CA_46D Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
,,1,,,,Yes,,Yes,,Yes,,,,Yes,80,1
,,46,See CA_46D Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1A-46E,-,1,,,,Yes,,Yes,,Yes,,,,Yes,100,0
,,46,See CA_46E Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
,,1,,,,Yes,,Yes,,Yes,,,,Yes,100,1
,,46,See CA_46E Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_1C-3A,-,1,See CA_1C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,3,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1C-20A,-,1,See CA_1C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,20,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_1A-68A,CA_1A-68A,1,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,68,,,,Yes,,Yes,,Yes,,,,,,
CA_1A-71A,-,1,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,71,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2A-4A,CA_2A-4A,2,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,40,0
,,4,,,,Yes,,Yes,,Yes,,,,Yes,,
,,2,,,,Yes,,Yes,,,,,,,20,1
,,4,,,,Yes,,Yes,,,,,,,,
,,2,,,,Yes,,Yes,,Yes,,,,Yes,40,2
,,4,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2C-4A,-,2,See CA_2C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,4,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2A-2A-4A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,4,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2A-4A-4A,-,2,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,4,See CA_4A-4A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-2A-4A-4A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,4,See CA_4A-4A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-5A,CA_2A-5A,2,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,5,,,,Yes,,Yes,,,,,,,,
,,2,,,,Yes,,Yes,,,,,,,20,1
,,5,,,,Yes,,Yes,,,,,,,,
CA_2A-2A-5A,CA_2A-5A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,5,,,,Yes,,Yes,,,,,,,,
CA_2A-5A-5A,-,2,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,5,See CA_5A-5A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-2A-46D,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,100,0
,,46,See CA_46D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2C-5A,-,2,See CA_2C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,50,0
,,5,,,,Yes,,Yes,,,,,,,,
CA_2A-5B,CA_2A-5A,2,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,5,See CA_5B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-2A-5B,-,2,See CA_2A-2A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,5,See CA_5B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2C-5B,-,2,See CA_2C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,5,See CA_5B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-2A-7A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,7,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2A-2A-7C,-,2,See the CA_2A-2A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,7,See CA_7C Bandwidth Combination Set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-7A,CA_2A-7A,2,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,7,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2A-7A-7A,-,2,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,7,See the CA_7A-7A Bandwidth combination set 1 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-2A-7A-7A,-,2,See the CA_2A-2A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,7,See the CA_7A-7A Bandwidth combination set 1 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-7C,-,2,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,7,See the CA_7C Bandwidth combination set 1 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2C-7A,-,2,See CA_2C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,60,0
,,7,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2A-8A,-,2,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,8,,,,Yes,,Yes,,,,,,,,
CA_2A-12A,CA_2A-12A,2,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,12,,,,Yes,,Yes,,,,,,,,
,,2,,,,Yes,,Yes,,Yes,,,,Yes,30,1
,,12,,Yes,,Yes,,Yes,,,,,,,,
,,2,,,,Yes,,Yes,,,,,,,20,2
,,12,,,,Yes,,Yes,,,,,,,,
CA_2A-2A-12A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,12,,,,Yes,,Yes,,,,,,,,
CA_2A-12A-12A,-,2,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,12,See CA_12A-12A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-2A-12A-12A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,12,See CA_12A-12A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-12B,CA_2A-12A,2,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,12,See CA_12B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-2A-12B,-,2,See CA_2A-2A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,55,0
,,12,See CA_12B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2C-12A,-,2,See CA_2C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,50,0
,,12,,,,Yes,,Yes,,,,,,,,
CA_2A-13A,CA_2A-13A,2,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,13,,,,,,Yes,,,,,,,,
,,2,,,,Yes,,Yes,,,,,,,20,1
,,13,,,,,,Yes,,,,,,,,
,,2,,,,Yes,,Yes,,Yes,,,,Yes,30,2
,,13,,,,Yes,,Yes,,,,,,,,
CA_2A-2A-13A,CA_2A-13A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,13,,,,,,Yes,,,,,,,,
,,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,1
,,13,,,,Yes,,Yes,,,,,,,,
CA_2A-14A,CA_2A-14A,2,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,14,,,,Yes,,Yes,,,,,,,,
CA_2A-2A-14A,CA_2A-14A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,14,,,,Yes,,Yes,,,,,,,,
CA_2A-17A,-,2,,,,Yes,,Yes,,,,,,,20,0
,,17,,,,Yes,,Yes,,,,,,,,
CA_2A-26A,-,2,,,,Yes,,Yes,,Yes,,,,Yes,35,0
,,26,,,,Yes,,Yes,,Yes,,,,,,
CA_2A-28A,CA_2A-28A,2,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2C-28A,CA_2A-28ACA_2C-28A,2,See CA_2C Bandwidth Combination Set 0 in table 5.6A.1-1,,,,,,,,,,,,60,0
,,28,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2A-29A,-,2,,,,Yes,,Yes,,,,,,,20,0
,,29,,Yes,,Yes,,Yes,,,,,,,,
,,2,,,,Yes,,Yes,,,,,,,20,1
,,29,,,,Yes,,Yes,,,,,,,,
,,2,,,,Yes,,Yes,,Yes,,,,Yes,30,2
,,29,,,,Yes,,Yes,,,,,,,,
CA_2A-2A-29A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,50,0
,,29,,,,Yes,,Yes,,,,,,,,
CA_2C-29A,-,2,See CA_2C Bandwidth Combination Set 0 in table 5.6A.1-1,,,,,,,,,,,,50,0
,,29,,,,Yes,,Yes,,,,,,,,
CA_2A-30A,CA_2A-30A,2,,,,Yes,,Yes,,Yes,,,,Yes,30,0
,,30,,,,Yes,,Yes,,,,,,,,
CA_2A-2A-30A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in table 5.6A.1-3,,,,,,,,,,,,50,0
,,30,,,,Yes,,Yes,,,,,,,,
CA_2C-30A,-,2,See CA_2C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,50,0
,,30,,,,Yes,,Yes,,,,,,,,
CA_2A-38A,-,2,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,38,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2A-46A,CA_2A-46A,2,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,46,,,,,,,,,,,,Yes,,
CA_2A-2A-46A,-,2,See CA_2A-2A Bandwidth Combination Set 0 in table 5.6A.1-3,,,,,,,,,,,,60,0
,,46,,,,,,,,,,,,Yes,,
CA_2A-46A-46C,-,2,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,46,See CA_46A-46C Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-46C,-,2,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,46,See CA_46C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-2A-46C,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,46,See CA_46C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-46D,-,2,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,46,See CA_46D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-46E,-,2,,,,Yes,,Yes,,Yes,,,,Yes,100,0
,,46,See CA_46E Bandwidth combination set 0 in the Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-2A-46E,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,120,0
,,46,See CA_46E Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-46A-46A,-,2,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,46,See CA_46A-46A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-46A-46A-46A,-,2,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,46,See CA_46A-46A-46A Bandwidth combination set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-46A-46D,-,2,,,,Yes,,Yes,,Yes,,,,Yes,100,0
,,46,See CA_46A-46D Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-48A,CA_2A-48A,2,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,48,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2A-48A-48A,CA_2A-48A,2,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,48,See CA_48A-48A Bandwidth combination set 0 in the Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-48A-48A-48A,-,2,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,48,See CA_48A-48A-48A Bandwidth combination set 0 in the Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-48C,CA_2A-48ACA_48C,2,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,48,See CA_48C Bandwidth combination set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-48A-48C,CA_2A-48A,2,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,48,See the CA_48A-48C Bandwidth combination set 0 in the Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-48A-48D,CA_2A-48A,2,,,,Yes,,Yes,,Yes,,,,Yes,100,0
,,48,See CA_48A-48D Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-48C-48C,CA_2A-48A,2,,,,Yes,,Yes,,Yes,,,,Yes,100,0
,,48,See CA_48C-48C Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-48A-48E,CA_2A-48A,2,,,,Yes,,Yes,,Yes,,,,Yes,120,0
,,48,See CA_48A-48E Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-48D,CA_2A-48A,2,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,48,See the CA_48D Bandwidth combination set 0 in the Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-48E,CA_2A-48A,2,,,,Yes,,,,Yes,,Yes,,Yes,100,0
,,48,See CA_48E Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-49A,CA_2A-49A,2,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,49,,,,,,Yes,,,,,,Yes,,
CA_2A-66A,CA_2A-66A,2,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,40,0
,,66,,,,Yes,,Yes,,Yes,,,,Yes,,
,,2,,,,Yes,,Yes,,,,,,,20,1
,,66,,,,Yes,,Yes,,,,,,,,
,,2,,,,Yes,,Yes,,Yes,,,,Yes,40,2
,,66,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2A-66B,CA_66BCA_2A-66A,2,,,,Yes,,Yes,,Yes,,,,Yes,40,0
,,66,See CA_66B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-66C,CA_2A-66A,2,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,66,See CA_66C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-66D,-,2,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,66,See CA_66D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,,,,,,,,,,
CA_2A-2A-66A,CA_2A-66A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,60,0
,,66,,,,Yes,,Yes,,Yes,,,,Yes,,
CA_2A-2A-66A-66A,CA_2A-66A,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,66,See CA_66A-66A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-2A-66A-66B,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,80,0
,,66,See CA_66A-66B Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-2A-66A-66C,-,2,See CA_2A-2A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,100,0
,,66,See CA_66A-66C Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-66A-66A,CA_2A-66A,2,,,,Yes,,Yes,,Yes,,,,Yes,60,0
,,66,See CA_66A-66A Bandwidth Combination Set 0 in Table 5.6A.1-3,,,,,,,,,,,,,
CA_2A-66A-66A-66A,-,2,,,,Yes,,Yes,,Yes,,,,Yes,80,0
,,66,See CA_66A-66A-66A Bandwidth Combination Set 0 in Table 5.6A.1-4,,,,,,,,,,,,,
CA_2A-66A-66B,CA_66B,2,,,,Yes,,Yes,,Yes,,,,Yes,60,0
