Channel bandwidth,,,,,,,,
EUTRA CA Configuration,EUTRA band,1.4 MHz(dBm),3 MHz(dBm),5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm),Duplex mode
"CA_4A-28A5,6",433,,,-89.8,-89.4,-89,-88.7,FDD
"CA_5A-38A8,19CA_5A-41A8,19",5,,,N/A,N/A,,,FDD
,"38,41",,,N/A,N/A,N/A,N/A,TDD
"CA_7A-8A5,6CA_7A-8B5,6",733,,,-88,-87.4,-87,-86.7,FDD
CA_8A-41A8,41,,,N/A,N/A,N/A,N/A,TDD
"CA_8A-42A12,13",4233,,,-84.8,-84.7,-84.6,-84.5,TDD
"CA_8A-48A12,13",4833,,,-84.8,-84.7,-84.6,-84.5,TDD
"CA_11A-28A9,10",1133,,,-75.2,-75.2,,,FDD
"CA_12A-66A5,6",6633,-88.7,-88.7,-89.5,-89,-88.5,-88,FDD
CA_18A-41A19CA_18A-41C19,41,,,N/A,N/A,N/A,N/A,TDD
"CA_20A-32A-42A12,13",20,,,-97,,,,FDD
,32,,,-100,-97,-95.2,-94,FDD
,4233,,,-84.8,-84.7,-84.6,-84.5,TDD
CA_20A-38A8CA_20A-38C8,20,,,N/A,N/A,N/A,N/A,FDD
"CA_20A-40A15,16",2033,,,-60.7,-60.7,-60.7,-60.7,FDD
"CA_20A-40A-40A15,16",2033,,,-60.7,-60.7,-60.7,,FDD
"CA_20A-40C15,16",2033,,,-60.7,-60.7,-60.7,,FDD
"CA_20A-40D15,16",20,,,-60.7,-60.7,-60.7,,FDD
"CA_20A-42A12,13, CA_20A-42A-42A12,13",4233,,,-84.8,-84.7,-84.6,-84.5,TDD
"CA_20A-41A5,6CA_20A-41C5,6CA_20A-41D5,6",41,,,-85.1,-84.7,-84.8,-84.6,TDD
"CA_21A-28A4,21",21,,,N/A,N/A,N/A,,FDD
"CA_26A-38A15, 16CA_26A-38C15, 16",26,,,-73.2,-70.3,-70.2,,FDD
"CA_26A-41A8,19",26,,,N/A,N/A,N/A,,FDD
,41,,,N/A,N/A,N/A,N/A,TDD
"CA_28A-32A9,10",32,,,-72.2,-72.2,-72.2,-72.2,FDD
CA_28A-32A11,32,,,-97.6,-95.2,-93.7,-93.0,FDD
"CA_28A-40A15,16",28,,,-60.7,-60.7,-60.7,-60.7,FDD
"CA_28A-42A17,18",4233,,,-85.7,-85.4,-85.1,-84.9,TDD
"CA_28A-66A5,6",66,,,-89.5,-88.9,-88.5,-88.2,FDD
"CA_41A-106A5,6CA_41C-106A5,6CA_41A-41A-106A5,6",4133,,,-88,-87.4,-87,-86.7,TDD
"CA_48A-66A9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_48A-66A11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_48A-66B9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_48A-66B11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_48A-66C9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_48A-66C11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_48A-48A-66A9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_48A-48A-66A11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_48A-66A-66A9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_48A-66A-66A11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_48A-48A-66A-66A9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_48A-48A-66A-66A11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_48A-48A-66B9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_48A-48A-66B11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_48A-48A-66C9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_48A-48A-66C11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_48C-66A-66A9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
,66,,,-99.3,-96.3,-94.5,-93.2,FDD
CA_48C-66A-66A11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
,66,,,-99.3,-96.3,-94.5,-93.2,FDD
"CA_48C-66B9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_48C-66B11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_48C-66C9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_48C-66C11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_48C-66A9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_48C-66A11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_48E-66A 9,10",48,,,-71.7,-71.7,-71.7,-71.7,TDD
CA_48E-66A 11,48,,,-97.1,-94.7,-93.2,-92.5,TDD
"CA_48A-106A12,13CA_48C-106A12,13CA_48A-48A-106A12,13",4833,,,-84.8,-84.7,-84.6,-84.5,TDD
"CA_70A-71A5,6",70,,,-90,-89.5,-89.2,,FDD
"CA_70C-71A5,6,35",70,,,-90,-89.5,-89.2,-89,FDD
"NOTE 1:The transmitter shall be set to PUMAX as defined in subclause 6.2.5A.NOTE 2:Reference measurement channel is A.3.2 with one sided dynamic OCNG Pattern OP.1 FDD/TDD/FS3 as described in Annex A.5.1.1/A.5.2.1/A.5.4.1.NOTE 3:The signal power is specified per portNOTE 4:No requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the low band for which the 2nd transmitter harmonic is within the downlink transmission bandwidth of the high band. The reference sensitivity for all active downlink component carriers is only verified when this is not the case (the requirements specified in clause 7.3.1 apply unless otherwise specified).NOTE 5:These requirements apply when there is at least one individual RE within the uplink transmission bandwidth of a low band for which the 3rd transmitter harmonic is within the downlink transmission bandwidth of a high band. NOTE 6:The requirements should be verified for UL EARFCN of a low band (superscript LB) such that in MHz and  with the carrier frequency of a high band in MHz and  the channel bandwidth configured in the low band.NOTE 7:Void.NOTE 8:No requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the low band for which the 3rd transmitter harmonic is within the downlink transmission bandwidth of the high band. The reference sensitivity is only verified when this is not the case (the requirements specified in clause 7.3.1 apply).NOTE 9:These requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the aggressor (lower) band for which the 2nd transmitter harmonic is within the downlink transmission bandwidth of a victim (higher) band and a range FHD above and below the edge of this downlink transmission bandwidth. The value FHD depends on the E-UTRA configuration: FHD = 10 MHz for CA_3A-42A, CA_3A-3A-42A, CA_3A-42A-42A, CA_1A-3A-20A-32A-42A, CA_3A-42A-43A, CA_3A-32A-42A-43A, CA_1A-3A-42A, CA_2A-13A-48A-66A, CA_2A-48A, CA_2A-48C, CA_2A-48D, CA_48A-66A, CA_3A-7A-42A, CA_3A-19A-42A, CA_3A-20A-42A, CA_3A-28A-42A, CA_1A-3A-7A-42A, CA_5A-48A-66A, CA_5A-48A-66A-66A, CA_13A-48A-66A, CA_13A-48A-66A-66A, CA_13A-48A-66B, CA_13A-48A-66C, CA_13A-48A-48A-66A, CA_13A-48C-66A, CA_13A-48D-66A, CA_13A-48A-48C-66A, CA_28A-32A, CA_48A-66A-66A, CA_48A-66B , CA_48A-66C, CA_48A-48A-66A, CA_48C-66A, CA_48A-48A-66A-66A, CA_48A-48A-66B, CA_48A-48A-66C, CA_48C-66B, CA_48C-66C, CA_48E-66A, CA_1A-3A-18A-42A, CA_1A-3A-19A-42A, CA_1A-3A-32A-42A, CA_1A-3A-41A-42A, CA_3A-7A-20A-42A, CA_3A-20A-32A-42A, CA_3A-28A-41A-42A, CA_3A-18A-42A, CA_3A-18A-42C, CA_3A-8A-42A and CA_3A-8A-42C. FHD = 0MHz for CA_11A-28A, CA_1A-11A-28A and CA_3A-11A-28A.NOTE 10:The requirements should be verified for UL EARFCN of the aggressor (lower) band (superscript LB) such that in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band.NOTE 11:The requirements are only applicable to channel bandwidths with a carrier frequency at  MHz offset from  in the victim (higher band) with , whereandare the channel bandwidths configured in the aggressor (lower) and victim (higher) bands in MHz, respectively.NOTE 12:These requirements apply when there is at least one individual RE within the uplink transmission bandwidth of a low band for which the 4th transmitter harmonic is within the downlink transmission bandwidth of a high band. NOTE 13:The requirements should be verified for UL EARFCN of a low band (superscript LB) such that in MHz and  with the carrier frequency of a high band in MHz and  the channel bandwidth configured in the low band.NOTE 14:For the UE that supports CA_1A-18A-28A or CA_1A-19A-28A, no requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the low band for which the 3rd transmitter harmonic is within the downlink transmission bandwidth of the high band. The reference sensitivity should only be verified when this is not the case (the requirements specified in clause 7.3.1 apply).NOTE 15:These requirements apply when there is at least one individual RE within the downlink transmission bandwidth of the victim (lower) band for which the 3rd harmonic is within the uplink transmission bandwidth or the uplink adjacent channel’s transmission bandwidth of an aggressor (higher) band.NOTE 16: The requirements should be verified for UL EARFCN of the aggressor (higher) band (superscript HB) such that  in MHz and  with  the carrier frequency in the victim (lower) band and  the channel bandwidth configured in the higher band.NOTE 17:These requirements apply when there is at least one individual RE within the uplink transmission bandwidth of a low band for which the 5th transmitter harmonic is within the downlink transmission bandwidth of a high band.NOTE 18:The requirements should be verified for UL EARFCN of a low band (superscript LB) such that in MHz and  with the carrier frequency of a high band in MHz and  the channel bandwidth configured in the low band.NOTE 19:No requirements apply for the case that there is at least one individual RE within the uplink transmission bandwidth of the relative higher band and when the frequency range of relative higher band’s uplink channel bandwidth or uplink 1st adjacent channel bandwidth is fully or partially overlapped with the 3 times of the frequency range of the relative lower band’s downlink channel bandwidth. The reference sensitivity is only verified when this is not the case (the requirements specified in clause 7.3.1 apply).NOTE 20:VoidNOTE 21:No requirements apply when there is at least one individual RE on band 28 uplink outside frequencies 728 – 738 MHz. The reference sensitivity is only verified when all configured RE’s are confined within frequencies 728 – 738 MHz (the requirements specified in clause 7.3.1 of [6] apply).NOTE 22:These requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the aggressor (lower) band for which the 2nd transmitter harmonic is within the downlink transmission bandwidth of a victim (higher) band and a range FHD above and below the edge of this downlink transmission bandwidth. The value FHD depends on the E-UTRA configuration: FHD = 10 MHz for CA_1A-3A-21A-42A.NOTE 23:The requirements should be verified for UL EARFCN of the aggressor (lower) band (superscript LB) such that in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band.NOTE 24:The requirements are only applicable to channel bandwidths with a carrier frequency at  MHz offset from  in the victim (higher band) with , whereandare the channel bandwidths configured in the aggressor (lower) and victim (higher) bands in MHz, respectively.NOTE 25:These requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the aggressor (lower) band for which the 2nd transmitter harmonic is within the downlink transmission bandwidth of a victim (higher) band and a range FHD above and below the edge of this downlink transmission bandwidth. The value FHD depends on the E-UTRA configuration: FHD = 10 MHz for CA_3A-19A-21A-42A.NOTE 26:The requirements should be verified for UL EARFCN of the aggressor (lower) band (superscript LB) such that in MHz and  with carrier frequency in the victim (higher) band in MHz and  the channel bandwidth configured in the lower band.NOTE 27:The requirements are only applicable to channel bandwidths with a carrier frequency at  MHz offset from  in the victim (higher band) with , whereandare the channel bandwidths configured in the aggressor (lower) and victim (higher) bands in MHz, respectively.NOTE 28:No requirements apply when there is at least one individual RE within the uplink transmission bandwidth of either Band 5 or Band 8 for which the 3rd transmitter harmonic is within the downlink transmission bandwidth of Band 41. The reference sensitivity for all active downlink component carriers is only verified when this is not the case (the requirements specified in clause 7.3.1 apply).NOTE 29:The B41 requirements are modified by -0.1dB when carrier frequency of the assigned E-UTRA channel bandwidth is within 2545-2690 MHz.NOTE 30:VoidNOTE 31:These requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the aggressor (lower) band for which the 2nd transmitter harmonic is within the downlink transmission bandwidth of a victim (higher) band and a range FHD above and below the edge of this downlink transmission bandwidth. The value FHD depends on the E-UTRA configuration: FHD = 10 MHz for CA_2A-48A-48A and CA_2A-48A-48CNOTE 32:These requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the aggressor (lower) band for which the 2nd transmitter harmonic is within the downlink transmission bandwidth of a victim (higher) band and a range FHD above and below the edge of this downlink transmission bandwidth. The value FHD depends on the E-UTRA configuration: FHD = 10 MHz for CA_2A-48A-66A, CA_2A-48A-66A-66A and CA_2A-48C-66ANOTE 33:Applicable for the operations with 2 or 4 antenna ports supported in the band with carrier aggregation configured.NOTE 34:VoidNOTE 35:These exceptions for the intra-band class C carriers should be verified one carrier at a time, according to note 6 frequency arrangements. No exceptions apply for the carrier which is not under REFSENS exception test. NOTE 36:These requirements apply when the lower edge frequency of the 5 MHz uplink channel in Band 71 is located at or below 668 MHz and the downlink channel in Band 2 is located with its upper edge at 1990 MHz. NOTE 37:These requirements apply when the lower edge frequency of the 10 MHz, 15 MHz, or 20 MHz uplink channel in Band 71 is located at or below 668 MHz and the downlink channel in Band 2 is located with its upper edge at 1990 MHz.Note 38:These requirements apply when there is at least one individual RE within the uplink transmission bandwidth of the aggressor (lower) band for which the 3nd transmitter harmonic is within the downlink transmission bandwidth of a victim (higher) band and a range FHD above and below the edge of this downlink transmission bandwidth. The value FHD depends on the E-UTRA configuration: FHD = 15 MHz for CA_26A-41A, CA_25A-26A-41A.",,,,,,,,
