E-UTRA operating band combination,E-UTRA Band,"ΔTIB,c [dB]"
,66,0.5
"CA_2-71, CA_2-2-71",2,0.3
,71,0.3
"CA_3-5,CA_3-3-5",3,0.3
,5,0.3
"CA_3-7, CA_3-3-7, CA_3-7-7, CA_3-3-7-7",3,0.5
,7,0.5
"CA_3-8, CA_3-3-8",3,0.3
,8,0.3
CA_3-11,3,0.8
,11,0.9
CA_3-18,3,0.3
,18,0.3
"CA_3-19, CA_3-3-19",3,0.3
,19,0.3
"CA_3-20, CA_3-3-20",3,0.3
,20,0.3
"CA_3-21, CA_3-3-21",3,0.8
,21,0.9
CA_3-26,3,0.3
,26,0.3
CA_3-27,3,0.3
,27,0.3
CA_3-28,3,0.3
,28,0.3
CA_3-28-32,3,0.5
,28,0.7
CA_3-31,3,0.3
,31,0.6
CA_3-32,3,0.5
CA_3-38CA_3-38,3,"0,5"
,38,"0,5"
"CA_3-40, CA_3-40-40",3,0.5
,40,0.5
"CA_3-41, CA_3-3-41,CA_3-41-41",3,0.5
,41,0.310
,,0.811
"CA_3-42, CA_3-3-42, CA_3-42-42",3,0.6
,42,0.8
CA_3-43,3,0.3
,43,0.8
"CA_3-46, CA_3-3-46",3,0
CA_3-67,3,0.3
CA_3-69,3,0.5
CA_3-71,3,0.3
,71,0.3
"CA_4-5, CA_4-4-5",4,0.3
,5,0.3
"CA_4-7, CA_4-4-7, CA_4-7-7",4,0.5
,7,0.5
"CA_4-12, CA_4-4-12, CA_4-12-12, CA_4-4-12-12",4,0.3
,12,0.8
"CA_4-13, CA_4-4-13",4,0.3
,13,0.3
CA_4-17,4,0.3
,17,0.8
CA_4-27,4,0.3
,27,0.3
CA_4-28,4,0.3
,28,0.6
"CA_4-29, CA_4-4-29",4,0.3
"CA_4-30, CA_4-4-30",4,0.5
,30,0.3
"CA_4-46, CA_4-46-46",4,0
CA_4-48,4,0.3
,48,0.8
"CA_4-71, CA_4-4-71",4,0.3
,71,0.3
"CA_5-7, CA_5-7-7",5,0.3
,7,0.3
"CA_5-12, CA_5-12-12",5,0.8
,12,0.4
CA_5-13,5,0.5
,13,0.5
CA_5-17,5,0.8
,17,0.4
CA_5-25,5,0.3
,25,0.3
CA_5-28,5,0.5
,28,0.5
CA_5-29,5,0.5
CA_5-30,5,0.3
,30,0.3
CA_5-38,5,0.3
,38,0.3
"CA_5-40, CA_5-5-40, CA_5-40-40",5,0.3
,40,0.3
CA_5-41,5,0.3
,41,0.3
CA_5-46,5,0
CA_5-48,5,0.3
,48,0.3
"CA_5-66, CA_5-5-66, CA_5-66-66, CA_5-5-66-66",5,0.3
,66,0.3
"CA_7-8, CA_7-7-8",7,0.3
,8,0.6
CA_7-12,7,0.3
,12,0.3
CA_7-13,7,0.3
,13,0.3
"CA_7-20,CA_7-7-20",7,0.3
,20,0.3
CA_7-22,7,0.5
,22,0.8
CA_7-25,7,0.5
,25,0.5
"CA_7-26, CA_7-7-26",7,0.3
,26,0.3
"CA_7-28,CA_7-7-28",7,0.3
,28,0.3
CA_7-29CA_7-7-29,7,0.3
CA_7-30,7,0.5
,30,0.5
CA_7-32,7,0.7
CA_7-40CA_7-40-40,7,0.5
,40,0.6
"CA_7-42, CA_7-42-42",7,0.5
,42,0.8
"CA_7-46, CA_7-7-46",7,0
"CA_7-66, CA_7-7-66, CA_7-66-66, CA_7-7-66-66",7,0.5
,66,0.5
CA_7-68,7,0.3
,68,0.3
CA_8-11,8,0.3
,11,0.4
CA_8-20,8,0.4
,20,0.4
CA_8-27,8,0.8
,27,0.8
CA_8-2814,8,0.6
,28,0.5
CA_8-32,8,0.3
CA_8-38,8,0.3
,38,0.3
CA_8-39,8,"0,3"
,39,"0,3"
CA_8-40,8,0.3
,40,0.3
"CA_8-41, CA_8-41-41",8,0.3
,41,0.3
CA_8-42,8,0.6
,42,0.8
CA_8-46,8,0.6
,46,0
CA_8-48,8,0.6
,48,0.8
CA_8-68,8,0.6
,68,0.5
CA_8-71,8,0.5
,71,0.5
CA_11-18,11,0.3
,18,0.3
CA_11-26,11,0.3
,26,0.3
CA_11-28,11,0.4
,28,0.6
CA_11-41,11,0.3
,41,0.3
CA_11-42,11,0.4
,42,0.8
CA_11-46,11,0
CA_12-25,12,0.3
,25,0.3
CA_12-30,12,0.3
,30,0.3
CA_12-46,12,0
,46,0
CA_12-48,12,0.3
,48,0.3
"CA_12-66, CA_12-66-66",12,0.8
,66,0.3
CA_12-71,12,1
,71,1
"CA_13-46,CA_13-46-46",13,0
"CA_13-48, CA_13-48-48",13,0.3
,48,0.3
"CA_13-66, CA_13-66-66",13,0.3
,66,0.3
CA_14-30,14,0.3
,30,0.3
"CA_14-66, CA_14-66-66, CA_14-66-66-66",14,0.3
,66,0.3
CA_18-289,18,0.5
,28,0.5
CA_18-41,18,0.3
,41,0.3
CA_19-21,19,0.3
,21,0.4
CA_19-289,19,0.5
,28,0.5
CA_18-42,18,0.3
,42,0.8
CA_19-42,19,0.3
,42,0.8
CA_19-46,19,0
CA_20-28,20,0.5
,28,0.5
CA_20-31,20,0.5
,31,0.5
CA_20-32,20,0.3
CA_20-38,20,0.3
,38,0.3
"CA_20-40, CA_20-40-40",20,0.3
,40,0.3
CA_20-41,20,0.3
,41,0.3
"CA_20-42, CA_20-42-42",20,0.6
,42,0.8
CA_20-43,20,0.3
,43,0.8
CA_20-67,20,0.5
CA_20-68,20,0.5
,68,0.5
CA_20-75,20,0.3
CA_20-76,20,0.3
CA_21-28,21,0.4
,28,0.3
CA_21-42,21,0.4
,42,0.8
CA_21-46,21,0
CA_23-29,23,0.3
"CA_25-26, CA_25-25-26",25,0.3
,26,0.3
"CA_25-41, CA_25-25-41",25,0.5
,41,0.410
,,0.911
CA_25-46,25,0
,46,0
CA_25-66,25,0.5
,66,0.5
CA_26-38,26,0.3
,38,0.3
CA_26-41,26,0.3
,41,0.3
CA_26-46,26,0
"CA_26-48, CA_26-48-48",26,0.3
,48,0.3
A_26-66,26,0.3
,66,0.3
CA_28-32,28,0.3
CA_28-38,28,0.3
,38,0.3
CA_28-40CA_28-40-40,28,0.3
,40,0.3
CA_28-41,28,0.3
,41,0.3
"CA_28-42,CA_28-42-42",28,0.5
,42,0.8
CA_28-46,28,0
CA_28-66,28,0.6
,66,0.3
CA_28-71,28,1.1
,71,1.1
CA_29-30,30,0.3
"CA_29-66, CA_29-66-66",66,0.3
CA_29-70,70,0.3
CA_30-48,30,04
,48,0.54
"CA_30-66, CA_30-66-66",30,0.3
,66,0.5
CA_32-38,38,0.7
CA_32-42,42,0.8
CA_32-43,43,0.8
CA_34-39,34,01
,39,01
CA_34-41,34,01
,41,01
"CA_38-40, CA_38-40-40",38,04
,40,04
CA_38-66,38,0.5
,66,0.5
CA_39-40,39,04
,40,04
CA_39-41,39,04
,41,04
CA_39-41,39,0.57
,41,0.57
CA_39-42,39,04
,42,0.54
CA_39-46,39,0
CA_40-41,40,0.54
,41,0.54
"CA_40-42,CA_40-42-42, CA_40-40-42-42",40,07
,42,0.57
CA_40-43,40,04
,43,0.54
CA_40-46,40,0
CA_40-68,40,0.3
,68,0.3
CA_40-71,40,0.3
,71,0.6
"CA_41-42, CA_41-42-42",41,04
,42,0.54
"CA_41-42, CA_41-42-42",41,0.37
,42,0.87
CA_41-46,41,0
CA_41-48,41,04
,48,0.54
CA_41-106,41,0.6
,106,0.3
CA_42-43,42,04
,43,04
CA_42-46,42,0.5
"CA_46-48, CA_46-48-48",48,0.8
CA_46-53,53,0
"CA_46-66, CA_46-46-66, CA_46-66-66",66,0
CA_46-70,70,0
CA_46-71,71,0
CA_48-53,48,0.54
,53,04
"CA_48-66, CA_48-48-66, CA_48-66-66, CA_48-48-66-66",48,0.8
,66,0.6
"CA_48-71, CA_48-48-71",48,0.3
,71,0.3
CA_48-106,48,0.8
,106,0.6
"CA_66-70, CA_66-66-70",66,0.5
,70,0.5
"CA_66-71, CA_66-66-71",66,0.3
,71,0.3
CA_70-71,70,0.3
,71,0.6
"NOTE 1:The above additional tolerances are only applicable for the E-UTRA operating bands that belong to the supported inter-band carrier aggregation configurationsNOTE 2:The above additional tolerances also apply in non-aggregated operation for the supported E-UTRA operating bands that belong to the supported inter-band carrier aggregation configurationsNOTE 3:In case the UE supports more than one of the above 2DL inter-band carrier aggregation configurations and a E-UTRA operating band belongs to more than one 2DL inter-band carrier aggregation configurations then:-When the E-UTRA operating band frequency range is ≤ 1GHz, the applicable additional tolerance shall be the average of the 2DL tolerances above, truncated to one decimal place for that operating band among the supported 2DL CA configurations. In case there is a harmonic relation between low band UL and high band DL, then the maximum tolerance among the different supported 2DL carrier aggregation configurations involving such band shall be applied-When the E-UTRA operating band frequency range is >1GHz, the applicable additional 2DL tolerance shall be the maximum tolerance above that applies for that operating band among the supported 2DL CA configurationsNOTE 4:Only applicable for UE supporting inter-band carrier aggregation with uplink in one E-UTRA band and without simultaneous Rx/Tx.NOTE 5: Unless otherwise specified, in case the UE supports more than one of the above 3DL inter-band carrier aggregation configurations and a E-UTRA operating band belongs to more than one 3DL inter-band carrier aggregation configurations then:-When the E-UTRA operating band frequency range is ≤ 1GHz and the tolerances are the same, the value applies to the band. If the tolerances are different, the applicable additional 3DL tolerance is FFS. In case there is a harmonic relation between low band UL and high band DL, then the maximum tolerance among the different supported 3DL carrier aggregation configurations involving such band shall be applied-When the E-UTRA operating band frequency range is >1GHz, the applicable additional 3DL tolerance shall be the maximum tolerance above that applies for that operating band among the supported 3DL CA configurations.NOTE 6:The above additional tolerances applicable for the E-UTRA operating bands that belong to the supported highest order inter-band carrier aggregation configuration, also applies to the same E-UTRA operating bands that belong to a supported lower order CA configuration.NOTE 7:Applicable for UE supporting inter-band carrier aggregation without simultaneous Rx/Tx.NOTE 8:Only applicable for UE supporting inter-band carrier aggregation with the uplink active in the FDD band.NOTE 9:For Band 28, the requirements only apply for the restricted frequency range specified for this CA configuration (Table 5.5A-2).NOTE 10:The requirement is applied for UE transmitting on the frequency range of 2545-2690MHz.NOTE 11:The requirement is applied for UE transmitting on the frequency range of 2496-2545MHz.NOTE 12:For UE supporting E-UTRA band 65 and CA configurations including Band 1, the Band 65 ΔTIB,c is the max(Band 65 ΔTIB,c , Band 1 ΔTIB,c)NOTE 13:For UE supporting E-UTRA band 42, 43 or 48 and CA configurations including Band 42, 43 or 48, the applicable ΔTIB,c in Band 42, 43, or 48 is the max(Band 42 ΔTIB,c , Band 43 ΔTIB,c, Band 48 ΔTIB,c).NOTE 14: Only applicable for UE supporting inter-band carrier aggregation with the uplink active in Band 8.",,
