E-UTRA Band,Spurious emission,,,,,,
,Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
22,"E-UTRA Band 1, 3, 7, 8, 20, 26, 27, 28, 31, 32, 33, 34, 38, 39, 40, 43, 65, 67, 68, 69, 72, 75, 76, 87, 88NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
,Frequency range,3510,-,3525,-40,1,15
,Frequency range,3525,-,3590,-50,1,
23,"E-UTRA Band 4, 5,  12, 13, 14, 17, 23, 24, 26, 27, 29, 30, 41, 54, 66, 103, 106",FDL_low,-,FDL_high,-50,1,
24,"E-UTRA Band 2, 4, 5,  12, 13, 14, 17, 24, 25, 26, 29, 30, 41, 48, 66, 70, 71, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
25,"E-UTRA Band 4, 5, 12, 13, 14, 17, 24, 26, 27, 28, 29, 30, 41, 42, 53, 54, 66, 70, 71, 85, 103, 106NR Band n105",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 2,FDL_low,-,FDL_high,-50,1,15
,E-UTRA Band 25,FDL_low,-,FDL_high,-50,1,15
,"E-UTRA Band 43, 48NR Band n77",FDL_low,-,FDL_high,-50,1,2
26,"E-UTRA Band 1, 2, 3, 4, 5,  11, 12, 13, 14, 17, 18,19, 21, 24, 25, 26, 29, 30, 31, 34, 39, 40, 42, 43, 48, 50, 51, 65, 66, 70, 71, 73,74, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 41, 53, 54NR Band n77, n78, n79",FDL_low,-,FDL_high,-50,1,2
,Frequency range,703,-,799,-50,1,
,Frequency range,799,-,803,-40,1,15
,Frequency range,945,-,960,-50,1,
,,,,,,,
27,"E-UTRA Band 1, 2, 3, 4, 5, 7,  12, 13, 14, 17, 25, 26, 27, 29, 30, 31, 38, 40, 41, 42, 43, 65, 66, 73, 85, 103",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 28,FDL_low,-,790,-50,1,
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
,Frequency range,799,-,805,-35,0.00625,
28,"E-UTRA Band 1, 4, 22, 32, 42, 43, 50, 51, 65, 66, 74, 75, 76NR Band n77, n78, n109",FDL_low,-,FDL_high,-50,1,2
,E-UTRA Band 1,FDL_low,-,FDL_high,-50,1,"19, 25"
,"E-UTRA Band 2, 3, 5, 7, 8, 18, 19, 20, 25, 26, 27, 31, 34, 38, 39, 40, 41, 52, 72, 73, 87, 88NR Band n79, n100, n101, n105",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 11, 21",FDL_low,-,FDL_high,-50,1,"19, 24"
,Frequency range,470,-,694,-42,8,"15, 35"
,Frequency range,470,-,710,-26.2,6,34
,Frequency range,662,-,694,-26.2,6,15
,Frequency range,758,-,773,-32,1,15
,Frequency range,773,-,803,-50,1,
,,,,,,,
30,"E-UTRA Band 2, 4, 5, 7,  12, 13, 14, 17, 24, 25, 26, 27, 29, 30, 38, 41, 48, 53, 54, 66, 70, 71, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
31,"E-UTRA Band 1, 5, 7, 8, 20, 22, 26, 27, 28, 31, 32, 33, 34, 38, 40, 42, 43, 50, 51, 52, 65, 67, 68, 69, 74, 75, 76, 87, 88NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 3,FDL_low,-,FDL_high,-50,1,2
,Frequency range,470,-,694,-42,8,
…,,,,,,,
33,"E-UTRA Band 1, 7, 8, 20, 22, 28, 31, 32, 34, 38, 40, 42, 52, 65, 67, 69, 72, 73, 75, 76, 87, 88NR Band n100",FDL_low,-,FDL_high,-50,1,5
,E-UTRA Band 43,FDL_low,-,FDL_high,-50,1,2
,E-UTRA Band 3,FDL_low,-,FDL_high,-50,1,15
34,"E-UTRA Band 1, 3, 7, 8, 11, 18, 19, 20, 21, 22, 26, 28, 31, 32, 33, 38,39, 40, 41, 42, 43, 44, 45, 50, 51, 52, 65, 67, 69, 72, 73, 74, 75, 76, 87, 88NR Band n78, n79, n100, n101, n105",FDL_low,-,FDL_high,-50,1,5
,NR Band n77,FDL_low,-,FDL_high,-50,1,"2, 5"
,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,-,,,,
38,"E-UTRA Band 1, 2, 3, 4, 5, 8,  12, 13, 14, 17, 20, 22, 27, 28, 29, 30, 31, 32, 33, 34, 40, 42, 43, 50, 51, 52, 65, 66, 67, 68, 72, 74, 75, 76, 85, 87, 88, 103NR Band n77, n78, n79, n100, n101",FDL_low,-,FDL_high,-50,1,
,Frequency range,2620,-,2645,-15.5,5,"15, 22, 26"
,Frequency range,2645,-,2690,-40,1,"15, 22"
39,"E-UTRA Band 1, 8, 22, 26, 28, 34, 40, 41, 42, 44, 45, 50, 51, 52, 73, 74NR Band n79, n105",FDL_low,-,FDL_high,-50,1,
,"NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
,Frequency range,1805,,1855,-40,1,33
,Frequency range,1855,,1880,-15.5,5,"15,26,33"
40,"E-UTRA Band 1, 3, 5, 7, 8, 11, 18, 19, 20, 21, 22, 26, 27, 28, 31, 32, 33, 34, 38, 39, 41, 42, 43, 44, 45, 50, 51, 52, 65, 67, 68, 69, 72, 73, 74, 75, 76, 87, 88NR Band n77, n78, n100, n101, n105",FDL_low,-,FDL_high,-50,1,
,NR Band n79,FDL_low,-,FDL_high,-50,1,2
,,,,,,,
41,"E-UTRA Band 1, 2, 3, 4, 5, 8, 12, 13, 14, 17, 24, 25, 26, 27, 28, 29, 30, 34, 39, 40, 42, 44, 45, 48, 50, 51, 52, 54, 65, 66, 70, 71, 73, 74, 85, 103, 106NR Band  n77, n78, n105",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 11, 18, 19, 21",FDL_low,-,FDL_high,-50,1,
,NR Band n79,FDL_low,-,FDL_high,-50,1,2
,,,,,,,
,Frequency range,2530,-,2535,-25,1,46
,Frequency range,2505,-,2530,-30,1,46
42,"E-UTRA Band 1, 2, 3, 4, 5, 7, 8,  11, 18, 19, 20, 21, 25, 26, 27, 28, 31, 32, 33, 34, 38, 40, 41, 44, 45, 50, 51, 65, 66, 67, 68, 69, 72, 73, 74, 75, 76, 87, 88NR Band n79, n100, n101",FDL_low,-,FDL_high,-50,1,
,,,,,,,
43,"E-UTRA Band 1, 2, 3, 4, 5, 7, 8,  20, 25, 26, 27, 28, 31,32, 33, 34, 38, 40, 50, 51, 65, 66, 67, 68, 69, 72, 73, 74, 75, 76, 85, 87, 88NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
44,"E-UTRA Band 1, 40, 42, 45",FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 3, 5, 8, 34, 39, 41, 73",FDL_low,-,FDL_high,-50,1,
45,"E-UTRA Band 1, 3, 5, 8, 34, 39, 40, 41, 42, 44, 52, 73",FDL_low,-,FDL_high,-50,1,
…,,,,,,,
47,"E-UTRA Band 1, 3, 5, 7, 8, 22, 26, 28, 34, 39, 40, 41, 42, 44, 45, 65, 68, 72, 73NR band n77, n78 , n79, n105",FDL_low,-,FDL_high,-50,1,
,Frequency range,5925,-,5950,-30 EIRP,1,"38, 40, 43"
,Frequency range,5815,-,5855,-30 EIRP,1,"38, 43, 45"
48,"E-UTRA Band 2, 4, 5, 12, 13, 14, 17, 24, 25, 26, 29, 30, 41, 50, 51, 54, 66, 70, 71, 74, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
50,"E-UTRA Band 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 29, 31, 34, 38, 39, 40, 41, 42, 43, 48, 52, 65, 66, 67, 68, 85, 103NR Band n100, n101, n105",FDL_low,-,FDL_high,-50,1,
51,"E-UTRA Band 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 29, 31, 34, 38, 39, 40, 41, 42, 43, 48, 52, 65, 66, 67, 68, 85, 103NR Band n100, n101,",FDL_low,-,FDL_high,-50,1,
52,"E-UTRA Band 1, 3, 5, 7, 8, 20, 28, 31, 33, 34, 38, 39, 40, 41, 45, 47, 50, 51, 68, 72, 73, 74, 87, 88NR Band n100, n101, n105",FDL_low,-,FDL_high,-50,1,
53,"E-UTRA Band 2, 4, 5, 12, 13, 14, 17, 24, 25, 26, 29, 30, 48, 54, 66, 70, 71, 85, 103, 106NR Band n77",FDL_low,-,FDL_high,-50,1,
54,"E-UTRA Band 2, 4, 5, 8, 12, 13, 14, 17, 23, 24, 25, 26, 29, 30, 48, 50, 51, 53, 66, 70, 71, 85, 103, 106NR NTN Band n255, n256",FDL_low,-,FDL_high,-50,1,
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
65,"E-UTRA Band 1, 3, 7, 8, 20, 22, 28, 31, 32, 38, 40, 42, 43, 50, 51, 65, 68, 69, 72, 74, 75, 76, 87, 88NR Band n78, n79, n100, n105",FDL_low,-,FDL_high,-50,1,
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 5, 11, 18, 19, 21, 26, 27, 41",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 34,FDL_low,-,FDL_high,-50,1,36
,,,,,,,
,Frequency range,1900,-,1915,-15.5,5,"15, 26, 27"
,Frequency range,1915,-,1920,+1.6,5,"15, 26, 27,44"
66,"E-UTRA Band 2, 4, 5, 7,  12, 13, 14, 17, 24, 25, 26, 27, 28, 29, 30, 38, 41, 43, 50, 51, 53, 66, 70, 71, 74, 85, 103, 106NR Band n105",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 42, 48,NR Band n77",FDL_low,-,FDL_high,-50,1,2
68,"E-UTRA Band 3, 7, 8, 20, 28, 31, 38, 40, 47, 72, 74, 87, 88NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 1, 22, 42, 43, 50, 51, 52, 65",FDL_low,-,FDL_high,-50,1,2
…,,,,,,,
70,"E-UTRA Band 2, 4, 5,  12, 13, 14, 17, 24, 25, 26, 29, 30, 41, 48, 53, 66, 70, 71, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
71,"E-UTRA Band 4, 5, 12, 13, 14, 17, 24, 26, 30, 48, 53, 54, 66, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 2, 25, 41, 70,NR Band n77",FDL_low,-,FDL_high,-50,1,2
,E-UTRA Band 29,FDL_low,-,FDL_high,-38,1,15
,E-UTRA Band 71,FDL_low,-,FDL_high,-50,1,15
72,"E-UTRA Band 1, 7, 20, 22, 28, 31, 32, 33, 34, 38, 42, 43, 47, 52, 65, 68, 72, 87, 88NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 3, 8, 40",FDL_low,-,FDL_high,-50,1,2
,Frequency range,470,-,694,-42,8,
73,"E-UTRA Band 1, 26, 28, 33, 34, 39, 41, 42, 43, 44, 45, 47, 52NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 3, 5, 8, 27, 40",FDL_low,-,FDL_high,-50,1,2
74,"E-UTRA Band 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 29, 31, 34, 38, 39, 40, 41, 42, 43, 48, 52, 65, 66, 67, 68, 85, 103 NR Band n77, n78, n100, n101, n105",FDL_low,-,FDL_high,-50,1,
,NR Band n79,FDL_low,-,FDL_high,-50,1,2
,Frequency range,1884.5,-,1915.7,-41,0.3,8
,Frequency range,1400,-,1427,-32,27,"15, 41"
,Frequency range,1475,-,1488,-50,1,42
,Frequency range,1488,-,1518,-50,1,15
85,"E-UTRA Band 2, 5, 13, 14, 17, 24, 25, 26, 27, 30, 41, 53, 54, 70, 71, 74, 103, 106",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 4, 48, 51, 66NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 12, 85",FDL_low,-,FDL_high,-50,1,15
87,"E-UTRA Band 1, 3, 7, 8, 22, 28, 31, 32, 33, 34, 38, 40, 42, 43, 47, 52, 65, 68, 72NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band, 20",FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 87, 88",FDL_low,-,FDL_high,-50,1,15
,Frequency range,470,-,694,-42,8,
88,"E-UTRA Band 1, 3, 7, 8, 20, 22, 28, 31, 32, 33, 34, 38, 40, 42, 43, 47, 52, 65, 68, 72NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 87,FDL_low,-,FDL_high,-20,1,15
,E-UTRA Band 88,FDL_low,-,FDL_high,-50,1,15
,Frequency range,470,-,694,-42,8,
103,"E-UTRA Band 2, 4, 5,  12, 13, 14, 17, 25, 26, 27, 29, 41, 48, 50, 51, 53, 54, 66, 70, 71, 74, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 24, 30,NR Band n77",FDL_low,-,FDL_high,-50,1,2
,Frequency range,769,-,775,-35,0.00625,
,Frequency range,799,-,805,-35,0.00625,
106,"E-UTRA Band 2, 4, 12, 13, 14, 23, 24, 25, 30, 53, 54, 66, 70, 71, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 41, 48,NR Band n77",FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 5, 26",FDL_low,-,FDL_high,-30,1,
111,"E-UTRA Band 4, 5, 7, 12, 13, 14, 17, 24, 26, 27, 29, 30, 38, 41, 53, 54, 66, 70, 71, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 2, 25",FDL_low,-,FDL_high,-50,1,15
,E-UTRA Band 48NR Band n77,FDL_low,-,FDL_high,-50,1,2
