,,See CA_46C Bandwidth Combination Set 0 in Table 5.6A.1-1,,20,,,,
CA_46A-46D2,-,20,See CA_46D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,80,0
,,See CA_46D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,20,,,
CA_48A-48A,-,"5, 10, 15, 20","5, 10, 15, 20",,,,40,0
CA_48A-48C,-,"5, 10, 15, 20",See CA_48C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,60,0
,,See CA_48C Bandwidth Combination Set 0 in Table 5.6A.1-1,,"5, 10, 15, 20",,,,
CA_48A-48D,-,"5, 10, 15, 20",See CA_48D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,80,0
,,See CA_48D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,"5, 10, 15, 20",,,
CA_48C-48C,CA_48C,See CA_48C Bandwidth Combination Set 0 in Table 5.6A.1-1,,See CA_48C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,80,0
CA_48C-48D,-,See CA_48C Bandwidth Combination Set 0 in Table 5.6A.1-1,,See CA_48D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,100,0
,,See CA_48D Bandwidth Combination Set 0 in Table 5.6A.1-1,,,See CA_48C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,
CA_48A-48E,-,"5, 10, 15, 20",See CA_48E Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,100,0
,,See CA_48E Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,"5, 10, 15, 20",,
CA_66A-66A,-,"5, 10, 15, 20","5, 10, 15, 20",,,,40,0
CA_66A-66B,-,"5, 10, 15, 20",See CA_66B Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,40,0
,,See CA_66B Bandwidth Combination Set 0 in Table 5.6A.1-1,,"5, 10, 15, 20",,,,
CA_66A-66C,-,"5, 10, 15, 20",See CA_66C Bandwidth Combination Set 0 in Table 5.6A.1-1,,,,60,0
,,See CA_66C Bandwidth Combination Set 0 in Table 5.6A.1-1,,"5, 10, 15, 20",,,,
NOTE 1:Uplink CA configurations are the configurations supported by the present release of specifications.NOTE 2:Restricted to E-UTRA operation when inter-band carrier aggregation is configured. The downlink operating band is paired with the uplink operating band (external) of the carrier aggregation configuration that is supporting the configured Pcell.,,,,,,,,
