E-UTRA Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
EUTRA CAConfiguration,EUTRA band,UL Fc (MHz),UL/DL BW (MHz),UL CLRB,DL Fc (MHz),MSD (dB),Duplex mode,
,42,N/A,N/A,N/A,N/A,N/A,TDD,N/A
CA_21A-28A,21,1450.4,5,25,1498.4,2.5,FDD,IMD5
,28,735.5,5,25,790.5,N/A,TDD,N/A
CA_21A-42A3,21,N/A,N/A,N/A,N/A,N/A,FDD,N/A
,42,N/A,N/A,N/A,N/A,N/A,TDD,N/A
CA_28A-42A,28,705.5,5,25,760.5,5.5,FDD,IMD5
,42,3582.5,5,25,3582.5,N/A,TDD,N/A
CA_41A-106ACA_41C-106ACA_41A-41A-106A,41,2656.5,10,50,N/A,N/A,TDD,N/A
,106,898.5,3,25,937.5,10,FDD,IMD5
CA_48A-106ACA_48C-106ACA_48A-48A-106A,48,3633,10,50,N/A,N/A,TDD,N/A
,106,898.5,3,25,937.5,10,FDD,IMD4
"NOTE 1:Both of the transmitters shall be set min(+20 dBm, PCMAX_L,c) as defined in subclause 6.2.5ANOTE 2:RBSTART = 0NOTE 3:No requirements apply when there is at least one individual RE within the intermodulation generated by the dual uplink is within the downlink transmission bandwidth of the FDD band. The reference sensitivity should only be verified when this is not the case (the requirements specified in clause 7.3.1 apply).NOTE 4:This band is subject to IMD5 also which MSD is not specified.NOTE 5:VoidNOTE 6:For operations with 4 antenna ports, the MSD in the applicable bands shall be modified by the absolute value of ΔRIB,4R in Table 7.3.1-1a when MSD > 0.",,,,,,,,
