Downlink NR DCconfiguration,Uplink NR DCconfiguration
DC_n3A-n257(2A)DC_n3A-n257(A-G)DC_n3A-n257(2G)DC_n3(2A)-n257ADC_n3(2A)-n257GDC_n3(2A)-n257HDC_n3(2A)-n257I,DC_n3A-n257ADC_n3A-n257GDC_n3A-n257IDC_n3A-n257HDC_n3A-n257(2A)DC_n3A-n257(2G)
DC_n3A-n258ADC_n3A-n258BDC_n3A-n258CDC_n3A-n258DDC_n3A-n258EDC_n3A-n258FDC_n3A-n258GDC_n3A-n258HDC_n3A-n258IDC_n3A-n258JDC_n3A-n258R2DC_n3A-n258R3DC_n3A-n258R4DC_n3A-n258R5DC_n3A-n258R6DC_n3A-n258R7DC_n3A-n258R8DC_n3A-n258R9DC_n3A-n258R10DC_n3B-n258ADC_n3B-n258BDC_n3B-n258CDC_n3B-n258DDC_n3B-n258EDC_n3B-n258FDC_n3B-n258GDC_n3B-n258HDC_n3B-n258IDC_n3B-n258JDC_n3B-n258KDC_n3B-n258LDC_n3B-n258MDC_n3B-n258R2DC_n3B-n258R3DC_n3B-n258R4DC_n3B-n258R5DC_n3B-n258R6DC_n3B-n258R7DC_n3B-n258R8DC_n3B-n258R9DC_n3B-n258R10,DC_n3A-n258ADC_n3A-n258GDC_n3A-n258HDC_n3A-n258IDC_n3A-n258R2DC_n3A-n258R3DC_n3A-n258R4DC_n3B-n258ADC_n3B-n258GDC_n3B-n258HDC_n3B-n258IDC_n3B-n258R2DC_n3B-n258R3DC_n3B-n258R4
DC_n3A-n258KDC_n3A-n258LDC_n3A-n258M,DC_n3A-n258A
DC_n3A-n258(2A)DC_n3A-n258(A-G)DC_n3A-n258(2G),DC_n3A-n258ADC_n3A-n258GDC_n3A-n258(2A)DC_n3A-n258(2G)
DC_n5A-n257ADC_n5A-n257GDC_n5A-n257HDC_n5A-n257IDC_n5A-n257JDC_n5A-n257KDC_n5A-n257LDC_n5A-n257MDC_n5A-n257ODC_n5A-n257PDC_n5A-n257Q,DC_n5A-n257ADC_n5A-n257GDC_n5A-n257HDC_n5A-n257IDC_n5A-n257JDC_n5A-n257KDC_n5A-n257LDC_n5A-n257MDC_n5A-n257ODC_n5A-n257PDC_n5A-n257Q
DC_n5A-n258ADC_n5A-n258BDC_n5A-n258CDC_n5A-n258DDC_n5A-n258EDC_n5A-n258FDC_n5A-n258GDC_n5A-n258HDC_n5A-n258IDC_n5A-n258JDC_n5A-n258KDC_n5A-n258LDC_n5A-n258MDC_n5A-n258ODC_n5A-n258PDC_n5A-n258Q,DC_n5A-n258ADC_n5A-n258GDC_n5A-n258HDC_n5A-n258IDC_n5A-n258ODC_n5A-n258PDC_n5A-n258Q
DC_n5A-n260ADC_n5A-n260GDC_n5A-n260HDC_n5A-n260IDC_n5A-n260JDC_n5A-n260KDC_n5A-n260LDC_n5A-n260MDC_n5A-n260ODC_n5A-n260PDC_n5A-n260Q DC_n5A-n260R2DC_n5A-n260R3DC_n5A-n260R4DC_n5A-n260R5DC_n5A-n260R6DC_n5A-n260R7DC_n5A-n260R8DC_n5A-n260R9DC_n5A-n260R10,DC_n5A-n260ADC_n5A-n260GDC_n5A-n260HDC_n5A-n260IDC_n5A-n260JDC_n5A-n260KDC_n5A-n260LDC_n5A-n260MDC_n5A-n260ODC_n5A-n260PDC_n5A-n260QDC_n5A-n260R2DC_n5A-n260R3DC_n5A-n260R4
DC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261IDC_n5A-n261JDC_n5A-n261KDC_n5A-n261LDC_n5A-n261MDC_n5A-n261ODC_n5A-n261PDC_n5A-n261Q,DC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261IDC_n5A-n261ODC_n5A-n261PDC_n5A-n261Q
DC_n5A-n261(2A)DC_n5A-n261(3A)DC_n5A-n261(4A)DC_n5A-n261(2G)DC_n5A-n261(2H)DC_n5A-n261(2I)DC_n5A-n261(A-G)DC_n5A-n261(A-H)DC_n5A-n261(A-I)DC_n5A-n261(A-J)DC_n5A-n261(A-K)DC_n5A-n261(A-L)DC_n5A-n261(G-H)DC_n5A-n261(H-I)DC_n5A-n261(G-I)DC_n5A-n261(A-G-H)DC_n5A-n261(A-G-I)DC_n5A-n261(2A-H)DC_n5A-n261(2A-G)DC_n5A-n261(2A-I)DC_n5A-n261(A-2G),DC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261I
DC_n7A-n257ADC_n7A-n257GDC_n7A-n257HDC_n7A-n257IDC_n7A-n257JDC_n7A-n257KDC_n7A-n257LDC_n7A-n257MDC_n7A-n257ODC_n7A-n257PDC_n7A-n257Q,DC_n7A-n257ADC_n7A-n257GDC_n7A-n257HDC_n7A-n257IDC_n7A-n257JDC_n7A-n257KDC_n7A-n257LDC_n7A-n257MDC_n7A-n257ODC_n7A-n257PDC_n7A-n257Q
DC_n7A-n258ADC_n7A-n258BDC_n7A-n258CDC_n7A-n258DDC_n7A-n258EDC_n7A-n258FDC_n7A-n258GDC_n7A-n258HDC_n7A-n258IDC_n7A-n258JDC_n7A-n258KDC_n7A-n258LDC_n7A-n258MDC_n7A-n258ODC_n7A-n258PDC_n7A-n258QDC_n7A-n258R2DC_n7A-n258R3DC_n7A-n258R4DC_n7A-n258R5DC_n7A-n258R6DC_n7A-n258R7DC_n7A-n258R8DC_n7A-n258R9DC_n7A-n258R10DC_n7B-n258ADC_n7B-n258BDC_n7B-n258CDC_n7B-n258DDC_n7B-n258EDC_n7B-n258FDC_n7B-n258GDC_n7B-n258HDC_n7B-n258IDC_n7B-n258JDC_n7B-n258KDC_n7B-n258LDC_n7B-n258MDC_n7B-n258R2DC_n7B-n258R3DC_n7B-n258R4DC_n7B-n258R5DC_n7B-n258R6DC_n7B-n258R7DC_n7B-n258R8DC_n7B-n258R9DC_n7B-n258R10,DC_n7A-n258ADC_n7A-n258GDC_n7A-n258HDC_n7A-n258IDC_n7A-n258ODC_n7A-n258PDC_n7A-n258QDC_n7A-n258R2DC_n7A-n258R3DC_n7A-n258R4DC_n7B-n258ADC_n7B-n258GDC_n7B-n258HDC_n7B-n258IDC_n7B-n258R2DC_n7B-n258R3DC_n7B-n258R4
DC_n7A-n260ADC_n7A-n260GDC_n7A-n260HDC_n7A-n260IDC_n7A-n260JDC_n7A-n260KDC_n7A-n260LDC_n7A-n260MDC_n7A-n260ODC_n7A-n260PDC_n7A-n260Q,DC_n7A-n260ADC_n7A-n260GDC_n7A-n260HDC_n7A-n260IDC_n7A-n260JDC_n7A-n260KDC_n7A-n260LDC_n7A-n260MDC_n7A-n260ODC_n7A-n260PDC_n7A-n260Q
DC_n7A-n261ADC_n7A-n261GDC_n7A-n261HDC_n7A-n261IDC_n7A-n261JDC_n7A-n261KDC_n7A-n261LDC_n7A-n261MDC_n7A-n261ODC_n7A-n261PDC_n7A-n261Q,DC_n7A-n261ADC_n7A-n261GDC_n7A-n261HDC_n7A-n261IDC_n7A-n261JDC_n7A-n261KDC_n7A-n261LDC_n7A-n261MDC_n7A-n261ODC_n7A-n261PDC_n7A-n261Q
DC_n8A-n257ADC_n8A-n257DDC_n8A-n257EDC_n8A-n257FDC_n8A-n257GDC_n8A-n257HDC_n8A-n257IDC_n8A-n257JDC_n8A-n257KDC_n8A-n257LDC_n8A-n257M,DC_n8A-n257ADC_n8A-n257GDC_n8A-n257HDC_n8A-n257IDC_n8A-n257JDC_n8A-n257K
DC_n8A-n258ADC_n8A-n258BDC_n8A-n258CDC_n8A-n258DDC_n8A-n258EDC_n8A-n258FDC_n8A-n258GDC_n8A-n258HDC_n8A-n258IDC_n8A-n258JDC_n8A-n258KDC_n8A-n258LDC_n8A-n258M,DC_n8A-n258A
DC_n12A-n257ADC_n12A-n257GDC_n12A-n257HDC_n12A-n257IDC_n12A-n257JDC_n12A-n257KDC_n12A-n257LDC_n12A-n257MDC_n12A-n257ODC_n12A-n257PDC_n12A-n257Q,DC_n12A-n257ADC_n12A-n257GDC_n12A-n257HDC_n12A-n257IDC_n12A-n257JDC_n12A-n257KDC_n12A-n257LDC_n12A-n257MDC_n12A-n257ODC_n12A-n257PDC_n12A-n257Q
DC_n12A-n258ADC_n12A-n258GDC_n12A-n258HDC_n12A-n258IDC_n12A-n258JDC_n12A-n258KDC_n12A-n258LDC_n12A-n258ODC_n12A-n258PDC_n12A-n258Q,DC_n12A-n258ADC_n12A-n258GDC_n12A-n258HDC_n12A-n258IDC_n12A-n258JDC_n12A-n258KDC_n12A-n258LDC_n12A-n258ODC_n12A-n258PDC_n12A-n258Q
DC_n12A-n260ADC_n12A-n260GDC_n12A-n260HDC_n12A-n260IDC_n12A-n260JDC_n12A-n260KDC_n12A-n260LDC_n12A-n260MDC_n12A-n260ODC_n12A-n260PDC_n12A-n260Q,DC_n12A-n260ADC_n12A-n260GDC_n12A-n260HDC_n12A-n260IDC_n12A-n260JDC_n12A-n260KDC_n12A-n260LDC_n12A-n260MDC_n12A-n260ODC_n12A-n260PDC_n12A-n260Q
DC_n12A-n261ADC_n12A-n261GDC_n12A-n261HDC_n12A-n261IDC_n12A-n261JDC_n12A-n261KDC_n12A-n261LDC_n12A-n261MDC_n12A-n261ODC_n12A-n261PDC_n12A-n261Q,DC_n12A-n261ADC_n12A-n261GDC_n12A-n261HDC_n12A-n261IDC_n12A-n261JDC_n12A-n261KDC_n12A-n261LDC_n12A-n261MDC_n12A-n261ODC_n12A-n261PDC_n12A-n261Q
DC_n14A-n260ADC_n14A-n260GDC_n14A-n260HDC_n14A-n260IDC_n14A-n260JDC_n14A-n260KDC_n14A-n260LDC_n14A-n260M,DC_n14A-n260ADC_n14A-n260GDC_n14A-n260HDC_n14A-n260IDC_n14A-n260JDC_n14A-n260KDC_n14A-n260LDC_n14A-n260M
DC_n18A-n257ADC_n18A-n257GDC_n18A-n257HDC_n18A-n257I,DC_n18A-n257ADC_n18A-n257GDC_n18A-n257HDC_n18A-n257I
DC_n25A-n257ADC_n25A-n257GDC_n25A-n257HDC_n25A-n257IDC_n25A-n257JDC_n25A-n257KDC_n25A-n257LDC_n25A-n257M DC_n25A-n257ODC_n25A-n257PDC_n25A-n257Q,DC_n25A-n257ADC_n25A-n257GDC_n25A-n257HDC_n25A-n257IDC_n25A-n257JDC_n25A-n257KDC_n25A-n257LDC_n25A-n257M DC_n25A-n257ODC_n25A-n257PDC_n25A-n257Q
DC_n25A-n258ADC_n25A-n258GDC_n25A-n258HDC_n25A-n258IDC_n25A-n258J,DC_n25A-n258ADC_n25A-n258GDC_n25A-n258HDC_n25A-n258IDC_n25A-n258J
DC_n25A-n258(2A)DC_n25A-n258(3A)DC_n25A-n258(4A)DC_n25A-n258(5A)DC_n25A-n258(2G)DC_n25A-n258(A-G)DC_n25A-n258(A-H)DC_n25A-n258(A-I)DC_n25A-n258(A-J)DC_n25A-n258(G-H)DC_n25A-n258(G-I)DC_n25A-n258(G-J),DC_n25A-n258ADC_n25A-n258GDC_n25A-n258HDC_n25A-n258IDC_n25A-n258J
DC_n25A-n260ADC_n25A-n260GDC_n25A-n260HDC_n25A-n260IDC_n25A-n260JDC_n25A-n260KDC_n25A-n260LDC_n25A-n260M DC_n25A-n260ODC_n25A-n260PDC_n25A-n260Q,DC_n25A-n260A DC_n25A-n260GDC_n25A-n260HDC_n25A-n260IDC_n25A-n260JDC_n25A-n260KDC_n25A-n260LDC_n25A-n260M DC_n25A-n260ODC_n25A-n260PDC_n25A-n260Q
DC_n25A-n260(2A)DC_n25A-n260(3A)DC_n25A-n260(4A)DC_n25A-n260(5A)DC_n25A-n260(6A)DC_n25A-n260(7A)DC_n25A-n260(8A),DC_n25A-n260A
DC_n25A-n261ADC_n25A-n261GDC_n25A-n261HDC_n25A-n261I,DC_n25A-n261ADC_n25A-n261GDC_n25A-n261HDC_n25A-n261I
DC_n25A-n261(2A),DC_n25A-n261A
DC_n26A-n258ADC_n26A-n258BDC_n26A-n258CDC_n26A-n258DDC_n26A-n258EDC_n26A-n258FDC_n26A-n258GDC_n26A-n258HDC_n26A-n258IDC_n26A-n258JDC_n26A-n258KDC_n26A-n258LDC_n26A-n258M DC_n26A-n258R2DC_n26A-n258R3DC_n26A-n258R4DC_n26A-n258R5DC_n26A-n258R6DC_n26A-n258R7DC_n26A-n258R8DC_n26A-n258R9DC_n26A-n258R10,DC_n26A-n258ADC_n26A-n258GDC_n26A-n258HDC_n26A-n258IDC_n26A-n258R2DC_n26A-n258R3DC_n26A-n258R4
DC_n26(2A)-n258ADC_n26(2A)-n258BDC_n26(2A)-n258CDC_n26(2A)-n258DDC_n26(2A)-n258EDC_n26(2A)-n258FDC_n26(2A)-n258GDC_n26(2A)-n258HDC_n26(2A)-n258IDC_n26(2A)-n258JDC_n26(2A)-n258KDC_n26(2A)-n258LDC_n26(2A)-n258M,DC_n26A-n258ADC_n26A-n258GDC_n26A-n258HDC_n26A-n258I
DC_n28A-n257ADC_n28A-n257DDC_n28A-n257GDC_n28A-n257HDC_n28A-n257I,DC_n28A-n257ADC_n28A-n257DDC_n28A-n257GDC_n28A-n257HDC_n28A-n257I
DC_n28A-n258ADC_n28A-n258BDC_n28A-n258CDC_n28A-n258DDC_n28A-n258EDC_n28A-n258FDC_n28A-n258GDC_n28A-n258HDC_n28A-n258IDC_n28A-n258JDC_n28A-n258KDC_n28A-n258LDC_n28A-n258MDC_n28A-n258R2DC_n28A-n258R3DC_n28A-n258R4DC_n28A-n258R5DC_n28A-n258R6DC_n28A-n258R7DC_n28A-n258R8DC_n28A-n258R9DC_n28A-n258R10,DC_n28A-n258ADC_n28A-n258GDC_n28A-n258HDC_n28A-n258IDC_n28A-n258R2DC_n28A-n258R3DC_n28A-n258R4
DC_n30A-n257ADC_n30A-n257GDC_n30A-n257HDC_n30A-n257IDC_n30A-n257JDC_n30A-n257KDC_n30A-n257LDC_n30A-n257MDC_n30A-n257ODC_n30A-n257PDC_n30A-n257Q,DC_n30A-n257ADC_n30A-n257GDC_n30A-n257HDC_n30A-n257IDC_n30A-n257JDC_n30A-n257KDC_n30A-n257LDC_n30A-n257MDC_n30A-n257ODC_n30A-n257PDC_n30A-n257Q
DC_n30A-n258ADC_n30A-n258GDC_n30A-n258HDC_n30A-n258IDC_n30A-n258JDC_n30A-n258KDC_n30A-n258LDC_n30A-n258ODC_n30A-n258PDC_n30A-n258Q,DC_n30A-n258ADC_n30A-n258GDC_n30A-n258HDC_n30A-n258IDC_n30A-n258JDC_n30A-n258KDC_n30A-n258LDC_n30A-n258ODC_n30A-n258PDC_n30A-n258Q
DC_n30A-n261ADC_n30A-n261GDC_n30A-n261HDC_n30A-n261IDC_n30A-n261JDC_n30A-n261KDC_n30A-n261LDC_n30A-n261MDC_n30A-n261ODC_n30A-n261PDC_n30A-n261Q,DC_n30A-n261ADC_n30A-n261GDC_n30A-n261HDC_n30A-n261IDC_n30A-n261JDC_n30A-n261KDC_n30A-n261LDC_n30A-n261MDC_n30A-n261ODC_n30A-n261PDC_n30A-n261Q
DC_n30A-n260ADC_n30A-n260GDC_n30A-n260HDC_n30A-n260IDC_n30A-n260JDC_n30A-n260KDC_n30A-n260LDC_n30A-n260MDC_n30A-n260ODC_n30A-n260PDC_n30A-n260Q,DC_n30A-n260ADC_n30A-n260GDC_n30A-n260HDC_n30A-n260IDC_n30A-n260JDC_n30A-n260KDC_n30A-n260LDC_n30A-n260MDC_n30A-n260ODC_n30A-n260PDC_n30A-n260Q
DC_n34A-n258ADC_n34A-n258BDC_n34A-n258CDC_n34A-n258DDC_n34A-n258EDC_n34A-n258FDC_n34A-n258GDC_n34A-n258HDC_n34A-n258IDC_n34A-n258JDC_n34A-n258KDC_n34A-n258LDC_n34A-n258M,DC_n34A-n258A
DC_n39A-n258ADC_n39A-n258BDC_n39A-n258CDC_n39A-n258DDC_n39A-n258EDC_n39A-n258FDC_n39A-n258GDC_n39A-n258HDC_n39A-n258IDC_n39A-n258JDC_n39A-n258KDC_n39A-n258LDC_n39A-n258M,DC_n39A-n258A
DC_n40A-n257ADC_n40A-n257DDC_n40A-n257EDC_n40A-n257FDC_n40A-n257GDC_n40A-n257HDC_n40A-n257IDC_n40A-n257JDC_n40A-n257KDC_n40A-n257LDC_n40A-n257M,DC_n40A-n257ADC_n40A-n257GDC_n40A-n257HDC_n40A-n257IDC_n40A-n257JDC_n40A-n257KDC_n40A-n257LDC_n40A-n257M
DC_n40A-n258ADC_n40A-n258BDC_n40A-n258CDC_n40A-n258DDC_n40A-n258EDC_n40A-n258FDC_n40A-n258GDC_n40A-n258HDC_n40A-n258IDC_n40A-n258JDC_n40A-n258KDC_n40A-n258LDC_n40A-n258M,DC_n40A-n258A
DC_n41A-n257ADC_n41A-n257GDC_n41A-n257HDC_n41A-n257IDC_n41A-n257JDC_n41A-n257KDC_n41A-n257LDC_n41A-n257MDC_n41A-n257ODC_n41A-n257PDC_n41A-n257QDC_n41B-n257ADC_n41B-n257GDC_n41B-n257HDC_n41B-n257I,DC_n41A-n257ADC_n41A-n257GDC_n41A-n257HDC_n41A-n257IDC_n41A-n257JDC_n41A-n257KDC_n41A-n257LDC_n41A-n257MDC_n41A-n257ODC_n41A-n257PDC_n41A-n257QDC_n41B-n257ADC_n41B-n257GDC_n41B-n257HDC_n41B-n257I
DC_n41(2A)-n257ADC_n41(2A)-n257GDC_n41(2A)-n257HDC_n41(2A)-n257I,DC_n41A-n257ADC_n41A-n257GDC_n41A-n257HDC_n41A-n257I
DC_n41A-n258ADC_n41A-n258GDC_n41A-n258HDC_n41A-n258IDC_n41A-n258JDC_n41A-n258KDC_n41A-n258LDC_n41A-n258MDC_n41A-n258ODC_n41A-n258PDC_n41A-n258QDC_n41C-n258ADC_n41C-n258GDC_n41C-n258HDC_n41C-n258IDC_n41C-n258J,DC_n41A-n258ADC_n41A-n258GDC_n41A-n258HDC_n41A-n258IDC_n41A-n258JDC_n41A-n258KDC_n41A-n258LDC_n41A-n258MDC_n41A-n258ODC_n41A-n258PDC_n41A-n258Q
DC_n41A-n258(2A)DC_n41A-n258(3A)DC_n41A-n258(4A)DC_n41A-n258(5A)DC_n41C-n258(2A)DC_n41C-n258(3A)DC_n41C-n258(4A)DC_n41C-n258(5A)DC_n41(2A)-n258ADC_n41(2A)-n258GDC_n41(2A)-n258HDC_n41(2A)-n258IDC_n41(2A)-n258JDC_n41(2A)-n258(2A)DC_n41(2A)-n258(3A)DC_n41(2A)-n258(4A)DC_n41(2A)-n258(5A)DC_n41A-n258(2G)DC_n41C-n258(2G)DC_n41(2A)-n258(2G)DC_n41A-n258(A-G)DC_n41C-n258(A-G)DC_n41(2A)-n258(A-G)DC_n41A-n258(A-H)DC_n41C-n258(A-H)DC_n41(2A)-n258(A-H)DC_n41A-n258(A-I)DC_n41C-n258(A-I)DC_n41(2A)-n258(A-I)DC_n41A-n258(A-J)DC_n41C-n258(A-J)DC_n41(2A)-n258(A-J)DC_n41A-n258(G-H)DC_n41C-n258(G-H)DC_n41(2A)-n258(G-H)DC_n41A-n258(G-I)DC_n41C-n258(G-I)DC_n41(2A)-n258(G-I)DC_n41A-n258(G-J)DC_n41C-n258(G-J)DC_n41(2A)-n258(G-J),DC_n41A-n258ADC_n41A-n258GDC_n41A-n258HDC_n41A-n258IDC_n41A-n258J
DC_n41A-n260ADC_n41A-n260GDC_n41A-n260HDC_n41A-n260IDC_n41A-n260JDC_n41A-n260KDC_n41A-n260LDC_n41A-n260MDC_n41A-n260ODC_n41A-n260PDC_n41A-n260QDC_n41C-n260ADC_n41C-n260GDC_n41C-n260HDC_n41C-n260IDC_n41C-n260JDC_n41C-n260KDC_n41C-n260LDC_n41C-n260M,DC_n41A-n260ADC_n41A-n260GDC_n41A-n260HDC_n41A-n260IDC_n41A-n260JDC_n41A-n260KDC_n41A-n260LDC_n41A-n260MDC_n41A-n260ODC_n41A-n260PDC_n41A-n260Q
DC_n41A-n260(2A)DC_n41A-n260(3A)DC_n41A-n260(4A)DC_n41A-n260(5A)DC_n41A-n260(6A)DC_n41A-n260(7A)DC_n41A-n260(8A)DC_n41(2A)-n260ADC_n41(2A)-n260(2A)DC_n41(2A)-n260(3A)DC_n41(2A)-n260(4A)DC_n41(2A)-n260(5A)DC_n41(2A)-n260(6A)DC_n41(2A)-n260(7A)DC_n41(2A)-n260(8A)DC_n41(2A)-n260GDC_n41(2A)-n260HDC_n41(2A)-n260IDC_n41(2A)-n260JDC_n41(2A)-n260KDC_n41(2A)-n260LDC_n41(2A)-n260MDC_n41C-n260(2A)DC_n41C-n260(3A)DC_n41C-n260(4A)DC_n41C-n260(5A)DC_n41C-n260(6A)DC_n41C-n260(7A)DC_n41C-n260(8A),DC_n41A-n260ADC_n41A-n260GDC_n41A-n260HDC_n41A-n260IDC_n41A-n260JDC_n41A-n260KDC_n41A-n260LDC_n41A-n260M
DC_n41A-n261ADC_n41A-n261GDC_n41A-n261HDC_n41A-n261IDC_n41A-n261JDC_n41A-n261KDC_n41A-n261LDC_n41A-n261MDC_n41A-n261ODC_n41A-n261PDC_n41A-n261QDC_n41C-n261A,DC_n41A-n261ADC_n41A-n261GDC_n41A-n261HDC_n41A-n261IDC_n41A-n261JDC_n41A-n261KDC_n41A-n261LDC_n41A-n261MDC_n41A-n261ODC_n41A-n261PDC_n41A-n261Q
DC_n41A-n261(2A)DC_n41C-n261(2A)DC_n41(2A)-n261ADC_n41(2A)-n261(2A),DC_n41A-n261A
DC_n48A-n258ADC_n48A-n258GDC_n48A-n258HDC_n48A-n258IDC_n48A-n258J,DC_n48A-n258ADC_n48A-n258GDC_n48A-n258HDC_n48A-n258IDC_n48A-n258J
DC_n48A-n258(2A)DC_n48A-n258(A-G)DC_n48A-n258(2G)DC_n48A-n258(A-H)DC_n48A-n258(G-H)DC_n48A-n258(A-I)DC_n48A-n258(G-I)DC_n48A-n258(A-J)DC_n48A-n258(G-J),DC_n48A-n258ADC_n48A-n258GDC_n48A-n258HDC_n48A-n258IDC_n48A-n258J
DC_n48A-n260ADC_n48A-n260GDC_n48A-n260HDC_n48A-n260IDC_n48A-n260JDC_n48A-n260KDC_n48A-n260LDC_n48A-n260M DC_n48A-n260R2DC_n48A-n260R3DC_n48A-n260R4DC_n48A-n260R5DC_n48A-n260R6DC_n48A-n260R7DC_n48A-n260R8DC_n48A-n260R9DC_n48A-n260R10DC_n48B-n260ADC_n48B-n260GDC_n48B-n260HDC_n48B-n260IDC_n48B-n260JDC_n48B-n260KDC_n48B-n260LDC_n48B-n260MDC_n48C-n260ADC_n48C-n260GDC_n48C-n260HDC_n48C-n260IDC_n48C-n260JDC_n48C-n260KDC_n48C-n260LDC_n48C-n260M,DC_n48A-n260ADC_n48A-n260GDC_n48A-n260HDC_n48A-n260I DC_n48A-n260R2DC_n48A-n260R3DC_n48A-n260R4DC_n48B-n260ADC_n48B-n260GDC_n48B-n260HDC_n48B-n260I
