EN-DCconfiguration,Uplink EN-DC configuration(note 1)
DC_1A-3A-8A-11A_n28A-n77A2,DC_1A_n28ADC_1A_n77ADC_3A_n28ADC_3A_n77ADC_8A_n28ADC_8A_n77ADC_11A_n28ADC_11A_n77A
DC_1A-3A-8A-11A_n28A-n77(2A) 2,DC_1A_n28ADC_1A_n77ADC_3A_n28ADC_3A_n77ADC_8A_n28ADC_8A_n77ADC_11A_n28ADC_11A_n77A
DC_1A-3A-8A-20A-28A_n78A,DC_1A_n78ADC_3A_n78ADC_8A_n78ADC_20A_n78ADC_28A_n78A
DC_1A-3A-8A-20A_n28A-n78A,DC_1A_n28ADC_3A_n28ADC_8A_n28ADC_20A_n28ADC_1A_n78ADC_3A_n78ADC_8A_n78ADC_20A_n78A
DC_1A-3A-8A-20A-38A_n28A,DC_1A_n28ADC_3A_n28ADC_8A_n28ADC_20A_n28ADC_38A_n28A
DC_1A-3A-8A-20A-40A_n28A,DC_1A_n28ADC_3A_n28ADC_8A_n28ADC_20A_n28ADC_40A_n28A
DC_1A-3A-8A-28A_n40A-n77ADC_1A-3A-8A-28C_n40A-n77ADC_1A-3C-8A-28A_n40A-n77ADC_1A-3C-8A-28C_n40A-n77A,DC_1A_n40ADC_1A_n77ADC_3A_n40ADC_3A_n77ADC_8A_n40ADC_8A_n77ADC_28A_n40ADC_28A_n77A
DC_1A-3A-8A-38A_n28A-n78A,DC_1A_n28ADC_3A_n28ADC_8A_n28ADC_38A_n28ADC_1A_n78ADC_3A_n78ADC_8A_n78ADC_38A_n78A
DC_1A-3A-20A-38A_n28A-n78A,DC_1A_n28ADC_3A_n28ADC_20A_n28ADC_38A_n28ADC_1A_n78ADC_3A_n78ADC_20A_n78ADC_38A_n78A
DC_1A-3A-20A-40A_n28A-n78A,DC_1A_n28ADC_3A_n28ADC_20A_n28ADC_40A_n28ADC_1A_n78ADC_3A_n78ADC_20A_n78ADC_40A_n78A
DC_1A-3A-8A-28A_n40A-n71ADC_1A-3C-8A-28A_n40A-n71A,DC_1A_n40ADC_1A_n71ADC_3A_n40ADC_3A_n71ADC_8A_n40ADC_8A_n71ADC_28A_n40ADC_28A_n71A9
DC_1A-3A-8A-28A_n71A-n77ADC_1A-3C-8A-28A_n71A-n77A,DC_1A_n71ADC_1A_n77ADC_3A_n71ADC_3A_n77ADC_8A_n71ADC_8A_n77ADC_28A_n71A4DC_28A_n77A
DC_1A-3A-8A-41A_n1A-n41A,DC_1A_n1A4DC_1A_n41ADC_3A_n1ADC_3A_n41ADC_41A_n1ADC_8A_n1ADC_41A_n41ADC_8A_n41A
DC_1A-3A-3A-8A-41A_n1A-n41A,DC_1A_n1A4DC_1A_n41ADC_3A_n1ADC_3A_n41ADC_41A_n1ADC_8A_n1ADC_41A_n41ADC_8A_n41A
DC_1A-3A-8A-41A_n1A-n78ADC_1A-3A-8A-41C_n1A-n78A,DC_1A_n1A4DC_1A_n78ADC_3A_n1ADC_3A_n78ADC_8A_n1ADC_8A_n78ADC_41A_n1ADC_41A_n78A
DC_1A-7A-20A-28A-32A_n3ADC_1A-7C-20A-28A-32A_n3A,DC_1A_n3ADC_7A_n3ADC_20A_n3ADC_28A_n3A
DC_1A-7A-20A-38A_n3A-n78A,DC_1A_n3ADC_20A_n3ADC_1A_n78ADC_20A_n78A
DC_1A-8A_n3A-n28A-n77A-n79A,DC_1A_n3ADC_1A_n28ADC_1A_n77ADC_1A_n79ADC_8A_n3ADC_8A_n28ADC_8A_n77ADC_8A_n79A
DC_1A-8A-11A_n3A-n28A-n77A2,DC_1A_n3ADC_1A_n28ADC_1A_n77ADC_8A_n3ADC_8A_n28ADC_8A_n77ADC_11A_n3ADC_11A_n28ADC_11A_n77A
DC_1A-8A-11A_n3A-n28A-n77(2A) 2,DC_1A_n3ADC_1A_n28ADC_1A_n77ADC_8A_n3ADC_8A_n28ADC_8A_n77ADC_11A_n3ADC_11A_n28ADC_11A_n77A
DC_1A-8A-20A-38A_n28A-n78A,DC_1A_n28ADC_8A_n28ADC_20A_n28ADC_38A_n28ADC_1A_n78ADC_8A_n78ADC_20A_n78ADC_38A_n78A
"DC_1A-8A-42A_n3A-n28A-n77A5,6DC_1A-8A-42C_n3A-n28A-n77A5,6",DC_1A_n3ADC_1A_n28ADC_1A_n77ADC_8A_n3ADC_8A_n28ADC_8A_n77ADC_42A_n3ADC_42C_n3ADC_42A_n28ADC_42C_n28A
"DC_1A-8A-42A_n3A-n28A-n77(2A)5,6DC_1A-8A-42C_n3A-n28A-n77(2A)5,6",DC_1A_n3ADC_1A_n28ADC_1A_n77ADC_8A_n3ADC_8A_n28ADC_8A_n77ADC_42A_n3ADC_42C_n3ADC_42A_n28ADC_42C_n28A
DC_2A-5A-7A-66A_n2A-n66A,DC_2A_n2A4DC_2A_n66ADC_5A_n2ADC_5A_n66ADC_7A_n2ADC_7A_n66ADC_66A_n2ADC_66A_n66A4
DC_2A-5A-7A-66A_n2A-n77A,DC_2A_n2A4DC_2A_n77ADC_5A_n2ADC_5A_n77ADC_7A_n2ADC_7A_n77ADC_66A_n2ADC_66A_n77A
DC_2A-5A-7A-66A_n2A-n78A,DC_2A_n2A4DC_2A_n78ADC_5A_n2ADC_5A_n78ADC_7A_n2ADC_7A_n78ADC_66A_n2ADC_66A_n78A
DC_2A-7A-12A-66A_n2A-n66A,DC_2A_n2A4DC_2A_n66ADC_7A_n2ADC_7A_n66ADC_12A_n2ADC_12A_n66ADC_66A_n2ADC_66A_n66A4
DC_2A-7A-12A-66A_n2A-n77A,DC_2A_n2A4DC_2A_n77ADC_7A_n2ADC_7A_n77ADC_12A_n2ADC_12A_n77ADC_66A_n2ADC_66A_n77A
DC_2A-5A-7A-66A_n66A-n77A,DC_2A_n66ADC_2A_n77ADC_5A_n66ADC_5A_n77ADC_7A_n66ADC_7A_n77ADC_66A_n66A4DC_66A_n77A
DC_2A-7A-12A-66A_n2A-n78A,DC_2A_n2A4DC_2A_n78ADC_7A_n2ADC_7A_n78ADC_12A_n2ADC_12A_n78ADC_66A_n2ADC_66A_n78A
DC_2A-7A-66A-71A_n2A-n66A,DC_2A_n2A4DC_2A_n66ADC_7A_n2ADC_7A_n66ADC_66A_n2ADC_66A_n66A4DC_71A_n2ADC_71A_n66A
DC_2A-7A-66A-71A_n2A-n77A,DC_2A_n2A4DC_2A_n77ADC_7A_n2ADC_7A_n77ADC_66A_n2ADC_66A_n77ADC_71A_n2ADC_71A_n77A
DC_2A-7A-12A-66A_n66A-n77A,DC_2A_n66ADC_2A_n77ADC_7A_n66ADC_7A_n77ADC_12A_n66ADC_12A_n77ADC_66A_n66A4DC_66A_n77A
DC_2A-7A-66A-71A_n2A-n78A,DC_2A_n2A4DC_2A_n78ADC_7A_n2ADC_7A_n78ADC_66A_n2ADC_66A_n78ADC_71A_n2ADC_71A_n78A
DC_3A-7A-8A-20A_n1A-n78A,DC_3A_n1ADC_3A_n78ADC_7A_n1ADC_7A_n78ADC_8A_n1ADC_8A_n78ADC_20A_n1ADC_20A_n78A
DC_3A-7A-8A-32A_n1A-n78A,DC_3A_n1ADC_3A_n78ADC_7A_n1ADC_7A_n78ADC_8A_n1ADC_8A_n78A
DC_3A-7A-8A-40A_n1A-n78ADC_3A-7A-8A-40C_n1A-n78A,DC_3A_n1ADC_3A_n78ADC_7A_n1ADC_7A_n78ADC_8A_n1ADC_8A_n78ADC_40A_n1ADC_40A_n78A
DC_3A-7A-20A-32A_n1A-n78A,DC_3A_n1ADC_3A_n78ADC_7A_n1ADC_7A_n78ADC_20A_n1ADC_20A_n78A
DC_3A-7A-28A_n1A-n40A-n78A,DC_3A_n1ADC_3A_n40ADC_3A_n78ADC_7A_n1ADC_7A_n40ADC_7A_n78ADC_28A_n1ADC_28A_n40ADC_28A_n78A
DC_3A-8A-20A-28A_n1A-n78A,DC_3A_n1ADC_8A_n1ADC_20A_n1ADC_28A_n1ADC_3A_n78ADC_8A_n78ADC_20A_n78ADC_28A_n78A
DC_3A-8A-20A-28A-38A_n1A,DC_3A_n1ADC_8A_n1ADC_20A_n1ADC_28A_n1ADC_38A_n1A
DC_3A-8A-20A-28A-40A_n1A,DC_3A_n1ADC_8A_n1ADC_20A_n1ADC_28A_n1ADC_40A_n1A
DC_3A-8A-20A-38A_n1A-n28A,DC_3A_n1ADC_8A_n1ADC_20A_n1ADC_38A_n1ADC_3A_n28ADC_8A_n28ADC_20A_n28ADC_38A_n28A
DC_3A-8A-20A-40A_n1A-n28A,DC_3A_n1ADC_8A_n1ADC_20A_n1ADC_40A_n1ADC_3A_n28ADC_8A_n28ADC_20A_n28ADC_40A_n28A
DC_3A-8A-20A-40A_n1A-n78A,DC_3A_n1ADC_8A_n1ADC_20A_n1ADC_40A_n1ADC_3A_n78ADC_8A_n78ADC_20A_n78ADC_40A_n78A
DC_3A-20A-28A-40A_n1A-n78A,DC_3A_n1ADC_20A_n1ADC_28A_n1ADC_40A_n1ADC_3A_n78ADC_20A_n78ADC_28A_n78ADC_40A_n78A
DC_3A-20A-38A-40A_n1A-n28A,DC_3A_n1ADC_20A_n1ADC_38A_n1ADC_40A_n1ADC_3A_n28ADC_20A_n28ADC_38A_n28ADC_40A_n28A
DC_3A-28A_n1A-n5A-n78A-n105A,DC_3A_n1ADC_3A_n5ADC_3A_n78ADC_3A_n105ADC_28A_n1ADC_28A_n5ADC_28A_n78A
DC_7A-8A-20A-32A-38A_n1A,DC_8A_n1ADC_20A_n1A
DC_7A-20A-28A-32A-38A_n1A,DC_20A_n1ADC_28A_n1A
"NOTE 1:Uplink EN-DC configurations are the configurations supported by the present release of specifications.NOTE 2:Applicable for UE supporting inter-band EN-DC with mandatory simultaneous Rx/Tx capability.NOTE 3:The frequency range in band 28/n28 is restricted for this band combination to 703-733 MHz for the UL and 758-788 MHz for the DL.NOTE 4:Only single switched UL is supported.NOTE 5: For UEs not indicating interBandMRDC-WithOverlapDL-Bands-r16, the minimum requirements for intra-band non-contiguous EN-DC apply for the Band 42 and Band n77/n78 combination. For UEs not indicating interBandMRDC-WithOverlapDL-Bands-r16, when UE capability interBandContiguousMRDC is indicated, the minimum requirements for intra-band-contiguous EN-DC also should be met in addtion to intra-band non-contiguous EN-DC.NOTE 6:For UEs not indicating interBandMRDC-WithOverlapDL-Bands-r16, the minimum requirements for inter-band EN-DC apply when the maximum power spectral density imbalance between downlink carriers contained in overlapping or partially overlapping DL bands is within 6 dB. NOTE 7:For UEs not indicating interBandMRDC-WithOverlapDL-Bands-r16, the minimum requirements apply for synchronized DL carriers with a maximum receive time difference ≤ 3 usec between overlapping or partially overlapping DL bands contained in different cell groups.NOTE 8:Band 7 and Band 38 are restricted as DL Scell. Power imbalance between downlink carriers on Band 7 and Band 38 is assumed to be within 6dB.NOTE 9:Only single switched UL is supported.",
