EN-DCconfiguration,Uplink EN-DC configuration(note 1)
"DC_1A-11A_n77(2A)5,14DC_1A-11A_n77(3A)5",DC_1A_n77A14DC_11A_n77A
DC_1A-11A_n78A5,DC_1A_n78ADC_11A_n78A
DC_1A-11A_n78(2A)5,DC_1A_n78ADC_11A_n78A
"DC_1A-11A_n79A5,14",DC_1A_n79A14DC_11A_n79A14
DC_1A-18A_n3A,DC_1A_n3ADC_18A_n3A
DC_1A-18A_n28A,DC_1A_n28ADC_18A_n28A
DC_1A-18A_n41A,DC_1A_n41ADC_18A_n41A
"DC_1A-18A_n77A5,14",DC_1A_n77A14DC_18A_n77A
DC_1A-18A_n77(2A)5,DC_1A_n77ADC_18A_n77A
DC_1A-18A_n78A5,DC_1A_n78ADC_18A_n78A
DC_1A-18A_n78(2A)5,DC_1A_n78ADC_18A_n78A
DC_1A-18A_n79A,DC_1A_n79ADC_18A_n79A
"DC_1A-19A_n77A5,14DC_1A-19A_n77C5",DC_1A_n77A14DC_19A_n77A14
"DC_1A-19A_n77(2A)5,14",DC_1A_n77A14DC_19A_n77A14
"DC_1A-19A_n78A5,14DC_1A-19A_n78C5",DC_1A_n78A14DC_19A_n78A14
"DC_1A-19A_n78(2A)5,14",DC_1A_n78A14DC_19A_n78A14
"DC_1A-19A_n79A5, 14DC_1A-19A_n79C5",DC_1A_n79A14DC_19A_n79A14
DC_1A-20A_n1A,DC_1A_n1A2DC_20A_n1A
DC_1A-20A_n3ADC_1C-20A_n3A,DC_1A_n3ADC_20A_n3A
DC_1A-20A_n7A,DC_1A_n7ADC_20A_n7A
DC_1A-20A_n8A,DC_1A_n8ADC_20A_n8A
DC_1A-20A_n28A,DC_1A_n28ADC_20A_n28A
DC_1A-20A_n38A,DC_1A_n38ADC_20A_n38A
DC_1A-20A_n41A,DC_1A_n41ADC_20A_n41A
DC_1A-20A_n78A5DC_1A-20A_n78C5,DC_1A_n78ADC_20A_n78A
DC_1A-1A-20A_n78A5,DC_1A_n78ADC_20A_n78A
DC_1A-20A_n78(2A)5,DC_1A_n78ADC_20A_n78A
DC_1A-21A_n28A13,DC_1A_n28ADC_21A_n28A
"DC_1A-21A_n77A5, 14DC_1A-21A_n77C5, 14",DC_1A_n77A14DC_21A_n77A14
"DC_1A-21A_n77(2A)5,14",DC_1A_n77A14DC_21A_n77A14
"DC_1A-21A_n78A5,14DC_1A-21A_n78C5",DC_1A_n78A14DC_21A_n78A14
"DC_1A-21A_n78(2A)5,14",DC_1A_n78A14DC_21A_n78A14
"DC_1A-21A_n79A5,14DC_1A-21A_n79C5",DC_1A_n79A14DC_21A_n79A14
DC_1A-26A_n78A,DC_1A_n78ADC_26A_n78A
DC_1A-26A_n78(2A),DC_1A_n78ADC_26A_n78A
DC_1A_n26A-n78A,DC_1A_n26ADC_1A_n78A
DC_1A-28A_n3A,DC_1A_n3ADC_28A_n3A
DC_1A-28A_n5A6,DC_1A_n5ADC_28A_n5A
DC_1A-28A_n7ADC_1A-28A_n7B,DC_1A_n7ADC_28A_n7ADC_1A_n7BDC_28A_n7B
DC_1A-1A-28A_n7ADC_1A-1A-28A_n7B,DC_1A_n7ADC_28A_n7ADC_1A_n7BDC_28A_n7B
DC_1A-28A_n20A22,DC_1A_n20ADC_28A_n20A22
DC_1A-28A_n38A,DC_1A_n38ADC_28A_n38A
DC_1A_n28A-n38A,DC_1A_n28ADC_1A_n38A
DC_1A_n28A-n40A,DC_1A_n28ADC_1A_n40A
DC_1A-28A_n40ADC_1A-28C_n40A,DC_1A_n40ADC_28A_n40A
DC_1A_n28A-n41A5,DC_1A_n28ADC_1A_n41A
DC_1A-28A_n41A,DC_1A_n41ADC_28A_n41A
DC_1A-28A_n71A,DC_1A_n71ADC_28A_n71A18
DC_1A_n28A-n75A,DC_1A_n28A
DC_1A-28A_n77A5DC_1A-28A_n77C5DC_1A-28C_n77A,DC_1A_n77ADC_28A_n77A
DC_1A-28A_n77(2A)5DC_1A-28C_n77(2A)5,DC_1A_n77ADC_28A_n77A
DC_1A-28A_n78A5DC_1A-28A_n78C5,DC_1A_n78ADC_28A_n78A
DC_1A-1A-28A_n78A,DC_1A_n78ADC_28A_n78A
DC_1A-28A_n78(2A),DC_1A_n78ADC_28A_n78A
"DC_1A_n28A-n77A5, 14",DC_1A_n28ADC_1A_n77A14
"DC_1A_n28A-n77(2A)5,14",DC_1A_n28ADC_1A_n77A14
DC_1A_n28A-n78A5,DC_1A_n28ADC_1A_n78A
DC_1A_n28A-n78(2A)5,DC_1A_n28ADC_1A_n78A
DC_1A-28A_n79A5DC_1A-28A_n79C5,DC_1A_n79ADC_28A_n79A
"DC_1A_n28A-n79A5, 14",DC_1A_n28ADC_1A_n79A14
DC_1A-32A_n3A,DC_1A_n3A
DC_1A-32A_n8A,DC_1A_n8A
DC_1A-32A_n28A,DC_1A_n28A
DC_1A-32A_n40A,DC_1A_n40A
DC_1A-32A_n41A,DC_1A_n41A
DC_1A-32A_n78ADC_1A-32A_n78C,DC_1A_n78A
DC_1A-32A_n78(2A),DC_1A_n78A
DC_1A-38A_n3A,DC_1A_n3ADC_38A_n3A
DC_1A-38A_n8A,DC_1A_n8ADC_38A_n8A
DC_1A-38A_n28A,DC_1A_n28ADC_38A_n28A
DC_1A-(n)38AA,DC_1A_n38A
DC_1A_n38A-n78A,DC_1A_n38ADC_1A_n78A
DC_1A-38A_n78A,DC_1A_n78ADC_38A_n78A
DC_1A-38A_n78(2A),DC_1A_n78A
DC_1A-40A_n28A,DC_1A_n28ADC_40A_n28A
DC_1A_n40A-n41A,DC_1A_n40ADC_1A_n41A
DC_1A_n40A-n71A,DC_1A_n40ADC_1A_n71A
DC_1A_n40A-n77A,DC_1A_n40ADC_1A_n77A
DC_1A_n40A-n77(2A),DC_1A_n40ADC_1A_n77A
DC_1A-40A_n78ADC_1A-40C_n78A,DC_1A_n78ADC_40A_n78A
DC_1A-40A_n78(2A)DC_1A-40C_n78(2A),DC_1A_n78ADC_40A_n78A
DC_1A_n40A-n78ADC_1A_n40A-n78C,DC_1A_n40ADC_1A_n78A
DC_1A_n40A-n78(2A),DC_1A_n40ADC_1A_n78A
DC_1A_n40A-n105A,DC_1A_n40ADC_1A_n105A
DC_1A-41A_n1ADC_1A-41C_n1A,DC_1A_n1A2DC_41A_n1A
DC_1A-41A_n3A5DC_1A-41C_n3A5,DC_1A_n3ADC_41A_n3ADC_41C_n3A
DC_1A-41A_n28A5DC_1A-41C_n28A5,DC_1A_n28ADC_41A_n28ADC_41C_n28A
DC_1A-(n)41AADC_1A-(n)41CADC_1A-(n)41DA,DC_1A_n41A
DC_1A-41A_n41ADC_1A-41C_n41A,DC_1A_n41A
DC_1A-41A_n77A14DC_1A-41C_n77A14,DC_1A_n77A14DC_41A_n77ADC_41C_n77A
DC_1A-41A_n77(2A) 14DC_1A-41C_n77(2A) 14,DC_1A_n77A14DC_41A_n77ADC_41C_n77A
DC_1A_n41A-n77A14,DC_1A_n41A14DC_1A_n77A14
DC_1A_n41A-n77(2A),DC_1A_n41ADC_1A_n77A
DC_1A-41A_n78ADC_1A-41C_n78A,DC_1A_n78ADC_41A_n78ADC_41C_n78A
DC_1A_n41A-n78A,DC_1A_n41ADC_1A_n78A
DC_1A_n41A-n78(2A),DC_1A_n41ADC_1A_n78A
DC_1A-41A_n78(2A)DC_1A-41C_n78(2A),DC_1A_n78ADC_41A_n78ADC_41C_n78A
DC_1A-41A_n79A5DC_1A-41C_n79A5,DC_1A_n79A
DC_1A-42A_n3A5DC_1A-42C_n3A5,DC_1A_n3ADC_42A_n3ADC_42C_n3A
DC_1A-42A_n28A5DC_1A-42C_n28A5,DC_1A_n28ADC_42A_n28ADC_42C_n28A
"DC_1A-42A_n77A14, 15,16DC_1A-42A_n77C15,16DC_1A-42C_n77A14, 15,16DC_1A-42C_n77C15,16DC_1A-42D_n77A14, 15,16DC_1A-42D_n77C15,16DC_1A-42E_n77A14, 15,16DC_1A-42E_n77C15,16","DC_1A_n77A14,"
"DC_1A-42A_n77(2A)15,16DC_1A-42C_n77(2A)15,16",DC_1A_n77A
"DC_1A-42A_n78A14,15,16DC_1A-42A_n78C15,16DC_1A-42C_n78A14,15,16DC_1A-42C_n78C15,16DC_1A-42D_n78A14,15,16DC_1A-42D_n78C15,16DC_1A-42E_n78A14,15,16DC_1A-42E_n78C15,16",DC_1A_n78A14
DC_1A-42A_n79A14DC_1A-42A_n79CDC_1A-42C_n79A14DC_1A-42C_n79CDC_1A-42D_n79A14DC_1A-42D_n79CDC_1A-42E_n79A14DC_1A-42E_n79C,DC_1A_n79A14
DC_1A_n71A-n77A,DC_1A_n71ADC_1A_n77A
DC_1A_n75A-n78A,DC_1A_n78A
DC_1A_n75A-n78(2A),DC_1A_n78A
"DC_1A_n77A-n79A14, 23",DC_1A_n77A14DC_1A_n79A14
"DC_1A_n77(2A)-n79A14,23",DC_1A_n77A14DC_1A_n79A14
DC_1A_SUL_n77A-n80A,DC_1A_n77ADC_1A_n80A
DC_1A_SUL_n77A-n84A,DC_1A_n77ADC_1A_n84A_ULSUP-TDM_n77A
"DC_1A_n78A-n79A14, 24",DC_1A_n78A14DC_1A_n79A14
DC_1A_SUL_n78A-n80ADC_1A_SUL_n78C-n80A,DC_1A_n78ADC_1A_n80A
DC_1A_SUL_n78A-n84A5DC_1A_SUL_n78C-n84A5,"DC_1A_n78A,DC_1A_n84A_ULSUP-TDM_n78A"
DC_1A_SUL_n79A-n84A,"DC_1A_n79A,DC_1A_n84A_ULSUP-TDM_n79A"
DC_1A_n78A-n105A,DC_1A_n78ADC_1A_n105A
DC_2A_n2A-n7A,DC_2A_n2A2DC_2A_n7A
DC_2A_n2A-n38A,DC_2A_n38A
DC_2A_n2A-n41A,DC_2A_n41A
DC_2A_n2A-n66A,DC_2A_n66A
DC_2A_n2A-n71A,DC_2A_n71A
DC_2A_n2A-n77A14DC_2A_n2A-n77C14,DC_2A_n77A14
DC_2A_n2A-n78A,DC_2A_n78A
DC_2A-4A_n28A,DC_2A_n28ADC_4A_n28A
DC_2A-4A_n38A,DC_2A_n38ADC_4A_n38A
DC_2A-4A_n41A,DC_2A_n41ADC_4A_n41A
DC_2A-4A_n78A,DC_2A_n78ADC_4A_n78A
DC_2A-5A_n2A,DC_5A_n2ADC_2A_n2A2
DC_2A-5B_n2A,DC_5A_n2A
DC_2A-5A-5A_n2A,DC_5A_n2A
DC_2A-5A_n5A,DC_2A_n5A
DC_2A-2A-5A_n5A,DC_2A_n5A
DC_2A-(n)5AA,DC_2A_n5ADC_(n)5AA2
DC_2A-2A-(n)5AA,DC_2A_n5ADC_(n)5AA2
DC_2A-5A_n7A,DC_2A_n7ADC_5A_n7A
DC_2A-2A-5A_n7A,DC_2A_n7ADC_5A_n7A
DC_2A_n5A-n7A,DC_2A_n5ADC_2A_n7A
DC_2A-5A_n12A,DC_2A_n12ADC_5A_n12A
DC_2A-5A_n30A,DC_2A_n30ADC_5A_n30A
DC_2A-2A-5A_n30A,DC_2A_n30ADC_5A_n30A
DC_2A-5A_n41A,DC_2A_n41ADC_5A_n41A
DC_2A-2A-5A_n41A,DC_2A_n41ADC_5A_n41A
DC_2A-5A_n48ADC_2A-5A_n48B,DC_2A_n48ADC_5A_n48A
DC_2A-5A_n66ADC_2A-5B_n66A,DC_2A_n66ADC_5A_n66A
DC_2A-5A-5A_n66ADC_2A-2A-5A_n66A,DC_2A_n66ADC_5A_n66A
DC_2A-5A_n71A,DC_2A_n71ADC_5A_n71A
DC_2A-5A_n77A14DC_2A-5A_n77C14,DC_2A_n77A14DC_5A_n77A14
DC_2A-5A_n77(2A)14,DC_2A_n77A14DC_5A_n77A14
DC_2A-2A-5A_n77A14DC_2A-2A-5A_n77C14,DC_2A_n77A14DC_5A_n77A14
DC_2A-2A-5A_n77(2A)14,DC_2A_n77A14DC_5A_n77A14
DC_2A-5A_n78A,DC_2A_n78ADC_5A_n78A
DC_2A-2A-5A_n78A,DC_2A_n78ADC_5A_n78A
DC_2A-5A_n78(2A),DC_2A_n78ADC_5A_n78A
DC_2A-7A_n2A,DC_7A_n2A
DC_2A-7A_n5ADC_2A-7C_n5A,DC_2A_n5ADC_7A_n5A
DC_2A-7A-7A_n5A,DC_2A_n5ADC_7A_n5A
DC_2A-7A_n7A,DC_2A_n7ADC_7A_n7A2
DC_2A-7A_n12A,DC_2A_n12ADC_7A_n12A
DC_2A-2A-7A_n12A,DC_2A_n12ADC_7A_n12A
DC_2A_n7A-n12A,DC_2A_n7ADC_2A_n12A
"DC_2A-7A_n25A15, 16DC_2A-7C_n25A15, 16",DC_7A_n25A
"DC_2A-7A-7A_n25A15, 16",DC_7A_n25A
DC_2A-7A_n28ADC_2C-7A_n28A DC_2A-7C_n28A,DC_2A_n28ADC_7A_n28ADC_7C_n28A
DC_2A_n7A-n71A,DC_2A_n7ADC_2A_n71A
DC_2A_n5A-n77A14DC_2A_n5A-n77C14,DC_2A_n5ADC_2A_n77A14
DC_2A-2A_n5A-n77A14DC_2A-2A_n5A-n77C14,DC_2A_n5ADC_2A_n77A14
DC_2A-7A_n66ADC_2A-7C_n66A,DC_2A_n66ADC_7A_n66A
DC_2A-2A-7A_n66ADC_2A-2A-7C_n66A,DC_2A_n66ADC_7A_n66A
DC_2A-7A-7A_n66A,DC_2A_n66ADC_7A_n66A
DC_2A-2A-7A-7A_n66A,DC_2A_n66ADC_7A_n66A
DC_2A_n7A-n66A,DC_2A_n7ADC_2A_n66A
DC_2A_n7(2A)-n66A,DC_2A_n7ADC_2A_n66A
DC_2A-7A_n71A,DC_2A_n71ADC_7A_n71A
DC_2A-2A-7A_n71A,DC_2A_n71ADC_7A_n71A
DC_2A-7A_n77ADC_2A-7C_n77A,DC_2A_n77ADC_7A_n77A
DC_2A_n7A-n77A,DC_2A_n7ADC_2A_n77A
DC_2A-2A-7A_n77A,DC_2A_n77ADC_7A_n77A
DC_2A-7A-7A_n77A,DC_2A_n77ADC_7A_n77A
DC_2A-7A_n77(2A)DC_2A-7C_n77(2A),DC_2A_n77ADC_7A_n77A
DC_2A-7A-7A_n77(2A),DC_2A_n77ADC_7A_n77A
"DC_2A-7A_n78A5,14DC_2A-7C_n78A5,14",DC_2A_n78A14DC_7A_n78A14DC_7C_n78A
"DC_2A-7A_n78(2A) 5,14DC_2A-7C_n78(2A) 5,14",DC_2A_n78A14DC_7A_n78A14DC_7C_n78A
DC_2A-2A-7A_n78A,DC_2A_n78ADC_7A_n78A
DC_2A_n7A-n78A,DC_2A_n7ADC_2A_n78A
DC_2A_n7(2A)-n78ADC_2A_n7A-n78(2A)DC_2A_n7(2A)-n78(2A),DC_2A_n7ADC_2A_n78A
"DC_2A-7A-7A_n78A5,14",DC_2A_n78A14DC_7A_n78A14
"DC_2A-7A-7A_n78(2A) 5,14",DC_2A_n78A14DC_7A_n78A14
DC_2A-8A_n2A,DC_2A_n2A2DC_8A_n2A
DC_2A-12A_n2A,DC_12A_n2A
DC_2A-12A_n5A,DC_2A_n5ADC_12A_n5A
DC_2A-2A-12A_n5A,DC_2A_n5ADC_12A_n5A
DC_2A-12A_n7A,DC_2A_n7ADC_12A_n7A
DC_2A-2A-12A_n7A,DC_2A_n7ADC_12A_n7A
DC_2A-12A_n7(2A),DC_2A_n7ADC_12A_n7A
DC_2A-(n)12AA,DC_2A_n12ADC_(n)12AA2
DC_2A-12A_n30A,DC_2A_n30ADC_12A_n30A
DC_2A-2A-12A_n30A,DC_2A_n30ADC_12A_n30A
DC_2A-12A_n41A,DC_2A_n41ADC_12A_n41A
DC_2A-2A-12A_n41A,DC_2A_n41ADC_12A_n41A
DC_2A-12A_n66A,DC_2A_n66ADC_12A_n66A
DC_2A-2A-12A_n66A,DC_2A_n66ADC_12A_n66A
DC_2A-12A_n77A14,DC_2A_n77A14DC_12A_n77A14
DC_2A-2A-12A_n77A14,DC_2A_n77A14DC_12A_n77A14
DC_2A-12A_n77(2A)14,DC_2A_n77A14DC_12A_n77A14
DC_2A-2A-12A_n77(2A)14,DC_2A_n77A14DC_12A_n77A14
DC_2A_n12A-n77A,DC_2A_n77ADC_2A_n12A
DC_2A-2A_n12A-n77A,DC_2A_n12ADC_2A_n77A
DC_2A_n12A-n78A,DC_2A_n12ADC_2A_n78A
DC_2A-13A_n2A,DC_13A_n2A
DC_2A-12A_n78A,DC_2A_n78ADC_12A_n78A
DC_2A-12A_n78(2A),DC_2A_n78ADC_12A_n78A
DC_2A-2A-12A_n78A,DC_2A_n78ADC_12A_n78A
DC_2A-13A_n5A,DC_2A_n5A
DC_2A-2A-13A_n5A,DC_2A_n5A
"DC_2A-13A_n25A16,20",DC_13A_n25A
DC_2A-13A_n48ADC_2A-13A_n48B,DC_2A_n48ADC_13A_n48A
DC_2A-13A_n66A,DC_2A_n66ADC_13A_n66A
DC_2A-2A-13A_n66A,DC_2A_n66ADC_13A_n66A
DC_2A-13A_n77A14DC_2A-13A_n77C14,DC_2A_n77A14DC_13A_n77A14
DC_2A-2A-13A_n77A14DC_2A-2A-13A_n77C14,DC_2A_n77A14DC_13A_n77A14
DC_2A-14A_n2A,DC_2A_n2A2DC_14A_n2A
DC_2A-14A_n5A,DC_2A_n5ADC_14A_n5A
DC_2A-2A-14A_n5A,DC_2A_n5ADC_14A_n5A
DC_2A-14A_n30A,DC_2A_n30ADC_14A_n30A
DC_2A-2A-14A_n30A,DC_2A_n30ADC_14A_n30A
DC_2A-14A_n66A,DC_2A_n66ADC_14A_n66A
DC_2A-2A-14A_n66A,DC_2A_n66ADC_14A_n66A
DC_2A-14A_n77A14,DC_2A_n77A14DC_14A_n77A14
DC_2A-14A_n77(2A)14,DC_2A_n77A14DC_14A_n77A14
DC_2A-2A-14A_n77A14,DC_2A_n77A14DC_14A_n77A14
DC_2A-2A-14A_n77(2A)14,DC_2A_n77A14DC_14A_n77A14
DC_2A_n25A-n66A,DC_2A_n66A
DC_2A-28A_n7ADC_2C-28A_n7A,DC_2A_n7ADC_28A_n7A
DC_2A-28A_n66A,DC_2A_n66ADC_28A_n66A
DC_2A-28A_n78A,DC_2A_n78ADC_28A_n78A
DC_2A-28A_n78(2A),DC_2A_n78ADC_28A_n78A
DC_2A-29A_n30A,DC_2A_n30A
DC_2A-2A-29A_n30A,DC_2A_n30A
DC_2A-29A_n66A,DC_2A_n66A
DC_2A-2A-29A_n66A,DC_2A_n66A
DC_2A-29A_n77A14,DC_2A_n77A14
DC_2A-2A-29A_n77A14,DC_2A_n77A14
DC_2A-29A_n78A,DC_2A_n78A
DC_2A-30A_n5A,DC_2A_n5ADC_30A_n5A
DC_2A-30A_n2A,DC_2A_n2A2DC_30A_n2A
DC_2A-2A-30A_n5A,DC_2A_n5ADC_30A_n5A
DC_2A-30A_n66A,DC_2A_n66ADC_30A_n66A
DC_2A-2A-30A_n66A,DC_2A_n66ADC_30A_n66A
DC_2A-30A_n77A14,DC_2A_n77A14DC_30A_n77A14
DC_2A-30A_n77(2A) 14,DC_2A_n77A14DC_30A_n77A14
