DC_n77(2A)-n257A_1A-3ADC_n77(2A)-n257G_1A-3ADC_n77(2A)-n257H_1A-3ADC_n77(2A)-n257I_1A-3ADC_n77(2A)-n257J_1A-3ADC_n77(2A)-n257K_1A-3ADC_n77(2A)-n257L_1A-3ADC_n77(2A)-n257M_1A-3A,DC_n77A_1ADC_n77A_3ADC_n257A_1ADC_n257A_3A
DC_n77A-n257A_1A-8ADC_n77A-n257G_1A-8ADC_n77A-n257H_1A-8ADC_n77A-n257I_1A-8ADC_n77A-n257J_1A-8ADC_n77A-n257K_1A-8ADC_n77A-n257L_1A-8ADC_n77A-n257M_1A-8A,DC_n77A_1ADC_n77A_8ADC_n257A_1ADC_n257A_8A
DC_n77(2A)-n257A_1A-8ADC_n77(2A)-n257G_1A-8ADC_n77(2A)-n257H_1A-8ADC_n77(2A)-n257I_1A-8ADC_n77(2A)-n257J_1A-8ADC_n77(2A)-n257K_1A-8ADC_n77(2A)-n257L_1A-8ADC_n77(2A)-n257M_1A-8A,DC_n77A_1ADC_n77A_8ADC_n257A_1ADC_n257A_8A
DC_n77A-n257A_3A-8ADC_n77A-n257G_3A-8ADC_n77A-n257H_3A-8ADC_n77A-n257I_3A-8ADC_n77A-n257J_3A-8ADC_n77A-n257K_3A-8ADC_n77A-n257L_3A-8ADC_n77A-n257M_3A-8A,DC_n77A_3ADC_n77A_8ADC_n257A_3ADC_n257A_8A
DC_n77(2A)-n257A_3A-8ADC_n77(2A)-n257G_3A-8ADC_n77(2A)-n257H_3A-8ADC_n77(2A)-n257I_3A-8ADC_n77(2A)-n257J_3A-8ADC_n77(2A)-n257K_3A-8ADC_n77(2A)-n257L_3A-8ADC_n77(2A)-n257M_3A-8A,DC_n77A_3ADC_n77A_8ADC_n257A_3ADC_n257A_8A
DC_n77A-n257A-3(n)AADC_n77A-n257G-3(n)AADC_n77A-n257H-3(n)AADC_n77A-n257I-3(n)AADC_n77A-n257J-3(n)AADC_n77A-n257K-3(n)AADC_n77A-n257L-3(n)AADC_n77A-n257M-3(n)AA,DC_3(n)AA3DC_n77A_3ADC_n257A_3A
DC_n77(2A)-n257A-3(n)AADC_n77(2A)-n257G-3(n)AADC_n77(2A)-n257H-3(n)AADC_n77(2A)-n257I-3(n)AADC_n77(2A)-n257J-3(n)AADC_n77(2A)-n257K-3(n)AADC_n77(2A)-n257L-3(n)AADC_n77(2A)-n257M-3(n)AA,DC_3(n)AA3DC_n77A_3ADC_n257A_3A
DC_n257A-3(n)AA-1ADC_n257G-3(n)AA-1ADC_n257H-3(n)AA-1ADC_n257I-3(n)AA-1ADC_n257J-3(n)AA-1ADC_n257K-3(n)AA-1ADC_n257L-3(n)AA-1ADC_n257M-3(n)AA-1A,DC_n3A_1ADC_3(n)AA3DC_n257A_1ADC_n257A_3A
DC_n257A-3(n)AA-8ADC_n257G-3(n)AA-8ADC_n257H-3(n)AA-8ADC_n257I-3(n)AA-8ADC_n257J-3(n)AA-8ADC_n257K-3(n)AA-8ADC_n257L-3(n)AA-8ADC_n257M-3(n)AA-8A,DC_3(n)AA3DC_n3A_8ADC_n257A_3ADC_n257A_8A
NOTE 1:Uplink NE-DC configurations are the configurations supported by the present release of specifications.NOTE 2:Applicable for UE supporting inter-band NE-DC with mandatory simultaneous Rx/Tx capabilityNOTE 3:Only single switched UL is supported.,
