NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n41(2A)-n258(A-I),CA_n41A-n258A/G/H/I,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n258,CA_n258(A-I),
CA_n41(2A)-n258(A-J),CA_n41A-n258A/G/H/I/J,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n258,CA_n258(A-J),
CA_n41(2A)-n258(G-H),CA_n41A-n258A/G/H,n41,CA_n41(2A)_BCS1,0
,,n258,CA_n258(G-H),
,,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n258,CA_n258(G-H),
CA_n41(2A)-n258(G-I),CA_n41A-n258A/G/H/I,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n258,CA_n258(G-I),
CA_n41(2A)-n258(G-J),CA_n41A-n258A/G/H/I/J,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n258,CA_n258(G-J),
CA_n41A-n260A,CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,"50, 100, 200, 400",
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,See n260 channel bandwidths in Table 5.3.5-1,
CA_n41A-n260G,CA_n41A-n260A/G,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260G,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260G,
CA_n41A-n260H,CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260H,
,CA_n41A-n260A/G/H,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260H,
CA_n41A-n260I,CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260I,
,CA_n41A-n260A/G/H/I,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260I,
CA_n41A-n260J,CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260J,
,CA_n41A-n260A/G/H/I/J,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260J,
CA_n41A-n260K,CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260K,
,CA_n41A-n260A/G/H/I/J/K,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260K,
CA_n41A-n260L,CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260L,
,CA_n41A-n260A/G/H/I/J/K/L,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260L,
CA_n41A-n260M,CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260M,
,CA_n41A-n260A/G/H/I/J/K/L/M,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260M,
CA_n41A-n260O,CA_n41A-n260A/O,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n260,CA_n260O,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260O,
CA_n41A-n260P,CA_n41A-n260A/O/P,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n260,CA_n260P,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260P,
CA_n41A-n260Q,CA_n41A-n260A/O/P/Q,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n260,CA_n260Q,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260Q,
CA_n41A-n260(2A),CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260(2A),
CA_n41A-n260(3A),CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260(3A),
CA_n41A-n260(4A),CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260(4A),
CA_n41A-n260(5A),CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260(5A),
CA_n41A-n260(6A),CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260(6A),
CA_n41A-n260(7A),CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260(7A),
CA_n41A-n260(8A),CA_n41A-n260A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260(8A),
CA_n41(2A)-n260A,CA_n41A-n260A,n41,CA_n41(2A)_BCS1,0
,,n260,"50, 100, 200, 400",
,,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n260,See n260 channel bandwidths in Table 5.3.5-1,
CA_n41(2A)-n260(2A),CA_n41A-n260A,n41,CA_n41(2A)_BCS1,0
,,n260,CA_n260(2A),
CA_n41(2A)-n260(3A),CA_n41A-n260A,n41,CA_n41(2A),0
,,n260,CA_n260(3A),
CA_n41(2A)-n260(4A),CA_n41A-n260A,n41,CA_n41(2A),0
,,n260,CA_n260(4A),
CA_n41(2A)-n260(5A),CA_n41A-n260A,n41,CA_n41(2A),0
,,n260,CA_n260(5A),
CA_n41(2A)-n260(6A),CA_n41A-n260A,n41,CA_n41(2A),0
,,n260,CA_n260(6A),
CA_n41(2A)-n260(7A),CA_n41A-n260A,n41,CA_n41(2A),0
,,n260,CA_n260(7A),
CA_n41(2A)-n260(8A),CA_n41A-n260A,n41,CA_n41(2A),0
,,n260,CA_n260(8A),
CA_n41(2A)-n260G,CA_n41A-n260A/G,n41,CA_n41(2A),0
,,n260,CA_n260G,
,,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n260,CA_n260G,
CA_n41(2A)-n260H,CA_n41A-n260A/G/H,n41,CA_n41(2A),0
,,n260,CA_n260H,
,,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n260,CA_n260H,
CA_n41(2A)-n260I,CA_n41A-n260A/G/H/I,n41,CA_n41(2A),0
,,n260,CA_n260I,
,,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n260,CA_n260I,
CA_n41(2A)-n260J,CA_n41A-n260A/G/H/I/J,n41,CA_n41(2A),0
,,n260,CA_n260J,
,,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n260,CA_n260J,
CA_n41(2A)-n260K,CA_n41A-n260A/G/H/I/J/K,n41,CA_n41(2A),0
,,n260,CA_n260K,
,,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n260,CA_n260K,
CA_n41(2A)-n260L,CA_n41A-n260A/G/H/I/J/K/L,n41,CA_n41(2A),0
,,n260,CA_n260L,
,,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n260,CA_n260L,
CA_n41(2A)-n260M,CA_n41A-n260A/G/H/I/J/K/L/M,n41,CA_n41(2A),0
,,n260,CA_n260M,
,,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n260,CA_n260M,
CA_n41C-n260A,CA_n41A-n260A,n41,CA_n41C,0
,,n260,"50, 100, 200, 400",
,,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n260,See n260 channel bandwidths in Table 5.3.5-1,
CA_n41C-n260(2A),CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260(2A),
CA_n41C-n260(3A),CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260(3A),
CA_n41C-n260(4A),CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260(4A),
CA_n41C-n260(5A),CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260(5A),
CA_n41C-n260(6A),CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260(6A),
CA_n41C-n260(7A),CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260(7A),
CA_n41C-n260(8A),CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260(8A),
CA_n41C-n260G,CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260G,
,CA_n41A-n260A/G,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n260,CA_n260G,
CA_n41C-n260H,CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260H,
,CA_n41A-n260A/G/H,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n260,CA_n260H,
CA_n41C-n260I,CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260I,
,CA_n41A-n260A/G/H/I,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n260,CA_n260I,
CA_n41C-n260J,CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260J,
,CA_n41A-n260A/G/H/I/J,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n260,CA_n260J,
CA_n41C-n260K,CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260K,
,CA_n41A-n260A/G/H/I/J/K,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n260,CA_n260K,
CA_n41C-n260L,CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260L,
,CA_n41A-n260A/G/H/I/J/K/L,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n260,CA_n260L,
CA_n41C-n260M,CA_n41A-n260A,n41,CA_n41C,0
,,n260,CA_n260M,
,CA_n41A-n260A/G/H/I/J/K/L/M,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n260,CA_n260M,
CA_n41A-n261A,CA_n41A-n261A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,"50, 100, 200, 400",
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,See n261 channel bandwidths in Table 5.3.5-1,
CA_n41A-n261G,CA_n41A-n261A/G,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n261,CA_n261G,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261G,
CA_n41A-n261H,CA_n41A-n261A/G/H,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n261,CA_n261H,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261H,
CA_n41A-n261I,CA_n41A-n261A/G/H/I,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n261,CA_n261I,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261I,
CA_n41A-n261J,CA_n41A-n261A/G/H/I/J,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n261,CA_n261J,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261J,
CA_n41A-n261K,CA_n41A-n261A/G/H/I/J/K,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n261,CA_n261K,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261K,
CA_n41A-n261L,CA_n41A-n261A/G/H/I/J/K/L,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n261,CA_n261L,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261L,
CA_n41A-n261M,CA_n41A-n261A/G/H/I/J/K/L/M,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n261,CA_n261M,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261M,
CA_n41A-n261O,CA_n41A-n261A/O,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n261,CA_n261O,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261O,
CA_n41A-n261P,CA_n41A-n261A/O/P,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n261,CA_n261P,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261P,
CA_n41A-n261Q,CA_n41A-n261A/O/P/Q,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n261,CA_n261Q,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261Q,
CA_n41A-n261(2A),CA_n41A-n261A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(2A),
