NR CA configuration,Uplink configuration,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,CA_n260J,
CA_n5A-n48A-n260K,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,CA_n260K,
CA_n5A-n48A-n260L,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,CA_n260L,
CA_n5A-n48A-n260M,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,CA_n260M,
CA_n5A-n48(2A)-n260A,CA_n5A-n260ACA_n48A-n260A,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n260,"50, 100, 200, 400",
CA_n5A-n48(2A)-n260G,CA_n5A-n260A/GCA_n48A-n260A/G,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n260,CA_n260G,
CA_n5A-n48(2A)-n260H,CA_n5A-n260A/G/HCA_n48A-n260A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n260,CA_n260H,
CA_n5A-n48(2A)-n260I,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n260,CA_n260I,
CA_n5A-n48(2A)-n260J,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n260,CA_n260J,
CA_n5A-n48(2A)-n260K,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n260,CA_n260K,
CA_n5A-n48(2A)-n260L,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n260,CA_n260L,
CA_n5A-n48(2A)-n260M,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n260,CA_n260M,
CA_n5A-n48B-n260A,CA_n5A-n260ACA_n48A-n260A,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n260,"50, 100, 200, 400",
CA_n5A-n48B-n260G,CA_n5A-n260A/GCA_n48A-n260A/G,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n260,CA_n260G,
CA_n5A-n48B-n260H,CA_n5A-n260A/G/HCA_n48A-n260A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n260,CA_n260H,
CA_n5A-n48B-n260I,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n260,CA_n260I,
CA_n5A-n48B-n260J,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n260,CA_n260J,
CA_n5A-n48B-n260K,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n260,CA_n260K,
CA_n5A-n48B-n260L,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n260,CA_n260L,
CA_n5A-n48B-n260M,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n260,CA_n260M,
CA_n5A-n48A-n261A,CA_n5A-n261ACA_n48A-n261A,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,"50, 100, 200, 400",
CA_n5A-n48A-n261G,CA_n5A-n261A/GCA_n48A-n261A/G,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261G,
CA_n5A-n48A-n261H,CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261H,
CA_n5A-n48A-n261I,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261I,
CA_n5A-n48A-n261J,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261J,
CA_n5A-n48A-n261K,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261K,
CA_n5A-n48A-n261L,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261L,
CA_n5A-n48A-n261M,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261M,
CA_n5A-n48A-n261(A-G),CA_n5A-n261A/GCA_n48A-n261A/G,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(A-G),
CA_n5A-n48A-n261(A-H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(A-H),
CA_n5A-n48A-n261(A-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(A-I),
CA_n5A-n48A-n261(G-H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(G-H),
CA_n5A-n48A-n261(2A-G),CA_n5A-n261A/GCA_n48A-n261A/G,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(2A-G),
CA_n5A-n48A-n261(2A-H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(2A-H),
CA_n5A-n48A-n261(A-2G),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(A-2G),
CA_n5A-n48A-n261(A-G-H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(A-G-H),
CA_n5A-n48A-n261(2A),CA_n5A-n261ACA_n48A-n261A,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(2A),
CA_n5A-n48A-n261(3A),CA_n5A-n261ACA_n48A-n261A,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(3A),
CA_n5A-n48A-n261(2G),CA_n5A-n261A/GCA_n48A-n261A/G,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(2G),
CA_n5A-n48A-n261(2H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(2H),
CA_n5A-n48A-n261(G-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(G-I),
CA_n5A-n48A-n261(H-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(H-I),
CA_n5A-n48A-n261(2A-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(2A-I),
CA_n5A-n48A-n261(A-G-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n261,CA_n261(A-G-I),
CA_n5A-n48(2A)-n261A,CA_n5A-n261ACA_n48A-n261A,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,"50, 100, 200, 400",
CA_n5A-n48(2A)-n261G,CA_n5A-n261A/GCA_n48A-n261A/G,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261G,
CA_n5A-n48(2A)-n261H,CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261H,
CA_n5A-n48(2A)-n261I,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261I,
CA_n5A-n48(2A)-n261J,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261J,
CA_n5A-n48(2A)-n261K,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261K,
CA_n5A-n48(2A)-n261L,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261L,
CA_n5A-n48(2A)-n261M,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261M,
CA_n5A-n48(2A)-n261(A-G),CA_n5A-n261A/GCA_n48A-n261A/G,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(A-G),
CA_n5A-n48(2A)-n261(A-H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(A-H),
CA_n5A-n48(2A)-n261(A-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(A-I),
CA_n5A-n48(2A)-n261(G-H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(G-H),
CA_n5A-n48(2A)-n261(2A-G),CA_n5A-n261A/GCA_n48A-n261A/G,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(2A-G),
CA_n5A-n48(2A)-n261(2A-H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(2A-H),
CA_n5A-n48(2A)-n261(A-2G),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(A-2G),
CA_n5A-n48(2A)-n261(A-G-H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(A-G-H),
CA_n5A-n48(2A)-n261(2A),CA_n5A-n261ACA_n48A-n261A,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(2A),
CA_n5A-n48(2A)-n261(3A),CA_n5A-n261ACA_n48A-n261A,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(3A),
CA_n5A-n48(2A)-n261(2G),CA_n5A-n261A/GCA_n48A-n261A/G,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(2G),
CA_n5A-n48(2A)-n261(2H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(2H),
CA_n5A-n48(2A)-n261(G-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(G-I),
CA_n5A-n48(2A)-n261(H-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(H-I),
CA_n5A-n48(2A)-n261(2A-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(2A-I),
CA_n5A-n48(2A)-n261(A-G-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS1,
,,n261,CA_n261(A-G-I),
CA_n5A-n48B-n261A,CA_n5A-n261ACA_n48A-n261A,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,"50, 100, 200, 400",
CA_n5A-n48B-n261G,CA_n5A-n261A/GCA_n48A-n261A/G,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261G,
CA_n5A-n48B-n261H,CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261H,
CA_n5A-n48B-n261I,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261I,
CA_n5A-n48B-n261J,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261J,
CA_n5A-n48B-n261K,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261K,
CA_n5A-n48B-n261L,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261L,
CA_n5A-n48B-n261M,CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261M,
CA_n5A-n48B-n261(A-G),CA_n5A-n261A/GCA_n48A-n261A/G,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(A-G),
CA_n5A-n48B-n261(A-H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(A-H),
CA_n5A-n48B-n261(A-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(A-I),
CA_n5A-n48B-n261(G-H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(G-H),
CA_n5A-n48B-n261(2A-G),CA_n5A-n261A/GCA_n48A-n261A/G,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(2A-G),
CA_n5A-n48B-n261(2A-H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(2A-H),
CA_n5A-n48B-n261(A-2G),CA_n5A-n261A/GCA_n48A-n261A/G,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(A-2G),
CA_n5A-n48B-n261(A-G-H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(A-G-H),
CA_n5A-n48B-n261(2A),CA_n5A-n261ACA_n48A-n261A,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(2A),
CA_n5A-n48B-n261(3A),CA_n5A-n261ACA_n48A-n261A,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(3A),
CA_n5A-n48B-n261(2G),CA_n5A-n261A/GCA_n48A-n261A/G,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(2G),
CA_n5A-n48B-n261(2H),CA_n5A-n261A/G/HCA_n48A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(2H),
CA_n5A-n48B-n261(G-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(G-I),
CA_n5A-n48B-n261(H-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(H-I),
CA_n5A-n48B-n261(2A-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(2A-I),
CA_n5A-n48B-n261(A-G-I),CA_n5A-n261A/G/H/ICA_n48A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,CA_n48B,
,,n261,CA_n261(A-G-I),
CA_n5A-n66A-n260A,CA_n5A-n66ACA_n5A-n260ACA_n66A-n260A,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,"50, 100, 200, 400",
CA_n5A-n66A-n260G,CA_n5A-n66ACA_n5A-n260A/GCA_n66A-n260A/G,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260G,
CA_n5A-n66A-n260H,CA_n5A-n66ACA_n5A-n260A/G/HCA_n66A-n260A/G/H,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260H,
CA_n5A-n66A-n260I,CA_n5A-n66ACA_n5A-n260A/G/H/ICA_n66A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260I,
CA_n5A-n66A-n260J,CA_n5A-n66ACA_n5A-n260A/G/H/I/JCA_n66A-n260A/G/H/I/J,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260J,
CA_n5A-n66A-n260K,CA_n5A-n66ACA_n5A-n260A/G/H/I/J/KCA_n66A-n260A/G/H/I/J/K,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260K,
CA_n5A-n66A-n260L,CA_n5A-n66ACA_n5A-n260A/G/H/I/J/K/LCA_n66A-n260A/G/H/I/J/K/L,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260L,
CA_n5A-n66A-n260M,CA_n5A-n66ACA_n5A-n260A/G/H/I/J/K/L/MCA_n66A-n260A/G/H/I/J/K/L/M,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n260,CA_n260M,
CA_n5A-n66A-n261A,CA_n5A-n66ACA_n5A-n261ACA_n66A-n261A,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,"50, 100, 200, 400",
CA_n5A-n66A-n261G,CA_n5A-n66ACA_n5A-n261A/GCA_n66A-n261A/G,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261G,
CA_n5A-n66A-n261H,CA_n5A-n66ACA_n5A-n261A/G/HCA_n66A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261H,
CA_n5A-n66A-n261I,CA_n5A-n66ACA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261I,
CA_n5A-n66A-n261J,CA_n5A-n66ACA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261J,
CA_n5A-n66A-n261K,CA_n5A-n66ACA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261K,
CA_n5A-n66A-n261L,CA_n5A-n66ACA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261L,
CA_n5A-n66A-n261M,CA_n5A-n66ACA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261M,
CA_n5A-n66A-n261(2G),CA_n5A-n66ACA_n5A-n261A/GCA_n66A-n261A/G,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(2G),
CA_n5A-n66A-n261(G-H),CA_n5A-n66ACA_n5A-n261A/G/HCA_n66A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(G-H),
CA_n5A-n66A-n261(A-G-H),CA_n5A-n66ACA_n5A-n261A/G/HCA_n66A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(A-G-H),
CA_n5A-n66A-n261(G-I),CA_n5A-n66ACA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(G-I),
CA_n5A-n66A-n261(2H),CA_n5A-n66ACA_n5A-n261A/G/HCA_n66A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(2H),
CA_n5A-n66A-n261(A-G-I),CA_n5A-n66ACA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(A-G-I),
CA_n5A-n66A-n261(H-I),CA_n5A-n66ACA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(H-I),
CA_n5A-n66A-n261(2A-G),CA_n5A-n66ACA_n5A-n261A/GCA_n66A-n261A/G,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(2A-G),
CA_n5A-n66A-n261(2A-H),CA_n5A-n66ACA_n5A-n261A/G/HCA_n66A-n261A/G/H,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(2A-H),
CA_n5A-n66A-n261(2A-I),CA_n5A-n66ACA_n5A-n261A/G/H/ICA_n66A-n261A/G/H/I,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(2A-I),
CA_n5A-n66A-n261(2A),CA_n5A-n66ACA_n5A-n261ACA_n66A-n261A,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(2A),
CA_n5A-n66A-n261(3A),CA_n5A-n66ACA_n5A-n261ACA_n66A-n261A,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n261,CA_n261(3A),
