NR CA configuration,Uplink configuration,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set,
CA_n1A-n3A-n28A-n41A-n257G,CA_n1A-n3ACA_n1A-n28ACA_n1A-n41ACA_n1A-n257A/GCA_n3A-n28ACA_n3A-n41ACA_n3A-n257A/GCA_n28A-n41ACA_n28A-n257A/GCA_n41A-n257A/G,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20",,
,,n28,"5, 10",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n257,CA_n257G,,
CA_n1A-n3A-n28A-n41A-n257H,CA_n1A-n3ACA_n1A-n28ACA_n1A-n41ACA_n1A-n257A/G/HCA_n3A-n28ACA_n3A-n41ACA_n3A-n257A/G/HCA_n28A-n41ACA_n28A-n257A/G/HCA_n41A-n257A/G/H,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20",,
,,n28,"5, 10",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n257,CA_n257H,,
CA_n1A-n3A-n28A-n41A-n257I,CA_n1A-n3ACA_n1A-n28ACA_n1A-n41ACA_n1A-n257A/G/H/ICA_n3A-n28ACA_n3A-n41ACA_n3A-n257A/G/H/ICA_n28A-n41ACA_n28A-n257A/G/H/ICA_n41A-n257A/G/H/I,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20",,
,,n28,"5, 10",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n257,CA_n257I,,
CA_n1A-n3A-n28A-n77A-n257A,CA_n1A-n3ACA_n1A-n28ACA_n1A-n77ACA_n1A-n257ACA_n3A-n28ACA_n3A-n77ACA_n3A-n257ACA_n28A-n77ACA_n28A-n257ACA_n77A-n257A,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20",,
,,n28,"5, 10",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,"50, 100, 200, 400",,
CA_n1A-n3A-n28A-n77A-n257G,CA_n1A-n3ACA_n1A-n28ACA_n1A-n77ACA_n1A-n257A/GCA_n3A-n28ACA_n3A-n77ACA_n3A-n257A/GCA_n28A-n77ACA_n28A-n257A/GCA_n77A-n257A/G,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20",,
,,n28,"5, 10",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257G,,
CA_n1A-n3A-n28A-n77A-n257H,CA_n1A-n3ACA_n1A-n28ACA_n1A-n77ACA_n1A-n257A/G/HCA_n3A-n28ACA_n3A-n77ACA_n3A-n257A/G/HCA_n28A-n77ACA_n28A-n257A/G/HCA_n77A-n257A/G/H,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20",,
,,n28,"5, 10",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257H,,
CA_n1A-n3A-n28A-n77A-n257I,CA_n1A-n3ACA_n1A-n28ACA_n1A-n77ACA_n1A-n257A/G/H/ICA_n3A-n28ACA_n3A-n77ACA_n3A-n257A/G/H/ICA_n28A-n77ACA_n28A-n257A/G/H/ICA_n77A-n257A/G/H/I,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20",,
,,n28,"5, 10",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257I,,
CA_n1A-n3A-n28A-n79A-n257A,CA_n1A-n3ACA_n1A-n28ACA_n1A-n79ACA_n1A-n257ACA_n3A-n28ACA_n3A-n79ACA_n3A-n257ACA_n28A-n79ACA_n28A-n257ACA_n79A-n257A,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n28,"5, 10, 15, 20",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,"50, 100, 200, 400",,
CA_n1A-n3A-n28A-n79A-n257G,CA_n1A-n3ACA_n1A-n28ACA_n1A-n79ACA_n1A-n257A/GCA_n3A-n28ACA_n3A-n79ACA_n3A-n257A/GCA_n28A-n79ACA_n28A-n257A/GCA_n79A-n257A,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n28,"5, 10, 15, 20",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257G,,
CA_n1A-n3A-n28A-n79A-n257H,CA_n1A-n3ACA_n1A-n28ACA_n1A-n79ACA_n1A-n257A/G/HCA_n3A-n28ACA_n3A-n79ACA_n3A-n257A/G/HCA_n28A-n79ACA_n28A-n257ACA_n79A-n257A/G/H/I,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n28,"5, 10, 15, 20",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257H,,
CA_n1A-n3A-n28A-n79A-n257I,CA_n1A-n3ACA_n1A-n28ACA_n1A-n79ACA_n1A-n257A/G/H/ICA_n3A-n28ACA_n3A-n79ACA_n3A-n257A/G/H/ICA_n28A-n79ACA_n28A-n257A/G/H/ICA_n79A-n257A/G/H/I,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n28,"5, 10, 15, 20",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257I,,
CA_n1A-n3A-n41A-n77A-n257A,CA_n1A-n3ACA_n1A-n41ACA_n1A-n77ACA_n1A-n257ACA_n3A-n41ACA_n3A-n77ACA_n3A-n257ACA_n41A-n77ACA_n41A-n257ACA_n77A-n257A,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,"50, 100, 200, 400",,
CA_n1A-n3A-n41A-n77A-n257G,CA_n1A-n3ACA_n1A-n41ACA_n1A-n77ACA_n1A-n257A/GCA_n3A-n41ACA_n3A-n77ACA_n3A-n257A/GCA_n41A-n77ACA_n41A-n257A/GCA_n77A-n257A/G,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257G,,
CA_n1A-n3A-n41A-n77A-n257H,CA_n1A-n3ACA_n1A-n41ACA_n1A-n77ACA_n1A-n257A/G/HCA_n3A-n41ACA_n3A-n77ACA_n3A-n257A/G/HCA_n41A-n77ACA_n41A-n257A/G/HCA_n77A-n257A/G/H,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257H,,
CA_n1A-n3A-n41A-n77A-n257I,CA_n1A-n3ACA_n1A-n41ACA_n1A-n77ACA_n1A-n257A/G/H/ICA_n3A-n41ACA_n3A-n77ACA_n3A-n257A/G/H/ICA_n41A-n77ACA_n41A-n257A/G/H/ICA_n77A-n257A/G/H/I,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257I,,
CA_n1A-n3A-n41A-n79A-n257A,CA_n1A-n3ACA_n1A-n41ACA_n1A-n79ACA_n1A-n257ACA_n3A-n41ACA_n3A-n79ACA_n3A-n257ACA_n41A-n79ACA_n41A-n257ACA_n79A-n257A,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80,100",,
,,n257,"50, 100, 200, 400",,
CA_n1A-n3A-n41A-n79A-n257G,CA_n1A-n3ACA_n1A-n41ACA_n1A-n79ACA_n1A-n257A/GCA_n3A-n41ACA_n3A-n79ACA_n3A-n257A/GCA_n41A-n79ACA_n41A-n257A/GCA_n79A-n257A/G,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80,100",,
,,n257,CA_n257G,,
CA_n1A-n3A-n41A-n79A-n257H,CA_n1A-n3ACA_n1A-n41ACA_n1A-n79ACA_n1A-n257A/G/HCA_n3A-n41ACA_n3A-n79ACA_n3A-n257A/G/HCA_n41A-n79ACA_n41A-n257A/G/HCA_n79A-n257A/G/H,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80,100",,
,,n257,CA_n257H,,
CA_n1A-n3A-n41A-n79A-n257I,CA_n1A-n3ACA_n1A-n41ACA_n1A-n79ACA_n1A-n257A/G/H/ICA_n3A-n41ACA_n3A-n79ACA_n3A-n257A/G/H/ICA_n41A-n79ACA_n41A-n257A/G/H/ICA_n79A-n257A/G/H/I,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80,100",,
,,n257,CA_n257I,,
CA_n1A-n3A-n77A-n79A-n257A,CA_n1A-n3ACA_n1A-n77ACA_n1A-n79ACA_n1A-n257ACA_n3A-n77ACA_n3A-n79ACA_n3A-n257ACA_n77A-n79ACA_n77A-n257ACA_n79A-n257A,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n77,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,"50, 100, 200, 400",,
CA_n1A-n3A-n77A-n79A-n257G,CA_n1A-n3ACA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/GCA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/GCA_n77A-n79ACA_n77A-n257A/GCA_n79A-n257A/G,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n77,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257G,,
CA_n1A-n3A-n77A-n79A-n257H,CA_n1A-n3ACA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/G/HCA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/G/HCA_n77A-n79ACA_n77A-n257A/G/HCA_n79A-n257A/G/H,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n77,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257H,,
CA_n1A-n3A-n77A-n79A-n257I,CA_n1A-n3ACA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/G/H/ICA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/G/H/ICA_n77A-n79ACA_n77A-n257A/G/H/ICA_n79A-n257A/G/H/I,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n77,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257I,,
CA_n1A-n28A-n41A-n77A-n257A,CA_n1A-n28ACA_n1A-n41ACA_n1A-n77ACA_n1A-n257ACA_n28A-n41ACA_n28A-n77ACA_n28A-n257ACA_n41A-n77ACA_n41A-n257ACA_n77A-n257A,n1,"5, 10, 15, 20",0,
,,n28,"5, 10",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,"50, 100, 200, 400",,
CA_n1A-n28A-n41A-n77A-n257G,CA_n1A-n28ACA_n1A-n41ACA_n1A-n77ACA_n1A-n257A/GCA_n28A-n41ACA_n28A-n77ACA_n28A-n257A/GCA_n41A-n77ACA_n41A-n257A/GCA_n77A-n257A/G,n1,"5, 10, 15, 20",0,
,,n28,"5, 10",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257G,,
CA_n1A-n28A-n41A-n77A-n257H,CA_n1A-n28ACA_n1A-n41ACA_n1A-n77ACA_n1A-n257A/G/HCA_n28A-n41ACA_n28A-n77ACA_n28A-n257A/G/HCA_n41A-n77ACA_n41A-n257A/G/HCA_n77A-n257A/G/H,n1,"5, 10, 15, 20",0,
,,n28,"5, 10",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257H,,
CA_n1A-n28A-n41A-n77A-n257I,CA_n1A-n28ACA_n1A-n41ACA_n1A-n77ACA_n1A-n257A/G/H/ICA_n28A-n41ACA_n28A-n77ACA_n28A-n257A/G/H/ICA_n41A-n77ACA_n41A-n257A/G/H/I CA_n77A-n257A/G/H/I,n1,"5, 10, 15, 20",0,
,,n28,"5, 10",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257I,,
CA_n1A-n28A-n41A-n79A-n257A,CA_n1A-n28ACA_n1A-n41ACA_n1A-n79ACA_n1A-n257ACA_n28A-n41ACA_n28A-n79ACA_n28A-n257ACA_n41A-n79ACA_n41A-n257ACA_n79A-n257A,n1,"5, 10, 15, 20",0,
,,n28,"5, 10, 15, 20",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,"50, 100, 200, 400",,
CA_n1A-n28A-n41A-n79A-n257G,CA_n1A-n28ACA_n1A-n41ACA_n1A-n79ACA_n1A-n257A/GCA_n28A-n41ACA_n28A-n79ACA_n28A-n257A/GCA_n41A-n79ACA_n41A-n257A/GCA_n79A-n257A/G,n1,"5, 10, 15, 20",0,
,,n28,"5, 10, 15, 20",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257G,,
CA_n1A-n28A-n41A-n79A-n257H,CA_n1A-n28ACA_n1A-n41ACA_n1A-n79ACA_n1A-n257A/G/HCA_n28A-n41ACA_n28A-n79ACA_n28A-n257A/G/HCA_n41A-n79ACA_n41A-n257A/G/HCA_n79A-n257A/G/H,n1,"5, 10, 15, 20",0,
,,n28,"5, 10, 15, 20",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257H,,
CA_n1A-n28A-n41A-n79A-n257I,CA_n1A-n28ACA_n1A-n41ACA_n1A-n79ACA_n1A-n257A/G/H/ICA_n28A-n41ACA_n28A-n79ACA_n28A-n257A/G/H/ICA_n41A-n79ACA_n41A-n257A/G/H/ICA_n79A-n257A/G/H/I,n1,"5, 10, 15, 20",0,
,,n28,"5, 10, 15, 20",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257I,,
CA_n1A-n28A-n77A-n79A-n257A,CA_n1A-n28ACA_n1A-n77ACA_n1A-n79ACA_n1A-n257ACA_n28A-n77ACA_n28A-n79ACA_n28A-n257ACA_n77A-n79ACA_n77A-n257ACA_n79A-n257A,n1,"5, 10, 15, 20",0,
,,n28,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,"50, 100, 200, 400",,
CA_n1A-n28A-n77A-n79A-n257G,CA_n1A-n28ACA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/GCA_n28A-n77ACA_n28A-n79ACA_n28A-n257A/GCA_n77A-n79ACA_n77A-n257A/GCA_n79A-n257A/G,n1,"5, 10, 15, 20",0,
,,n28,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257G,,
CA_n1A-n28A-n77A-n79A-n257H,CA_n1A-n28ACA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/G/HCA_n28A-n77ACA_n28A-n79ACA_n28A-n257A/G/HCA_n77A-n79ACA_n77A-n257A/G/HCA_n79A-n257A/G/H,n1,"5, 10, 15, 20",0,
,,n28,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257H,,
CA_n1A-n28A-n77A-n79A-n257I,CA_n1A-n28ACA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/G/H/ICA_n28A-n77ACA_n28A-n79ACA_n28A-n257A/G/H/ICA_n77A-n79ACA_n77A-n257A/G/H/ICA_n79A-n257A/G/H/I,n1,"5, 10, 15, 20",0,
,,n28,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257I,,
CA_n1A-n41A-n77A-n79A-n257A,CA_n1A-n41ACA_n1A-n77ACA_n1A-n79ACA_n1A-n257ACA_n41A-n77ACA_n41A-n79ACA_n41A-n257ACA_n77A-n79ACA_n77A-n257ACA_n79A-n257A,n1,"5, 10, 15, 20",0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,"50, 100, 200, 400",,
CA_n1A-n41A-n77A-n79A-n257G,CA_n1A-n41ACA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/GCA_n41A-n77ACA_n41A-n79ACA_n41A-n257A/GCA_n77A-n79ACA_n77A-n257A/GCA_n79A-n257A/G,n1,"5, 10, 15, 20",0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257G,,
CA_n1A-n41A-n77A-n79A-n257H,CA_n1A-n41ACA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/G/HCA_n41A-n77ACA_n41A-n79ACA_n41A-n257A/G/HCA_n77A-n79ACA_n77A-n257A/G/HCA_n79A-n257A/G/H,n1,"5, 10, 15, 20",0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257H,,
CA_n1A-n41A-n77A-n79A-n257I,CA_n1A-n41ACA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/G/H/ICA_n41A-n77ACA_n41A-n79ACA_n41A-n257A/G/H/ICA_n77A-n79ACA_n77A-n257A/G/H/ICA_n79A-n257A/G/H/I,n1,"5, 10, 15, 20",0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80, 100",,
,,n257,CA_n257I,,
CA_n3A-n28A-n41A-n77A-n257A,CA_n3A-n28ACA_n3A-n41ACA_n3A-n77ACA_n3A-n257ACA_n28A-n41ACA_n28A-n77ACA_n28A-n257ACA_n41A-n77ACA_n41A-n257ACA_n77A-n257A,n3,"5, 10, 15, 20, 25, 30, 40",0,
,,n28,"5, 10, 15, 20, 30",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,"50, 100, 200, 400",,
CA_n3A-n28A-n41A-n77A-n257G,CA_n3A-n28ACA_n3A-n41ACA_n3A-n77ACA_n3A-n257A/GCA_n28A-n41ACA_n28A-n77ACA_n28A-n257A/GCA_n41A-n77ACA_n41A-n257A/GCA_n77A-n257A/G,n3,"5, 10, 15, 20, 25, 30, 40",0,
,,n28,"5, 10, 15, 20, 30",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257G,,
CA_n3A-n28A-n41A-n77A-n257H,CA_n3A-n28ACA_n3A-n41ACA_n3A-n77ACA_n3A-n257A/G/HCA_n28A-n41ACA_n28A-n77ACA_n28A-n257A/G/HCA_n41A-n77ACA_n41A-n257A/G/HCA_n77A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30, 40",0,
,,n28,"5, 10, 15, 20, 30",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257H,,
CA_n3A-n28A-n41A-n77A-n257I,CA_n3A-n28ACA_n3A-n41ACA_n3A-n77ACA_n3A-n257A/G/H/ICA_n28A-n41ACA_n28A-n77ACA_n28A-n257A/G/H/ICA_n41A-n77ACA_n41A-n257A/G/H/ICA_n77A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30, 40",0,
,,n28,"5, 10, 15, 20, 30",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257I,,
CA_n3A-n28A-n41A-n79A-n257A,CA_n3A-n28ACA_n3A-n41ACA_n3A-n79ACA_n3A-n257ACA_n28A-n41ACA_n28A-n79ACA_n28A-n257ACA_n41A-n79ACA_n41A-n257ACA_n79A-n257A,n3,"5, 10, 15, 20, 25, 30",0,
,,n28,"5, 10, 15, 20",,
,,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80,100",,
,,n257,"50, 100, 200, 400",,
CA_n3A-n28A-n41A-n79A-n257G,CA_n3A-n28ACA_n3A-n41ACA_n3A-n79ACA_n3A-n257A/GCA_n28A-n41ACA_n28A-n79ACA_n28A-n257A/GCA_n41A-n79ACA_n41A-n257A/GCA_n79A-n257A/G,n3,"5, 10, 15, 20, 25, 30",0,
,,n28,"5, 10, 15, 20",,
,,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",,
,,n79,"40, 50, 60, 80,100",,
,,n257,CA_n257G,,
