EN-DCconfiguration,Uplink EN-DC configuration(note 1)
DC_1A-3A-41A-42A_n77A-n257ADC_1A-3A-41A-42A_n77A-n257GDC_1A-3A-41A-42A_n77A-n257HDC_1A-3A-41A-42A_n77A-n257IDC_1A-3A-41C-42A_n77A-n257ADC_1A-3A-41C-42A_n77A-n257GDC_1A-3A-41C-42A_n77A-n257HDC_1A-3A-41C-42A_n77A-n257IDC_1A-3A-41A-42C_n77A-n257ADC_1A-3A-41A-42C_n77A-n257GDC_1A-3A-41A-42C_n77A-n257HDC_1A-3A-41A-42C_n77A-n257IDC_1A-3A-41C-42C_n77A-n257ADC_1A-3A-41C-42C_n77A-n257GDC_1A-3A-41C-42C_n77A-n257HDC_1A-3A-41C-42C_n77A-n257I,DC_1A_n77ADC_1A_n257ADC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n77ADC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_41A_n77ADC_41A_n257ADC_41A_n257GDC_41A_n257HDC_41A_n257IDC_41C_n77ADC_41C_n257ADC_41C_n257GDC_41C_n257HDC_41C_n257IDC_42A_n257ADC_42A_n257GDC_42A_n257HDC_42A_n257IDC_42C_n257ADC_42C_n257GDC_42C_n257HDC_42C_n257I
DC_1A-3A-41A-42A_n78A-n257ADC_1A-3A-41A-42A_n78A-n257GDC_1A-3A-41A-42A_n78A-n257HDC_1A-3A-41A-42A_n78A-n257IDC_1A-3A-41A-42C_n78A-n257ADC_1A-3A-41A-42C_n78A-n257GDC_1A-3A-41A-42C_n78A-n257HDC_1A-3A-41A-42C_n78A-n257IDC_1A-3A-41C-42A_n78A-n257ADC_1A-3A-41C-42A_n78A-n257GDC_1A-3A-41C-42A_n78A-n257HDC_1A-3A-41C-42A_n78A-n257IDC_1A-3A-41C-42C_n78A-n257ADC_1A-3A-41C-42C_n78A-n257GDC_1A-3A-41C-42C_n78A-n257HDC_1A-3A-41C-42C_n78A-n257I,DC_1A_n78ADC_1A_n257ADC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n78ADC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_41A_n78ADC_41A_n257ADC_41A_n257GDC_41A_n257HDC_41A_n257IDC_41C_n78ADC_41C_n257ADC_41C_n257GDC_41C_n257HDC_41C_n257IDC_42A_n257ADC_42A_n257GDC_42A_n257HDC_42A_n257IDC_42C_n257ADC_42C_n257GDC_42C_n257HDC_42C_n257I
DC_1A-8A_n3A-n77A-n257ADC_1A-8A_n3A-n77A-n257GDC_1A-8A_n3A-n77A-n257HDC_1A-8A_n3A-n77A-n257IDC_1A-8A_n3A-n77A-n257JDC_1A-8A_n3A-n77A-n257KDC_1A-8A_n3A-n77A-n257LDC_1A-8A_n3A-n77A-n257M,DC_1A_n3ADC_1A_n77ADC_1A_n257ADC_(n)3AA3DC_3A_n77ADC_3A_n257ADC_8A_n3ADC_8A_n77ADC_8A_n257A
DC_1A-8A_n3A-n77(2A)-n257ADC_1A-8A_n3A-n77(2A)-n257GDC_1A-8A_n3A-n77(2A)-n257HDC_1A-8A_n3A-n77(2A)-n257IDC_1A-8A_n3A-n77(2A)-n257JDC_1A-8A_n3A-n77(2A)-n257KDC_1A-8A_n3A-n77(2A)-n257LDC_1A-8A_n3A-n77(2A)-n257M,DC_1A_n3ADC_1A_n77ADC_1A_n257ADC_8A_n3ADC_8A_n77ADC_8A_n257A
DC_1A-8A-(n)3AA-n77A-n257ADC_1A-8A-(n)3AA-n77A-n257GDC_1A-8A-(n)3AA-n77A-n257HDC_1A-8A-(n)3AA-n77A-n257IDC_1A-8A-(n)3AA-n77A-n257JDC_1A-8A-(n)3AA-n77A-n257KDC_1A-8A-(n)3AA-n77A-n257LDC_1A-8A-(n)3AA-n77A-n257M,DC_1A_n3ADC_1A_n77ADC_1A_n257ADC_(n)3AA3DC_3A_n77ADC_3A_n257ADC_8A_n3ADC_8A_n77ADC_8A_n257A
DC_1A-8A-(n)3AA-n77(2A)-n257ADC_1A-8A-(n)3AA-n77(2A)-n257GDC_1A-8A-(n)3AA-n77(2A)-n257HDC_1A-8A-(n)3AA-n77(2A)-n257IDC_1A-8A-(n)3AA-n77(2A)-n257JDC_1A-8A-(n)3AA-n77(2A)-n257KDC_1A-8A-(n)3AA-n77(2A)-n257LDC_1A-8A-(n)3AA-n77(2A)-n257M,DC_1A_n3ADC_1A_n77ADC_1A_n257ADC_(n)3AA3DC_3A_n77ADC_3A_n257ADC_8A_n3ADC_8A_n77ADC_8A_n257A
DC_3A-7A-8A_n1A-n78A-n257A2,DC_3A_n1ADC_3A_n78ADC_3A_n257ADC_7A_n1ADC_7A_n78ADC_7A_n257ADC_8A_n1ADC_8A_n78ADC_8A_n257A
DC_3A-3A-7A-8A_n1A-n78A-n257A2,DC_3A_n1ADC_3A_n78ADC_3A_n257ADC_7A_n1ADC_7A_n78ADC_7A_n257ADC_8A_n1ADC_8A_n78ADC_8A_n257A
DC_3A-7A-7A-8A_n1A-n78A-n257A2,DC_3A_n1ADC_3A_n78ADC_3A_n257ADC_7A_n1ADC_7A_n78ADC_7A_n257ADC_8A_n1ADC_8A_n78ADC_8A_n257A
DC_3A-3A-7A-7A-8A_n1A-n78A-n257A2,DC_3A_n1ADC_3A_n78ADC_3A_n257ADC_7A_n1ADC_7A_n78ADC_7A_n257ADC_8A_n1ADC_8A_n78ADC_8A_n257A
DC_3A-28A-41A-42A_n78A-n257ADC_3A-28A-41A-42A_n78A-n257GDC_3A-28A-41A-42A_n78A-n257HDC_3A-28A-41A-42A_n78A-n257IDC_3A-28A-41A-42C_n78A-n257ADC_3A-28A-41A-42C_n78A-n257GDC_3A-28A-41A-42C_n78A-n257HDC_3A-28A-41A-42C_n78A-n257IDC_3A-28A-41C-42A_n78A-n257ADC_3A-28A-41C-42A_n78A-n257GDC_3A-28A-41C-42A_n78A-n257HDC_3A-28A-41C-42A_n78A-n257IDC_3A-28A-41C-42C_n78A-n257ADC_3A-28A-41C-42C_n78A-n257GDC_3A-28A-41C-42C_n78A-n257HDC_3A-28A-41C-42C_n78A-n257I,DC_3A_n78ADC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_28A_n78ADC_28A_n257ADC_28A_n257GDC_28A_n257HDC_28A_n257IDC_41A_n78ADC_41A_n257ADC_41A_n257GDC_41A_n257HDC_41A_n257IDC_41C_n78ADC_41C_n257ADC_41C_n257GDC_41C_n257HDC_41C_n257IDC_42A_n257ADC_42A_n257GDC_42A_n257HDC_42A_n257IDC_42C_n257ADC_42C_n257GDC_42C_n257HDC_42C_n257I
NOTE 1:Uplink EN-DC configurations are the configurations supported by the present release of specificationsNOTE 2:Applicable for UE supporting inter-band EN-DC with mandatory simultaneous Rx/Tx capability.NOTE 3:Only single switched UL is supported.,
