NR CA configuration,,Uplink CA configuration,NR Band,,Channel bandwidth (MHz) (note 3),Bandwidth combination set,
CA_n5A-n258I,,CA_n5A-n258A/G/H/I,n5,,"5, 10, 15, 20",0,
,,,n258,,CA_n258I,,
CA_n5A-n258J,,CA_n5A-n258A/G/H/I,n5,,"5, 10, 15, 20",0,
,,,n258,,CA_n258J,,
CA_n5A-n258K,,CA_n5A-n258A/G/H/I,n5,,"5, 10, 15, 20",0,
,,,n258,,CA_n258K,,
CA_n5A-n258L,,CA_n5A-n258A/G/H/I,n5,,"5, 10, 15, 20",0,
,,,n258,,CA_n258L,,
CA_n5A-n258M,,CA_n5A-n258A/G/H/I,n5,,"5, 10, 15, 20",0,
,,,n258,,CA_n258M,,
CA_n5A-n258O,,CA_n5A-n258A/O,n5,,"5, 10, 15, 20, 25",0,
,,,n258,,CA_n258O,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n258,,CA_n258O,,
CA_n5A-n258P,,CA_n5A-n258A/O/P,n5,,"5, 10, 15, 20, 25",0,
,,,n258,,CA_n258P,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n258,,CA_n258P,,
CA_n5A-n258Q,,CA_n5A-n258A/O/P/Q,n5,,"5, 10, 15, 20, 25",0,
,,,n258,,CA_n258Q,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n258,,CA_n258Q,,
CA_n5A-n260A,,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,"50, 100, 200, 400",,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n260,,See n260 channel bandwidths in Table 5.3.5-1,,
CA_n5A-n260G,,CA_n5A-n260A/G,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260G,,
CA_n5A-n260H,,CA_n5A-n260A/G/H,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260H,,
CA_n5A-n260I,,CA_n5A-n260A/G/H/I,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260I,,
CA_n5A-n260J,,CA_n5A-n260A/G/H/I/J,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260J,,
CA_n5A-n260K,,CA_n5A-n260A/G/H/I/J/K,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260K,,
CA_n5A-n260L,,CA_n5A-n260A/G/H/I/J/K/L,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260L,,
CA_n5A-n260M,,CA_n5A-n260A/G/H/I/J/K/L/M,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260M,,
CA_n5A-n260O,,CA_n5A-n260A/O,n5,,"5, 10, 15, 20, 25",0,
,,,n260,,CA_n260O,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n260,,CA_n260O,,
CA_n5A-n260P,,CA_n5A-n260A/O/P,n5,,"5, 10, 15, 20, 25",0,
,,,n260,,CA_n260P,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n260,,CA_n260P,,
CA_n5A-n260Q,,CA_n5A-n260A/O/P/Q,n5,,"5, 10, 15, 20, 25",0,
,,,n260,,CA_n260Q,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n260,,CA_n260Q,,
CA_n5A-n260R2,,CA_n5A-n260A/R2,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260R2,,
CA_n5A-n260R3,,CA_n5A-n260A/R2/R3,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260R3,,
CA_n5A-n260R4,,CA_n5A-n260A/R2/R3/R4,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260R4,,
CA_n5A-n260R5,,CA_n5A-n260A/R2/R3/R4,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260R5,,
CA_n5A-n260R6,,CA_n5A-n260A/R2/R3/R4,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260R6,,
CA_n5A-n260R7,,CA_n5A-n260A/R2/R3/R4,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260R7,,
CA_n5A-n260R8,,CA_n5A-n260A/R2/R3/R4,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260R8,,
CA_n5A-n260R9,,CA_n5A-n260A/R2/R3/R4,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260R9,,
CA_n5A-n260R10,,CA_n5A-n260A/R2/R3/R4,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260R10,,
CA_n5A-n260(2A),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(2A),,
CA_n5A-n260(3A),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(3A),,
CA_n5A-n260(4A),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(4A),,
CA_n5A-n260(5A),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(5A),,
CA_n5A-n260(6A),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(6A),,
CA_n5A-n260(7A),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(7A),,
CA_n5A-n260(8A),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(8A),,
CA_n5A-n260(2G),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(2G),,
CA_n5A-n260(2H),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(2H),,
CA_n5A-n260(A-G),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(A-G),,
CA_n5A-n260(2A-G),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(2A-G),,
CA_n5A-n260(A-H),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(A-H),,
CA_n5A-n260(2A-2G),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(2A-2G),,
CA_n5A-n260(3A-G),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(3A-G),,
CA_n5A-n260(A-2G),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(A-2G),,
CA_n5A-n260(G-H),,CA_n5A-n260A,n5,,"5, 10, 15, 20",0,
,,,n260,,CA_n260(G-H),,
CA_n5A-n261A,,CA_n5A-n261A,n5,,"5, 10, 15, 20",0,
,,,n261,,"50, 100, 200, 400",,
CA_n5A-n261(2A),,CA_n5A-n261A,n5,,"5, 10, 15, 20",0,
,,,n261,,CA_n261(2A),,
CA_n5A-n261(3A),,CA_n5A-n261A,n5,,"5, 10, 15, 20",0,
,,,n261,,CA_n261(3A),,
CA_n5A-n261(4A),,CA_n5A-n261A,n5,,"5, 10, 15, 20",0,
,,,n261,,CA_n261(4A),,
CA_n5A-n261G,CA_n5A-n261A/G,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261G,,,
CA_n5A-n261H,CA_n5A-n261A/G/H,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261H,,,
CA_n5A-n261I,CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261I,,,
CA_n5A-n261J,CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261J,,,
CA_n5A-n261K,CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261K,,,
CA_n5A-n261L,CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261L,,,
CA_n5A-n261M,CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261M,,,
CA_n5A-n261O,CA_n5A-n261A,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261O,,,
CA_n5A-n261P,CA_n5A-n261A,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261P,,,
CA_n5A-n261Q,CA_n5A-n261A,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261Q,,,
CA_n5A-n261(2G),CA_n5A-n261A/G,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(2G),,,
CA_n5A-n261(2H),CA_n5A-n261A/G/H,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(2H),,,
CA_n5A-n261(2I),CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(2I),,,
CA_n5A-n261(A-G),CA_n5A-n261A/G,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(A-G),,,
CA_n5A-n261(A-H),CA_n5A-n261A/G/H,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(A-H),,,
CA_n5A-n261(A-I),CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(A-I),,,
CA_n5A-n261(A-J),CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(A-J),,,
CA_n5A-n261(A-K),CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(A-K),,,
CA_n5A-n261(A-L),CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(A-L),,,
CA_n5A-n261(G-H),CA_n5A-n261A/G/H,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(G-H),,,
CA_n5A-n261(G-J),CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(G-J),,,
CA_n5A-n261(H-I),CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(H-I),,,
CA_n5A-n261(G-I),CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(G-I),,,
CA_n5A-n261(A-G-H),CA_n5A-n261A/G/H,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(A-G-H),,,
CA_n5A-n261(A-G-I),CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(A-G-I),,,
CA_n5A-n261(2A-H),CA_n5A-n261A/G/H,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(2A-H),,,
CA_n5A-n261(2A-G),CA_n5A-n261A/G,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(2A-G),,,
CA_n5A-n261(3A-G),CA_n5A-n261A/G,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(3A-G),,,
CA_n5A-n261(2A-I),CA_n5A-n261A/G/H/I,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(2A-I),,,
CA_n5A-n261(A-2G),CA_n5A-n261A/G,,n5,"5, 10, 15, 20",,0,
,,,n261,CA_n261(A-2G),,,
