NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n78A-n258R,CA_n78A-n258D/E/F,n78,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258R,
CA_n78A-n258S,CA_n78A-n258D/E/F,n78,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258S,
CA_n78A-n258G,CA_n258GCA_n78A-n258A/G,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n258,CA_n258G,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n258,CA_n258G,
CA_n78A-n258H,CA_n258G/HCA_n78A-n258A/G/H,n78,"10, 15, 20, 40, 50, 60, 80, 100",0
,,n258,CA_n258H,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n258,CA_n258H,
CA_n78A-n258I,CA_n258G/H/ICA_n78A-n258A/G/H/I,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n258,CA_n258I,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n258,CA_n258I,
CA_n78A-n258J,CA_n258G/H/ICA_n78A-n258A/G/H/I/J,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n258,CA_n258J,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n258,CA_n258J,
CA_n78A-n258K,CA_n258G/H/ICA_n78A-n258A/G/H/I/J/K,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n258,CA_n258K,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n258,CA_n258K,
CA_n78A-n258L,CA_n258G/H/ICA_n78A-n258A/G/H/I/J/K/L,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n258,CA_n258L,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n258,CA_n258L,
CA_n78A-n258M,CA_n258G/H/ICA_n78A-n258A/G/H/I/J/K/L/M,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n258,CA_n258M,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n258,CA_n258M,
CA_n78A-n258R2,CA_n258R2CA_n78A-n258A/R2,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258R2,
CA_n78A-n258R3,CA_n258R2/R3CA_n78A-n258A/R2/R3,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258R3,
CA_n78A-n258R4,CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258R4,
CA_n78A-n258R5,CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258R5,
CA_n78A-n258R6,CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258R6,
CA_n78A-n258R7,CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258R7,
CA_n78A-n258R8,CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258R8,
CA_n78A-n258R9,CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258R9,
CA_n78A-n258R10,CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258R10,
CA_n78A-n258(2A),CA_n78A-n258A/(2A),n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n258,CA_n258(2A),
CA_n78A-n258(2G),CA_n78A-n258A/G/(2G)/(A-G),n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n258,CA_n258(2G),
CA_n78A-n258(A-G),CA_n78A-n258A/G/(A-G),n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n258,CA_n258(A-G),
CA_n78B-n258A,CA_n78A-n258A,n78,CA_n78B,0
,,n258,"50, 100, 200, 400",
CA_n78B-n258B,CA_n78A-n258A,n78,CA_n78B,0
,,n258,CA_n258B,
CA_n78C-n258A,CA_n78CCA_n78A-n258A,n78,CA_n78C,0
,,n258,"50, 100, 200, 400",
CA_n78C-n258B,CA_n78CCA_n258BCA_n78A-n258A/B,n78,CA_n78C,0
,,n258,CA_n258B,
CA_n78C-n258C,CA_n78CCA_n258BCA_n78A-n258A/B,n78,CA_n78C,0
,,n258,CA_n258C,
CA_n78C-n258D,CA_n78CCA_n258DCA_n78A-n258A/D,n78,CA_n78C,0
,,n258,CA_n258D,
CA_n78C-n258E,CA_n78CCA_n258D/ECA_n78A-n258A/D/E,n78,CA_n78C,0
,,n258,CA_n258E,
CA_n78C-n258F,CA_n78CCA_n258D/E/FCA_n78A-n258A/D/E/F,n78,CA_n78C,0
,,n258,CA_n258F,
CA_n78C-n258R,CA_n78A-n258D/E/F,n78,CA_n78C,0
,,n258,CA_n258R,
CA_n78C-n258S,CA_n78A-n258D/E/F,n78,CA_n78C,0
,,n258,CA_n258S,
CA_n78C-n258G,CA_n78CCA_n258GCA_n78A-n258A/G,n78,CA_n78C,0
,,n258,CA_n258G,
CA_n78C-n258H,CA_n78CCA_n258G/HCA_n78A-n258A/G/H,n78,CA_n78C,0
,,n258,CA_n258H,
CA_n78C-n258I,CA_n78CCA_n258G/H/ICA_n78A-n258A/G/H/I,n78,CA_n78C,0
,,n258,CA_n258I,
CA_n78C-n258J,CA_n78CCA_n258G/H/ICA_n78A-n258A/G/H/I,n78,CA_n78C,0
,,n258,CA_n258J,
CA_n78C-n258K,CA_n78CCA_n258G/H/ICA_n78A-n258A/G/H/I,n78,CA_n78C,0
,,n258,CA_n258K,
CA_n78C-n258L,CA_n78CCA_n258G/H/ICA_n78A-n258A/G/H/I,n78,CA_n78C,0
,,n258,CA_n258L,
CA_n78C-n258M,CA_n78CCA_n258G/H/ICA_n78A-n258A/G/H/I,n78,CA_n78C,0
,,n258,CA_n258M,
CA_n78(2A)-n258A,CA_n78(2A)CA_n78A-n258ACA_n78(2A)-n258A,n78,CA_n78(2A),0
,,n258,"50, 100, 200, 400",
CA_n78C-n258R2,CA_n78CCA_n258R2CA_n78A-n258A/R2,n78,CA_n78C,0
,,n258,CA_n258R2,
CA_n78C-n258R3,CA_n78CCA_n258R2/R3CA_n78A-n258A/R2/R3,n78,CA_n78C,0
,,n258,CA_n258R3,
CA_n78C-n258R4,CA_n78CCA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,CA_n78C,0
,,n258,CA_n258R4,
CA_n78C-n258R5,CA_n78CCA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,CA_n78C,0
,,n258,CA_n258R5,
CA_n78C-n258R6,CA_n78CCA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,CA_n78C,0
,,n258,CA_n258R6,
CA_n78C-n258R7,CA_n78CCA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,CA_n78C,0
,,n258,CA_n258R7,
CA_n78C-n258R8,CA_n78CCA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,CA_n78C,0
,,n258,CA_n258R8,
CA_n78C-n258R9,CA_n78CCA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,CA_n78C,0
,,n258,CA_n258R9,
CA_n78C-n258R10,CA_n78CCA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4,n78,CA_n78C,0
,,n258,CA_n258R10,
CA_n78(2A)-n258B,CA_n78(2A)CA_n258BCA_n78A-n258A/BCA_n78(2A)-n258A/B,n78,CA_n78(2A),0
,,n258,CA_n258B,
CA_n78(2A)-n258C,CA_n78(2A)CA_n258B/CCA_n78A-n258A/B/CCA_n78(2A)-n258A/B/C,n78,CA_n78(2A),0
,,n258,CA_n258C,
CA_n78(2A)-n258D,CA_n78(2A)CA_n258DCA_n78A-n258A/DCA_n78(2A)-n258A/D,n78,CA_n78(2A),0
,,n258,CA_n258D,
CA_n78(2A)-n258E,CA_n78(2A)CA_n258D/ECA_n78A-n258A/D/ECA_n78(2A)-n258A/D/E,n78,CA_n78(2A),0
,,n258,CA_n258E,
CA_n78(2A)-n258F,CA_n78(2A)CA_n258D/E/FCA_n78A-n258A/D/E/FCA_n78(2A)-n258A/D/E/F,n78,CA_n78(2A),0
,,n258,CA_n258F,
CA_n78(2A)-n258G,CA_n78(2A)CA_n258GCA_n78A-n258A/GCA_n78(2A)-n258A/G,n78,CA_n78(2A),0
,,n258,CA_n258G,
CA_n78(2A)-n258H,CA_n78(2A)CA_n258G/HCA_n78A-n258A/G/HCA_n78(2A)-n258A/G/H,n78,CA_n78(2A),0
,,n258,CA_n258H,
CA_n78(2A)-n258I,CA_n78(2A)CA_n258G/H/ICA_n78A-n258A/G/H/ICA_n78(2A)-n258A/G/H/I,n78,CA_n78(2A),0
,,n258,CA_n258I,
CA_n78(2A)-n258J,CA_n78(2A)CA_n258G/H/ICA_n78A-n258A/G/H/ICA_n78(2A)-n258A/G/H/I,n78,CA_n78(2A),0
,,n258,CA_n258J,
CA_n78(2A)-n258K,CA_n78(2A)CA_n258G/H/ICA_n78A-n258A/G/H/ICA_n78(2A)-n258A/G/H/I,n78,CA_n78(2A),0
,,n258,CA_n258K,
CA_n78(2A)-n258L,CA_n78(2A)CA_n258G/H/ICA_n78A-n258A/G/H/ICA_n78(2A)-n258A/G/H/I,n78,CA_n78(2A),0
,,n258,CA_n258L,
CA_n78(2A)-n258M,CA_n78(2A)CA_n258G/H/ICA_n78A-n258A/G/H/ICA_n78(2A)-n258A/G/H/I,n78,CA_n78(2A),0
,,n258,CA_n258M,
CA_n78(2A)-n258R2,CA_n78(2A)CA_n258R2CA_n78A-n258A/R2CA_n78(2A)-n258A/R2,n78,CA_n78(2A),0
,,n258,CA_n258R2,
CA_n78(2A)-n258R3,CA_n78(2A)CA_n258R2/R3CA_n78A-n258A/R2/R3CA_n78(2A)-n258A/R2/R3,n78,CA_n78(2A),0
,,n258,CA_n258R3,
CA_n78(2A)-n258R4,CA_n78(2A)CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4CA_n78(2A)-n258A/R2/R3/R4,n78,CA_n78(2A),0
,,n258,CA_n258R4,
CA_n78(2A)-n258R5,CA_n78(2A)CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4CA_n78(2A)-n258A/R2/R3/R4,n78,CA_n78(2A),0
,,n258,CA_n258R5,
CA_n78(2A)-n258R6,CA_n78(2A)CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4CA_n78(2A)-n258A/R2/R3/R4,n78,CA_n78(2A),0
,,n258,CA_n258R6,
CA_n78(2A)-n258R7,CA_n78(2A)CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4CA_n78(2A)-n258A/R2/R3/R4,n78,CA_n78(2A),0
,,n258,CA_n258R7,
CA_n78(2A)-n258R8,CA_n78(2A)CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4CA_n78(2A)-n258A/R2/R3/R4,n78,CA_n78(2A),0
,,n258,CA_n258R8,
CA_n78(2A)-n258R9,CA_n78(2A)CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4CA_n78(2A)-n258A/R2/R3/R4,n78,CA_n78(2A),0
,,n258,CA_n258R9,
CA_n78(2A)-n258R10,CA_n78(2A)CA_n258R2/R3/R4CA_n78A-n258A/R2/R3/R4CA_n78(2A)-n258A/R2/R3/R4,n78,CA_n78(2A),0
,,n258,CA_n258R10,
CA_n78A-n259A,CA_n78A-n259A,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n259,"50, 100, 200, 400",
CA_n78A-n259G,CA_n259GCA_n78A-n259A/G,n78,"10, 15, 20, 40, 50, 60, 80, 100",0
,,n259,CA_n259G,
CA_n78A-n259H,CA_n259G/HCA_n78A-n259A/G/H,n78,"10, 15, 20, 40, 50, 60, 80, 100",0
,,n259,CA_n259H,
CA_n78A-n259I,CA_n259G/H/ICA_n78A-n259A/G/H/I,n78,"10, 15, 20, 40, 50, 60, 80, 100",0
,,n259,CA_n259I,
CA_n78A-n259J,CA_n259G/H/I/JCA_n78A-n259A/G/H/I/J,n78,"10, 15, 20, 40, 50, 60, 80, 100",0
,,n259,CA_n259J,
CA_n78A-n259K,CA_n259G/H/I/J/KCA_n78A-n259A/G/H/I/J/K,n78,"10, 15, 20, 40, 50, 60, 80, 100",0
,,n259,CA_n259K,
CA_n78A-n259L,CA_n259G/H/I/J/K/LCA_n78A-n259A/G/H/I/J/K/L,n78,"10, 15, 20, 40, 50, 60, 80, 100",0
,,n259,CA_n259L,
CA_n78A-n259M,CA_n259G/H/I/J/K/L/MCA_n78A-n259A/G/H/I/J/K/L/M,n78,"10, 15, 20, 40, 50, 60, 80, 100",0
,,n259,CA_n259M,
