NR CA configuration,Uplink configuration,,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
CA_n1A-n41A-n257A,CA_n1A-n41ACA_n1A-n257ACA_n41A-n257A,,n1,"5, 10, 15, 20",0
,,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,,n257,"50, 100, 200, 400",
CA_n1A-n41A-n257G,CA_n257GCA_n1A-n41ACA_n1A-n257A/GCA_n41A-n257A/G,,n1,"5, 10, 15, 20",0
,,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257G,
CA_n1A-n41A-n257H,CA_n257G/HCA_n1A-n41ACA_n1A-n257A/G/HCA_n41A-n257A/G/H,,n1,"5, 10, 15, 20",0
,,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257H,
CA_n1A-n41A-n257I,CA_n257G/H/ICA_n1A-n41ACA_n1A-n257A/G/H/ICA_n41A-n257A/G/H/I,,n1,"5, 10, 15, 20",0
,,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257I,
CA_n1A-n77A-n257A,CA_n1A-n77ACA_n1A-n257ACA_n77A-n257A,,n1,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,"50, 100, 200, 400",
CA_n1A-n77A-n257G,CA_n257GCA_n1A-n77ACA_n1A-n257A/GCA_n77A-n257A/G,,n1,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257G,
CA_n1A-n77A-n257H,CA_n257G/HCA_n1A-n77ACA_n1A-n257A/G/HCA_n77A-n257A/G/H,,n1,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257H,
CA_n1A-n77A-n257I,CA_n257G/H/ICA_n1A-n77ACA_n1A-n257A/G/H/ICA_n77A-n257A/G/H/I,,n1,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257I,
CA_n1A-n77A-n257J,-,,n1,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257J,
CA_n1A-n77A-n257K,-,,n1,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257K,
CA_n1A-n77A-n257L,-,,n1,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257L,
CA_n1A-n77A-n257M,-,,n1,"5, 10, 15, 20",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257M,
CA_n1A-n77(2A)-n257A,CA_n1A-n77ACA_n1A-n257ACA_n77A-n257A,,n1,"5, 10, 15, 20",0
,,,n77,CA_n77(2A),
,,,n257,"50, 100, 200, 400",
CA_n1A-n77(2A)-n257G,CA_n1A-n77A,,n1,"5, 10, 15, 20",0
,CA_n1A-n257A/G,,n77,CA_n77(2A),
,CA_n1A-n257G,,n257,CA_n257G,
CA_n1A-n77(2A)-n257H,CA_n77A-n257A/G,,n1,"5, 10, 15, 20",0
,,,n77,CA_n77(2A),
,,,n257,CA_n257H,
CA_n1A-n77(2A)-n257I,CA_n1A-n77ACA_n1A-n257A/G/H/ICA_n77A-n257A/G/H/I,,n1,"5, 10, 15, 20",0
,,,n77,CA_n77(2A),
,,,n257,CA_n257I,
CA_n1A-n77(2A)-n257J,-,,n1,"5, 10, 15, 20",0
,,,n77,CA_n77(2A),
,,,n257,CA_n257J,
CA_n1A-n77(2A)-n257K,-,,n1,"5, 10, 15, 20",0
,,,n77,CA_n77(2A),
,,,n257,CA_n257K,
CA_n1A-n77(2A)-n257L,-,,n1,"5, 10, 15, 20",0
,,,n77,CA_n77(2A),
,,,n257,CA_n257L,
CA_n1A-n77(2A)-n257M,-,,n1,"5, 10, 15, 20",0
,,,n77,CA_n77(2A),
,,,n257,CA_n257M,
CA_n1A-n77(3A)-n257A,CA_n1A-n77ACA_n1A-n257ACA_n77A-n257A,,n1,"5, 10, 15, 20",0
,,,n77,CA_n77(3A),
,,,n257,"50, 100, 200, 400",
CA_n1A-n77(3A)-n257G,CA_n1A-n77A,,n1,"5, 10, 15, 20",0
,CA_n1A-n257A/G,,n77,CA_n77(3A),
,,,n257,CA_n257G,
CA_n1A-n77(3A)-n257H,CA_n77A-n257A/G/H,,n1,"5, 10, 15, 20",0
,,,n77,CA_n77(3A),
,,,n257,CA_n257H,
CA_n1A-n77(3A)-n257I,,,n1,"5, 10, 15, 20",0
,CA_n1A-n77A,,n77,CA_n77(3A),
,CA_n1A-n257A/G/H,,n257,CA_n257I,
CA_n1A-n78A-n257A,CA_n1A-n78ACA_n1A-n257ACA_n78A-n257A,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,"50, 100, 200, 400",
CA_n1A-n78A-n257D,-,n1,,"5, 10, 15, 20",0
,,n78,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257D,
CA_n1A-n78A-n257E,-,n1,,"5, 10, 15, 20",0
,,n78,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257E,
CA_n1A-n78A-n257F,-,n1,,"5, 10, 15, 20",0
,,n78,,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257F,
CA_n1A-n78A-n257G,CA_n257GCA_n1A-n78ACA_n1A-n257A/GCA_n78A-n257A/G,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257G,
CA_n1A-n78A-n257H,CA_n1A-n78ACA_n257G/HCA_n1A-n257A/G/HCA_n78A-n257A/G/H,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257H,
CA_n1A-n78A-n257I,CA_n257G/H/ICA_n1A-n78ACA_n1A-n257A/G/H/ICA_n78A-n257A/G/H/I,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257I,
CA_n1A-n78A-n257J,CA_n257G/H/I/JCA_n1A-n78ACA_n1A-n257A/G/H/I/JCA_n78A-n257A/G/H/I/J,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257J,
CA_n1A-n78A-n257K,CA_n257G/H/I/J/KCA_n1A-n78ACA_n1A-n257A/G/H/I/J/KCA_n78A-n257A/G/H/I/J/K,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257K,
CA_n1A-n78A-n257L,-,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257L,
CA_n1A-n78A-n257M,-,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257M,
CA_n1A-n78A-n258A,CA_n1A-n78ACA_n1A-n258ACA_n78A-n258A,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,"50, 100, 200, 400",
CA_n1A-n78A-n258D,-,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258D,
CA_n1A-n78A-n258E,-,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258E,
CA_n1A-n78A-n258F,-,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258F,
CA_n1A-n78A-n258G,-,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258G,
CA_n1A-n78A-n258H,-,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258H,
CA_n1A-n78A-n258I,-,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258I,
CA_n1A-n78A-n258J,-,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258J,
CA_n1A-n78A-n258K,-,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258K,
CA_n1A-n78A-n258L,-,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258L,
CA_n1A-n78A-n258M,-,,n1,"5, 10, 15, 20",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258M,
CA_n1A-n79A-n257A,CA_n1A-n79ACA_n1A-n257ACA_n79A-n257A,,n1,"5, 10, 15, 20",0
,,,n79,"40, 50, 60, 80, 100",
,,,n257,"50, 100, 200, 400",
CA_n1A-n79A-n257G,CA_n257GCA_n1A-n79ACA_n1A-n257A/GCA_n79A-n257A/G,,n1,"5, 10, 15, 20",0
,,,n79,"40, 50, 60, 80, 100",
,,,n257,CA_n257G,
CA_n1A-n79A-n257H,CA_n257G/HCA_n1A-n79ACA_n1A-n257A/G/HCA_n79A-n257A/G/H,,n1,"5, 10, 15, 20",0
,,,n79,"40, 50, 60, 80, 100",
,,,n257,CA_n257H,
CA_n1A-n79A-n257I,CA_n257G/H/ICA_n1A-n79ACA_n1A-n257A/G/H/ICA_n79A-n257A/G/H/I,,n1,"5, 10, 15, 20",0
,,,n79,"40, 50, 60, 80, 100",
,,,n257,CA_n257I,
CA_n1A-n105A-n257A,CA_n1A-n105ACA_n1A-n257ACA_n105A-n257A,,n1,"5, 10, 15, 20",0
,,,n105,"5, 10, 15, 20, 25, 30, 35",
,,,n257,"50, 100, 200, 400",
CA_n1A-n105A-n258A,CA_n1A-n105ACA_n1A-n258ACA_n105A-n258A,,n1,"5, 10, 15, 20",0
,,,n105,"5, 10, 15, 20, 25, 30, 35",
,,,n258,"50, 100, 200, 400",
CA_n2A-n5A-n260A,CA_n2A-n5ACA_n2A-n260ACA_n5A-n260A,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n260,"50, 100, 200, 400",
CA_n2A-n5A-n260G,CA_n2A-n5ACA_n2A-n260A/GCA_n5A-n260A/G,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n260,CA_n260G,
CA_n2A-n5A-n260H,CA_n2A-n5ACA_n2A-n260A/G/HCA_n5A-n260A/G/H,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n260,CA_n260H,
CA_n2A-n5A-n260I,CA_n2A-n5ACA_n2A-n260A/G/H/ICA_n5A-n260A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n260,CA_n260I,
CA_n2A-n5A-n260J,CA_n2A-n5ACA_n2A-n260A/G/H/I/JCA_n5A-n260A/G/H/I/J,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n260,CA_n260J,
CA_n2A-n5A-n260K,CA_n2A-n5ACA_n2A-n260A/G/H/I/J/KCA_n5A-n260A/G/H/I/J/K,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n260,CA_n260K,
CA_n2A-n5A-n260L,CA_n2A-n5ACA_n2A-n260A/G/H/I/J/K/LCA_n5A-n260A/G/H/I/J/K/L,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n260,CA_n260L,
CA_n2A-n5A-n260M,CA_n2A-n5ACA_n2A-n260A/G/H/I/J/K/L/MCA_n5A-n260A/G/H/I/J/K/L/M,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n260,CA_n260M,
CA_n2A-n5A-n261A,CA_n2A-n5ACA_n2A-n261ACA_n5A-n261A,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,"50, 100, 200, 400",
CA_n2A-n5A-n261G,CA_n2A-n5ACA_n2A-n261A/GCA_n5A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261G,
CA_n2A-n5A-n261H,CA_n2A-n5ACA_n2A-n261A/G/HCA_n5A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261H,
CA_n2A-n5A-n261I,CA_n2A-n5ACA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261I,
CA_n2A-n5A-n261J,CA_n2A-n5ACA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261J,
CA_n2A-n5A-n261K,CA_n2A-n5ACA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261K,
CA_n2A-n5A-n261L,CA_n2A-n5ACA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261L,
CA_n2A-n5A-n261M,CA_n2A-n5ACA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261M,
CA_n2A-n5A-n261(2G),CA_n2A-n5ACA_n2A-n261A/GCA_n5A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(2G),
CA_n2A-n5A-n261(G-H),CA_n2A-n5ACA_n2A-n261A/G/HCA_n5A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(G-H),
CA_n2A-n5A-n261(A-G-H),CA_n2A-n5ACA_n2A-n261A/G/HCA_n5A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(A-G-H),
CA_n2A-n5A-n261(G-I),CA_n2A-n5ACA_n2A-n261A/G/HCA_n5A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(G-I),
CA_n2A-n5A-n261(2H),CA_n2A-n5ACA_n2A-n261A/G/HCA_n5A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(2H),
CA_n2A-n5A-n261(A-G-I),CA_n2A-n5ACA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(A-G-I),
CA_n2A-n5A-n261(H-I),CA_n2A-n5ACA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(H-I),
CA_n2A-n5A-n261(2A-G),CA_n2A-n5ACA_n2A-n261A/GCA_n5A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(2A-G),
CA_n2A-n5A-n261(2A-H),CA_n2A-n5ACA_n2A-n261A/G/HCA_n5A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(2A-H),
CA_n2A-n5A-n261(2A-I),CA_n2A-n5ACA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(2A-I),
CA_n2A-n5A-n261(2A),CA_n2A-n5ACA_n2A-n261ACA_n5A-n261A,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(2A),
CA_n2A-n5A-n261(3A),CA_n2A-n5ACA_n2A-n261ACA_n5A-n261A,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(3A),
CA_n2A-n5A-n261(A-G),CA_n2A-n5ACA_n2A-n261A/GCA_n5A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(A-G),
CA_n2A-n5A-n261(A-2G),CA_n2A-n5ACA_n2A-n261A/GCA_n5A-n261A/G,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(A-2G),
CA_n2A-n5A-n261(A-H),CA_n2A-n5ACA_n2A-n261A/G/HCA_n5A-n261A/G/H,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(A-H),
CA_n2A-n5A-n261(A-I),CA_n2A-n5ACA_n2A-n261A/G/H/ICA_n5A-n261A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20",
,,,n261,CA_n261(A-I),
CA_n2A-n12A-n260A,CA_n2A-n12ACA_n2A-n260ACA_n12A-n260A,,n2,"5, 10, 15, 20",0
,,,n12,"5, 10, 15",
,,,n260,"50, 100, 200, 400",
CA_n2A-n12A-n260G,CA_n2A-n12ACA_n2A-n260A/GCA_n12A-n260A/G,,n2,"5, 10, 15, 20",0
,,,n12,"5, 10, 15",
,,,n260,CA_n260G,
CA_n2A-n12A-n260H,CA_n2A-n12ACA_n2A-n260A/G/HCA_n12A-n260A/G/H,,n2,"5, 10, 15, 20",0
,,,n12,"5, 10, 15",
,,,n260,CA_n260H,
CA_n2A-n12A-n260I,CA_n2A-n12ACA_n2A-n260A/G/H/ICA_n12A-n260A/G/H/I,,n2,"5, 10, 15, 20",0
,,,n12,"5, 10, 15",
,,,n260,CA_n260I,
CA_n2A-n12A-n260J,CA_n2A-n12ACA_n2A-n260A/G/H/I/JCA_n12A-n260A/G/H/I/J,,n2,"5, 10, 15, 20",0
,,,n12,"5, 10, 15",
,,,n260,CA_n260J,
