Downlink NR DCconfiguration,Uplink NR DCconfiguration
DC_n2A-n5A-n260ADC_n2A-n5A-n260GDC_n2A-n5A-n260HDC_n2A-n5A-n260IDC_n2A-n5A-n260JDC_n2A-n5A-n260KDC_n2A-n5A-n260LDC_n2A-n5A-n260M,DC_n2A-n5ADC_n2A-n260ADC_n5A-n260ADC_n2A-n260GDC_n5A-n260GDC_n2A-n260HDC_n5A-n260HDC_n2A-n260IDC_n5A-n260IDC_n2A-n260JDC_n5A-n260JDC_n2A-n260KDC_n5A-n260KDC_n2A-n260LDC_n5A-n260LDC_n2A-n260MDC_n5A-n260M
DC_n2A-n5A-n261ADC_n2A-n5A-n261GDC_n2A-n5A-n261HDC_n2A-n5A-n261IDC_n2A-n5A-n261JDC_n2A-n5A-n261KDC_n2A-n5A-n261LDC_n2A-n5A-n261M,DC_n2A-n5ADC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261I
DC_n2A-n5A-n261(2G)DC_n2A-n5A-n261(G-H)DC_n2A-n5A-n261(A-G-H)DC_n2A-n5A-n261(G-I)DC_n2A-n5A-n261(2H)DC_n2A-n5A-n261(A-G-I)DC_n2A-n5A-n261(H-I)DC_n2A-n5A-n261(A-G)DC_n2A-n5A-n261(A-H)DC_n2A-n5A-n261(2A-H)DC_n2A-n5A-n261(A-2G)DC_n2A-n5A-n261(A-I)DC_n2A-n5A-n261(2A-I)DC_n2A-n5A-n261(2A)DC_n2A-n5A-n261(3A)DC_n2A-n5A-n261(2A-G),DC_n2A-n5ADC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261I
DC_n2A-n12A-n260ADC_n2A-n12A-n260GDC_n2A-n12A-n260HDC_n2A-n12A-n260IDC_n2A-n12A-n260JDC_n2A-n12A-n260KDC_n2A-n12A-n260LDC_n2A-n12A-n260M,DC_n2A-n12ADC_n2A-n260ADC_n12A-n260ADC_n2A-n260GDC_n12A-n260GDC_n2A-n260HDC_n12A-n260HDC_n2A-n260IDC_n12A-n260IDC_n2A-n260JDC_n12A-n260JDC_n2A-n260KDC_n12A-n260KDC_n2A-n260LDC_n12A-n260LDC_n2A-n260MDC_n12A-n260M
DC_n2A-n14A-n260ADC_n2A-n14A-n260GDC_n2A-n14A-n260HDC_n2A-n14A-n260IDC_n2A-n14A-n260JDC_n2A-n14A-n260KDC_n2A-n14A-n260LDC_n2A-n14A-n260M,DC_n2A-n14ADC_n2A-n260ADC_n14A-n260ADC_n2A-n260GDC_n14A-n260GDC_n2A-n260HDC_n14A-n260HDC_n2A-n260IDC_n14A-n260IDC_n2A-n260JDC_n14A-n260JDC_n2A-n260KDC_n14A-n260KDC_n2A-n260LDC_n14A-n260LDC_n2A-n260MDC_n14A-n260M
DC_n2A-n30A-n260ADC_n2A-n30A-n260GDC_n2A-n30A-n260HDC_n2A-n30A-n260IDC_n2A-n30A-n260JDC_n2A-n30A-n260KDC_n2A-n30A-n260LDC_n2A-n30A-n260M,DC_n2A-n30ADC_n2A-n260ADC_n30A-n260ADC_n2A-n260GDC_n30A-n260GDC_n2A-n260HDC_n30A-n260HDC_n2A-n260IDC_n30A-n260IDC_n2A-n260JDC_n30A-n260JDC_n2A-n260KDC_n30A-n260KDC_n2A-n260LDC_n30A-n260LDC_n2A-n260MDC_n30A-n260M
DC_n2A-n48A-n260ADC_n2A-n48A-n260GDC_n2A-n48A-n260HDC_n2A-n48A-n260IDC_n2A-n48A-n260JDC_n2A-n48A-n260KDC_n2A-n48A-n260LDC_n2A-n48A-n260M,DC_n2A-n260ADC_n2A-n260GDC_n2A-n260HDC_n2A-n260IDC_n48A-n260ADC_n48A-n260GDC_n48A-n260HDC_n48A-n260I
DC_n2A-n48(2A)-n260ADC_n2A-n48(2A)-n260GDC_n2A-n48(2A)-n260HDC_n2A-n48(2A)-n260IDC_n2A-n48(2A)-n260JDC_n2A-n48(2A)-n260KDC_n2A-n48(2A)-n260LDC_n2A-n48(2A)-n260M,DC_n2A-n260ADC_n2A-n260GDC_n2A-n260HDC_n2A-n260IDC_n48A-n260ADC_n48A-n260GDC_n48A-n260HDC_n48A-n260I
DC_n2A-n48B-n260ADC_n2A-n48B-n260GDC_n2A-n48B-n260HDC_n2A-n48B-n260IDC_n2A-n48B-n260JDC_n2A-n48B-n260KDC_n2A-n48B-n260LDC_n2A-n48B-n260M,DC_n2A-n260ADC_n2A-n260GDC_n2A-n260HDC_n2A-n260IDC_n48A-n260ADC_n48A-n260GDC_n48A-n260HDC_n48A-n260I
DC_n2A-n48A-n261ADC_n2A-n48A-n261GDC_n2A-n48A-n261HDC_n2A-n48A-n261IDC_n2A-n48A-n261JDC_n2A-n48A-n261KDC_n2A-n48A-n261LDC_n2A-n48A-n261M,DC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261I
DC_n2A-n48A-n261(G-H)DC_n2A-n48A-n261(A-G-H)DC_n2A-n48A-n261(2H)DC_n2A-n48A-n261(H-I)DC_n2A-n48A-n261(A-G-I)DC_n2A-n48A-n261(A-H)DC_n2A-n48A-n261(2G)DC_n2A-n48A-n261(2A-H)DC_n2A-n48A-n261(A-2G)DC_n2A-n48A-n261(G-I)DC_n2A-n48A-n261(2A-I)DC_n2A-n48A-n261(A-G)DC_n2A-n48A-n261(2A-G)DC_n2A-n48A-n261(A-I)DC_n2A-n48A-n261(2A)DC_n2A-n48A-n261(3A),DC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261I
DC_n2A-n48(2A)-n261ADC_n2A-n48(2A)-n261GDC_n2A-n48(2A)-n261HDC_n2A-n48(2A)-n261IDC_n2A-n48(2A)-n261JDC_n2A-n48(2A)-n261KDC_n2A-n48(2A)-n261LDC_n2A-n48(2A)-n261M,DC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261I
DC_n2A-n48(2A)-n261(G-H)DC_n2A-n48(2A)-n261(A-G-H)DC_n2A-n48(2A)-n261(2H)DC_n2A-n48(2A)-n261(H-I)DC_n2A-n48(2A)-n261(A-G-I)DC_n2A-n48(2A)-n261(A-H)DC_n2A-n48(2A)-n261(2G)DC_n2A-n48(2A)-n261(2A-H)DC_n2A-n48(2A)-n261(A-2G)DC_n2A-n48(2A)-n261(G-I)DC_n2A-n48(2A)-n261(2A-I)DC_n2A-n48(2A)-n261(A-G)DC_n2A-n48(2A)-n261(2A-G)DC_n2A-n48(2A)-n261(A-I)DC_n2A-n48(2A)-n261(2A)DC_n2A-n48(2A)-n261(3A),DC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261I
DC_n2A-n48B-n261ADC_n2A-n48B-n261GDC_n2A-n48B-n261HDC_n2A-n48B-n261IDC_n2A-n48B-n261JDC_n2A-n48B-n261KDC_n2A-n48B-n261LDC_n2A-n48B-n261M,DC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261I
DC_n2A-n48B-n261(G-H)DC_n2A-n48B-n261(A-G-H)DC_n2A-n48B-n261(2H)DC_n2A-n48B-n261(H-I)DC_n2A-n48B-n261(A-G-I)DC_n2A-n48B-n261(A-H)DC_n2A-n48B-n261(2G)DC_n2A-n48B-n261(2A-H)DC_n2A-n48B-n261(A-2G)DC_n2A-n48B-n261(G-I)DC_n2A-n48B-n261(2A-I)DC_n2A-n48B-n261(A-G)DC_n2A-n48B-n261(2A-G)DC_n2A-n48B-n261(A-I)DC_n2A-n48B-n261(2A)DC_n2A-n48B-n261(3A),DC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261I
DC_n2A-n66A-n260ADC_n2A-n66A-n260GDC_n2A-n66A-n260HDC_n2A-n66A-n260IDC_n2A-n66A-n260JDC_n2A-n66A-n260KDC_n2A-n66A-n260LDC_n2A-n66A-n260M,DC_n2A-n66ADC_n2A-n260ADC_n66A-n260ADC_n2A-n260GDC_n66A-n260GDC_n2A-n260HDC_n66A-n260HDC_n2A-n260IDC_n66A-n260IDC_n2A-n260JDC_n66A-n260JDC_n2A-n260KDC_n66A-n260KDC_n2A-n260LDC_n66A-n260LDC_n2A-n260MDC_n66A-n260M
DC_n2A-n66A-n261ADC_n2A-n66A-n261GDC_n2A-n66A-n261HDC_n2A-n66A-n261IDC_n2A-n66A-n261JDC_n2A-n66A-n261KDC_n2A-n66A-n261LDC_n2A-n66A-n261M,DC_n2A-n66ADC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n66A-n261ADC_n66A-n261GDC_n66A-n261HDC_n66A-n261I
DC_n2A-n66A-n261(2G)DC_n2A-n66A-n261(G-H)DC_n2A-n66A-n261(A-G-H)DC_n2A-n66A-n261(G-I)DC_n2A-n66A-n261(2H)DC_n2A-n66A-n261(A-G-I)DC_n2A-n66A-n261(H-I)DC_n2A-n66A-n261(A-G)DC_n2A-n66A-n261(A-H)DC_n2A-n66A-n261(2A-H)DC_n2A-n66A-n261(A-2G)DC_n2A-n66A-n261(A-I)DC_n2A-n66A-n261(2A-I)DC_n2A-n66A-n261(2A)DC_n2A-n66A-n261(3A)DC_n2A-n66A-n261(2A-G),DC_n2A-n66ADC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n66A-n261ADC_n66A-n261GDC_n66A-n261HDC_n66A-n261I
DC_n2A-n77A-n260ADC_n2A-n77A-n260GDC_n2A-n77A-n260HDC_n2A-n77A-n260IDC_n2A-n77A-n260JDC_n2A-n77A-n260KDC_n2A-n77A-n260LDC_n2A-n77A-n260MDC_n2A-n77C-n260ADC_n2A-n77C-n260GDC_n2A-n77C-n260HDC_n2A-n77C-n260IDC_n2A-n77C-n260JDC_n2A-n77C-n260KDC_n2A-n77C-n260LDC_n2A-n77C-n260M,DC_n2A-n77ADC_n2A-n260ADC_n2A-n260GDC_n2A-n260HDC_n2A-n260IDC_n2A-n260JDC_n2A-n260KDC_n2A-n260LDC_n2A-n260MDC_n77A-n260ADC_n77A-n260GDC_n77A-n260HDC_n77A-n260IDC_n77A-n260JDC_n77A-n260KDC_n77A-n260LDC_n77A-n260M
DC_n2A-n77A-n261ADC_n2A-n77A-n261GDC_n2A-n77A-n261HDC_n2A-n77A-n261IDC_n2A-n77A-n261JDC_n2A-n77A-n261KDC_n2A-n77A-n261LDC_n2A-n77A-n261MDC_n2A-n77C-n261ADC_n2A-n77C-n261GDC_n2A-n77C-n261HDC_n2A-n77C-n261IDC_n2A-n77C-n261JDC_n2A-n77C-n261KDC_n2A-n77C-n261LDC_n2A-n77C-n261M,DC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n77A-n261ADC_n77A-n261GDC_n77A-n261HDC_n77A-n261I
DC_n2A-n77A-n261(G-H)DC_n2A-n77A-n261(A-G-H)DC_n2A-n77A-n261(G-I)DC_n2A-n77A-n261(2H)DC_n2A-n77A-n261(A-G-I)DC_n2A-n77A-n261(H-I)DC_n2A-n77A-n261(A-H)DC_n2A-n77A-n261(2G)DC_n2A-n77A-n261(2A-H)DC_n2A-n77A-n261(A-2G)DC_n2A-n77A-n261(A-I)DC_n2A-n77A-n261(2A-I)DC_n2A-n77A-n261(A-G)DC_n2A-n77A-n261(2A-G)DC_n2A-n77A-n261(2A)DC_n2A-n77A-n261(3A)DC_n2A-n77C-n261(G-H)DC_n2A-n77C-n261(A-G-H)DC_n2A-n77C-n261(G-I)DC_n2A-n77C-n261(2H)DC_n2A-n77C-n261(A-G-I)DC_n2A-n77C-n261(H-I)DC_n2A-n77C-n261(A-H)DC_n2A-n77C-n261(2G)DC_n2A-n77C-n261(2A-H)DC_n2A-n77C-n261(A-2G)DC_n2A-n77C-n261(A-I)DC_n2A-n77C-n261(2A-I)DC_n2A-n77C-n261(A-G)DC_n2A-n77C-n261(2A-G)DC_n2A-n77C-n261(2A)DC_n2A-n77C-n261(3A),DC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n77A-n261ADC_n77A-n261GDC_n77A-n261HDC_n77A-n261I
DC_n3A-n7A-n258ADC_n3A-n7A-n258BDC_n3A-n7A-n258CDC_n3A-n7A-n258DDC_n3A-n7A-n258EDC_n3A-n7A-n258FDC_n3A-n7A-n258GDC_n3A-n7A-n258HDC_n3A-n7A-n258IDC_n3A-n7A-n258JDC_n3A-n7A-n258KDC_n3A-n7A-n258LDC_n3A-n7A-n258M,DC_n3A-n258ADC_n3A-n258GDC_n3A-n258HDC_n3A-n258IDC_n7A-n258ADC_n7A-n258GDC_n7A-n258HDC_n7A-n258I
DC_n3A-n7B-n258ADC_n3A-n7B-n258BDC_n3A-n7B-n258CDC_n3A-n7B-n258DDC_n3A-n7B-n258EDC_n3A-n7B-n258FDC_n3A-n7B-n258GDC_n3A-n7B-n258HDC_n3A-n7B-n258IDC_n3A-n7B-n258JDC_n3A-n7B-n258KDC_n3A-n7B-n258LDC_n3A-n7B-n258M,DC_n3A-n258ADC_n3A-n258GDC_n3A-n258HDC_n3A-n258IDC_n7A-n258ADC_n7A-n258GDC_n7A-n258HDC_n7A-n258I
DC_n3A-n18A-n257ADC_n3A-n18A-n257GDC_n3A-n18A-n257HDC_n3A-n18A-n257I,DC_n3A-n18ADC_n3A-n257ADC_n3A-n257GDC_n3A-n257HDC_n3A-n257IDC_n18A-n257ADC_n18A-n257GDC_n18A-n257HDC_n18A-n257I
DC_n3A-n28A-n257A1DC_n3A-n28A-n257G1DC_n3A-n28A-n257H1DC_n3A-n28A-n257I1,DC_n3A-n28ADC_n3A-n257ADC_n3A-n257GDC_n3A-n257HDC_n3A-n257IDC_n28A-n257ADC_n28A-n257GDC_n28A-n257HDC_n28A-n257I
DC_n3A-n28A-n258ADC_n3A-n28A-n258DDC_n3A-n28A-n258GDC_n3A-n28A-n258HDC_n3A-n28A-n258IDC_n3A-n28A-n258J,DC_n3A-n28ADC_n3A-n258ADC_n3A-n258DDC_n3A-n258GDC_n3A-n258HDC_n3A-n258IDC_n3A-n258JDC_n28A-n258ADC_n28A-n258DDC_n28A-n258GDC_n28A-n258HDC_n28A-n258IDC_n28A-n258J
DC_n3A-n41A-n257ADC_n3A-n41A-n257GDC_n3A-n41A-n257HDC_n3A-n41A-n257I,DC_n3A-n41ADC_n3A-n257ADC_n3A-n257GDC_n3A-n257HDC_n3A-n257IDC_n41A-n257ADC_n41A-n257GDC_n41A-n257HDC_n41A-n257I
DC_n3A-n77A-n257A1DC_n3A-n77A-n257G1DC_n3A-n77A-n257H1DC_n3A-n77A-n257I1,DC_n3A-n77ADC_n3A-n257ADC_n3A-n257GDC_n3A-n257HDC_n3A-n257IDC_n77A-n257ADC_n77A-n257GDC_n77A-n257HDC_n77A-n257I
DC_n3A-n77(2A)-n257A1DC_n3A-n77(2A)-n257G1DC_n3A-n77(2A)-n257H1DC_n3A-n77(2A)-n257I1,DC_n3A-n77ADC_n3A-n257ADC_n3A-n257GDC_n3A-n257HDC_n3A-n257IDC_n77A-n257ADC_n77A-n257GDC_n77A-n257HDC_n77A-n257I
DC_n3A-n78A-n257A1DC_n3A-n78A-n257G1DC_n3A-n78A-n257H1DC_n3A-n78A-n257I1,DC_n3A-n78ADC_n3A-n257ADC_n3A-n257GDC_n3A-n257HDC_n3A-n257IDC_n78A-n257ADC_n78A-n257GDC_n78A-n257HDC_n78A-n257I
DC_n3A-n78A-n258ADC_n3A-n78A-n258BDC_n3A-n78A-n258CDC_n3A-n78A-n258DDC_n3A-n78A-n258EDC_n3A-n78A-n258FDC_n3A-n78A-n258GDC_n3A-n78A-n258HDC_n3A-n78A-n258IDC_n3A-n78A-n258JDC_n3A-n78A-n258KDC_n3A-n78A-n258LDC_n3A-n78A-n258M,DC_n3A-n258ADC_n3A-n258GDC_n3A-n258HDC_n3A-n258IDC_n78A-n258ADC_n78A-n258GDC_n78A-n258HDC_n78A-n258IDC_n3A-n78A
DC_n3A-n79A-n257ADC_n3A-n79A-n257GDC_n3A-n79A-n257HDC_n3A-n79A-n257I,DC_n3A-n79ADC_n3A-n257ADC_n3A-n257GDC_n3A-n257HDC_n3A-n257IDC_n79A-n257ADC_n79A-n257GDC_n79A-n257HDC_n79A-n257I
DC_n5A-n30A-n260ADC_n5A-n30A-n260GDC_n5A-n30A-n260HDC_n5A-n30A-n260IDC_n5A-n30A-n260JDC_n5A-n30A-n260KDC_n5A-n30A-n260LDC_n5A-n30A-n260M,DC_n5A-n30ADC_n5A-n260ADC_n30A-n260ADC_n5A-n260GDC_n30A-n260GDC_n5A-n260HDC_n30A-n260HDC_n5A-n260IDC_n30A-n260IDC_n5A-n260JDC_n30A-n260JDC_n5A-n260KDC_n30A-n260KDC_n5A-n260LDC_n30A-n260LDC_n5A-n260MDC_n30A-n260M
DC_n5A-n48A-n260ADC_n5A-n48A-n260GDC_n5A-n48A-n260HDC_n5A-n48A-n260IDC_n5A-n48A-n260JDC_n5A-n48A-n260KDC_n5A-n48A-n260LDC_n5A-n48A-n260M,DC_n5A-n260ADC_n5A-n260GDC_n5A-n260HDC_n5A-n260IDC_n48A-n260ADC_n48A-n260GDC_n48A-n260HDC_n48A-n260I
DC_n5A-n48(2A)-n260ADC_n5A-n48(2A)-n260GDC_n5A-n48(2A)-n260HDC_n5A-n48(2A)-n260IDC_n5A-n48(2A)-n260JDC_n5A-n48(2A)-n260KDC_n5A-n48(2A)-n260LDC_n5A-n48(2A)-n260M,DC_n5A-n260ADC_n5A-n260GDC_n5A-n260HDC_n5A-n260IDC_n48A-n260ADC_n48A-n260GDC_n48A-n260HDC_n48A-n260I
DC_n5A-n48B-n260ADC_n5A-n48B-n260GDC_n5A-n48B-n260HDC_n5A-n48B-n260IDC_n5A-n48B-n260JDC_n5A-n48B-n260KDC_n5A-n48B-n260LDC_n5A-n48B-n260M,DC_n5A-n260ADC_n5A-n260GDC_n5A-n260HDC_n5A-n260IDC_n48A-n260ADC_n48A-n260GDC_n48A-n260HDC_n48A-n260I
DC_n5A-n48A-n261ADC_n5A-n48A-n261GDC_n5A-n48A-n261HDC_n5A-n48A-n261IDC_n5A-n48A-n261JDC_n5A-n48A-n261KDC_n5A-n48A-n261LDC_n5A-n48A-n261M,DC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261IDC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261I
DC_n5A-n48A-n261(G-H)DC_n5A-n48A-n261(A-G-H)DC_n5A-n48A-n261(2H)DC_n5A-n48A-n261(H-I)DC_n5A-n48A-n261(A-G-I)DC_n5A-n48A-n261(A-H)DC_n5A-n48A-n261(2G)DC_n5A-n48A-n261(2A-H)DC_n5A-n48A-n261(A-2G)DC_n5A-n48A-n261(G-I)DC_n5A-n48A-n261(2A-I)DC_n5A-n48A-n261(A-G)DC_n5A-n48A-n261(2A-G)DC_n5A-n48A-n261(A-I)DC_n5A-n48A-n261(2A)DC_n5A-n48A-n261(3A),DC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261IDC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261I
DC_n5A-n48(2A)-n261ADC_n5A-n48(2A)-n261GDC_n5A-n48(2A)-n261HDC_n5A-n48(2A)-n261IDC_n5A-n48(2A)-n261JDC_n5A-n48(2A)-n261KDC_n5A-n48(2A)-n261LDC_n5A-n48(2A)-n261M,DC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261IDC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261I
DC_n5A-n48(2A)-n261(G-H)DC_n5A-n48(2A)-n261(A-G-H)DC_n5A-n48(2A)-n261(2H)DC_n5A-n48(2A)-n261(H-I)DC_n5A-n48(2A)-n261(A-G-I)DC_n5A-n48(2A)-n261(A-H)DC_n5A-n48(2A)-n261(2G)DC_n5A-n48(2A)-n261(2A-H)DC_n5A-n48(2A)-n261(A-2G)DC_n5A-n48(2A)-n261(G-I)DC_n5A-n48(2A)-n261(2A-I)DC_n5A-n48(2A)-n261(A-G)DC_n5A-n48(2A)-n261(2A-G)DC_n5A-n48(2A)-n261(A-I)DC_n5A-n48(2A)-n261(2A)DC_n5A-n48(2A)-n261(3A),DC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261IDC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261I
DC_n5A-n48B-n261ADC_n5A-n48B-n261GDC_n5A-n48B-n261HDC_n5A-n48B-n261IDC_n5A-n48B-n261JDC_n5A-n48B-n261KDC_n5A-n48B-n261LDC_n5A-n48B-n261M,DC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261IDC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261I
DC_n5A-n48B-n261(G-H)DC_n5A-n48B-n261(A-G-H)DC_n5A-n48B-n261(2H)DC_n5A-n48B-n261(H-I)DC_n5A-n48B-n261(A-G-I)DC_n5A-n48B-n261(A-H)DC_n5A-n48B-n261(2G)DC_n5A-n48B-n261(2A-H)DC_n5A-n48B-n261(A-2G)DC_n5A-n48B-n261(G-I)DC_n5A-n48B-n261(2A-I)DC_n5A-n48B-n261(A-G)DC_n5A-n48B-n261(2A-G)DC_n5A-n48B-n261(A-I)DC_n5A-n48B-n261(2A)DC_n5A-n48B-n261(3A),DC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261IDC_n48A-n261ADC_n48A-n261GDC_n48A-n261HDC_n48A-n261I
DC_n5A-n66A-n260ADC_n5A-n66A-n260GDC_n5A-n66A-n260HDC_n5A-n66A-n260IDC_n5A-n66A-n260JDC_n5A-n66A-n260KDC_n5A-n66A-n260LDC_n5A-n66A-n260M,DC_n5A-n66ADC_n5A-n260ADC_n5A-n260GDC_n5A-n260HDC_n5A-n260IDC_n5A-n260JDC_n5A-n260KDC_n5A-n260LDC_n5A-n260MDC_n66A-n260ADC_n66A-n260GDC_n66A-n260HDC_n66A-n260IDC_n66A-n260JDC_n66A-n260KDC_n66A-n260LDC_n66A-n260M
DC_n5A-n66A-n261ADC_n5A-n66A-n261GDC_n5A-n66A-n261HDC_n5A-n66A-n261IDC_n5A-n66A-n261JDC_n5A-n66A-n261KDC_n5A-n66A-n261LDC_n5A-n66A-n261M,DC_n5A-n66ADC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261IDC_n66A-n261ADC_n66A-n261GDC_n66A-n261HDC_n66A-n261I
DC_n5A-n66A-n261(2G)DC_n5A-n66A-n261(G-H)DC_n5A-n66A-n261(A-G-H)DC_n5A-n66A-n261(G-I)DC_n5A-n66A-n261(2H)DC_n5A-n66A-n261(A-G-I)DC_n5A-n66A-n261(H-I)DC_n5A-n66A-n261(2A-G)DC_n5A-n66A-n261(2A-H)DC_n5A-n66A-n261(2A-I)DC_n5A-n66A-n261(2A)DC_n5A-n66A-n261(3A)DC_n5A-n66A-n261(A-2G)DC_n5A-n66A-n261(A-G)DC_n5A-n66A-n261(A-H)DC_n5A-n66A-n261(A-I),DC_n5A-n66ADC_n5A-n261ADC_n5A-n261GDC_n5A-n261HDC_n5A-n261IDC_n66A-n261ADC_n66A-n261GDC_n66A-n261HDC_n66A-n261I
