NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n48A-n260I,CA_n48A-n260A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260I,
CA_n48A-n260J,CA_n48A-n260A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260J,
CA_n48A-n260K,CA_n48A-n260A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260K,
CA_n48A-n260L,CA_n48A-n260A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260L,
CA_n48A-n260M,CA_n48A-n260A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260M,
CA_n48A-n260R2,CA_n48A-n260A/R2,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260R2,
CA_n48A-n260R3,CA_n48A-n260A/R2/R3,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260R3,
CA_n48A-n260R4,CA_n48A-n260A/R2/R3/R4,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260R4,
CA_n48A-n260R5,CA_n48A-n260A/R2/R3/R4,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260R5,
CA_n48A-n260R6,CA_n48A-n260A/R2/R3/R4,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260R6,
CA_n48A-n260R7,CA_n48A-n260A/R2/R3/R4,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260R7,
CA_n48A-n260R8,CA_n48A-n260A/R2/R3/R4,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260R8,
CA_n48A-n260R9,CA_n48A-n260A/R2/R3/R4,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260R9,
CA_n48A-n260R10,CA_n48A-n260A/R2/R3/R4,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260R10,
CA_n48(2A)-n260A,CA_n48A-n260A,n48,CA_n48(2A),0
,,n260,"50, 100, 200, 400",
CA_n48(2A)-n260G,CA_n48A-n260A/G,n48,CA_n48(2A),0
,,n260,CA_n260G,
CA_n48(2A)-n260H,CA_n48A-n260A/G/H,n48,CA_n48(2A),0
,,n260,CA_n260H,
CA_n48(2A)-n260I,CA_n48A-n260A/G/H/I,n48,CA_n48(2A),0
,,n260,CA_n260I,
CA_n48(2A)-n260J,CA_n48A-n260A/G/H/I,n48,CA_n48(2A),0
,,n260,CA_n260J,
CA_n48(2A)-n260K,CA_n48A-n260A/G/H/I,n48,CA_n48(2A),0
,,n260,CA_n260K,
CA_n48(2A)-n260L,CA_n48A-n260A/G/H/I,n48,CA_n48(2A),0
,,n260,CA_n260L,
CA_n48(2A)-n260M,CA_n48A-n260A/G/H/I,n48,CA_n48(2A),0
,,n260,CA_n260M,
CA_n48B-n260A,CA_n48A-n260A,n48,CA_n48B,0
,,n260,"50, 100, 200, 400",
CA_n48B-n260G,CA_n48A-n260A/G,n48,CA_n48B,0
,,n260,CA_n260G,
CA_n48B-n260H,CA_n48A-n260A/G/H,n48,CA_n48B,0
,,n260,CA_n260H,
CA_n48B-n260I,CA_n48A-n260A/G/H/I,n48,CA_n48B,0
,,n260,CA_n260I,
CA_n48B-n260J,CA_n48A-n260A/G/H/I,n48,CA_n48B,0
,,n260,CA_n260J,
CA_n48B-n260K,CA_n48A-n260A/G/H/I,n48,CA_n48B,0
,,n260,CA_n260K,
CA_n48B-n260L,CA_n48A-n260A/G/H/I,n48,CA_n48B,0
,,n260,CA_n260L,
CA_n48B-n260M,CA_n48A-n260A/G/H/I,n48,CA_n48B,0
,,n260,CA_n260M,
CA_n48(A-B)-n260A,CA_n48A-n260A,n48,CA_n48(A-B),0
,,n260,"50, 100, 200, 400",
CA_n48(A-B)-n260G,CA_n48A-n260A/G,n48,CA_n48(A-B),0
,,n260,CA_n260G,
CA_n48(A-B)-n260H,CA_n48A-n260A/G/H,n48,CA_n48(A-B),0
,,n260,CA_n260H,
CA_n48(A-B)-n260I,CA_n48A-n260A/G/H/I,n48,CA_n48(A-B),0
,,n260,CA_n260I,
CA_n48(A-B)-n260J,CA_n48A-n260A/G/H/I,n48,CA_n48(A-B),0
,,n260,CA_n260J,
CA_n48(A-B)-n260K,CA_n48A-n260A/G/H/I,n48,CA_n48(A-B),0
,,n260,CA_n260K,
CA_n48(A-B)-n260L,CA_n48A-n260A/G/H/I,n48,CA_n48(A-B),0
,,n260,CA_n260L,
CA_n48(A-B)-n260M,CA_n48A-n260A/G/H/I,n48,CA_n48(A-B),0
,,n260,CA_n260M,
CA_n48A-n261A,CA_n48A-n261A,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,"50, 100, 200, 400",
CA_n48A-n261G,CA_n48A-n261A/G,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261G,
CA_n48A-n261H,CA_n48A-n261A/G/H,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261H,
CA_n48A-n261I,CA_n48A-n261A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261I,
CA_n48A-n261J,CA_n48A-n261A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261J,
CA_n48A-n261K,CA_n48A-n261A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261K,
CA_n48A-n261L,CA_n48A-n261A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261L,
CA_n48A-n261M,CA_n48A-n261A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261M,
CA_n48A-n261(2A),CA_n48A-n261A,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(2A),
CA_n48A-n261(2G),CA_n48A-n261A/G,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(2G),
CA_n48A-n261(2I),CA_n48A-n261A,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(2I),
CA_n48A-n261(2H),CA_n48A-n261A/G/H,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(2H),
CA_n48A-n261(3A),CA_n48A-n261A,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(3A),
CA_n48A-n261(4A),CA_n48A-n261A,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(4A),
CA_n48A-n261(A-G),CA_n48A-n261A/G,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(A-G),
CA_n48A-n261(A-G-H),CA_n48A-n261A/G/H,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(A-G-H),
CA_n48A-n261(A-G-I),CA_n48A-n261A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(A-G-I),
CA_n48A-n261(A-H),CA_n48A-n261A/G/H,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(A-H),
CA_n48A-n261(A-I),CA_n48A-n261A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(A-I),
CA_n48A-n261(G-H),CA_n48A-n261A/G/H,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(G-H),
CA_n48A-n261(H-I),CA_n48A-n261A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(H-I),
CA_n48A-n261(G-I),CA_n48A-n261A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(G-I),
CA_n48A-n261(2A-G),CA_n48A-n261A/G,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(2A-G),
CA_n48A-n261(2A-H),CA_n48A-n261A/G/H,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(2A-H),
CA_n48A-n261(2A-I),CA_n48A-n261A/G/H/I,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(2A-I),
CA_n48A-n261(A-2G),CA_n48A-n261A/G,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n261,CA_n261(A-2G),
CA_n48(2A)-n261A,CA_n48A-n261A,n48,CA_n48(2A),0
,,n261,"50, 100, 200, 400",
CA_n48(2A)-n261G,CA_n48A-n261A/G,n48,CA_n48(2A),0
,,n261,CA_n261G,
CA_n48(2A)-n261H,CA_n48A-n261A/G/H,n48,CA_n48(2A),0
,,n261,CA_n261H,
CA_n48(2A)-n261I,CA_n48A-n261A/G/H/I,n48,CA_n48(2A),0
,,n261,CA_n261I,
CA_n48(2A)-n261J,CA_n48A-n261A/G/H/I,n48,CA_n48(2A),0
,,n261,CA_n261J,
CA_n48(2A)-n261K,CA_n48A-n261A/G/H/I,n48,CA_n48(2A),0
,,n261,CA_n261K,
CA_n48(2A)-n261L,CA_n48A-n261A/G/H/I,n48,CA_n48(2A),0
,,n261,CA_n261L,
CA_n48(2A)-n261M,CA_n48A-n261A/G/H/I,n48,CA_n48(2A),0
,,n261,CA_n261M,
CA_n48(2A)-n261(G-H),CA_n48A-n261A/G/H,n48,CA_n48(2A),0
,,n261,CA_n261(G-H),
,,n48,CA_n48(2A)_BCS1,1
,,n261,CA_n261(G-H),
CA_n48(2A)-n261(2H),CA_n48A-n261A/G/H,n48,CA_n48(2A),0
,,n261,CA_n261(2H),
,,n48,CA_n48(2A)_BCS1,1
,,n261,CA_n261(2H),
CA_n48(2A)-n261(G-I),CA_n48A-n261A/G/H/I,n48,CA_n48(2A),0
,,n261,CA_n261(G-I),
,,n48,CA_n48(2A)_BCS1,1
,,n261,CA_n261(G-I),
CA_n48(2A)-n261(A-G-H),CA_n48A-n261A/G/H,n48,CA_n48(2A),0
,,n261,CA_n261(A-G-H),
,,n48,CA_n48(2A)_BCS1,1
,,n261,CA_n261(A-G-H),
CA_n48(2A)-n261(H-I),CA_n48A-n261A/G/H/I,n48,CA_n48(2A),0
,,n261,CA_n261(H-I),
,,n48,CA_n48(2A)_BCS1,1
,,n261,CA_n261(H-I),
CA_n48(2A)-n261(2A-G),CA_n48A-n261A/G,n48,CA_n48(2A)_BCS1,0
,,n261,CA_n261(2A-G),
CA_n48(2A)-n261(2A-H),CA_n48A-n261A/G/H,n48,CA_n48(2A)_BCS1,0
,,n261,CA_n261(2A-H),
CA_n48(2A)-n261(2A-I),CA_n48A-n261A/G/H/I,n48,CA_n48(2A)_BCS1,0
,,n261,CA_n261(2A-I),
CA_n48(2A)-n261(2A),CA_n48A-n261A,n48,CA_n48(2A) BCS1,0
,,n261,CA_n261(2A),
CA_n48(2A)-n261(3A),CA_n48A-n261A,n48,CA_n48(2A)_BCS1,0
,,n261,CA_n261(3A),
CA_n48(2A)-n261(2G),CA_n48A-n261A/G,n48,CA_n48(2A)_BCS1,0
,,n261,CA_n261(2G),
CA_n48(2A)-n261(A-2G),CA_n48A-n261A/G,n48,CA_n48(2A)_BCS1,0
,,n261,CA_n261(A-2G),
CA_n48(2A)-n261(A-G),CA_n48A-n261A/G,n48,CA_n48(2A)_BCS1,0
,,n261,CA_n261(A-G),
CA_n48(2A)-n261(A-H),CA_n48A-n261A/G/H,n48,CA_n48(2A)_BCS1,0
,,n261,CA_n261(A-H),
CA_n48(2A)-n261(A-I),CA_n48A-n261A/G/H/I,n48,CA_n48(2A)_BCS1,0
,,n261,CA_n261(A-I),
CA_n48(2A)-n261(A-G-I),CA_n48A-n261A/G/H/I,n48,CA_n48(2A),0
,,n261,CA_n261(A-G-I),
,,n48,CA_n48(2A)_BCS1,1
,,n261,CA_n261(A-G-I),
CA_n48B-n261A,CA_n48A-n261A,n48,CA_n48B,0
,,n261,"50, 100, 200, 400",
CA_n48B-n261G,CA_n48A-n261A/G,n48,CA_n48B,0
,,n261,CA_n261G,
CA_n48B-n261H,CA_n48A-n261A/G/H,n48,CA_n48B,0
,,n261,CA_n261H,
CA_n48B-n261I,CA_n48A-n261A/G/H/I,n48,CA_n48B,0
,,n261,CA_n261I,
CA_n48B-n261J,CA_n48A-n261A/G/H/I,n48,CA_n48B,0
,,n261,CA_n261J,
CA_n48B-n261K,CA_n48A-n261A/G/H/I,n48,CA_n48B,0
,,n261,CA_n261K,
CA_n48B-n261L,CA_n48A-n261A/G/H/I,n48,CA_n48B,0
,,n261,CA_n261L,
CA_n48B-n261M,CA_n48A-n261A/G/H/I,n48,CA_n48B,0
,,n261,CA_n261M,
CA_n48B-n261(G-H),CA_n48A-n261A/G/H,n48,CA_n48B,0
,,n261,CA_n261(G-H),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(G-H),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(G-H),
CA_n48B-n261(2H),CA_n48A-n261A/G/H,n48,CA_n48B,0
,,n261,CA_n261(2H),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(2H),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(2H),
CA_n48B-n261(G-I),CA_n48A-n261A/G/H/I,n48,CA_n48B,0
,,n261,CA_n261(G-I),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(G-I),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(G-I),
CA_n48B-n261(A-G-H),CA_n48A-n261A/G/H,n48,CA_n48B,0
,,n261,CA_n261(A-G-H),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(A-G-H),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(A-G-H),
CA_n48B-n261(H-I),CA_n48A-n261A/G/H/I,n48,CA_n48B,0
,,n261,CA_n261(H-I),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(H-I),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(H-I),
CA_n48B-n261(2A-G),CA_n48A-n261A/G,n48,CA_n48B,0
,,n261,CA_n261(2A-G),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(2A-G),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(2A-G),
CA_n48B-n261(2A-H),CA_n48A-n261A/G/H,n48,CA_n48B,0
,,n261,CA_n261(2A-H),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(2A-H),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(2A-H),
CA_n48B-n261(2A-I),CA_n48A-n261A/G/H/I,n48,CA_n48B,0
,,n261,CA_n261(2A-I),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(2A-I),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(2A-I),
CA_n48B-n261(2A),CA_n48A-n261A,n48,CA_n48B,0
,,n261,CA_n261(2A),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(2A),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(2A),
CA_n48B-n261(3A),CA_n48A-n261A,n48,CA_n48B,0
,,n261,CA_n261(3A),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(3A),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(3A),
CA_n48B-n261(2G),CA_n48A-n261A/G,n48,CA_n48B,0
,,n261,CA_n261(2G),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(2G),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(2G),
CA_n48B-n261(A-2G),CA_n48A-n261A/G,n48,CA_n48B,0
,,n261,CA_n261(A-2G),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(A-2G),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(A-2G),
CA_n48B-n261(A-G),CA_n48A-n261A/G,n48,CA_n48B,0
,,n261,CA_n261(A-G),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(A-G),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(A-G),
CA_n48B-n261(A-H),CA_n48A-n261A/G/H,n48,CA_n48B,0
,,n261,CA_n261(A-H),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(A-H),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(A-H),
CA_n48B-n261(A-I),CA_n48A-n261A/G/H/I,n48,CA_n48B,0
,,n261,CA_n261(A-I),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(A-I),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(A-I),
CA_n48B-n261(A-G-I),CA_n48A-n261A/G/H/I,n48,CA_n48B,0
,,n261,CA_n261(A-G-I),
,,n48,CA_n48B_BCS1,1
,,n261,CA_n261(A-G-I),
,,n48,CA_n48B_BCS2,2
,,n261,CA_n261(A-G-I),
CA_n48(A-B)-n261A,CA_n48A-n261A,n48,CA_n48(A-B),0
,,n261,"50, 100, 200, 400",
CA_n48(A-B)-n261G,CA_n48A-n261A/G,n48,CA_n48(A-B),0
,,n261,CA_n261G,
CA_n48(A-B)-n261H,CA_n48A-n261A/G/H,n48,CA_n48(A-B),0
,,n261,CA_n261H,
CA_n48(A-B)-n261I,CA_n48A-n261A/G/H/I,n48,CA_n48(A-B),0
,,n261,CA_n261I,
CA_n48(A-B)-n261J,CA_n48A-n261A/G/H/I,n48,CA_n48(A-B),0
,,n261,CA_n261J,
CA_n48(A-B)-n261K,CA_n48A-n261A/G/H/I,n48,CA_n48(A-B),0
,,n261,CA_n261K,
CA_n48(A-B)-n261L,CA_n48A-n261A/G/H/I,n48,CA_n48(A-B),0
,,n261,CA_n261L,
CA_n48(A-B)-n261M,CA_n48A-n261A/G/H/I,n48,CA_n48(A-B),0
,,n261,CA_n261M,
CA_n48(A-B)-n261(A-G),CA_n48A-n261A/G,n48,CA_n48(A-B),0
,,n261,CA_n261(A-G),
CA_n48(A-B)-n261(A-H),CA_n48A-n261A/G/H,n48,CA_n48(A-B),0
,,n261,CA_n261(A-H),
CA_n48(A-B)-n261(G-H),CA_n48A-n261A/G/H,n48,CA_n48(A-B),0
,,n261,CA_n261(G-H),
CA_n48(A-B)-n261(2A),CA_n48A-n261A,n48,CA_n48(A-B),0
,,n261,CA_n261(2A),
CA_n48(A-B)-n261(3A),CA_n48A-n261A,n48,CA_n48(A-B),0
,,n261,CA_n261(3A),
CA_n48(A-B)-n261(2G),CA_n48A-n261A/G,n48,CA_n48(A-B),0
,,n261,CA_n261(2G),
CA_n48(A-B)-n261(2H),CA_n48A-n261A/G/H,n48,CA_n48(A-B),0
,,n261,CA_n261(2H),
CA_n48(A-B)-n261(A-I),CA_n48A-n261A/G/H/I,n48,CA_n48(A-B),0
,,n261,CA_n261(A-I),
CA_n48(A-B)-n261(G-I),CA_n48A-n261A/G/H/I,n48,CA_n48(A-B),0
,,n261,CA_n261(G-I),
CA_n48(A-B)-n261(2A-G),CA_n48A-n261A/G,n48,CA_n48(A-B),0
,,n261,CA_n261(2A-G),
CA_n48(A-B)-n261(2A-H),CA_n48A-n261A/G/H,n48,CA_n48(A-B),0
,,n261,CA_n261(2A-H),
CA_n48(A-B)-n261(A-2G),CA_n48A-n261A/G,n48,CA_n48(A-B),0
,,n261,CA_n261(A-2G),
CA_n48(A-B)-n261(A-G-H),CA_n48A-n261A/G/H,n48,CA_n48(A-B),0
,,n261,CA_n261(A-G-H),
CA_n48(A-B)-n261(H-I),CA_n48A-n261A/G/H/I,n48,CA_n48(A-B),0
,,n261,CA_n261(H-I),
CA_n48(A-B)-n261(2A-I),CA_n48A-n261A/G/H/I,n48,CA_n48(A-B),0
,,n261,CA_n261(2A-I),
CA_n48(A-B)-n261(A-G-I),CA_n48A-n261A/G/H/I,n48,CA_n48(A-B),0
,,n261,CA_n261(A-G-I),
CA_n48(3A)-n260A,CA_n48A-n260A,n48,CA_n48(3A),0
,,n260,"50, 100, 200, 400",
CA_n48(3A)-n260G,CA_n48A-n260A/G,n48,CA_n48(3A),0
,,n260,CA_n260G,
CA_n48(3A)-n260H,CA_n48A-n260A/G/H,n48,CA_n48(3A),0
,,n260,CA_n260H,
CA_n48(3A)-n260I,CA_n48A-n260A/G/H/I,n48,CA_n48(3A),0
,,n260,CA_n260I,
CA_n48(3A)-n260J,CA_n48A-n260A/G/H/I,n48,CA_n48(3A),0
,,n260,CA_n260J,
CA_n48(3A)-n260K,CA_n48A-n260A/G/H/I,n48,CA_n48(3A),0
,,n260,CA_n260K,
CA_n48(3A)-n260L,CA_n48A-n260A/G/H/I,n48,CA_n48(3A),0
,,n260,CA_n260L,
CA_n48(3A)-n260M,CA_n48A-n260A/G/H/I,n48,CA_n48(3A),0
,,n260,CA_n260M,
CA_n48(4A)-n260A,CA_n48A-n260A,n48,CA_n48(4A),0
,,n260,"50, 100, 200, 400",
CA_n48(4A)-n260G,CA_n48A-n260A/G,n48,CA_n48(4A),0
,,n260,CA_n260G,
CA_n48(4A)-n260H,CA_n48A-n260A/G/H,n48,CA_n48(4A),0
,,n260,CA_n260H,
CA_n48(4A)-n260I,CA_n48A-n260A/G/H/I,n48,CA_n48(4A),0
,,n260,CA_n260I,
CA_n48(4A)-n260J,CA_n48A-n260A/G/H/I,n48,CA_n48(4A),0
,,n260,CA_n260J,
CA_n48(4A)-n260K,CA_n48A-n260A/G/H/I,n48,CA_n48(4A),0
,,n260,CA_n260K,
CA_n48(4A)-n260L,CA_n48A-n260A/G/H/I,n48,CA_n48(4A),0
,,n260,CA_n260L,
CA_n48(4A)-n260M,CA_n48A-n260A/G/H/I,n48,CA_n48(4A),0
,,n260,CA_n260M,
CA_n48C-n260A,CA_n48A-n260A,n48,CA_n48C,0
,,n260,"50, 100, 200, 400",
CA_n48C-n260G,CA_n48A-n260A/G,n48,CA_n48C,0
,,n260,CA_n260G,
CA_n48C-n260H,CA_n48A-n260A/G/H,n48,CA_n48C,0
,,n260,CA_n260H,
CA_n48C-n260I,CA_n48A-n260A/G/H/I,n48,CA_n48C,0
,,n260,CA_n260I,
CA_n48C-n260J,CA_n48A-n260A/G/H/I,n48,CA_n48C,0
,,n260,CA_n260J,
CA_n48C-n260K,CA_n48A-n260A/G/H/I,n48,CA_n48C,0
,,n260,CA_n260K,
CA_n48C-n260L,CA_n48A-n260A/G/H/I,n48,CA_n48C,0
,,n260,CA_n260L,
CA_n48C-n260M,CA_n48A-n260A/G/H/I,n48,CA_n48C,0
,,n260,CA_n260M,
CA_n48A-n263A,CA_n48A-n263A,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n263,"400, 800, 1600, 2000",
CA_n48A-n263G,CA_n48A-n263A,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n263,CA_n263G,
CA_n48A-n263H,CA_n48A-n263A,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n263,CA_n263H,
CA_n48A-n263I,CA_n48A-n263A,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n263,CA_n263I,
CA_n48A-n263J,CA_n48A-n263A,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n263,CA_n263J,
CA_n48A-n263K,CA_n48A-n263A,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n263,CA_n263K,
CA_n48A-n263L,CA_n48A-n263A,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n263,CA_n263L,
CA_n48A-n263M,CA_n48A-n263A,n48,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n263,CA_n263M,
CA_n48(2A)-n263A,CA_n48A-n263A,n48,CA_n48(2A),0
,,n263,"400, 800, 1600, 2000",
CA_n48(2A)-n263G,CA_n48A-n263A,n48,CA_n48(2A),0
,,n263,CA_n263G,
CA_n48(2A)-n263H,CA_n48A-n263A,n48,CA_n48(2A),0
,,n263,CA_n263H,
CA_n48(2A)-n263I,CA_n48A-n263A,n48,CA_n48(2A),0
,,n263,CA_n263I,
CA_n48(2A)-n263J,CA_n48A-n263A,n48,CA_n48(2A),0
,,n263,CA_n263J,
CA_n48(2A)-n263K,CA_n48A-n263A,n48,CA_n48(2A),0
,,n263,CA_n263K,
CA_n48(2A)-n263L,CA_n48A-n263A,n48,CA_n48(2A),0
,,n263,CA_n263L,
