NR CA configuration,Uplink configuration,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
,,n257,CA_n257I,
CA_n1A-n5A-n78A-n258A,CA_n1A-n5ACA_n1A-n78ACA_n1A-n258ACA_n5A-n78ACA_n5A-n258ACA_n78A-n258A,n1,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20, 25",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,"50, 100, 200, 400",
CA_n1A-n8A-n77A-n257A,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,"50, 100, 200, 400",
CA_n1A-n8A-n77A-n257G,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257G,
CA_n1A-n8A-n77A-n257H,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90,100",
,,n257,CA_n257H,
CA_n1A-n8A-n77A-n257I,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90,100",
,,n257,CA_n257I,
CA_n1A-n8A-n77A-n257J,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257J,
CA_n1A-n8A-n77A-n257K,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257K,
CA_n1A-n8A-n77A-n257L,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257L,
CA_n1A-n8A-n77A-n257M,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257M,
CA_n1A-n8A-n77(2A)-n257A,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,"50, 100, 200, 400",
CA_n1A-n8A-n77(2A)-n257G,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257G,
CA_n1A-n8A-n77(2A)-n257H,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257H,
CA_n1A-n8A-n77(2A)-n257I,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257I,
CA_n1A-n8A-n77(2A)-n257J,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257J,
CA_n1A-n8A-n77(2A)-n257K,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257K,
CA_n1A-n8A-n77(2A)-n257L,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257L,
CA_n1A-n8A-n77(2A)-n257M,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257M,
CA_n1A-n8A-n78A-n257A,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n78,"10,15,20, 40, 50, 60, 80, 90, 100",
,,n257,"50, 100, 200, 400",
CA_n1A-n8A-n78A-n257D,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n78,"10,15,20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257D,
CA_n1A-n8A-n78A-n257E,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n78,"10,15,20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257E,
CA_n1A-n8A-n78A-n257F,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n78,"10,15,20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257F,
CA_n1A-n8A-n78A-n257G,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n78,"10,15,20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257G,
CA_n1A-n8A-n78A-n257H,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n78,"10,15,20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257H,
CA_n1A-n8A-n78A-n257I,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n78,"10,15,20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257I,
CA_n1A-n8A-n78A-n257J,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n78,"10,15,20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257J,
CA_n1A-n8A-n78A-n257K,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n78,"10,15,20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257K,
CA_n1A-n8A-n78A-n257L,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n78,"10,15,20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257L,
CA_n1A-n8A-n78A-n257M,-,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n78,"10,15,20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257M,
CA_n1A-n28A-n41A-n257A,CA_n1A-n28ACA_n1A-n41ACA_n1A-n257ACA_n28A-n41ACA_n28A-n257ACA_n41A-n257A,n1,"5, 10, 15, 20",0
,,n28,"5, 10",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n257,"50, 100, 200, 400",
CA_n1A-n28A-n41A-n257G,CA_n1A-n28ACA_n1A-n41ACA_n1A-n257A/GCA_n28A-n41ACA_n28A-n257A/GCA_n41A-n257A/G,n1,"5, 10, 15, 20",0
,,n28,"5, 10",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257G,
CA_n1A-n28A-n41A-n257H,CA_n1A-n28ACA_n1A-n41ACA_n1A-n257A/G/HCA_n28A-n41ACA_n28A-n257A/G/HCA_n41A-n257A/G/H,n1,"5, 10, 15, 20",0
,,n28,"5, 10",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257H,
CA_n1A-n28A-n41A-n257I,CA_n1A-n28ACA_n1A-n41ACA_n1A-n257A/G/H/ICA_n28A-n41ACA_n28A-n257A/G/H/ICA_n41A-n257A/G/H/I,n1,"5, 10, 15, 20",0
,,n28,"5, 10",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257I,
CA_n1A-n28A-n77A-n257A,CA_n1A-n28ACA_n1A-n77ACA_n1A-n257ACA_n28A-n77ACA_n28A-n257ACA_n77A-n257A,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,"50, 100, 200, 400",
CA_n1A-n28A-n77A-n257G,CA_n1A-n28ACA_n1A-n77ACA_n1A-n257A/GCA_n28A-n77ACA_n28A-n257A/GCA_n77A-n257A/G,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257G,
CA_n1A-n28A-n77A-n257H,CA_n1A-n28ACA_n1A-n77ACA_n1A-n257A/G/HCA_n28A-n77ACA_n28A-n257A/G/HCA_n77A-n257A/G/H,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257H,
CA_n1A-n28A-n77A-n257I,CA_n1A-n28ACA_n1A-n77ACA_n1A-n257A/G/H/ICA_n28A-n77ACA_n28A-n257A/G/H/ICA_n77A-n257A/G/H/I,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257I,
CA_n1A-n28A-n77(2A)-n257A,CA_n1A-n28ACA_n1A-n77ACA_n1A-n257ACA_n28A-n77ACA_n28A-n257ACA_n77A-n257A,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,"50, 100, 200, 400",
CA_n1A-n28A-n77(2A)-n257G,CA_n1A-n28ACA_n1A-n77ACA_n1A-n257A/GCA_n28A-n77ACA_n28A-n257A/GCA_n77A-n257A/G,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257G,
CA_n1A-n28A-n77(2A)-n257H,CA_n1A-n28ACA_n1A-n77ACA_n1A-n257A/G/HCA_n28A-n77ACA_n28A-n257A/G/HCA_n77A-n257A/G/H,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257H,
CA_n1A-n28A-n77(2A)-n257I,CA_n1A-n28ACA_n1A-n77ACA_n1A-n257A/G/H/ICA_n28A-n77ACA_n28A-n257A/G/H/ICA_n77A-n257A/G/H/I,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257I,
CA_n1A-n28A-n79A-n257A,CA_n1A-n28ACA_n1A-n79ACA_n1A-n257ACA_n28A-n79ACA_n28A-n257ACA_n79A-n257A,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n79,"40, 50, 60, 80, 100",
,,n257,"50, 100, 200, 400",
CA_n1A-n28A-n79A-n257G,CA_n1A-n28ACA_n1A-n79ACA_n1A-n257A/GCA_n28A-n79ACA_n28A-n257A/GCA_n79A-n257A/G,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257G,
CA_n1A-n28A-n79A-n257H,CA_n1A-n28ACA_n1A-n79ACA_n1A-n257A/G/HCA_n28A-n79ACA_n28A-n257A/G/HCA_n79A-n257A/G/H,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257H,
CA_n1A-n28A-n79A-n257I,CA_n1A-n28ACA_n1A-n79ACA_n1A-n257A/G/H/ICA_n28A-n79ACA_n28A-n257A/G/H/ICA_n79A-n257A/G/H/I,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257I,
CA_n1A-n41A-n77A-n257A,CA_n1A-n41ACA_n1A-n77ACA_n1A-n257ACA_n41A-n77ACA_n41A-n257ACA_n77A-n257A,n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,"50, 100, 200, 400",
CA_n1A-n41A-n77A-n257G,CA_n1A-n41ACA_n1A-n77ACA_n1A-n257A/GCA_n41A-n77ACA_n41A-n257A/GCA_n77A-n257A/G,n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257G,
CA_n1A-n41A-n77A-n257H,CA_n1A-n41ACA_n1A-n77ACA_n1A-n257A/G/HCA_n41A-n77ACA_n41A-n257A/G/HCA_n77A-n257A/G/H,n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257H,
CA_n1A-n41A-n77A-n257I,CA_n1A-n41ACA_n1A-n77ACA_n1A-n257A/G/H/ICA_n41A-n77ACA_n41A-n257A/G/H/ICA_n77A-n257A/G/H/I,n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257I,
CA_n1A-n41A-n77(2A)-n257A,CA_n1A-n41ACA_n1A-n77ACA_n1A-n257ACA_n41A-n77ACA_n41A-n257ACA_n77A-n257A,n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(2A),
,,n257,"50, 100, 200, 400",
CA_n1A-n41A-n77(2A)-n257G,CA_n1A-n41ACA_n1A-n77ACA_n1A-n257A/GCA_n41A-n77ACA_n41A-n257A/GCA_n77A-n257A/G,n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(2A),
,,n257,CA_n257G,
CA_n1A-n41A-n77(2A)-n257H,CA_n1A-n41ACA_n1A-n77ACA_n1A-n257A/G/HCA_n41A-n77ACA_n41A-n257A/G/HCA_n77A-n257A/G/H,n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(2A),
,,n257,CA_n257H,
CA_n1A-n41A-n77(2A)-n257I,CA_n1A-n41ACA_n1A-n77ACA_n1A-n257A/G/H/ICA_n41A-n77ACA_n41A-n257A/G/H/ICA_n77A-n257A/G/H/I,n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(2A),
,,n257,CA_n257I,
CA_n1A-n41A-n79A-n257A,CA_n1A-n41ACA_n1A-n79ACA_n1A-n257ACA_n41A-n79ACA_n41A-n257ACA_n79A-n257A,n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,"50, 100, 200, 400",
CA_n1A-n41A-n79A-n257G,CA_n1A-n41ACA_n1A-n79ACA_n1A-n257A/GCA_n41A-n79ACA_n41A-n257A/GCA_n79A-n257A/G,n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257G,
CA_n1A-n41A-n79A-n257H,CA_n1A-n41ACA_n1A-n79ACA_n1A-n257A/G/HCA_n41A-n79ACA_n41A-n257A/G/HCA_n79A-n257A/G/H,n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257H,
CA_n1A-n41A-n79A-n257I,CA_n1A-n41ACA_n1A-n79ACA_n1A-n257A/G/H/ICA_n41A-n79ACA_n41A-n257A/G/H/ICA_n79A-n257A/G/H/I,n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257I,
CA_n1A-n77A-n79A-n257A,CA_n1A-n77ACA_n1A-n79ACA_n1A-n257ACA_n77A-n79ACA_n77A-n257ACA_n79A-n257A,n1,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,"50, 100, 200, 400",
CA_n1A-n77A-n79A-n257G,CA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/GCA_n77A-n79ACA_n77A-n257A/GCA_n79A-n257A/GCA_n257G,n1,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257G,
CA_n1A-n77A-n79A-n257H,CA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/G/HCA_n77A-n79ACA_n77A-n257A/G/HCA_n79A-n257A/G/HCA_n257G/H,n1,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257H,
CA_n1A-n77A-n79A-n257I,CA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/G/H/ICA_n77A-n79ACA_n77A-n257A/G/H/ICA_n79A-n257A/G/H/ICA_n257G/H/I,n1,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257I,
CA_n1A-n77(2A)-n79A-n257A,CA_n1A-n77ACA_n1A-n79ACA_n1A-n257ACA_n77A-n79ACA_n77A-n257ACA_n79A-n257A,n1,"5, 10, 15, 20",0
,,n77,CA_n77(2A),
,,n79,"40, 50, 60, 80, 100",
,,n257,"50, 100, 200, 400",
CA_n1A-n77(2A)-n79A-n257G,CA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/GCA_n77A-n79ACA_n77A-n257A/GCA_n79A-n257A/G,n1,"5, 10, 15, 20",0
,,n77,CA_n77(2A),
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257G,
CA_n1A-n77(2A)-n79A-n257H,CA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/G/HCA_n77A-n79ACA_n77A-n257A/G/HCA_n79A-n257A/G/H,n1,"5, 10, 15, 20",0
,,n77,CA_n77(2A),
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257H,
CA_n1A-n77(2A)-n79A-n257I,CA_n1A-n77ACA_n1A-n79ACA_n1A-n257A/G/H/ICA_n77A-n79ACA_n77A-n257A/G/H/ICA_n79A-n257A/G/H/I,n1,"5, 10, 15, 20",0
,,n77,CA_n77(2A),
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257I,
CA_n1A-n78A-n79A-n257A,CA_n1A-n78ACA_n1A-n79ACA_n1A-n257ACA_n78A-n79ACA_n78A-n257ACA_n79A-n257A,n1,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,"50, 100, 200, 400",
