NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n25A-n260(5A),CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260(5A),
CA_n25A-n260(6A),CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260(6A),
CA_n25A-n260(7A),CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260(7A),
CA_n25A-n260(8A),CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260(8A),
CA_n25A-n260G,CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260G,
,CA_n25A-n260A/G,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260G,
CA_n25A-n260H,CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260H,
,CA_n25A-n260A/G/H,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260H,
CA_n25A-n260I,CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260I,
,CA_n25A-n260A/G/H/I,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260I,
CA_n25A-n260J,CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260J,
,CA_n25A-n260A/G/H/I/J,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260J,
CA_n25A-n260K,CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260K,
,CA_n25A-n260A/G/H/I/J/K,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260K,
CA_n25A-n260L,CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260L,
,CA_n25A-n260A/G/H/I/J/K/L,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260L,
CA_n25A-n260M,CA_n25A-n260A,n25,"5, 10, 15, 20",0
,,n260,CA_n260M,
,CA_n25A-n260A/G/H/I/J/K/L/M,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n260,CA_n260M,
CA_n25A-n260O,CA_n25A-n260A/O,n25,"5, 10, 15, 20, 25, 30, 35, 40, 45",0
,,n260,CA_n260O,
CA_n25A-n260P,CA_n25A-n260A/O/P,n25,"5, 10, 15, 20, 25, 30, 35, 40, 45",0
,,n260,CA_n260P,
CA_n25A-n260Q,CA_n25A-n260A/O/P/Q,n25,"5, 10, 15, 20, 25, 30, 35, 40, 45",0
,,n260,CA_n260Q,
CA_n25A-n261A,CA_n25A-n261A,n25,"5, 10, 15, 20",0
,,n261,"50, 100, 200, 400",
,,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,See n261 channel bandwidths in Table 5.3.5-1,
CA_n25A-n261G,CA_n25A-n261A/G,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261G,
CA_n25A-n261H,CA_n25A-n261A/G/H,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261H,
CA_n25A-n261I,CA_n25A-n261A/G/H/I,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n261I,
CA_n25A-n261(2A),CA_n25A-n261A,n25,"5, 10, 15, 20",0
,,n261,CA_n261(2A),
,,n25,See n25 channel bandwidths in Table 5.3.5-1,4 and 5
,,n261,CA_n261(2A),
CA_n26A-n258A,CA_n26A-n258A,n26,"5, 10, 15, 20, 25, 30",0
,,n258,"50, 100, 200, 400",
CA_n26A-n258B,CA_n26A-n258A,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258B,
CA_n26A-n258C,CA_n26A-n258A,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258C,
CA_n26A-n258D,CA_n26A-n258A,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258D,
CA_n26A-n258E,CA_n26A-n258A,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258E,
CA_n26A-n258F,CA_n26A-n258A,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258F,
CA_n26A-n258G,CA_n26A-n258A/G,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258G,
CA_n26A-n258H,CA_n26A-n258A/G/H,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258H,
CA_n26A-n258I,CA_n26A-n258A/G/H/I,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258I,
CA_n26A-n258J,CA_n26A-n258A/G/H/I,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258J,
CA_n26A-n258K,CA_n26A-n258A/G/H/I,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258K,
CA_n26A-n258L,CA_n26A-n258A/G/H/I,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258L,
CA_n26A-n258M,CA_n26A-n258A/G/H/I,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258M,
CA_n26(2A)-n258A,CA_n26A-n258A,n26,CA_n26(2A),0
,,n258,"50, 100, 200, 400",
CA_n26(2A)-n258B,CA_n26A-n258A,n26,CA_n26(2A),0
,,n258,CA_n258B,
CA_n26(2A)-n258C,CA_n26A-n258A,n26,CA_n26(2A),0
,,n258,CA_n258C,
CA_n26(2A)-n258D,CA_n26A-n258A,n26,CA_n26(2A),0
,,n258,CA_n258D,
CA_n26(2A)-n258E,CA_n26A-n258A,n26,CA_n26(2A),0
,,n258,CA_n258E,
CA_n26(2A)-n258F,CA_n26A-n258A,n26,CA_n26(2A),0
,,n258,CA_n258F,
CA_n26(2A)-n258G,CA_n26A-n258A/G,n26,CA_n26(2A),0
,,n258,CA_n258G,
CA_n26(2A)-n258H,CA_n26A-n258A/G/H,n26,CA_n26(2A),0
,,n258,CA_n258H,
CA_n26(2A)-n258I,CA_n26A-n258A/G/H/I,n26,CA_n26(2A),0
,,n258,CA_n258I,
CA_n26(2A)-n258J,CA_n26A-n258A/G/H/I,n26,CA_n26(2A),0
,,n258,CA_n258J,
CA_n26(2A)-n258K,CA_n26A-n258A/G/H/I,n26,CA_n26(2A),0
,,n258,CA_n258K,
CA_n26(2A)-n258L,CA_n26A-n258A/G/H/I,n26,CA_n26(2A),0
,,n258,CA_n258L,
CA_n26(2A)-n258M,CA_n26A-n258A/G/H/I,n26,CA_n26(2A),0
,,n258,CA_n258M,
CA_n26A-n258R2,CA_n26A-n258A/R2,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R2,
CA_n26A-n258R3,CA_n26A-n258A/R2/R3,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R3,
CA_n26A-n258R4,CA_n26A-n258A/R2/R3/R4,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R4,
CA_n26A-n258R5,CA_n26A-n258A/R2/R3/R4,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R5,
CA_n26A-n258R6,CA_n26A-n258A/R2/R3/R4,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R6,
CA_n26A-n258R7,CA_n26A-n258A/R2/R3/R4,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R7,
CA_n26A-n258R8,CA_n26A-n258A/R2/R3/R4,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R8,
CA_n26A-n258R9,CA_n26A-n258A/R2/R3/R4,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R9,
CA_n26A-n258R10,CA_n26A-n258A/R2/R3/R4,n26,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R10,
