NR CA configuration,Uplink configuration,,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
,,,n77,CA_n77C,
,,,n257,CA_n257F,
CA_n40A-n77C-n257G,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,CA_n77C,
,,,n257,CA_n257G,
CA_n40A-n77C-n257H,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,CA_n77C,
,,,n257,CA_n257H,
CA_n40A-n77C-n257I,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,CA_n77C,
,,,n257,CA_n257I,
CA_n40A-n77C-n257J,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,CA_n77C,
,,,n257,CA_n257J,
CA_n40A-n77C-n257K,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,CA_n77C,
,,,n257,CA_n257K,
CA_n40A-n77C-n257L,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,CA_n77C,
,,,n257,CA_n257L,
CA_n40A-n77C-n257M,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,CA_n77C,
,,,n257,CA_n257M,
CA_n40B-n77A-n257A,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,"50, 100, 200, 400",
CA_n40B-n77A-n257D,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257D,
CA_n40B-n77A-n257E,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257E,
CA_n40B-n77A-n257F,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257F,
CA_n40B-n77A-n257G,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257G,
CA_n40B-n77A-n257H,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257H,
CA_n40B-n77A-n257I,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257I,
CA_n40B-n77A-n257J,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257J,
CA_n40B-n77A-n257K,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257K,
CA_n40B-n77A-n257L,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257L,
CA_n40B-n77A-n257M,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257M,
CA_n40B-n77C-n257A,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,CA_n77C,
,,,n257,"50, 100, 200, 400",
CA_n40B-n77C-n257D,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,CA_n77C,
,,,n257,CA_n257D,
CA_n40B-n77C-n257E,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,CA_n77C,
,,,n257,CA_n257E,
CA_n40B-n77C-n257F,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,CA_n77C,
,,,n257,CA_n257F,
CA_n40B-n77C-n257G,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,CA_n77C,
,,,n257,CA_n257G,
CA_n40B-n77C-n257H,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,CA_n77C,
,,,n257,CA_n257H,
CA_n40B-n77C-n257I,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,CA_n77C,
,,,n257,CA_n257I,
CA_n40B-n77C-n257J,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,CA_n77C,
,,,n257,CA_n257J,
CA_n40B-n77C-n257K,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,CA_n77C,
,,,n257,CA_n257K,
CA_n40B-n77C-n257L,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,CA_n77C,
,,,n257,CA_n257L,
CA_n40B-n77C-n257M,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,CA_n40B,0
,,,n77,CA_n77C,
,,,n257,CA_n257M,
CA_n40A-n78A-n257A,CA_n40A-n78ACA_n40A-n257ACA_n78A-n257A,,n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257A,
CA_n40A-n78A-n257D,CA_n40A-n257A/DCA_n78A-n257A/D,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257D,
CA_n40A-n78A-n257E,CA_n78A-n257A/D/ECA_n40A-n257A/D/E,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257E,
CA_n40A-n78A-n257F,CA_n78A-n257A/D/E/FCA_n40A-n257A/D/E/F,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257F,
CA_n40A-n78A-n257G,CA_n78A-n257A/GCA_n40A-n257A/G,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257G,
CA_n40A-n78A-n257H,CA_n78A-n257A/G/HCA_n40A-n257A/G/H,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257H,
CA_n40A-n78A-n257I,CA_n78A-n257A/G/H/ICA_n40A-n257A/G/H/I,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257I,
CA_n40A-n78A-n257J,CA_n78A-n257A/G/H/I/JCA_n40A-n257A/G/H/I/J,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257J,
CA_n40A-n78A-n257K,CA_n78A-n257A/G/H/I/J/KCA_n40A-n257A/G/H/I/J/K,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257K,
CA_n40A-n78A-n257L,CA_n78A-n257A/G/H/I/J/K/LCA_n40A-n257A/G/H/I/J/K/L,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257L,
CA_n40A-n78A-n257M,CA_n78A-n257A/G/H/I/J/K/L/MCA_n40A-n257A/G/H/I/J/K/L/M,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257M,
CA_n40A-n78C-n257A,CA_n40A-n257ACA_n78A-n257A,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78C,
,,n257,,CA_n257A,
CA_n40A-n78C-n257D,CA_n40A-n257A/DCA_n78A-n257A/D,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78C,
,,n257,,CA_n257D,
CA_n40A-n78C-n257E,CA_n78A-n257A/D/ECA_n40A-n257A/D/E,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78C,
,,n257,,CA_n257E,
CA_n40A-n78C-n257F,CA_n78A-n257A/D/E/FCA_n40A-n257A/D/E/F,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78C,
,,n257,,CA_n257F,
CA_n40A-n78C-n257G,CA_n78A-n257A/GCA_n40A-n257A/G,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78C,
,,n257,,CA_n257G,
CA_n40A-n78C-n257H,CA_n78A-n257A/G/HCA_n40A-n257A/G/H,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78C,
,,n257,,CA_n257H,
CA_n40A-n78C-n257I,CA_n78A-n257A/G/H/ICA_n40A-n257A/G/H/I,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78C,
,,n257,,CA_n257I,
CA_n40A-n78C-n257J,CA_n78A-n257A/G/H/I/JCA_n40A-n257A/G/H/I/J,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78C,
,,n257,,CA_n257J,
CA_n40A-n78C-n257K,CA_n78A-n257A/G/H/I/J/KCA_n40A-n257A/G/H/I/J/K,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78C,
,,n257,,CA_n257K,
CA_n40A-n78C-n257L,CA_n78A-n257A/G/H/I/J/K/LCA_n40A-n257A/G/H/I/J/K/L,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78C,
,,n257,,CA_n257L,
CA_n40A-n78C-n257M,CA_n78A-n257A/G/H/I/J/K/L/MCA_n40A-n257A/G/H/I/J/K/L/M,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78C,
,,n257,,CA_n257M,
CA_n40A-n78(2A)-n257A,CA_n40A-n257ACA_n78A-n257A,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,"50, 100, 200, 400",
CA_n40A-n78(2A)-n257D,CA_n40A-n257A/DCA_n78A-n257A/D,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257D,
CA_n40A-n78(2A)-n257E,CA_n78A-n257A/D/ECA_n40A-n257A/D/E,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257E,
CA_n40A-n78(2A)-n257F,CA_n78A-n257A/D/E/FCA_n40A-n257A/D/E/F,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257F,
CA_n40A-n78(2A)-n257G,CA_n78A-n257A/GCA_n40A-n257A/G,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257G,
CA_n40A-n78(2A)-n257H,CA_n78A-n257A/G/HCA_n40A-n257A/G/H,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257H,
CA_n40A-n78(2A)-n257I,CA_n78A-n257A/G/H/ICA_n40A-n257A/G/H/I,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257I,
CA_n40A-n78(2A)-n257J,CA_n78A-n257A/G/H/I/JCA_n40A-n257A/G/H/I/J,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257J,
CA_n40A-n78(2A)-n257K,CA_n78A-n257A/G/H/I/J/K CA_n40A-n257A/G/H/I/J/K,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257K,
CA_n40A-n78(2A)-n257L,CA_n78A-n257A/G/H/I/J/K/L CA_n40A-n257A/G/H/I/J/K/L,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257L,
CA_n40A-n78(2A)-n257M,CA_n78A-n257A/G/H/I/J/K/L/MCA_n40A-n257A/G/H/I/J/K/L/M,n40,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257M,
CA_n40B-n78A-n257A,CA_n40BCA_n40B-n257ACA_n78A-n257A,n40,,CA_n40B_BCS1,0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,"50, 100, 200, 400",
CA_n40B-n78A-n257D,CA_n40BCA_n40B-n257A/DCA_n78A-n257A/D,n40,,CA_n40B_BCS1,0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257D,
CA_n40B-n78A-n257E,CA_n40BCA_n78A-n257A/D/ECA_n40B-n257A/D/E,n40,,CA_n40B_BCS1,0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257E,
CA_n40B-n78A-n257F,CA_n40BCA_n78A-n257A/D/E/FCA_n40B-n257A/D/E/F,n40,,CA_n40B_BCS1,0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257F,
CA_n40B-n78A-n257G,CA_n78A-n257A/GCA_n40B-n257A/G,n40,,CA_n40B_BCS1,0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257G,
CA_n40B-n78A-n257H,CA_n40BCA_n78A-n257A/G/HCA_n40B-n257A/G/H,n40,,CA_n40B_BCS1,0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257H,
CA_n40B-n78A-n257I,CA_n40BCA_n78A-n257A/G/H/ICA_n40B-n257A/G/H/I,n40,,CA_n40B_BCS1,0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257I,
CA_n40B-n78A-n257J,CA_n40BCA_n78A-n257A/G/H/I/JCA_n40B-n257A/G/H/I/J,n40,,CA_n40B_BCS1,0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257J,
CA_n40B-n78A-n257K,CA_n40BCA_n78A-n257A/G/H/I/J/K CA_n40B-n257A/G/H/I/J/K,n40,,CA_n40B_BCS1,0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257K,
CA_n40B-n78A-n257L,CA_n40BCA_n78A-n257A/D/E/F/G/H/I/J/K/L CA_n40B-n257A/D/E/F/G/H/I/J/K/L,n40,,CA_n40B_BCS1,0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257L,
CA_n40B-n78A-n257M,CA_n40BCA_n78A-n257A/D/E/F/G/H/I/J/K/L/MCA_n40B-n257A/D/E/F/G/H/I/J/K/L/M,n40,,CA_n40B_BCS1,0
,,n78,,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",
,,n257,,CA_n257M,
CA_n40B-n78(2A)-n257A,CA_n40BCA_n78ACA_n40B-n257ACA_n78A-n257A,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,"50, 100, 200, 400",
CA_n40B-n78(2A)-n257D,CA_n40BCA_n78ACA_n40B-n257A/DCA_n78A-n257A/D,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257D,
CA_n40B-n78(2A)-n257E,CA_n40BCA_n78ACA_n78A-n257A/D/ECA_n40B-n257A/D/E,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257E,
CA_n40B-n78(2A)-n257F,CA_n40BCA_n78ACA_n78A-n257A/D/E/FCA_n40B-n257A/D/E/F,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257F,
CA_n40B-n78(2A)-n257G,CA_n40BCA_n78ACA_n78A-n257A/GCA_n40B-n257A/G,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257G,
CA_n40B-n78(2A)-n257H,CA_n40BCA_n78ACA_n78A-n257A/G/HCA_n40B-n257A/G/H,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257H,
CA_n40B-n78(2A)-n257I,CA_n40BCA_n78ACA_n78A-n257A/G/H/ICA_n40B-n257A/G/H/I,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257I,
CA_n40B-n78(2A)-n257J,CA_n40BCA_n78ACA_n78A-n257A/G/H/I/JCA_n40B-n257A/G/H/I/J,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257J,
CA_n40B-n78(2A)-n257K,CA_n40BCA_n78ACA_n78A-n257A/G/H/I/J/KCA_n40B-n257A/G/H/I/J/K,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257K,
CA_n40B-n78(2A)-n257L,CA_n40BCA_n78ACA_n78A-n257A/G/H/I/J/K/LCA_n40B-n257A/G/H/I/J/K/L,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257L,
CA_n40B-n78(2A)-n257M,CA_n40BCA_n78ACA_n78A-n257A/G/H/I/J/K/L/MCA_n40B-n257A/G/H/I/J/K/L/M,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78(2A)_BCS2,
,,n257,,CA_n257M,
CA_n40B-n78C-n257A,CA_n40BCA_n78CCA_n40B-n257ACA_n78C-n257A,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78C_BCS1,
,,n257,,"50, 100, 200, 400",
CA_n40B-n78C-n257D,CA_n40BCA_n78CCA_n40B-n257A/DCA_n78C-n257A/D,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78C_BCS1,
,,n257,,CA_n257D,
CA_n40B-n78C-n257E,CA_n40BCA_n78CCA_n78C-n257A/D/ECA_n40B-n257A/D/E,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78C_BCS1,
,,n257,,CA_n257E,
CA_n40B-n78C-n257F,CA_n40BCA_n78CCA_n78C-n257A/D/E/FCA_n40B-n257A/D/E/F,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78C_BCS1,
,,n257,,CA_n257F,
CA_n40B-n78C-n257G,CA_n40BCA_n78CCA_n78C-n257A/GCA_n40B-n257A/G,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78C_BCS1,
,,n257,,CA_n257G,
CA_n40B-n78C-n257H,CA_n40BCA_n78CCA_n78C-n257A/G/HCA_n40B-n257A/G/H,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78C_BCS1,
,,n257,,CA_n257H,
CA_n40B-n78C-n257I,CA_n40BCA_n78CCA_n78C-n257A/G/H/ICA_n40B-n257A/G/H/I,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78C_BCS1,
,,n257,,CA_n257I,
CA_n40B-n78C-n257J,CA_n40BCA_n78CCA_n78C-n257A/G/H/I/JCA_n40B-n257A/G/H/I/J,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78C_BCS1,
,,n257,,CA_n257J,
CA_n40B-n78C-n257K,CA_n40BCA_n78CCA_n78C-n257A/G/H/I/J/KCA_n40B-n257A/G/H/I/J/K,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78C_BCS1,
,,n257,,CA_n257K,
CA_n40B-n78C-n257L,CA_n40BCA_n78CCA_n78C-n257A/G/H/I/J/K/LCA_n40B-n257A/G/H/I/J/K/L,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78C_BCS1,
,,n257,,CA_n257L,
CA_n40B-n78C-n257M,CA_n40BCA_n78CCA_n78C-n257A/G/H/I/J/K/L/MCA_n40B-n257A/G/H/I/J/K/L/M,n40,,CA_n40B_BCS1,0
,,n78,,CA_n78C_BCS1,
,,n257,,CA_n257M,
CA_n40A-n78A-n258A,-,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 100",0
,,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 90, 100",
,,,n258,"50, 100, 200, 400",
CA_n40A-n78A-n258D,-,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258D,
CA_n40A-n78A-n258E,-,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258E,
CA_n40A-n78A-n258F,-,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258F,
CA_n40A-n78A-n258G,-,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258G,
CA_n40A-n78A-n258H,-,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258H,
CA_n40A-n78A-n258I,-,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258I,
CA_n40A-n78A-n258J,-,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",0
,,,n78,"10, 15, 20, 40, 50, 60, 90, 100",
,,,n258,CA_n258J,
