NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n3B-n257J,CA_n3A-n257A,n3,CA_n3B_BCS0,0
,,n257,CA_n257J,
CA_n3B-n257K,CA_n3A-n257A,n3,CA_n3B_BCS0,0
,,n257,CA_n257K,
CA_n3B-n257L,CA_n3A-n257A,n3,CA_n3B_BCS0,0
,,n257,CA_n257L,
CA_n3B-n257M,CA_n3A-n257A,n3,CA_n3B_BCS0,0
,,n257,CA_n257M,
CA_n3A-n258A,CA_n3A-n258A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,"50, 100, 200, 400",
CA_n3A-n258B,CA_n3A-n258A/B,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258B,
CA_n3A-n258C,CA_n3A-n258A/B/C,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258C,
CA_n3A-n258D,CA_n3A-n258A/D,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258D,
CA_n3A-n258E,CA_n3A-n258A/D/E,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258E,
CA_n3A-n258F,CA_n3A-n258A/D/E/F,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258F,
CA_n3A-n258G,CA_n3A-n258A/G,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258G,
CA_n3A-n258H,CA_n3A-n258A/G/H,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258H,
CA_n3A-n258I,CA_n3A-n258A/G/H/I,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258I,
CA_n3A-n258J,CA_n3A-n258A/G/H/I,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258J,
CA_n3A-n258K,CA_n3A-n258A/G/H/I,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258K,
CA_n3A-n258L,CA_n3A-n258A/G/H/I,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258L,
CA_n3A-n258M,CA_n3A-n258A/G/H/I,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258M,
CA_n3A-n258R2,CA_n3A-n258A/R2,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n258,CA_n258R2,
CA_n3A-n258R3,CA_n3A-n258A/R2/R3,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n258,CA_n258R3,
CA_n3A-n258R4,CA_n3A-n258A/R2/R3/R4,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n258,CA_n258R4,
CA_n3A-n258R5,CA_n3A-n258A/R2/R3/R4,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n258,CA_n258R5,
CA_n3A-n258R6,CA_n3A-n258A/R2/R3/R4,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n258,CA_n258R6,
CA_n3A-n258R7,CA_n3A-n258A/R2/R3/R4,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n258,CA_n258R7,
CA_n3A-n258R8,CA_n3A-n258A/R2/R3/R4,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n258,CA_n258R8,
CA_n3A-n258R9,CA_n3A-n258A/R2/R3/R4,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n258,CA_n258R9,
CA_n3A-n258R10,CA_n3A-n258A/R2/R3/R4,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n258,CA_n258R10,
CA_n3A-n258(2A),CA_n3A-n258A/(2A),n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258(2A),
CA_n3A-n258(2G),CA_n3A-n258A/G,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258(2G),
,CA_n3A-n258A/G/(2G)/(A-G),n3,"5, 10, 15, 20, 25, 30",1
,,n258,CA_n258(2G),
CA_n3A-n258(A-G),CA_n3A-n258A/G,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258(A-G),
,CA_n3A-n258A/G/(A-G),n3,"5, 10, 15, 20, 25, 30",1
,,n258,CA_n258(A-G),
CA_n3(2A)-n258A,CA_n3A-n258A,n3,CA_n3(2A)_BCS1,0
,,n258,"50, 100, 200, 400",
CA_n3(2A)-n258G,CA_n3A-n258A,n3,CA_n3(2A)_BCS1,0
,,n258,CA_n258G,
CA_n3(2A)-n258H,CA_n3A-n258A,n3,CA_n3(2A)_BCS1,0
,,n258,CA_n258H,
CA_n3(2A)-n258I,CA_n3A-n258A,n3,CA_n3(2A)_BCS1,0
,,n258,CA_n258I,
CA_n3(2A)-n258J,CA_n3A-n258A,n3,CA_n3(2A)_BCS1,0
,,n258,CA_n258J,
CA_n3(2A)-n258K,CA_n3A-n258A,n3,CA_n3(2A)_BCS1,0
,,n258,CA_n258K,
CA_n3(2A)-n258L,CA_n3A-n258A,n3,CA_n3(2A)_BCS1,0
,,n258,CA_n258L,
CA_n3(2A)-n258M,CA_n3A-n258A,n3,CA_n3(2A)_BCS1,0
,,n258,CA_n258M,
CA_n3B-n258A,CA_n3A-n258A,n3,CA_n3B_BCS0,0
,,n258,"50, 100, 200, 400",
CA_n3B-n258B,CA_n3A-n258A/B,n3,CA_n3B_BCS0,0
,,n258,CA_n258B,
CA_n3B-n258C,CA_n3A-n258A/B/C,n3,CA_n3B_BCS0,0
,,n258,CA_n258C,
CA_n3B-n258D,CA_n3A-n258A/D,n3,CA_n3B_BCS0,0
,,n258,CA_n258D,
CA_n3B-n258E,CA_n3A-n258A/D/E,n3,CA_n3B_BCS0,0
,,n258,CA_n258E,
CA_n3B-n258F,CA_n3A-n258A/D/E/F,n3,CA_n3B_BCS0,0
,,n258,CA_n258F,
CA_n3B-n258G,CA_n3A-n258A/G,n3,CA_n3B_BCS0,0
,,n258,CA_n258G,
CA_n3B-n258H,CA_n3A-n258A/G/H,n3,CA_n3B_BCS0,0
,,n258,CA_n258H,
CA_n3B-n258I,CA_n3A-n258A/G/H/I,n3,CA_n3B_BCS0,0
,,n258,CA_n258I,
CA_n3B-n258J,CA_n3A-n258A/G/H/I,n3,CA_n3B_BCS0,0
,,n258,CA_n258J,
CA_n3B-n258K,CA_n3A-n258A/G/H/I,n3,CA_n3B_BCS0,0
,,n258,CA_n258K,
CA_n3B-n258L,CA_n3A-n258A/G/H/I,n3,CA_n3B_BCS0,0
,,n258,CA_n258L,
CA_n3B-n258M,CA_n3A-n258A/G/H/I,n3,CA_n3B_BCS0,0
,,n258,CA_n258M,
CA_n3B-n258R2,CA_n3A-n258A/R2,n3,CA_n3B,0
,,n258,CA_n258R2,
CA_n3B-n258R3,CA_n3A-n258A/R2/R3,n3,CA_n3B,0
,,n258,CA_n258R3,
CA_n3B-n258R4,CA_n3A-n258A/R2/R3/R4,n3,CA_n3B,0
,,n258,CA_n258R4,
CA_n3B-n258R5,CA_n3A-n258A/R2/R3/R4,n3,CA_n3B,0
,,n258,CA_n258R5,
CA_n3B-n258R6,CA_n3A-n258A/R2/R3/R4,n3,CA_n3B,0
,,n258,CA_n258R6,
CA_n3B-n258R7,CA_n3A-n258A/R2/R3/R4,n3,CA_n3B,0
,,n258,CA_n258R7,
CA_n3B-n258R8,CA_n3A-n258A/R2/R3/R4,n3,CA_n3B,0
,,n258,CA_n258R8,
CA_n3B-n258R9,CA_n3A-n258A/R2/R3/R4,n3,CA_n3B,0
,,n258,CA_n258R9,
CA_n3B-n258R10,CA_n3A-n258A/R2/R3/R4,n3,CA_n3B,0
,CA_n3A-n258A/R2,n258,CA_n258R10,
