NR CA configuration,Uplink configuration,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
,,n7,CA_n7B,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258F,
CA_n3A-n7B-n78A-n258G,CA_n3A-n258A/GCA_n7A-n258A/GCA_n78A-n258A/GCA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,CA_n7B,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258G,
CA_n3A-n7B-n78A-n258H,CA_n3A-n258A/G/HCA_n7A-n258A/G/HCA_n78A-n258A/G/HCA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,CA_n7B,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258H,
CA_n3A-n7B-n78A-n258I,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n78A-n258A/G/H/ICA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,CA_n7B,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258I,
CA_n3A-n7B-n78A-n258J,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n78A-n258A/G/H/ICA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,CA_n7B,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258J,
CA_n3A-n7B-n78A-n258K,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n78A-n258A/G/H/ICA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,CA_n7B,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258K,
CA_n3A-n7B-n78A-n258L,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n78A-n258A/G/H/ICA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,CA_n7B,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258L,
CA_n3A-n7B-n78A-n258M,CA_n3A-n258A/G/H/ICA_n7A-n258A/G/H/ICA_n78A-n258A/G/H/ICA_n3A-n7ACA_n3A-n78ACA_n7A-n78A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n7,CA_n7B,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n258,CA_n258M,
CA_n3A-n8A-n77A-n257A,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,"50, 100, 200, 400",
CA_n3A-n8A-n77A-n257G,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257G,
CA_n3A-n8A-n77A-n257H,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257H,
CA_n3A-n8A-n77A-n257I,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257I,
CA_n3A-n8A-n77A-n257J,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257J,
CA_n3A-n8A-n77A-n257K,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257K,
CA_n3A-n8A-n77A-n257L,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257L,
CA_n3A-n8A-n77A-n257M,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257M,
CA_n3A-n8A-n77(2A)-n257A,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,"50, 100, 200, 400",
CA_n3A-n8A-n77(2A)-n257G,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257G,
CA_n3A-n8A-n77(2A)-n257H,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257H,
CA_n3A-n8A-n77(2A)-n257I,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257I,
CA_n3A-n8A-n77(2A)-n257J,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257J,
CA_n3A-n8A-n77(2A)-n257K,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257K,
CA_n3A-n8A-n77(2A)-n257L,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257L,
CA_n3A-n8A-n77(2A)-n257M,-,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257M,
CA_n3A-n28A-n41A-n257A,CA_n3A-n28ACA_n3A-n41ACA_n3A-n257ACA_n28A-n41ACA_n28A-n257ACA_n41A-n257A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n28,"5, 10, 15, 20",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n257,"50, 100, 200, 400",
CA_n3A-n28A-n41A-n257G,CA_n3A-n28ACA_n3A-n41ACA_n3A-n257A/GCA_n28A-n41ACA_n28A-n257A/GCA_n41A-n257A/G,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n28,"5, 10, 15, 20",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257G,
CA_n3A-n28A-n41A-n257H,CA_n3A-n28ACA_n3A-n41ACA_n3A-n257A/G/HCA_n28A-n41ACA_n28A-n257A/G/HCA_n41A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n28,"5, 10, 15, 20",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257H,
CA_n3A-n28A-n41A-n257I,CA_n3A-n28ACA_n3A-n41ACA_n3A-n257A/G/H/ICA_n28A-n41ACA_n28A-n257A/G/H/ICA_n41A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n28,"5, 10, 15, 20",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257I,
CA_n3A-n28A-n77A-n257A,CA_n3A-n28ACA_n3A-n77ACA_n28A-n77ACA_n3A-n257ACA_n28A-n257ACA_n77A-n257A,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,"50, 100, 200, 400",
CA_n3A-n28A-n77A-n257D,-,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257D,
CA_n3A-n28A-n77A-n257G,CA_n3A-n28ACA_n3A-n77ACA_n28A-n77ACA_n3A-n257A/GCA_n28A-n257A/GCA_n77A-n257A/G,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257G,
CA_n3A-n28A-n77A-n257H,CA_n3A-n28ACA_n3A-n77ACA_n28A-n77ACA_n3A-n257A/G/HCA_n28A-n257A/G/HCA_n77A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257H,
CA_n3A-n28A-n77A-n257I,CA_n3A-n28ACA_n3A-n77ACA_n28A-n77ACA_n3A-n257A/G/H/ICA_n28A-n257A/G/H/ICA_n77A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257I,
CA_n3A-n28A-n77(2A)-n257A,CA_n3A-n28ACA_n3A-n77ACA_n28A-n77ACA_n3A-n257ACA_n28A-n257ACA_n77A-n257A,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,"50, 100, 200, 400",
CA_n3A-n28A-n77(2A)-n257D,-,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257D,
CA_n3A-n28A-n77(2A)-n257G,CA_n3A-n28ACA_n3A-n77ACA_n28A-n77ACA_n3A-n257A/GCA_n28A-n257A/GCA_n77A-n257A/G,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257G,
CA_n3A-n28A-n77(2A)-n257H,CA_n3A-n28ACA_n3A-n77ACA_n28A-n77ACA_n3A-n257A/G/HCA_n28A-n257A/G/HCA_n77A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257H,
CA_n3A-n28A-n77(2A)-n257I,CA_n3A-n28ACA_n3A-n77ACA_n28A-n77ACA_n3A-n257A/G/H/ICA_n28A-n257A/G/H/ICA_n77A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(2A),
,,n257,CA_n257I,
CA_n3A-n28A-n77(3A)-n257A,-,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(3A),
,,n257,"50, 100, 200, 400",
CA_n3A-n28A-n77(3A)-n257D,-,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(3A),
,,n257,CA_n257D,
CA_n3A-n28A-n77(3A)-n257G,-,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(3A),
,,n257,CA_n257G,
CA_n3A-n28A-n77(3A)-n257H,-,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(3A),
,,n257,CA_n257H,
CA_n3A-n28A-n77(3A)-n257I,-,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n77,CA_n77(3A),
,,n257,CA_n257I,
CA_n3A-n28A-n78A-n257A,CA_n3A-n257ACA_n28A-n257ACA_n78A-n257A,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,"50, 100, 200, 400",
CA_n3A-n28A-n78A-n257D,-,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257D,
CA_n3A-n28A-n78A-n257G,CA_n3A-n257A/GCA_n28A-n257A/GCA_n78A-n257A/G,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257G,
CA_n3A-n28A-n78A-n257H,CA_n3A-n257A/G/HCA_n28A-n257A/G/HCA_n78A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257H,
CA_n3A-n28A-n78A-n257I,CA_n3A-n257A/G/H/ICA_n28A-n257A/G/H/ICA_n78A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257I,
CA_n3A-n28A-n79A-n257A,CA_n3A-n28ACA_n3A-n79ACA_n3A-n257ACA_n28A-n79ACA_n28A-n257ACA_n79A-n257A,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n79,"40, 50, 80, 100",
,,n257,"50, 100, 200, 400",
CA_n3A-n28A-n79A-n257G,CA_n3A-n28ACA_n3A-n79ACA_n3A-n257A/GCA_n28A-n79ACA_n28A-n257A/GCA_n79A-n257A/G,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n79,"40, 50, 80, 100",
,,n257,CA_n257G,
CA_n3A-n28A-n79A-n257H,CA_n3A-n28ACA_n3A-n79ACA_n3A-n257A/G/HCA_n28A-n79ACA_n28A-n257A/G/HCA_n79A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n79,"40, 50, 80, 100",
,,n257,CA_n257H,
CA_n3A-n28A-n79A-n257I,CA_n3A-n28ACA_n3A-n79ACA_n3A-n257A/G/H/ICA_n28A-n79ACA_n28A-n257A/G/H/ICA_n79A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30",0
,,n28,"5, 10, 15, 20",
,,n79,"40, 50, 80, 100",
,,n257,CA_n257I,
CA_n3A-n41A-n77A-n257A,CA_n3A-n41ACA_n3A-n77ACA_n3A-n257ACA_n41A-n77ACA_n41A-n257ACA_n77A-n257A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n257,"50, 100, 200, 400",
CA_n3A-n41A-n77A-n257G,CA_n3A-n41ACA_n3A-n77ACA_n3A-n257A/GCA_n41A-n77ACA_n41A-n257A/GCA_n77A-n257A/G,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n257,CA_n257G,
CA_n3A-n41A-n77A-n257H,CA_n3A-n41ACA_n3A-n77ACA_n3A-n257A/G/HCA_n41A-n77ACA_n41A-n257A/G/HCA_n77A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n257,CA_n257H,
CA_n3A-n41A-n77A-n257I,CA_n3A-n41ACA_n3A-n77ACA_n3A-n257A/G/H/ICA_n41A-n77ACA_n41A-n257A/G/H/ICA_n77A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n257,CA_n257I,
CA_n3A-n41A-n77(2A)-n257A,CA_n3A-n41ACA_n3A-n77ACA_n3A-n257ACA_n41A-n77ACA_n41A-n257ACA_n77A-n257A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(2A),
,,n257,"50, 100, 200, 400",
CA_n3A-n41A-n77(2A)-n257G,CA_n3A-n41ACA_n3A-n77ACA_n3A-n257A/GCA_n41A-n77ACA_n41A-n257A/GCA_n77A-n257A/G,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(2A),
,,n257,CA_n257G,
CA_n3A-n41A-n77(2A)-n257H,CA_n3A-n41ACA_n3A-n77ACA_n3A-n257A/G/HCA_n41A-n77ACA_n41A-n257A/G/HCA_n77A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(2A),
,,n257,CA_n257H,
CA_n3A-n41A-n77(2A)-n257I,CA_n3A-n41ACA_n3A-n77ACA_n3A-n257A/G/H/ICA_n41A-n77ACA_n41A-n257A/G/H/ICA_n77A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n77,CA_n77(2A),
,,n257,CA_n257I,
CA_n3A-n41A-n79A-n257A,CA_n3A-n41ACA_n3A-n79ACA_n3A-n257ACA_n41A-n79ACA_n41A-n257ACA_n79A-n257A,n3,"10, 15, 20, 25, 30",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,"50, 100, 200, 400",
CA_n3A-n41A-n79A-n257G,CA_n3A-n41ACA_n3A-n79ACA_n3A-n257A/GCA_n41A-n79ACA_n41A-n257A/GCA_n79A-n257A/G,n3,"10, 15, 20, 25, 30",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257G,
CA_n3A-n41A-n79A-n257H,CA_n3A-n41ACA_n3A-n79ACA_n3A-n257A/G/HCA_n41A-n79ACA_n41A-n257A/G/HCA_n79A-n257A/G/H,n3,"10, 15, 20, 25, 30",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257H,
CA_n3A-n41A-n79A-n257I,CA_n3A-n41ACA_n3A-n79ACA_n3A-n257A/G/H/ICA_n41A-n79ACA_n41A-n257A/G/H/ICA_n79A-n257A/G/H/I,n3,"10, 15, 20, 25, 30",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257I,
CA_n3A-n77A-n79A-n257A,CA_n3A-n77ACA_n3A-n79ACA_n3A-n257ACA_n77A-n79ACA_n77A-n257ACA_n79A-n257A,n3,"5, 10, 15, 20, 25, 30",0
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,"50, 100, 200, 400",
CA_n3A-n77A-n79A-n257G,CA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/GCA_n77A-n79ACA_n77A-n257A/GCA_n79A-n257A/G,n3,"5, 10, 15, 20, 25, 30",0
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257G,
CA_n3A-n77A-n79A-n257H,CA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/G/HCA_n77A-n79ACA_n77A-n257A/G/HCA_n79A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30",0
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257H,
CA_n3A-n77A-n79A-n257I,CA_n3A-n77ACA_n3A-n79ACA_n3A-n257A/G/H/ICA_n77A-n79ACA_n77A-n257A/G/H/ICA_n79A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30",0
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257I,
CA_n3A-n77(2A)-n79A-n257A,CA_n3A-n77ACA_n3A-n79ACA_n3A-n257ACA_n77A-n79ACA_n77A-n257ACA_n79A-n257A,n3,"5, 10, 15, 20, 25, 30",0
,,n77,CA_n77(2A),
