EN-DCconfiguration,Uplink EN-DC configuration(note 1)
DC_2A_n260(2A)DC_2A_n260(3A)DC_2A_n260(4A)DC_2A_n260(5A)DC_2A_n260(6A)DC_2A_n260(7A)DC_2A_n260(8A)DC_2A_n260(2D)DC_2A_n260(2G)DC_2A_n260(3G)DC_2A_n260(4G)DC_2A_n260(2H)DC_2A_n260(2O)DC_2A_n260(3O)DC_2A_n260(4O)DC_2A_n260(2P)DC_2A_n260(A-D)DC_2A_n260(A-G)DC_2A_n260(A-H)DC_2A_n260(A-O)DC_2A_n260(A-P)DC_2A_n260(A-Q)DC_2A_n260(A-2G)DC_2A_n260(A-2H)DC_2A_n260(A-2O)DC_2A_n260(A-2P)DC_2A_n260(A-3G)DC_2A_n260(A-3O)DC_2A_n260(3A-G)DC_2A_n260(3A-H)DC_2A_n260(3A-O)DC_2A_n260(2A-G)DC_2A_n260(2A-H)DC_2A_n260(2A-O)DC_2A_n260(2A-P)DC_2A_n260(2A-Q)DC_2A_n260(2A-2G)DC_2A_n260(2A-2H)DC_2A_n260(2A-2O)DC_2A_n260(3A-2O)DC_2A_n260(3A-P)DC_2A_n260(4A-O)DC_2A_n260(4A-P)DC_2A_n260(4A-2O)DC_2A_n260(5A-O)DC_2A_n260(G-H)DC_2A_n260(O-P)DC_2A_n260(O-Q)DC_2A_n260(P-Q)DC_2A_n260(A-G-H)DC_2A_n260(A-O-P)DC_2A_n260(A-O-Q)DC_2A_n260(A-P-Q)DC_2A_n260(2A-O-P)DC_2A_n260(2A-G-H)DC_2A_n260(3A-O-P),DC_2A_n260ADC_2A_n260GDC_2A_n260HDC_2A_n260ODC_2A_n260PDC_2A_n260Q
DC_2A-2A_n260ADC_2A-2A_n260GDC_2A-2A_n260HDC_2A-2A_n260IDC_2A-2A_n260JDC_2A-2A_n260KDC_2A-2A_n260LDC_2A-2A_n260M,DC_2A_n260ADC_2A_n260GDC_2A_n260HDC_2A_n260IDC_2A_n260JDC_2A_n260KDC_2A_n260LDC_2A_n260M
DC_2A_n261ADC_2A_n261BDC_2A_n261CDC_2A_n261DDC_2A_n261EDC_2A_n261FDC_2A_n261GDC_2A_n261HDC_2A_n261IDC_2A_n261JDC_2A_n261KDC_2A_n261LDC_2A_n261MDC_2A_n261ODC_2A_n261PDC_2A_n261Q,DC_2A_n261ADC_2A_n261BDC_2A_n261CDC_2A_n261DDC_2A_n261EDC_2A_n261FDC_2A_n261GDC_2A_n261HDC_2A_n261IDC_2A_n261JDC_2A_n261KDC_2A_n261LDC_2A_n261MDC_2A_n261ODC_2A_n261PDC_2A_n261Q
DC_2A_n261(2A)DC_2A_n261(3A)DC_2A_n261(4A)DC_2A_n261(2I)DC_2A_n261(2H)DC_2A_n261(A-G)DC_2A_n261(A-J)DC_2A_n261(A-K)DC_2A_n261(A-L)DC_2A_n261(A-2G)DC_2A_n261(A-H)DC_2A_n261(A-I)DC_2A_n261(2A-G)DC_2A_n261(2A-I)DC_2A_n261(2A-H)DC_2A_n261(3A-G)DC_2A_n261(G-H)DC_2A_n261(G-I)DC_2A_n261(G-J)DC_2A_n261(2G)DC_2A_n261(H-I)DC_2A_n261(A-G-H)DC_2A_n261(A-G-I),DC_2A_n261ADC_2A_n261GDC_2A_n261HDC_2A_n261I
DC_2A-2A_n261ADC_2A-2A_n261GDC_2A-2A_n261HDC_2A-2A_n261IDC_2A-2A_n261JDC_2A-2A_n261KDC_2A-2A_n261LDC_2A-2A_n261M,DC_2A_n261ADC_2A_n261GDC_2A_n261HDC_2A_n261IDC_2A_n261JDC_2A_n261KDC_2A_n261LDC_2A_n261M
DC_3A_n257ADC_3A_n257BDC_3A_n257CDC_3A_n257DDC_3A_n257EDC_3A_n257FDC_3A_n257GDC_3A_n257HDC_3A_n257IDC_3A_n257JDC_3A_n257KDC_3A_n257LDC_3A_n257MDC_3C_n257ADC_3C_n257DDC_3C_n257EDC_3C_n257FDC_3C_n257GDC_3C_n257HDC_3C_n257IDC_3C_n257JDC_3C_n257KDC_3C_n257LDC_3C_n257M,DC_3A_n257ADC_3A_n257BDC_3A_n257DDC_3A_n257GDC_3A_n257HDC_3A_n257IDC_3A_n257JDC_3A_n257KDC_3A_n257LDC_3A_n257MDC_3C_n257A
DC_3A-3A_n257ADC_3A-3A_n257DDC_3A-3A_n257EDC_3A-3A_n257FDC_3A-3A_n257GDC_3A-3A_n257HDC_3A-3A_n257IDC_3A-3A_n257JDC_3A-3A_n257KDC_3A-3A_n257LDC_3A-3A_n257M,DC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_3A_n257JDC_3A_n257K
DC_3A_n258ADC_3A_n258BDC_3A_n258CDC_3A_n258DDC_3A_n258EDC_3A_n258FDC_3A_n258GDC_3A_n258HDC_3A_n258IDC_3A_n258JDC_3A_n258KDC_3A_n258LDC_3A_n258MDC_3C_n258ADC_3C_n258BDC_3C_n258CDC_3C_n258DDC_3C_n258EDC_3C_n258FDC_3C_n258GDC_3C_n258HDC_3C_n258IDC_3C_n258JDC_3C_n258KDC_3C_n258LDC_3C_n258M,DC_3A_n258ADC_3A_n258GDC_3A_n258HDC_3A_n258IDC_3C_n258ADC_3C_n258GDC_3C_n258HDC_3C_n258I
DC_4A_n258ADC_4A_n258GDC_4A_n258HDC_4A_n258I,DC_4A_n258ADC_4A_n258GDC_4A_n258HDC_4A_n258I
DC_4A_n260ADC_4A_n260DDC_4A_n260GDC_4A_n260HDC_4A_n260ODC_4A_n260PDC_4A_n260Q,DC_4A_n260ADC_4A_n260GDC_4A_n260HDC_4A_n260ODC_4A_n260PDC_4A_n260Q
DC_4A_n260(2A)DC_4A_n260(3A)DC_4A_n260(4A)DC_4A_n260(5A)DC_4A_n260(6A)DC_4A_n260(7A)DC_4A_n260(8A)DC_4A_n260(2D)DC_4A_n260(2G)DC_4A_n260(3G)DC_4A_n260(4G)DC_4A_n260(2H)DC_4A_n260(2O)DC_4A_n260(2P)DC_4A_n260(3O)DC_4A_n260(4O)DC_4A_n260(A-D)DC_4A_n260(2A-D)DC_4A_n260(3A-D)DC_4A_n260(4A-D)DC_4A_n260(A-O)DC_4A_n260(2A-O)DC_4A_n260(A-D-O)DC_4A_n260(2A-D-O)DC_4A_n260(A-2O)DC_4A_n260(D-2O)DC_4A_n260(A-D-2O)DC_4A_n260(2A-D-2O)DC_4A_n260(A-2D)DC_4A_n260(2A-2D)DC_4A_n260(A-P)DC_4A_n260(2A-P)DC_4A_n260(A-2P)DC_4A_n260(2A-2P)DC_4A_n260(A-G)DC_4A_n260(2A-G)DC_4A_n260(A-2G)DC_4A_n260(2A-2G)DC_4A_n260(G-O)DC_4A_n260(2G-O)DC_4A_n260(A-G-O)DC_4A_n260(2A-G-O)DC_4A_n260(2A-G-2O)DC_4A_n260(2A-G-3O)DC_4A_n260(A-2G-O)DC_4A_n260(2A-2G-O)DC_4A_n260(2A-2G-2O)DC_4A_n260(A-H)DC_4A_n260(A-2H)DC_4A_n260(2A-H)DC_4A_n260(2A-2H)DC_4A_n260(2A-2O)DC_4A_n260(A-3O)DC_4A_n260(2A-3O)DC_4A_n260(A-4O)DC_4A_n260(2A-4O)DC_4A_n260(3A-O)DC_4A_n260(3A-2O)DC_4A_n260(3A-3O)DC_4A_n260(3A-G)DC_4A_n260(3A-2G)DC_4A_n260(4A-G)DC_4A_n260(4A-2G)DC_4A_n260(4A-O)DC_4A_n260(4A-2O)DC_4A_n260(D-2G)DC_4A_n260(2D-O)DC_4A_n260(G-2O)DC_4A_n260(2G-2O)DC_4A_n260(G-3O)DC_4A_n260(2G-3O)DC_4A_n260(G-4O)DC_4A_n260(2G-4O)DC_4A_n260(3G-O)DC_4A_n260(4G-O)DC_4A_n260(H-O)DC_4A_n260(2H-O)DC_4A_n260(A-P-Q)DC_4A_n260(3A-O-P)DC_4A_n260(A-Q)DC_4A_n260(P-Q)DC_4A_n260(2A-O-P)DC_4A_n260(3A-P)DC_4A_n260(A-O-P)DC_4A_n260(2A-3G)DC_4A_n260(2A-G-H)DC_4A_n260(2A-Q)DC_4A_n260(3A-2G-O)DC_4A_n260(3A-D-O)DC_4A_n260(3A-G-O)DC_4A_n260(3A-G-2O)DC_4A_n260(3A-H)DC_4A_n260(4A-G-O)DC_4A_n260(4A-P)DC_4A_n260(5A-G)DC_4A_n260(5A-O)DC_4A_n260(A-G-2O)DC_4A_n260(A-G-3O)DC_4A_n260(A-G-4O)DC_4A_n260(A-G-H)DC_4A_n260(A-H-O)DC_4A_n260(A-2G-2O)DC_4A_n260(A-2G-3O)DC_4A_n260(A-3G-O)DC_4A_n260(A-3G)DC_4A_n260(A-4G)DC_4A_n260(A-D-G)DC_4A_n260(A-O-Q)DC_4A_n260(D-G)DC_4A_n260(D-O)DC_4A_n260(G-H)DC_4A_n260(G-H-O)DC_4A_n260(O-P)DC_4A_n260(O-Q),DC_4A_n260ADC_4A_n260GDC_4A_n260HDC_4A_n260ODC_4A_n260PDC_4A_n260Q
DC_4A_n261ADC_4A_n261DDC_4A_n261GDC_4A_n261HDC_4A_n261IDC_4A_n261JDC_4A_n261KDC_4A_n261LDC_4A_n261M,DC_4A_n261ADC_4A_n261DDC_4A_n261GDC_4A_n261HDC_4A_n261I
DC_4A_n261(2A)DC_4A_n261(3A)DC_4A_n261(4A)DC_4A_n261(2G)DC_4A_n261(2H)DC_4A_n261(2I)DC_4A_n261(A-D)DC_4A_n261(A-H)DC_4A_n261(A-2H)DC_4A_n261(A-D-H)DC_4A_n261(A-G)DC_4A_n261(A-G-H)DC_4A_n261(A-I)DC_4A_n261(A-2I)DC_4A_n261(G-I)DC_4A_n261(A-G-I)DC_4A_n261(A-H-I)DC_4A_n261(G-H)DC_4A_n261(H-I)DC_4A_n261(D-H)DC_4A_n261(2A-D)DC_4A_n261(2A-G)DC_4A_n261(2A-H)DC_4A_n261(2A-I)DC_4A_n261(A-2G)DC_4A_n261(A-D-G)DC_4A_n261(D-G),DC_4A_n261ADC_4A_n261HDC_4A_n261IDC_4A_n261G
DC_5A_n257ADC_5A_n257DDC_5A_n257EDC_5A_n257FDC_5A_n257GDC_5A_n257HDC_5A_n257IDC_5A_n257JDC_5A_n257KDC_5A_n257LDC_5A_n257MDC_5B_n257A,DC_5A_n257ADC_5A_n257DDC_5A_n257GDC_5A_n257HDC_5A_n257IDC_5B_n257A
DC_5A-5A_n257A,DC_5A_n257A
DC_5A_n258ADC_5A_n258DDC_5A_n258GDC_5A_n258HDC_5A_n258IDC_5A_n258JDC_5A_n258KDC_5A_n258LDC_5A_n258MDC_5A_n258ODC_5A_n258PDC_5A_n258Q,DC_5A_n258ADC_5A_n258DDC_5A_n258GDC_5A_n258HDC_5A_n258IDC_5A_n258JDC_5A_n258KDC_5A_n258LDC_5A_n258MDC_5A_n258ODC_5A_n258PDC_5A_n258Q
DC_5A_n260ADC_5A_n260BDC_5A_n260CDC_5A_n260DDC_5A_n260EDC_5A_n260FDC_5A_n260GDC_5A_n260HDC_5A_n260IDC_5A_n260JDC_5A_n260KDC_5A_n260LDC_5A_n260MDC_5A_n260ODC_5A_n260PDC_5A_n260QDC_5B_n260A,DC_5A_n260ADC_5A_n260GDC_5A_n260HDC_5A_n260IDC_5A_n260JDC_5A_n260KDC_5A_n260LDC_5A_n260MDC_5A_n260ODC_5A_n260PDC_5A_n260QDC_5B_n260A
DC_5A_n260(2A)DC_5A_n260(3A)DC_5A_n260(4A)DC_5A_n260(5A)DC_5A_n260(6A)DC_5A_n260(7A)DC_5A_n260(8A)DC_5A_n260(9A)DC_5A_n260(10A)DC_5A_n260(A-I)DC_5A_n260(A-P-Q)DC_5A_n260(3A-O-P)DC_5A_n260(D-G)DC_5A_n260(D-H)DC_5A_n260(D-I)DC_5A_n260(D-O)DC_5A_n260(D-P)DC_5A_n260(D-Q)DC_5A_n260(E-O)DC_5A_n260(E-P)DC_5A_n260(E-Q)DC_5A_n260(G-I)DC_5A_n260(2G)DC_5A_n260(2H)DC_5A_n260(2O)DC_5A_n260(3O)DC_5A_n260(4O)DC_5A_n260(2P)DC_5A_n260(3P)DC_5A_n260(4P)DC_5A_n260(2A-O)DC_5A_n260(A-2O)DC_5A_n260(2A-G)DC_5A_n260(A-2G)DC_5A_n260(2A-2G)DC_5A_n260(2G-O)DC_5A_n260(2A-2G-O)DC_5A_n260(A-2H)DC_5A_n260(2A-H)DC_5A_n260(2A-2H)DC_5A_n260(2A-2O)DC_5A_n260(2A-3O)DC_5A_n260(A-4O)DC_5A_n260(2A-4O)DC_5A_n260(3A-2O)DC_5A_n260(3A-2G)DC_5A_n260(4A-G)DC_5A_n260(4A-2G)DC_5A_n260(4A-O)DC_5A_n260(4A-2O)DC_5A_n260(A-O)DC_5A_n260(A-G)DC_5A_n260(G-O)DC_5A_n260(A-G-O)DC_5A_n260(2A-G-O)DC_5A_n260(A-2G-O)DC_5A_n260(A-H)DC_5A_n260(A-3O)DC_5A_n260(3A-O)DC_5A_n260(3A-G)DC_5A_n260(2D)DC_5A_n260(3G)DC_5A_n260(4G)DC_5A_n260(A-D)DC_5A_n260(2A-D)DC_5A_n260(A-D-O)DC_5A_n260(2A-D-O)DC_5A_n260(D-2O)DC_5A_n260(A-D-2O)DC_5A_n260(2A-D-2O)DC_5A_n260(A-2D)DC_5A_n260(2A-2D)DC_5A_n260(A-P)DC_5A_n260(2A-P)DC_5A_n260(A-2P)DC_5A_n260(2A-2P)DC_5A_n260(3A-3O)DC_5A_n260(D-2G)DC_5A_n260(2D-O)DC_5A_n260(G-2O)DC_5A_n260(2G-2O)DC_5A_n260(G-3O)DC_5A_n260(2G-3O)DC_5A_n260(G-4O)DC_5A_n260(2G-4O)DC_5A_n260(3G-O)DC_5A_n260(4G-O)DC_5A_n260(H-O)DC_5A_n260(2H-O)DC_5A_n260(A-Q)DC_5A_n260(P-Q)DC_5A_n260(2A-4P)DC_5A_n260(2O-2P)DC_5A_n260(3A-P)DC_5A_n260(4A-4O)DC_5A_n260(4A-2Q)DC_5A_n260(6A-2O)DC_5A_n260(6A-2P)DC_5A_n260(6A-3O)DC_5A_n260(8A-2O)DC_5A_n260(2A-O-P)DC_5A_n260(2A-2G-2O)DC_5A_n260(2A-2O-2P)DC_5A_n260(2A-2O-2Q)DC_5A_n260(O-P)DC_5A_n260(A-O-P)DC_5A_n260(2A-2O-P-Q)DC_5A_n260(2A-2O-P)DC_5A_n260(2A-2O-Q)DC_5A_n260(2A-2Q)DC_5A_n260(2A-3G)DC_5A_n260(2A-3O-P)DC_5A_n260(2A-3O-Q)DC_5A_n260(2A-3P)DC_5A_n260(2A-G-2O)DC_5A_n260(2A-G-3O)DC_5A_n260(2A-G-H)DC_5A_n260(2A-O-2P)DC_5A_n260(2A-O-2Q)DC_5A_n260(2A-O-3P)DC_5A_n260(2A-O-P-Q)DC_5A_n260(2A-O-Q)DC_5A_n260(2A-P-Q)DC_5A_n260(2A-Q)DC_5A_n260(2O-2Q)DC_5A_n260(2O-P-Q)DC_5A_n260(2O-P)DC_5A_n260(2O-Q)DC_5A_n260(2Q)DC_5A_n260(3A-2G-O)DC_5A_n260(3A-2O-P)DC_5A_n260(3A-2O-Q)DC_5A_n260(3A-2P)DC_5A_n260(3A-2Q)DC_5A_n260(3A-3P)DC_5A_n260(3A-4O)DC_5A_n260(3A-D-O)DC_5A_n260(3A-D)DC_5A_n260(3A-G-2O)DC_5A_n260(3A-G-O)DC_5A_n260(3A-H)DC_5A_n260(3A-O-2P)DC_5A_n260(3A-O-2Q)DC_5A_n260(3A-O-P-Q)DC_5A_n260(3A-O-Q)DC_5A_n260(3A-P-Q)DC_5A_n260(3A-Q)DC_5A_n260(3O-P)DC_5A_n260(3O-Q)DC_5A_n260(4A-2P)DC_5A_n260(4A-3O)DC_5A_n260(4A-D)DC_5A_n260(4A-G-O)DC_5A_n260(4A-O-P)DC_5A_n260(4A-O-Q)DC_5A_n260(4A-P-Q)DC_5A_n260(4A-P)DC_5A_n260(4A-Q)DC_5A_n260(5A-2O)DC_5A_n260(5A-2P)DC_5A_n260(5A-3O)DC_5A_n260(5A-G)DC_5A_n260(5A-O-P)DC_5A_n260(5A-O)DC_5A_n260(5A-P)DC_5A_n260(5A-Q)DC_5A_n260(6A-O-P)DC_5A_n260(6A-O)DC_5A_n260(6A-P)DC_5A_n260(7A-2O)DC_5A_n260(7A-O)DC_5A_n260(7A-P)DC_5A_n260(8A-O)DC_5A_n260(9A-O)DC_5A_n260(A-2G-2O)DC_5A_n260(A-2G-3O)DC_5A_n260(A-2O-2P)DC_5A_n260(A-2O-2Q)DC_5A_n260(A-2O-P-Q)DC_5A_n260(A-2O-P)DC_5A_n260(A-2O-Q)DC_5A_n260(A-2Q)DC_5A_n260(A-3G-O)DC_5A_n260(A-3G)DC_5A_n260(A-3O-P)DC_5A_n260(A-3O-Q)DC_5A_n260(A-3P)DC_5A_n260(A-4G)DC_5A_n260(A-4P)DC_5A_n260(A-D-G)DC_5A_n260(A-E)DC_5A_n260(A-G-2O)DC_5A_n260(A-G-3O)DC_5A_n260(A-G-4O)DC_5A_n260(A-G-H)DC_5A_n260(A-H-O)DC_5A_n260(A-O-2P)DC_5A_n260(A-O-2Q)DC_5A_n260(A-O-3P)DC_5A_n260(A-O-P-Q)DC_5A_n260(A-O-Q)DC_5A_n260(G-H-O)DC_5A_n260(G-H)DC_5A_n260(O-2P)DC_5A_n260(O-2Q)DC_5A_n260(O-3P)DC_5A_n260(O-P-Q)DC_5A_n260(O-Q),DC_5A_n260ADC_5A_n260GDC_5A_n260HDC_5A_n260ODC_5A_n260PDC_5A_n260Q
DC_5A-5A_n260A,DC_5A_n260A
DC_5A_n261ADC_5A_n261BDC_5A_n261CDC_5A_n261DDC_5A_n261EDC_5A_n261FDC_5A_n261GDC_5A_n261HDC_5A_n261IDC_5A_n261JDC_5A_n261KDC_5A_n261LDC_5A_n261MDC_5A_n261ODC_5A_n261PDC_5A_n261Q,DC_5A_n261ADC_5A_n261GDC_5A_n261HDC_5A_n261IDC_5A_n261JDC_5A_n261KDC_5A_n261LDC_5A_n261M DC_5A_n261O
DC_5A_n261(2A)DC_5A_n261(2G)DC_5A_n261(3A)DC_5A_n261(4A)DC_5A_n261(5A)DC_5A_n261(6A)DC_5A_n261(7A)DC_5A_n261(8A)DC_5A_n261(D-G)DC_5A_n261(D-H)DC_5A_n261(D-I)DC_5A_n261(D-O)DC_5A_n261(D-P)DC_5A_n261(D-Q)DC_5A_n261(E-O)DC_5A_n261(E-P)DC_5A_n261(E-Q)DC_5A_n261(2H)DC_5A_n261(2I)DC_5A_n261(A-H)DC_5A_n261(A-I) DC_5A_n261(A-J)DC_5A_n261(A-K)DC_5A_n261(A-L)DC_5A_n261(A-D)DC_5A_n261(A-D-H)DC_5A_n261(A-D-2O)DC_5A_n261(A-G)DC_5A_n261(A-G-H)DC_5A_n261(G-I)DC_5A_n261(A-G-I)DC_5A_n261(A-H-I)DC_5A_n261(G-H)DC_5A_n261(G-J)DC_5A_n261(H-I)DC_5A_n261(A-2D)DC_5A_n261(A-2H)DC_5A_n261(A-2P)DC_5A_n261(A-2Q)DC_5A_n261(A-2I)DC_5A_n261(A-4G)DC_5A_n261(A-4O)DC_5A_n261(A-7O)DC_5A_n261(A-2G-2O)DC_5A_n261(A-3G-O)DC_5A_n261(2A-G)DC_5A_n261(2A-H)DC_5A_n261(2A-I)DC_5A_n261(3A-G)DC_5A_n261(2A-2G-O)DC_5A_n261(2A-2G)DC_5A_n261(2A-2O)DC_5A_n261(2A-3G)DC_5A_n261(2A-3O)DC_5A_n261(2A-4O)DC_5A_n261(2A-5O)DC_5A_n261(2A-6O)DC_5A_n261(2A-D-O)DC_5A_n261(2A-D)DC_5A_n261(2A-G-2O)DC_5A_n261(2A-G-O)DC_5A_n261(2A-O)DC_5A_n261(2A-P)DC_5A_n261(2A-Q)DC_5A_n261(2D)DC_5A_n261(2G-2O)DC_5A_n261(2G-O)DC_5A_n261(2O)DC_5A_n261(2P)DC_5A_n261(2Q)DC_5A_n261(3A-2G)DC_5A_n261(3A-2O)DC_5A_n261(3A-3O)DC_5A_n261(3A-4O)DC_5A_n261(3A-5O)DC_5A_n261(3A-D)DC_5A_n261(3A-G-O)DC_5A_n261(3A-O)DC_5A_n261(3G-O)DC_5A_n261(3G)DC_5A_n261(3O)DC_5A_n261(4A-2O)DC_5A_n261(4A-3O)DC_5A_n261(4A-4O)DC_5A_n261(4A-G)DC_5A_n261(4A-O)DC_5A_n261(4G)DC_5A_n261(4O)DC_5A_n261(5A-2O)DC_5A_n261(5A-3O)DC_5A_n261(5A-O)DC_5A_n261(5O)DC_5A_n261(6A-2O)DC_5A_n261(6A-O)DC_5A_n261(6O)DC_5A_n261(7A-O)DC_5A_n261(7O)DC_5A_n261(A-2G-O)DC_5A_n261(A-2G)DC_5A_n261(A-2O)DC_5A_n261(A-3G)DC_5A_n261(A-3O)DC_5A_n261(A-5O)DC_5A_n261(A-6O)DC_5A_n261(A-D-G)DC_5A_n261(A-D-O)DC_5A_n261(A-E)DC_5A_n261(A-G-2O)DC_5A_n261(A-G-O)DC_5A_n261(A-O-P)DC_5A_n261(A-O-Q)DC_5A_n261(A-O)DC_5A_n261(A-P-Q)DC_5A_n261(A-P)DC_5A_n261(A-Q)DC_5A_n261(D-2O)DC_5A_n261(G-2O)DC_5A_n261(G-O)DC_5A_n261(O-P)DC_5A_n261(O-Q)DC_5A_n261(P-Q),DC_5A_n261ADC_5A_n261GDC_5A_n261HDC_5A_n261I
DC_7A_n257ADC_7A_n257DDC_7A_n257EDC_7A_n257FDC_7A_n257GDC_7A_n257HDC_7A_n257IDC_7A_n257JDC_7A_n257KDC_7A_n257LDC_7A_n257M,DC_7A_n257ADC_7A_n257DDC_7A_n257GDC_7A_n257HDC_7A_n257IDC_7A_n257JDC_7A_n257K
DC_7A_n257(2A)DC_7A_n257(A-G)DC_7A_n257(2G),DC_7A_n257ADC_7A_n257GDC_7A_n257(2A)DC_7A_n257(2G)
DC_7A-7A_n257ADC_7A-7A_n257DDC_7A-7A_n257EDC_7A-7A_n257FDC_7A-7A_n257GDC_7A-7A_n257HDC_7A-7A_n257IDC_7A-7A_n257JDC_7A-7A_n257KDC_7A-7A_n257LDC_7A-7A_n257M,DC_7A_n257ADC_7A_n257DDC_7A_n257GDC_7A_n257HDC_7A_n257IDC_7A_n257JDC_7A_n257K
DC_7A_n258ADC_7A_n258BDC_7A_n258CDC_7A_n258DDC_7A_n258EDC_7A_n258FDC_7A_n258GDC_7A_n258HDC_7A_n258IDC_7A_n258JDC_7A_n258KDC_7A_n258LDC_7A_n258MDC_7C_n258ADC_7C_n258BDC_7C_n258CDC_7C_n258DDC_7C_n258EDC_7C_n258FDC_7C_n258GDC_7C_n258HDC_7C_n258IDC_7C_n258JDC_7C_n258KDC_7C_n258LDC_7C_n258M,DC_7A_n258ADC_7A_n258BDC_7A_n258CDC_7A_n258DDC_7A_n258EDC_7A_n258FDC_7A_n258GDC_7A_n258HDC_7A_n258IDC_7A_n258JDC_7A_n258KDC_7A_n258LDC_7A_n258MDC_7C_n258ADC_7C_n258BDC_7C_n258CDC_7C_n258DDC_7C_n258EDC_7C_n258FDC_7C_n258GDC_7C_n258HDC_7C_n258IDC_7C_n258JDC_7C_n258KDC_7C_n258LDC_7C_n258M
DC_7A_n258(2A)DC_7A_n258(A-G)DC_7A_n258(2G),DC_7A_n258ADC_7A_n258GDC_7A_n258(2A)DC_7A_n258(A-G)DC_7A_n258(2G)
DC_7A_n260ADC_7A_n260GDC_7A_n260HDC_7A_n260IDC_7A_n260JDC_7A_n260KDC_7A_n260LDC_7A_n260MDC_7A_n260ODC_7A_n260PDC_7A_n260Q,DC_7A_n260ADC_7A_n260GDC_7A_n260HDC_7A_n260IDC_7A_n260JDC_7A_n260KDC_7A_n260LDC_7A_n260MDC_7A_n260ODC_7A_n260PDC_7A_n260Q
DC_7A_n261ADC_7A_n261GDC_7A_n261HDC_7A_n261IDC_7A_n261JDC_7A_n261KDC_7A_n261LDC_7A_n261MDC_7A_n261ODC_7A_n261PDC_7A_n261Q,DC_7A_n261ADC_7A_n261GDC_7A_n261HDC_7A_n261IDC_7A_n261JDC_7A_n261KDC_7A_n261LDC_7A_n261MDC_7A_n261ODC_7A_n261PDC_7A_n261Q
DC_8A_n257ADC_8A_n257DDC_8A_n257EDC_8A_n257FDC_8A_n257GDC_8A_n257HDC_8A_n257IDC_8A_n257JDC_8A_n257KDC_8A_n257LDC_8A_n257M DC_8B_n257ADC_8B_n257DDC_8B_n257GDC_8B_n257HDC_8B_n257I,DC_8A_n257ADC_8A_n257DDC_8A_n257GDC_8A_n257HDC_8A_n257I
DC_8A_n258ADC_8A_n258BDC_8A_n258CDC_8A_n258DDC_8A_n258EDC_8A_n258FDC_8A_n258GDC_8A_n258HDC_8A_n258IDC_8A_n258JDC_8A_n258KDC_8A_n258LDC_8A_n258M,DC_8A_n258A
DC_11A_n257ADC_11A_n257DDC_11A_n257GDC_11A_n257HDC_11A_n257I,DC_11A_n257ADC_11A_n257DDC_11A_n257GDC_11A_n257HDC_11A_n257I
