EN-DCconfiguration,Uplink EN-DC configuration(note 1)
"DC_1A-3A-11A_n77(2A)2, 9DC_1A-3A-11A_n77(3A)2",DC_1A_n77A9DC_3A_n77A9DC_11A_n77A
DC_1A-3A-18A_n3A,DC_1A_n3ADC_3A_n3A4DC_18A_n3A
DC_1A-3A-18A_n28A,DC_1A_n28ADC_3A_n28ADC_18A_n28A
DC_1A-3A-18A_n41A,DC_1A_n41ADC_3A_n41ADC_18A_n41A
DC_1A-3A-18A_n77A9,DC_1A_n77A9DC_3A_n77A9DC_18A_n77A9
DC_1A-3A-18A_n77(2A),DC_1A_n77ADC_3A_n77ADC_18A_n77A
DC_1A-3A-18A_n78A,DC_1A_n78ADC_3A_n78ADC_18A_n78A
DC_1A-3A-18A_n78(2A),DC_1A_n78ADC_3A_n78ADC_18A_n78A
DC_1A-3A-18A_n79A,DC_1A_n79ADC_3A_n79ADC_18A_n79A
"DC_1A-3A-19A_n77A2,9DC_1A-3A-19A_n77C2",DC_1A_n77A9DC_3A_n77A9DC_19A_n77A9
DC_1A-3A-19A_n77(2A)2,DC_1A_n77ADC_3A_n77ADC_19A_n77A
"DC_1A-3A-19A_n78A2, 9DC_1A-3A-19A_n78C2",DC_1A_n78A9DC_3A_n78A9DC_19A_n78A9
DC_1A-3A-19A_n78(2A)2,DC_1A_n78ADC_3A_n78ADC_19A_n78A
"DC_1A-3A-19A_n79A2,9DC_1A-3A-19A_n79C2",DC_1A_n79A9DC_3A_n79A9DC_19A_n79A9
DC_1A-3A-20A_n1A,DC_1A_n1ADC_3A_n1ADC_20A_n1A
DC_1A-3A-3A-20A_n1A,DC_1A_n1A4DC_3A_n1ADC_20A_n1A
DC_1A-3A-20A_n3A,DC_1A_n3ADC_3A_n3ADC_20A_n3A
DC_1A-3A-20A_n7A,DC_1A_n7ADC_3A_n7ADC_20A_n7A
DC_1A-3A-20A_n8A,DC_1A_n8ADC_3A_n8ADC_20A_n8A
"DC_1A-3A-20A_n28A3,8,14DC_1A-3C-20A_n28A3,8,14",DC_1A_n28ADC_3A_n28ADC_3C_n28ADC_20A_n28A
DC_1A-3A-20A_n38A,DC_3A_n38ADC_20A_n38A
DC_1A-3A-20A_n41ADC_1A-3C-20A_n41A,DC_1A_n41ADC_3A_n41ADC_3C_n41ADC_20A_n41A
DC_1A-3A-3A-20A_n41A,DC_1A_n41ADC_3A_n41ADC_20A_n41A
DC_1A-3A-20A_n78A2DC_1A-3A-20A_n78C2,DC_1A_n78ADC_3A_n78ADC_20A_n78A
DC_1A-1A-3A-20A_n78A2,DC_1A_n78ADC_3A_n78ADC_20A_n78A
DC_1A-3A-3A-20A_n78A2,DC_1A_n78ADC_3A_n78ADC_20A_n78A
DC_1A-3A-20A_n78(2A),DC_1A_n78ADC_3A_n78ADC_20A_n78A
"DC_1A-3A-21A_n77A2,9DC_1A-3A-21A_n77C2",DC_1A_n77A9DC_3A_n77A9DC_21A_n77A9
"DC_1A-3A-21A_n77(2A)2,9",DC_1A_n77A9DC_3A_n77A9DC_21A_n77A9
"DC_1A-3A-21A_n78A2,9DC_1A-3A-21A_n78C2",DC_1A_n78A9DC_3A_n78A9DC_21A_n78A9
"DC_1A-3A-21A_n78(2A)2,9",DC_1A_n78A9DC_3A_n78A9DC_21A_n78A9
"DC_1A-3A-21A_n79A2,9DC_1A-3A-21A_n79C2",DC_1A_n79A9DC_3A_n79A9DC_21A_n79A9
DC_1A-3A-26A_n78ADC_1A-3C-26A_n78A,DC_1A_n78ADC_3A_n78ADC_26A_n78A
DC_1A-3A-26A_n78(2A)DC_1A-3C-26A_n78(2A),DC_1A_n78ADC_3A_n78ADC_26A_n78A
DC_1A-3A_n26A-n78ADC_1A-3C_n26A-n78A,DC_1A_n26ADC_1A_n78ADC_3A_n26ADC_3C_n26ADC_3A_n78ADC_3C_n78A
DC_1A-3A-28A_n3A,DC_1A_n3ADC_3A_n3A4DC_28A_n3A
DC_1A-3A-28A_n5ADC_1A-3C-28A_n5A,DC_1A_n5ADC_3A_n5ADC_28A_n5A
DC_1A-3A-28A_n7ADC_1A-3C-28A_n7ADC_1A-3A-28A_n7BDC_1A-3C-28A_n7B,DC_1A_n7ADC_3A_n7ADC_3C_n7ADC_28A_n7A
DC_1A-3A-3A-28A_n7ADC_1A-3A-3A-28A_n7B,DC_1A_n7ADC_3A_n7ADC_28A_n7A
DC_1A-1A-3A-28A_n7ADC_1A-1A-3C-28A_n7ADC_1A-1A-3A-28A_n7BDC_1A-1A-3C-28A_n7B,DC_1A_n7ADC_3A_n7ADC_3C_n7ADC_28A_n7A
DC_1A-1A-3A-3A-28A_n7ADC_1A-1A-3A-3A-28A_n7B,DC_1A_n7ADC_3A_n7ADC_3C_n7ADC_28A_n7A
DC_1A-3A-28A_n38A,DC_1A_n38ADC_3A_n38ADC_28A_n38A
DC_1A-3A_n28A-n38A,DC_1A_n28ADC_3A_n28ADC_1A_n38ADC_3A_n38A
DC_1A-3A-28A_n40ADC_1A-3C-28A_n40ADC_1A-3A-28C_n40ADC_1A-3C-28C_n40A,DC_1A_n40ADC_3A_n40ADC_28A_n40A
DC_1A-3A_n28A-n41A2,DC_1A_n28ADC_1A_n41ADC_3A_n28ADC_3A_n41A
DC_1A-3A-28A_n71ADC_1A-3C-28A_n71A,DC_1A_n71ADC_3A_n71ADC_28A_n71A4
DC_1A-3A_n28A-n75A,DC_1A_n28ADC_3A_n28A
DC_1A-3C_n28A-n75A,DC_1A_n28ADC_3A_n28ADC_3C_n28A
DC_1A-3A-28A_n77A2DC_1A-3C-28A_n77A2DC_1A-3A-28C_n77A2DC_1A-3C-28C_n77A2DC_1A-3A-28A_n77C2,DC_1A_n77ADC_3A_n77ADC_28A_n77A
DC_1A-3A-28A_n77(2A)2DC_1A-3A-28C_n77(2A)2DC_1A-3C-28A_n77(2A)2DC_1A-3C-28C_n77(2A)2,DC_1A_n77ADC_3A_n77ADC_28A_n77A
"DC_1A-3A_n28A-n77A2, 9DC_1A-3C_n28A-n77A2",DC_1A_n28ADC_1A_n77A9DC_3A_n28ADC_3C_n28ADC_3A_n77A9DC_3C_n77A
"DC_1A-3A_n28A-n77(2A) 2, 9DC_1A-3C_n28A-n77(2A) 2",DC_1A_n28ADC_1A_n77A9DC_3A_n28ADC_3C_n28ADC_3A_n77ADC_3C_n77A
"DC_1A_n3A-n28A-n77A2,9",DC_1A_n3ADC_1A_n28ADC_1A_n77A9
"DC_1A_n3A-n28A-n77(2A) 2, 9",DC_1A_n3ADC_1A_n28ADC_1A_n77A9
DC_1A-3A-28A_n78A2DC_1A-3C-28A_n78A2DC_1A-3A-28A_n78C2,DC_1A_n78ADC_3A_n78ADC_3C_n78ADC_28A_n78A
DC_1A-1A-3A-28A_n78ADC_1A-1A-3C-28A_n78A,DC_1A_n78ADC_3A_n78ADC_3C_n78ADC_28A_n78A
DC_1A-3A-28A_n78(2A) 2DC_1A-3C-28A_n78(2A)2,DC_1A_n78ADC_3A_n78ADC_3C_n78ADC_28A_n78A
DC_1A-3A-3A-28A_n78A2,DC_1A_n78ADC_3A_n78ADC_28A_n78A
DC_1A-3A-28A_n79A2DC_1A-3A-28A_n79C2,DC_1A_n79ADC_3A_n79ADC_28A_n79A
"DC_1A-3A_n28A-n79A2, 9",DC_1A_n28ADC_1A_n79A9DC_3A_n28ADC_3A_n79A9
DC_1A_n3A-n28A-n79A9,DC_1A_n3ADC_1A_n28ADC_1A_n79A9
DC_1A-3A_n28A-n78A2DC_1A-3C_n28A-n78A2,DC_1A_n28ADC_1A_n78ADC_3A_n28ADC_3C_n28ADC_3A_n78ADC_3C_n78A
DC_1A-3A_n28A-n78(2A)2DC_1A-3C_n28A-n78(2A)2,DC_1A_n28ADC_1A_n78ADC_3A_n28ADC_3C_n28ADC_3A_n78ADC_3C_n78A
DC_1A-3A-32A_n28ADC_1A-3C-32A_n28A,DC_1A_n28ADC_3A_n28ADC_3C_n28A
DC_1A-3A-32A_n78ADC_1A-3A-32A_n78C,DC_1A_n78ADC_3A_n78A
DC_1A-3A-32A_n78(2A),DC_1A_n78ADC_3A_n78A
DC_1A-3C-32A_n78A,DC_1A_n78ADC_3A_n78ADC_3C_n78A
DC_1A-3A-38A_n28ADC_1A-3C-38A_n28A,DC_1A_n28ADC_3A_n28ADC_3C_n28ADC_38A_n28A
DC_1A-3A-38A_n78A,DC_1A_n78ADC_3A_n78A
DC_1A-3A-38A_n78(2A)DC_1A-3C-38A_n78(2A),DC_1A_n78ADC_3A_n78A
DC_1A-3A_n38A-n78A,DC_1A_n38ADC_1A_n78ADC_3A_n38ADC_3A_n78A
DC_1A-3C-38A_n78A,DC_1A_n78ADC_3A_n78ADC_3C_n78ADC_38A_n78A
DC_1A-3A-40A_n28A,DC_1A_n28ADC_3A_n28ADC_40A_n28A
DC_1A-3A_n40A-n71ADC_1A-3C_n40A-n71A,DC_1A_n40ADC_1A_n71ADC_3A_n40ADC_3A_n71A
DC_1A-3A_n40A-n77ADC_1A-3C_n40A-n77A,DC_1A_n40ADC_1A_n77ADC_3A_n40ADC_3A_n77A
DC_1A-3A_n40A-n77(2A),DC_1A_n40ADC_1A_n77ADC_3A_n40ADC_3A_n77A
DC_1A-3A_n40A-n78ADC_1A-3A_n40A-n78C,DC_1A_n40ADC_1A_n78ADC_3A_n40ADC_3A_n78A
DC_1A-3A-40A_n78ADC_1A-3A-40C_n78A,DC_1A_n78ADC_3A_n78ADC_40A_n78A
DC_1A-3A_n40A-n105A,DC_1A_n40ADC_1A_n105ADC_3A_n40ADC_3A_n105A
DC_1A-3A-40A_n78(2A)DC_1A-3A-40C_n78(2A),DC_1A_n78ADC_3A_n78ADC_40A_n78A
DC_1A-3A-41A_n1ADC_1A-3A-41C_n1A,DC_1A_n1A4DC_3A_n1ADC_41A_n1A
DC_1A-3A-3A-41A_n1ADC_1A-3A-3A-41C_n1A,DC_1A_n1A4DC_3A_n1ADC_41A_n1A
DC_1A-3A-41A_n3ADC_1A-3A-41C_n3A,DC_1A_n3ADC_3A_n3A4DC_41A_n3ADC_41C_n3A
DC_1A-3A-41A_n28A2DC_1A-3A-41C_n28A2,DC_1A_n28ADC_3A_n28ADC_41A_n28ADC_41C_n28A
DC_1A-3A-41A_n41A,DC_1A_n41ADC_3A_n41A
DC_1A-3A-3A-41A_n41A,DC_1A_n41ADC_3A_n41ADC_41A_n41A4
DC_1A-3A-(n)41AA,DC_1A_n41ADC_3A_n41A
DC_1A-3A-41A_n77A9DC_1A-3A-41C_n77A9,DC_1A_n77A9DC_3A_n77A9DC_41A_n77ADC_41C_n77A
DC_1A-3A-41A_n77(2A) 9DC_1A-3A-41C_n77(2A) 9,DC_1A_n77A9DC_3A_n77A9DC_41A_n77ADC_41C_n77A
DC_1A-3A_n41A-n77A,DC_1A_n41ADC_1A_n77ADC_3A_n41ADC_3A_n77A
DC_1A-3A_n41A-n77(2A),DC_1A_n41ADC_1A_n77ADC_3A_n41ADC_3A_n77A
DC_1A-3A-41A_n78ADC_1A-3A-41C_n78A,DC_1A_n78ADC_3A_n78ADC_41A_n78ADC_41C_n78A
DC_1A-3A-3A-41A_n78ADC_1A-3A-3A-41C_n78A,DC_1A_n78ADC_3A_n78ADC_41A_n78A
DC_1A-3A_n41A-n78A,DC_1A_n41ADC_1A_n78ADC_3A_n41ADC_3A_n78A
DC_1A-3A_n41A-n78(2A),DC_1A_n41ADC_1A_n78ADC_3A_n41ADC_3A_n78A
DC_1A-3A-41A_n78(2A)DC_1A-3A-41C_n78(2A),DC_1A_n78ADC_3A_n78ADC_41A_n78ADC_41C_n78A
DC_1A-3A-41A_n79A2DC_1A-3A-41C_n79A2,DC_1A_n79ADC_3A_n79ADC_41A_n79A
DC_1A-3A-42A_n28A2DC_1A-3A-42C_n28A2,DC_1A_n28ADC_3A_n28ADC_42A_n28ADC_42C_n28A
"DC_1A-3A-42A_n77A7,8,9DC_1A-3A-42A_n77C7,8DC_1A-3A-42C_n77A7,8,9DC_1A-3A-42C_n77C7,8DC_1A-3A-42D_n77A7,8,9",DC_1A_n77A9DC_3A_n77A9
"DC_1A-3A-42A_n77(2A) 7,8DC_1A-3A-42C_n77(2A) 7,8",DC_1A_n77ADC_3A_n77A
"DC_1A-3A-42A_n78A7,8,9DC_1A-3A-42A_n78C7,8DC_1A-3A-42C_n78A7,8,9DC_1A-3A-42C_n78C7,8DC_1A-3A-42D_n78A7,8,9",DC_1A_n78A9DC_3A_n78A9
DC_1A-3A-42A_n79A9DC_1A-3A-42A_n79CDC_1A-3A-42C_n79A9DC_1A-3A-42C_n79CDC_1A-3A-42D_n79A9,DC_1A_n79A9DC_3A_n79A9
DC_1A-3A_n71A-n77ADC_1A-3C_n71A-n77A,DC_1A_n71ADC_1A_n77ADC_3A_n71ADC_3A_n77A
DC_1A-3A_n75A-n78ADC_1A-3C_n75A-n78A,DC_1A_n78ADC_3A_n78ADC_3C_n78A
DC_1A-3A_n77A-n79A9,DC_1A_n77A9DC_1A_n79A9DC_3A_n77A9DC_3A_n79A9
DC_1A-(n)3AA-n77ADC_1A-(n)3CA-n77A,DC_1A_n3ADC_1A_n77ADC_3A_n3A4DC_(n)3AA4DC_3A_n77ADC_3C_n77A
DC_1A-(n)3AA-n77(2A)DC_1A-(n)3CA-n77(2A),DC_1A_n3ADC_1A_n77ADC_3A_n3A4DC_(n)3AA4DC_3A_n77A
DC_1A_n3A-n77A-n79A9,DC_1A_n3ADC_1A_n77A9DC_1A_n79A9
DC_1A_n3A-n77(2A)-n79A9,DC_1A_n3ADC_1A_n77A9DC_1A_n79A9
DC_1A-3A_n78A-n79A9,DC_1A_n78A9DC_1A_n79A9DC_3A_n78A9DC_3A_n79A9
DC_1A-3A_n78A-n105A,DC_1A_n78ADC_1A_n105ADC_3A_n78ADC_3A_n105A
DC_1A-3A_SUL_n78A-n80A,DC_1A_n78ADC_1A_n80ADC_3A_n78ADC_3A_n80A_ULSUP-TDM_n78A
DC_1A-5A-7A_n28A,DC_1A_n28ADC_5A_n28ADC_7A_n28A
DC_1A-5A-7A-7A_n28A,DC_1A_n28ADC_5A_n28ADC_7A_n28A
DC_1A-5A-7A_n40A,DC_1A_n40ADC_5A_n40ADC_7A_n40A
DC_1A-5A-7A-7A_n40A,DC_1A_n40ADC_5A_n40ADC_7A_n40A
DC_1A-5A-7A_n77A,DC_1A_n77ADC_5A_n77ADC_7A_n77A
DC_1A-5A-7A_n77(2A)DC_1A-5A-7A_n77(3A),DC_1A_n77ADC_5A_n77ADC_7A_n77A
DC_1A-5A-7A-7A_n77A,DC_1A_n77ADC_5A_n77ADC_7A_n77A
DC_1A-5A-7A-7A_n77(2A)DC_1A-5A-7A-7A_n77(3A),DC_1A_n77ADC_5A_n77ADC_7A_n77A
DC_1A-5A-7A_n78ADC_1A-5A-7A_n78CDC_1A-1A-5A-7A_n78A,DC_1A_n78ADC_5A_n78ADC_7A_n78A
DC_1A-5A-7A_n78(2A),DC_1A_n78ADC_5A_n78ADC_7A_n78A
DC_1A-5A-7A_n78(A-C),DC_1A_n78ADC_5A_n78ADC_7A_n78A
DC_1A-5A-7A-7A_n78ADC_1A-5A-7A-7A_n78C,DC_1A_n78ADC_5A_n78ADC_7A_n78A
DC_1A-5A-7A-7A_n78(2A),DC_1A_n78ADC_5A_n78ADC_7A_n78A
DC_1A-5A-7A-7A_n78(A-C),DC_1A_n78ADC_5A_n78ADC_7A_n78A
DC_1A-5A_n28A-n78A,DC_1A_n28ADC_1A_n78ADC_5A_n28ADC_5A_n78A
DC_1A-5A_n40A-n77A,DC_1A_n40ADC_1A_n77ADC_5A_n40ADC_5A_n77A
DC_1A-5A_n40A-n77(2A),DC_1A_n40ADC_1A_n77ADC_5A_n40ADC_5A_n77A
DC_1A-5A_n40A-n78ADC_1A-5A_n40A-n78C,DC_1A_n40ADC_1A_n78ADC_5A_n40ADC_5A_n78A
DC_1A-5A-41A_n79A,DC_1A_n79ADC_5A_n79ADC_41A_n79A
DC_1A-7A_n3A-n38A,DC_1A_n3A
DC_1A-7A_n3A-n78ADC_1A-7C_n3A-n78A,DC_1A_n3ADC_1A_n78ADC_7A_n3ADC_7C_n3ADC_7A_n78ADC_7C_n78A
DC_1A-7A_n3A-n78(2A)DC_1A-7C_n3A-n78(2A),DC_1A_n3ADC_1A_n78ADC_7A_n3ADC_7C_n3ADC_7A_n78ADC_7C_n78A
DC_1A-7A_n5A-n40A,DC_1A_n5ADC_1A_n40ADC_7A_n5ADC_7A_n40A
DC_1A-7A_n5A-n78ADC_1A-7C_n5A-n78A,DC_1A_n5ADC_1A_n78ADC_7A_n5ADC_7A_n78ADC_7C_n5ADC_7C_n78A
DC_1A-7A_n38A-n78A,DC_1A_n78A
DC_1A-7A-8A_n3A,DC_1A_n3ADC_7A_n3ADC_8A_n3A
DC_1A-7A-8A_n7A,DC_1A_n7ADC_7A_n7ADC_8A_n7A
DC_1A-7A-8A_n20A,DC_1A_n20ADC_7A_n20ADC_8A_n20A
DC_1A-7A-8A_n28A,DC_1A_n28ADC_7A_n28ADC_8A_n28A
DC_1A-7A-7A-8A_n28A,DC_1A_n28ADC_7A_n28ADC_8A_n28A
DC_1A-7A_n7A-n78A,DC_1A_n7ADC_7A_n7A4DC_1A_n78ADC_7A_n78A
DC_1A-7A-8A_n78A2DC_1A-7A-8B_n78A2,DC_1A_n78ADC_7A_n78ADC_8A_n78ADC_8B_n78A
DC_1A-7A-7A-8A_n78A2DC_1A-7A-7A-8B_n78A2,DC_1A_n78ADC_7A_n78ADC_8A_n78ADC_8B_n78A
DC_1A-7A-7A-8A_n78(2A),DC_1A_n78ADC_7A_n78ADC_8A_n78A
DC_1A-7A-8A_n78(2A),DC_1A_n78ADC_7A_n78ADC_8A_n78A
DC_1A-7A_n8A-n78A14,DC_1A_n8ADC_1A_n78A14DC_7A_n8ADC_7A_n78A14
"DC_1A-7A-7A_n8A-n78A2,14",DC_1A_n8ADC_1A_n78A14DC_7A_n8ADC_7A_n78A14
DC_1A-7A-20A_n3ADC_1A-7C-20A_n3A,DC_1A_n3ADC_7A_n3ADC_7C_n3ADC_20A_n3A
DC_1A-7A-20A_n8A,DC_1A_n8ADC_7A_n8ADC_20A_n8A
