Test category,Test case,Test case name
,A.9.1.3,FDD—FDD Inter frequency caseMeasurement accuracy requirement in 9.1.3.3 and 9.1.3.4
,A.9.1.4,TDD—TDD Inter frequency caseMeasurement accuracy requirement in 9.1.3.3 and 9.1.3.4
,A.9.1.5,FDD—TDD Inter frequency caseMeasurement accuracy requirement in 9.1.3.3 and 9.1.3.4
RSRQ measurement accuracy tests,A.9.2.1,FDD Intra frequency caseMeasurement accuracy requirement in 9.1.5.5
,A.9.2.2,TDD Intra frequency caseMeasurement accuracy requirement in 9.1.5.5
,A.9.2.3,FDD—FDD Inter frequency caseMeasurement accuracy requirement in 9.1.6.5 and 9.1.6.6
,A.9.2.4,TDD—TDD Inter frequency caseMeasurement accuracy requirement in 9.1.6.5 and 9.1.6.6
,A.9.2.4A,FDD—TDD Inter frequency caseMeasurement accuracy requirement in 9.1.6.5 and 9.1.6.6
UE Rx-Tx time difference measurement accuracy tests,A.9.7.1,E-UTRAN FDD UE Rx – Tx time difference case
,A.9.7.2,E-UTRA TDD
RSTD  measurement accuracy tests,A.9.8.1,E-UTRAN FDD RSTD intra frequency caseMeasurement accuracy requirement in 9.1.10.5
,A.9.8.2,E-UTRAN TDD RSTD intra frequency caseMeasurement accuracy requirement in 9.1.10.5
,A.9.8.3,E-UTRAN FDD-FDD RSTD inter frequency caseMeasurement accuracy requirement in 9.1.10.6
,A.9.8.4,E-UTRAN TDD-TDD RSTD inter frequency caseMeasurement accuracy requirement in 9.1.10.5
