,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-112,
,,NR_FDD_FR1_F,,,,,,,,-111.5,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-111,
,,NR_FDD_FR1_H,,,,,,,,-110.5,
,,NR_FDD_FR1_N,,,,,,,,-107.5,
Note2,"Config 1,2","NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6",dBm/SCS,-85,,-101,,,,-114,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,-113.5,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,-113,
,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,-112.5,
,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-112,
,,NR_FDD_FR1_F,,,,,,,,-111.5,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-111,
,,NR_FDD_FR1_H,,,,,,,,-110.5,
,,NR_FDD_FR1_N,,,,,,,,-107.5,
,Config 3,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6",,-88,,-,,,,-111,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,-110.5,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,-110,
,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,-109.5,
,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-109,
,,NR_FDD_FR1_F,,,,,,,,-108.5,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-108,
,,NR_FDD_FR1_H,,,,,,,,-107.5,
,,NR_FDD_FR1_N,,,,,,,,-104.5,
for SSB,,,dB,-1.76,,-4.7,,,,-5.46,-5.46
for CSI-RS,,,dB,-1.76,,-4.7,,,,-5.46,-5.46
for SSB,,,dB,3,3,-2.9,,,-2.9,-4,-4
for CSI-RS,,,dB,3,3,-2.9,,,-2.9,-4,-4
SS-RSRP/CSI-RSRPNote3,"Config 1,2","NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6",dBm/SCS,-82,-82,-103.9,,,-103.9,-118,-118
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,-117.5,-117.5
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,-117,-117
,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,-116.5,-116.5
,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-116,-116
,,NR_FDD_FR1_F,,,,,,,,-115.5,-115.5
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-115,-115
,,NR_FDD_FR1_H,,,,,,,,-114.5,-114.5
,,NR_FDD_FR1_N,,,,,,,,-111.5,-111.5
,Config 3,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6",,-85,-85,-,,,-,-115,-115
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,-114.5,-114.5
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,-114,-114
,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,-113.5,-113.5
,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-113,-113
,,NR_FDD_FR1_F,,,,,,,,-112.5,-112.5
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-112,-112
,,NR_FDD_FR1_H,,,,,,,,-111.5,-111.5
,,NR_FDD_FR1_N,,,,,,,,-108.5,-108.5
SS-RSRQ/CSI-RSRQ Note3,,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6",dB,-14.77,-14.77,-16.76,,,-16.76,-17.34,-17.34
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,,
,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,,
,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,,
,,NR_FDD_FR1_F,,,,,,,,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,,
,,NR_FDD_FR1_H,,,,,,,,,
,,NR_FDD_FR1_N,,,,,,,,,
IoNote3,"Config 1,2","NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6",dBm/9.36 MHz,-50,,-70,,,,-83.5,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,-83,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,-82.5,
,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,-82,
,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-81.5,
,,NR_FDD_FR1_F,,,,,,,,-81,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-80.5,
,,NR_FDD_FR1_H,,,,,,,,-80,
,,NR_FDD_FR1_N,,,,,,,,-77,
,Config 3,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6",dBm/38.16 MHz,-50,,-,,,,-77.4,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,-76.9,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,-76.4,
,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,-75.9,
,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-75.4,
,,NR_FDD_FR1_F,,,,,,,,-74.9,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-74.4,
,,NR_FDD_FR1_H,,,,,,,,-73.9,
,,NR_FDD_FR1_N,,,,,,,,-70.9,
Propagation condition,,,-,AWGN,AWGN,AWGN,,,AWGN,AWGN,AWGN
Antenna configuration,,,,1x2,1x2,1x2,,,1x2,1x2,1x2
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRQ/CSI-RSRQ, SS-RSRP/CSI-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRQ/CSI-RSRQ, SS-RSRP/CSI-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:NR operating band groups are as defined in clause 3.5.2.NOTE 6: The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specification.",,,,,,,,,,,
