,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,-112,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,-111.5,
,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,-111,
,,,NR_FDD_FR1_F,,,,-110.5,
,,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,-110,
,,,NR_FDD_FR1_H,,,,-109.5,
,,,NR_FDD_FR1_N,,,,-106.5,
for SSB,,,,dB,0,-3.19,-5.46,-5.46
for CSI-RS,,,,dB,0,-3.19,-5.46,-5.46
for SSB,,,,dB,4.54,2.66,-4,-4
for CSI-RS,,,,dB,4.54,2.66,-4,-4
CSI-RSRPNote3,"Config 1,2",,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6",dBm/SCS,-88.46,-90.34,-120,-120
,,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,-119.5,-119.5
,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,-119,-119
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,-118.5,-118.5
,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,-118,-118
,,,NR_FDD_FR1_F,,,,-117.5,-117.5
,,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,-117,-117
,,,NR_FDD_FR1_H,,,,-116.5,-116.5
,,,NR_FDD_FR1_N,,,,-113.5,-113.5
,Config 3,,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6",,-85.46,-87.34,-117,-117
,,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,-116.5,-116.5
,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,-116,-116
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,-115.5,-115.5
,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,-115,-115
,,,NR_FDD_FR1_F,,,,-114.5,-114.5
,,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,-114,-114
,,,NR_FDD_FR1_H,,,,-113.5,-113.5
,,,NR_FDD_FR1_N,,,,-113.5,-113.5
CSI-SINR Note3,,,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6",dB,0,-3.19,-5.46,-5.46
,,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,
,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,
,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,
,,,NR_FDD_FR1_F,,,,,
,,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,
,,,NR_FDD_FR1_H,,,,,
,,,NR_FDD_FR1_N,,,,-110.5,-110.5
IoNote3,"Config 1,2",,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6",dBm/9.36 MHz,-57.5,,-85.51,
,,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,-85.01,
,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,-84.51,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,-84.01,
,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,-83.51,
,,,NR_FDD_FR1_F,,,,-83.01,
,,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,-82.51,
,,,NR_FDD_FR1_H,,,,-82.01,
,,,NR_FDD_FR1_N,,,,-79.01,
,Config 3,,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6",dBm/38.16 MHz,-51.41,,-79.41,
,,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,-78.91,
,,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,-78.41,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,-77.91,
,,,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,-77.41,
,,,NR_FDD_FR1_F,,,,-76.91,
,,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,-76.41,
,,,NR_FDD_FR1_H,,,,-75.91,
,,,NR_FDD_FR1_N,,,,-72.91,
Propagation condition,,,,-,AWGN,,,
Antenna configuration,,,,-,1x2,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:CSI-SINR, CSI-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:CSI-SINR, CSI-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:NR operating band groups are as defined in clause 3.5.2. NOTE 6:The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specification.",,,,,,,,
