,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,-114.5,,
,,NR_FDD_FR1_H,,,,,,,-113,,
,,NR_FDD_FR1_N,,,,,,,-110,,
for SSB,,,dB,-1.75,-1.75,15,15,,-4.0,,-4.0
for CSI-RS,,,dB,-1.75,-1.75,15,15,,-4.0,,-4.0
for SSB,,,dB,-1.75,,15,,,-4.0,,
for CSI-RS,,,dB,-1.75,,15,,,-4.0,,
CSI-RSRPNote3,"Config 1,2",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/SCS,-89.75,,-93.5,,,-123.5,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,-123,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,-122.5,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,-122,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,-121.5,,
,,NR_FDD_FR1_F,,,,,,,-121,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,-120.5,,
,,NR_FDD_FR1_H,,,,,,,-120,,
,,NR_FDD_FR1_N,,,,,,,-117,,
,Config 3,NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,,-86.75,,-90.5,,,-120.5,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,-120,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,-119.5,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,-119,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,-118.5,,
,,NR_FDD_FR1_F,,,,,,,-118,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,-117.5,,
,,NR_FDD_FR1_H,,,,,,,-117,,
,,NR_FDD_FR1_N,,,,,,,-114,,
CSI-SINRNote3,,NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dB,-1.75,,15,,,-4.0,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,,,
,,NR_FDD_FR1_F,,,,,,,,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,,
,,NR_FDD_FR1_H,,,,,,,,,
,,NR_FDD_FR1_N,,,,,,,,,
IoNote3,"Config 1,2",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/9.36 MHz,-57.83,,-65.4,,,-90.09,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,-89.59,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,-89.09,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,-88.59,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,-88.09,,
,,NR_FDD_FR1_F,,,,,,,-87.59,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,-87.09,,
,,NR_FDD_FR1_H,,,,,,,-86.59,,
,,NR_FDD_FR1_N,,,,,,,-83.59,,
,Config 3,NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/38.16 MHz,-51.73,,-59.3,,,-84,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,-83.5,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,-83,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,-82.5,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,-82,,
,,NR_FDD_FR1_F,,,,,,,-81.5,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,-81,,
,,NR_FDD_FR1_H,,,,,,,-80.5,,
,,NR_FDD_FR1_N,,,,,,,-77.5,,
Propagation condition,,,-,AWGN,,,,,,,
Antenna configuration,,,-,1x2,,,,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:CSI-SINR, CSI-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:CSI-SINR, CSI-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:NR operating band groups are as defined in clause 3.5.2.NOTE 6:The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specification.",,,,,,,,,,,
