,,NR_FDD_FR1_F,,,,,,,-113.5,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,-113,,
,,NR_FDD_FR1_H,,,,,,,-112.5,,
,,NR_FDD_FR1_N,,,,,,,-109.5,,
Note2,"Config 1,2",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/15 kHz,-80.18,,-106,,,-116,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,-115.5,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,-115,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,-114.5,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,-114,,
,,NR_FDD_FR1_F,,,,,,,-113.5,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,-113,,
,,NR_FDD_FR1_H,,,,,,,-112.5,,
,,NR_FDD_FR1_N,,,,,,,-109.5,,
,Config 3,NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,,-83.27,,-110,,,-113,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,-112.5,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,-112,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,-111.5,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,-111,,
,,NR_FDD_FR1_F,,,,,,,-110.5,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,-110,,
,,NR_FDD_FR1_H,,,,,,,-109.5,,
,,NR_FDD_FR1_N,,,,,,,-106.5,,
,,,dB,-1.75,,-1.75,,,3,,-1.75
,,,dB,-1.75,,-1.75,,,3,,-1.75
SS-RSRPNote3,"Config 1,2",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/SCS,-81.93,-81.93,-107.75,-107.75,,-113,,-117.75
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,-112.5,,-117.25
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,-112,,-116.75
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,-111.5,,-116.25
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,-111,,-115.75
,,NR_FDD_FR1_F,,,,,,,-110.5,,-115.2
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,-110,,-114.75
,,NR_FDD_FR1_H,,,,,,,-109.5,,-114.25
,,NR_FDD_FR1_N,,,,,,,-106.5,,-111.25
,Config 3,NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,,-85.02,-85.02,-111.75,-111.75,,-110,,-114.75
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,-109.5,,-114.25
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,-109,,-113.75
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,-108.5,,-113.25
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,-108,,-112.75
,,NR_FDD_FR1_F,,,,,,,-107.5,,-112.2
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,-107,,-111.75
,,NR_FDD_FR1_H,,,,,,,-106.5,,-111.25
,,NR_FDD_FR1_N,,,,,,,-103.5,,-108.25
SS-RSRQNote3,,NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dB,-14.77,-14.77,-14.77,-14.77,,12.56,,14.76
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,,,
,,NR_FDD_FR1_F,,,,,,,,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,,
,,NR_FDD_FR1_H,,,,,,,,,
,,NR_FDD_FR1_N,,,,,,,,,
IoNote3,"Config 1,2",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/SCS,-50,,-75.83,,,-83.28,,-85.83
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,-82.78,,-85.33
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,-82.28,,-84.83
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,-81.78,,-84.33
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,-81.28,,-83.83
,,NR_FDD_FR1_F,,,,,,,-80.78,,-83.33
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,-80.28,,-82.83
,,NR_FDD_FR1_H,,,,,,,-79.78,,-82.33
,,NR_FDD_FR1_N,,,,,,,-76.78,,-79.33
,Config 3,NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,,-50,,-76.73,,,-77.19,,-79.73
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,-76.69,,-79.23
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,-76.19,,-78.73
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,-75.69,,-78.23
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,-75.19,,-77.73
,,NR_FDD_FR1_F,,,,,,,-74.69,,-77.23
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,-74.19,,-76.73
,,NR_FDD_FR1_H,,,,,,,-73.69,,-76.53
,,NR_FDD_FR1_N,,,,,,,-70.69,,-73.53
Propagation condition,,,-,AWGN,AWGN,AWGN,AWGN,,AWGN,,AWGN
Antenna configuration,,,,1x2,1x2,1x2,1x2,,1x2,,1x2
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRQ, SS-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRQ, SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:NR operating band groups are as defined in clause 3.5.2. NOTE 6: The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specification.",,,,,,,,,,,
