NR CA configuration / Bandwidth combination set,,,,
CA configuration,Uplink CA configurations,"(BWChannel,block) (MHz)",BCS,
CA_n260(6A-O-P),-,2900,0,
CA_n260(4A-3O),-,2200,0,
CA_n260(5A-O),CA_n260O,2200,0,
CA_n260(6A-O),CA_n260O,2600,0,
CA_n260(7A-O),-,2950,0,
CA_n260(8A-O),-,2950,0,
CA_n260(4A-2O),CA_n260O,2000,0,
CA_n260(4A-2Q),-,2400,0,
CA_n260(3A-3O),-,1800,0,
CA_n260(A-G-O),CA_n260G/O,800,0,
CA_n260(A-G-2O),CA_n260G/O,1000,0,
CA_n260(A-G-3O),-,1200,0,
CA_n260(A-G-4O),-,1400,0,
CA_n260(2A-G-O),CA_n260G/O,1200,0,
CA_n260(A-2G-O),CA_n260G/O,1000,0,
CA_n260(A-3G-O),-,1200,0,
CA_n260(A-3O),CA_n260O,1000,0,
CA_n260(3A-O),CA_n260O,1400,0,
CA_n260(3A-O-P),CA_n260O/P,1700,0,
CA_n260(3A-O-P-Q),-,2100,0,
CA_n260(3A-O-2P),-,2000,0,
CA_n260(3A-O-Q),-,1800,0,
CA_n260(3A-O-2Q),-,2200,0,
CA_n260(A-4O),-,1200,0,
CA_n260(2A-4O),-,1600,0,
CA_n260(3A-4O),-,2000,0,
CA_n260(4A-4O),-,2400,0,
CA_n260(5A-4O),-,2800,0,
CA_n260(A-P),CA_n260O/P,700,0,
CA_n260(A-3P),-,1300,0,
CA_n260(A-4P),-,1600,0,
CA_n260(A-P-Q),CA_n260O/P/Q,1100,0,
CA_n260(2A-P),CA_n260O/P,1100,0,
CA_n260(2A-P-Q),-,1500,0,
CA_n260(3A-P),CA_n260O/P,1500,0,
CA_n260(3A-P-Q),-,1900,0,
CA_n260(4A-P),CA_n260O/P,1900,0,
CA_n260(4A-P-Q),-,2300,0,
CA_n260(5A-P),CA_n260O/P,2300,0,
CA_n260(6A-P),-,2700,0,
CA_n260(7A-P),-,3000,0,
CA_n260(A-2P),CA_n260O/P,1000,0,
CA_n260(2A-2P),CA_n260O/P,1400,0,
CA_n260(2A-3P),-,1700,0,
CA_n260(2A-4P),-,2000,0,
CA_n260(3A-2P),-,1800,0,
CA_n260(3A-3P),-,2100,0,
CA_n260(4A-2P),-,2200,0,
CA_n260(5A-2P),-,2600,0,
CA_n260(5A-2O),-,2400,0,
CA_n260(6A-2O),-,2800,0,
CA_n260(5A-3O),-,2600,0,
CA_n260(6A-3O),-,2950,0,
CA_n260(7A-2O),-,2950,0,
CA_n260(7A-3O),-,2950,0,
CA_n260(6A-2P),-,2950,0,
CA_n260(8A-2O),-,2550,0,
CA_n260(9A-O),-,3000,0,
CA_n260(A-Q),CA_n260O/P/Q,800,0,
CA_n260(A-2Q),-,1200,0,
CA_n260(2A-Q),CA_n260O/P/Q,1200,0,
CA_n260(2A-2Q),-,1600,0,
CA_n260(3A-Q),CA_n260O/P/Q,1600,0,
CA_n260(3A-2Q),-,2000,0,
CA_n260(4A-Q),CA_n260O/P/Q,2000,0,
CA_n260(5A-Q),-,2400,0,
CA_n260(D-2G),-,800,0,
CA_n260(2D-O),-,1000,0,
CA_n260(D-2O),-,800,0,
CA_n260(A-I),CA_n260G/H/I,800,0,
CA_n260(D-G),CA_n260D/G,600,0,
CA_n260(D-H),CA_n260D/G/H,700,0,
CA_n260(D-I),CA_n260D/G/H/I,800,0,
CA_n260(D-O),CA_n260D/O,600,0,
CA_n260(D-P),CA_n260D/O/P,700,0,
CA_n260(D-Q),CA_n260D/O/P/Q,800,0,
CA_n260(E-O),CA_n260D/E/O,800,0,
CA_n260(E-P),CA_n260D/E/O/P,800,0,
CA_n260(E-Q),CA_n260D/E/O/P/Q,1000,0,
CA_n260(G-H),CA_n260G/H,500,0,
CA_n260(G-H-O),CA_n260G/H/O,700,0,
CA_n260(G-I),CA_n260G/H/I,600,0,
CA_n260(G-O),CA_n260G/O,400,0,
CA_n260(G-2O),CA_n260G/O,600,0,
CA_n260(2G-O),CA_n260G/O,600,0,
CA_n260(2G-2O),CA_n260G/O,800,0,
CA_n260(G-3O),CA_n260G/O,800,0,
CA_n260(3G-O),CA_n260G/O,800,0,
CA_n260(2G-3O),-,1000,0,
CA_n260(G-4O),-,1000,0,
CA_n260(2G-4O),-,1200,0,
CA_n260(4G-O),-,1000,0,
CA_n260(H-O),CA_n260G/H/O,500,0,
CA_n260(2H-O),CA_n260G/H/O,800,0,
CA_n260(O-2P),CA_n260O/P,800,0,
CA_n260(O-3P),-,1100,0,
CA_n260(O-2Q),-,1000,0,
CA_n260(O-P),CA_n260O/P,500,0,
CA_n260(O-P-Q),-,900,0,
CA_n260(2O-P),CA_n260O/P,700,0,
CA_n260(2O-P-Q),-,1100,0,
CA_n260(2O-2P),-,1000,0,
CA_n260(3O-P),,900,0,
CA_n260(3O-Q),,1000,0,
CA_n260(O-Q),CA_n260O/P/Q,600,0,
CA_n260(2O-Q),CA_n260O/P/Q,800,0,
CA_n260(2O-2Q),-,1200,0,
CA_n260(P-Q),CA_n260O/P/Q,700,0,
CA_n261(A-D),-,800,0,
CA_n261(A-E),-,800,0,
CA_n261(2A-D),-,800,0,
CA_n261(2A-D-O),-,800,0,
CA_n261(A-2D),-,800,0,
CA_n261(A-D-G),-,800,0,
CA_n261(A-D-H),-,800,0,
CA_n261(A-D-O),-,800,0,
CA_n261(A-D-2O),-,800,0,
CA_n261(A-G),CA_n261G,600,0,
CA_n261(A-G-H),CA_n261G/H,800,0,
CA_n261(A-G-I),CA_n261G/H/I,800,0,
CA_n261(A-G-O),CA_n261G,800,0,
CA_n261(2A-G-O),CA_n261G,800,0,
CA_n261(A-G-2O),CA_n261G,800,0,
CA_n261(2A-G-2O),CA_n261G,800,0,
CA_n261(A-2G-O),CA_n261G,800,0,
CA_n261(A-2G-2O),-,800,0,
CA_n261(A-3G),CA_n261G,800,0,
CA_n261(A-3G-O),-,800,0,
CA_n261(A-2G),CA_n261G,800,0,
CA_n261(A-4G),-,800,0,
CA_n261(A-H),CA_n261G/H,700,0,
CA_n261(A-2H),CA_n261G/H,800,0,
CA_n261(A-H-I),CA_n261G/H/I,800,0,
CA_n261(A-I),CA_n261G/H/I,800,0,
CA_n261(A-2I),-,800,0,
CA_n261(A-J),CA_n261G/H/I/J,700,0,
CA_n261(A-K),CA_n261G/H/I/J/K,800,0,
CA_n261(A-L),CA_n261A/G/H/I/J/K/L,800,0,
CA_n261(A-O),-,600,0,
CA_n261(A-O-P),-,800,0,
CA_n261(A-O-Q),-,800,0,
CA_n261(2A-O),-,800,0,
CA_n261(A-2O),-,800,0,
CA_n261(A-3O),-,800,0,
CA_n261(A-4O),-,800,0,
CA_n261(A-5O),-,800,0,
CA_n261(A-6O),-,800,0,
CA_n261(A-7O),-,800,0,
CA_n261(A-P),-,700,0,
CA_n261(A-P-Q),-,800,0,
CA_n261(2A-P),-,800,0,
CA_n261(A-2P),-,800,0,
CA_n261(A-Q),-,800,0,
CA_n261(2A-Q),-,800,0,
CA_n261(A-2Q),-,800,0,
CA_n261(2A-G),CA_n261G,800,0,
CA_n261(2A-2G),CA_n261G,800,0,
CA_n261(2A-2G-O),CA_n261G,800,0,
CA_n261(2A-3G),CA_n261G,800,0,
CA_n261(2A-2O),-,800,0,
CA_n261(2A-3O),-,800,0,
CA_n261(2A-4O),-,800,0,
CA_n261(2A-5O),-,800,0,
CA_n261(2A-6O),-,800,0,
CA_n261(2A-H),CA_n261G/H,800,0,
CA_n261(2A-I),CA_n261G/H/I,800,0,
CA_n261(3A-G),CA_n261G,800,0,
CA_n261(3A-G-O),CA_n261G,800,0,
CA_n261(3A-2G),CA_n261G,800,0,
CA_n261(3A-D),-,800,0,
CA_n261(3A-O),-,800,0,
CA_n261(3A-2O),-,800,0,
CA_n261(3A-3O),-,800,0,
CA_n261(3A-4O),-,800,0,
CA_n261(3A-5O),-,800,0,
CA_n261(4A-G),CA_n261G,800,0,
CA_n261(4A-O),-,800,0,
CA_n261(4A-2O),-,800,0,
CA_n261(4A-3O),-,800,0,
CA_n261(4A-4O),-,800,0,
CA_n261(5A-O),-,800,0,
CA_n261(5A-2O),-,800,0,
CA_n261(5A-3O),-,800,0,
CA_n261(6A-O),-,800,0,
CA_n261(6A-2O),-,800,0,
CA_n261(7A-O),-,800,0,
CA_n261(D-G),CA_n261D/G,600,0,
CA_n261(D-H),CA_n261D/G/H,700,0,
CA_n261(D-I),CA_n261D/G/H/I,800,0,
CA_n261(D-O),CA_n261D/O,600,0,
CA_n261(D-2O),-,800,0,
CA_n261(D-P),CA_n261D/P,700,0,
CA_n261(D-Q),CA_n261D/O/P/Q,800,0,
CA_n261(E-O),CA_n261D/E/O,800,0,
CA_n261(E-P),CA_n261D/E/O/P,800,0,
CA_n261(E-Q),CA_n261D/E/O/P/Q,800,0,
CA_n261(G-I),CA_n261G/H/I,600,0,
CA_n261(G-H),CA_n261G/H,500,0,
CA_n261(G-J),CA_n261A/G/H/I/J,700,0,
CA_n261(2G-2O),CA_n261G,800,0,
CA_n261(G-O),CA_n261G,400,0,
CA_n261(G-2O),CA_n261G,600,0,
CA_n261(2G-O),CA_n261G,600,0,
CA_n261(3G-O),CA_n261G,800,0,
CA_n261(H-I),CA_n261G/H/I,700,0,
CA_n261(O-P),-,500,0,
CA_n261(O-Q),-,600,0,
CA_n261(P-Q),-,700,0,
"NOTE 1:VoidNOTE 2:VoidNOTE 3:Channel bandwidth per operating band defined in Table 5.3.5-1NOTE 4:Configurations for intra-band contiguous CA defined in Table 5.5A.1-1 NOTE 5:Configurations for intra-band non-contiguous CA defined in Table 5.5A.2-1NOTE 6:VoidNOTE 7:Unless otherwise stated, BCS0 is referred in each constituent CA configuration.NOTE 8:(BWChannel,block) denotes the maximum total bandwidth from the summation of the sub-block bandwidths and shall be less than the bandwidth of the operating band.NOTE 9:The delimiter “/” is only used in the uplink configurations for the sake of simplicity. For example, CA_nyA/B/C denotes CA_nyA, CA_nyB and CA_nyC, where ny is a FR2 NR band and A, B and C are the corresponding bandwidth classes respectively.",,,,
