NR CA configuration / Bandwidth combination set / Fallback group,,,,,,,,,,,,,,,,
NR CA configuration,Uplink CA configurations,BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),BWchannel (MHz),Maximum aggregatedBW (MHz),BCS,Fallback group
CA_n258P,CA_n258O/P,"50, 100","50, 100","50, 100",,,,,,,,,,300,0,
CA_n258Q,CA_n258O/P/Q,"50, 100","50, 100","50, 100","50, 100",,,,,,,,,400,0,
CA_n258R2,CA_n258R2,"100, 200","100, 200",,,,,,,,,,,400,0,5
CA_n258R3,CA_n258R2/R3,"100, 200","100, 200","100, 200",,,,,,,,,,600,0,
CA_n258R4,CA_n258R2/R3/R4,"100, 200","100, 200","100, 200","100, 200",,,,,,,,,800,0,
CA_n258R5,CA_n258R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200",,,,,,,,1000,0,
CA_n258R6,CA_n258R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",,,,,,,1200,0,
CA_n258R7,CA_n258R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",,,,,,1400,0,
CA_n258R8,CA_n258R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",,,,,16004,0,
CA_n258R9,CA_n258R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",,,,18004,0,
CA_n258R10,CA_n258R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",,,20004,0,
CA_n258R11,CA_n258R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",,22004,0,
CA_n258R12,CA_n258R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",24004,0,
CA_n259B,CA_n259B,"50, 100, 200, 400",400,,,,,,,,,,,800,0,1
CA_n259C,CA_n259B,"50, 100, 200, 400",400,400,,,,,,,,,,1200,0,
CA_n259G,CA_n259G,"50, 100",100,,,,,,,,,,,200,0,3
CA_n259H,CA_n259G/H,"50, 100",100,100,,,,,,,,,,300,0,
CA_n259I,CA_n259G/H/I,"50, 100",100,100,100,,,,,,,,,400,0,
CA_n259J,CA_n259G/H/I/J,"50, 100",100,100,100,100,,,,,,,,500,0,
CA_n259K,CA_n259G/H/I/J/K,"50, 100",100,100,100,100,100,,,,,,,600,0,
CA_n259L,CA_n259G/H/I/J/K/L,"50, 100",100,100,100,100,100,100,,,,,,700,0,
CA_n259M,CA_n259G/H/I/J/K/L/M,"50, 100",100,100,100,100,100,100,100,,,,,800,0,
CA_n260B,CA_n260B,"50, 100, 200, 400",400,,,,,,,,,,,800,0,1
CA_n260C,CA_n260B,"50, 100, 200, 400",400,400,,,,,,,,,,1200,0,
CA_n260D,CA_n260D,"50, 100, 200",200,,,,,,,,,,,400,0,2
CA_n260E,CA_n260D/E,"50, 100, 200",200,200,,,,,,,,,,600,0,
CA_n260F,CA_n260D/E/F,"50, 100, 200",200,200,200,,,,,,,,,800,0,
CA_n260G,CA_n260G,"50, 100",100,,,,,,,,,,,200,0,3
CA_n260H,CA_n260G/H,"50, 100",100,100,,,,,,,,,,300,0,
CA_n260I,CA_n260G/H/I,"50, 100",100,100,100,,,,,,,,,400,0,
CA_n260J,CA_n260G/H/I/J,"50, 100",100,100,100,100,,,,,,,,500,0,
CA_n260K,CA_n260G/H/I/J/K,"50, 100",100,100,100,100,100,,,,,,,600,0,
CA_n260L,CA_n260G/H/I/J/K/L,"50, 100",100,100,100,100,100,100,,,,,,700,0,
CA_n260M,CA_n260G/H/I/J/K/L/M,"50, 100",100,100,100,100,100,100,100,,,,,800,0,
CA_n260O,CA_n260O,"50, 100","50, 100",,,,,,,,,,,200,0,4
CA_n260P,CA_n260O/P,"50, 100","50, 100","50, 100",,,,,,,,,,300,0,
CA_n260Q,CA_n260O/P/Q,"50, 100","50, 100","50, 100","50, 100",,,,,,,,,400,0,
CA_n260R2,CA_n260R2,"100, 200","100, 200",,,,,,,,,,,400,0,5
CA_n260R3,CA_n260R2/R3,"100, 200","100, 200","100, 200",,,,,,,,,,600,0,
CA_n260R4,CA_n260R2/R3/R4,"100, 200","100, 200","100, 200","100, 200",,,,,,,,,800,0,
CA_n260R5,CA_n260R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200",,,,,,,,1000,0,
CA_n260R6,CA_n260R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",,,,,,,1200,0,
CA_n260R7,CA_n260R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",,,,,,1400,0,
CA_n260R8,CA_n260R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",,,,,16004,0,
CA_n260R9,CA_n260R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",,,,18004,0,
CA_n260R10,CA_n260R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",,,20004,0,
CA_n260R11,CA_n260R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",,22004,0,
CA_n260R12,CA_n260R2/R3/R4/R55,"100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200","100, 200",24004,0,
CA_n261B,CA_n261B,"50, 100, 200, 400",400,,,,,,,,,,,800,0,1
CA_n261C,CA_n261B,50,400,400,,,,,,,,,,850,0,
CA_n261D,CA_n261D,"50, 100, 200",200,,,,,,,,,,,400,0,2
CA_n261E,CA_n261D/E,"50, 100, 200",200,200,,,,,,,,,,600,0,
CA_n261F,CA_n261D/E/F,"50, 100, 200",200,200,200,,,,,,,,,800,0,
CA_n261G,CA_n261G,"50, 100",100,,,,,,,,,,,200,0,3
CA_n261H,CA_n261G/H,"50, 100",100,100,,,,,,,,,,300,0,
CA_n261I,CA_n261G/H/I,"50, 100",100,100,100,,,,,,,,,400,0,
CA_n261J,CA_n261G/H/I/J,"50, 100",100,100,100,100,,,,,,,,500,0,
CA_n261K,CA_n261G/H/I/J/K,"50, 100",100,100,100,100,100,,,,,,,600,0,
CA_n261L,CA_n261G/H/I/J/K/L,"50, 100",100,100,100,100,100,100,,,,,,700,0,
CA_n261M,CA_n261G/H/I/J/K/L/M,"50, 100",100,100,100,100,100,100,100,,,,,800,0,
CA_n261O,CA_n261O,"50, 100","50, 100",,,,,,,,,,,200,0,4
CA_n261P,CA_n261O/P,"50, 100","50, 100","50, 100",,,,,,,,,,300,0,
CA_n261Q,CA_n261O/P/Q,"50, 100","50, 100","50, 100","50, 100",,,,,,,,,400,0,
CA_n262G,CA_n262G,"50, 100",100,,,,,,,,,,,200,0,3
CA_n262H,CA_n262G/H,"50, 100",100,100,,,,,,,,,,300,0,
CA_n262I,CA_n262G/H/I,"50, 100",100,100,100,,,,,,,,,400,0,
CA_n262J,CA_n262G/H/I/J,"50, 100",100,100,100,100,,,,,,,,500,0,
CA_n262K,CA_n262G/H/I/J/K,"50, 100",100,100,100,100,100,,,,,,,600,0,
CA_n262L,CA_n262G/H/I/J/K/L,"50, 100",100,100,100,100,100,100,,,,,,700,0,
CA_n262M,CA_n262G/H/I/J/K/L/M,"50, 100",100,100,100,100,100,100,100,,,,,800,0,
CA_n263B,CA_n263A,400,400,,,,,,,,,,,800,0,1
CA_n263C,CA_n263A,400,400,400,,,,,,,,,,1200,0,1
CA_n263G,CA_n263A,100,100,,,,,,,,,,,200,0,3
CA_n263H,CA_n263A,100,100,100,,,,,,,,,,300,0,3
CA_n263I,CA_n263A,100,100,100,100,,,,,,,,,400,0,3
CA_n263J,CA_n263A,100,100,100,100,100,,,,,,,,500,0,3
CA_n263K,CA_n263A,100,100,100,100,100,100,,,,,,,600,0,3
CA_n263L,CA_n263A,100,100,100,100,100,100,100,,,,,,700,0,3
CA_n263M,CA_n263A,100,100,100,100,100,100,100,100,,,,,800,0,3
"NOTE 1:VoidNOTE 2:For the NR CA configuration with more than two component carries, the bandwidths in a BCS which may introduce combinations more than requested unintentionally should be listed in a row separately. NOTE 3:In this release of the specification, contiguous DL CA configurations within FR2-2 may only contain multiples of the same channel bandwidth.NOTE 4:In Rel-18 maximum aggregated downlink BW is limited to 1600 MHz.NOTE 5:In Rel-18 maximum aggregated uplink BW is limited to 800 MHz.NOTE 6: The delimiter “/” is only used in the uplink configurations for the sake of simplicity. For example, CA_nyA/B/C denotes CA_nyA, CA_nyB and CA_nyC, where ny is a FR2 NR band and A, B and C are the corresponding bandwidth classes respectively.",,,,,,,,,,,,,,,,
