NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (NOTE 1),Bandwidth combination set
CA_n257I-n259A,CA_n257A-n259A,n257,CA_n257I,0
,,n259,"50, 100, 200, 400",
CA_n257I-n259G,CA_n257A-n259A,n257,CA_n257I,0
,,n259,CA_n259G,
CA_n257I-n259H,CA_n257A-n259A,n257,CA_n257I,0
,,n259,CA_n259H,
CA_n257I-n259I,CA_n257A-n259A,n257,CA_n257I,0
,,n259,CA_n259I,
CA_n257I-n259J,CA_n257A-n259A,n257,CA_n257I,0
,,n259,CA_n259J,
CA_n257I-n259K,CA_n257A-n259A,n257,CA_n257I,0
,,n259,CA_n259K,
CA_n257I-n259L,CA_n257A-n259A,n257,CA_n257I,0
,,n259,CA_n259L,
CA_n257I-n259M,CA_n257A-n259A,n257,CA_n257I,0
,,n259,CA_n259M,
CA_n258A-n260A,-,n258,"50, 100, 200, 400",0
,,n260,"50, 100, 200, 400",
CA_n258A-n260G,CA_n260G,n258,"50, 100, 200, 400",0
,,n260,CA_n260G,
CA_n258A-n260H,CA_n260G/H,n258,"50, 100, 200, 400",0
,,n260,CA_n260H,
CA_n258A-n260I,CA_n260G/H/I,n258,"50, 100, 200, 400",0
,,n260,CA_n260I,
CA_n258G-n260A,CA_n258G,n258,CA_n258G,0
,,n260,"50, 100, 200, 400",
CA_n258G-n260G,CA_n258GCA_n260G,n258,CA_n258G,0
,,n260,CA_n260G,
CA_n258G-n260H,CA_n258GCA_n260G/H,n258,CA_n258G,0
,,n260,CA_n260H,
CA_n258G-n260I,CA_n258GCA_n260G/H/I,n258,CA_n258G,0
,,n260,CA_n260I,
CA_n258H-n260A,CA_n258G/H,n258,CA_n258H,0
,,n260,"50, 100, 200, 400",
CA_n258H-n260G,CA_n258G/HCA_n260G,n258,CA_n258H,0
,,n260,CA_n260G,
CA_n258H-n260H,CA_n258G/HCA_n260G/H,n258,CA_n258H,0
,,n260,CA_n260H,
CA_n258H-n260I,CA_n258G/HCA_n260G/H/I,n258,CA_n258H,0
,,n260,CA_n260I,
CA_n258(2A)-n260A,-,n258,CA_n258(2A),0
,,n260,"50, 100, 200, 400",
CA_n258(2A)-n260G,CA_n260G,n258,CA_n258(2A),0
,,n260,CA_n260G,
CA_n258(2A)-n260H,CA_n260G/H,n258,CA_n258(2A),0
,,n260,CA_n260H,
CA_n258(2A)-n260I,CA_n260G/H/I,n258,CA_n258(2A),0
,,n260,CA_n260I,
CA_n258(A-G)-n260A,CA_n258G,n258,CA_n258(A-G),0
,,n260,"50, 100, 200, 400",
CA_n258(A-G)-n260G,CA_n258GCA_n260G,n258,CA_n258(A-G),0
,,n260,CA_n260G,
CA_n258(A-G)-n260H,CA_n258GCA_n260G/H,n258,CA_n258(A-G),0
,,n260,CA_n260H,
CA_n258(A-G)-n260I,CA_n258GCA_n260G/H/I,n258,CA_n258(A-G),0
,,n260,CA_n260I,
CA_n258(2G)-n260A,CA_n258G,n258,CA_n258(2G),0
,,n260,"50, 100, 200, 400",
CA_n258(2G)-n260G,CA_n258GCA_n260G,n258,CA_n258(2G),0
,,n260,CA_n260G,
CA_n258(2G)-n260H,CA_n258GCA_n260G/H,n258,CA_n258(2G),0
,,n260,CA_n260H,
CA_n258(2G)-n260I,CA_n258GCA_n260G/H/I,n258,CA_n258(2G),0
,,n260,CA_n260I,
CA_n258(A-H)-n260A,CA_n258G/H,n258,CA_n258(A-H),0
,,n260,"50, 100, 200, 400",
CA_n258(A-H)-n260G,CA_n258G/HCA_n260G,n258,CA_n258(A-H),0
,,n260,CA_n260G,
CA_n258(A-H)-n260H,CA_n258G/HCA_n260G/H,n258,CA_n258(A-H),0
,,n260,CA_n260H,
CA_n258(A-H)-n260I,CA_n258G/HCA_n260G/H/I,n258,CA_n258(A-H),0
,,n260,CA_n260I,
CA_n258(G-H)-n260A,CA_n258G/H,n258,CA_n258(G-H),0
,,n260,"50, 100, 200, 400",
CA_n258(G-H)-n260G,CA_n258G/HCA_n260G,n258,CA_n258(G-H),0
,,n260,CA_n260G,
CA_n258(G-H)-n260H,CA_n258G/HCA_n260G/H,n258,CA_n258(G-H),0
,,n260,CA_n260H,
CA_n258(G-H)-n260I,CA_n258G/HCA_n260G/H/I,n258,CA_n258(G-H),0
,,n260,CA_n260I,
CA_n258A-n261A,-,n258,"50, 100, 200, 400",0
,,n261,"50, 100, 200, 400",
CA_n260A-n261A,CA_n260A-n261A,n260,"50, 100, 200, 400",0
,,n261,"50, 100, 200, 400",
CA_n260A-n261G,CA_n260A-n261ACA_n261G/H/I/J/K/L/M,n260,"50, 100, 200, 400",0
,,n261,CA_n261G,
CA_n260A-n261H,,n260,"50, 100, 200, 400",0
,,n261,CA_n261H,
CA_n260A-n261I,,n260,"50, 100, 200, 400",0
,,n261,CA_n261I,
CA_n260A-n261J,,n260,"50, 100, 200, 400",0
,,n261,CA_n261J,
CA_n260A-n261K,,n260,"50, 100, 200, 400",0
,,n261,CA_n261K,
CA_n260A-n261L,,n260,"50, 100, 200, 400",0
,,n261,CA_n261L,
CA_n260A-n261M,,n260,"50, 100, 200, 400",0
,,n261,CA_n261M,
CA_n260G-n261A,CA_n260A-n261ACA_n260GCA_n261G/H/I/J/K/L/M,n260,CA_n260G,0
,,n261,"50, 100, 200, 400",
CA_n260G-n261G,,n260,CA_n260G,0
,,n261,CA_n261G,
CA_n260G-n261H,,n260,CA_n260G,0
,,n261,CA_n261H,
CA_n260G-n261I,,n260,CA_n260G,0
,,n261,CA_n261I,
CA_n260G-n261J,,n260,CA_n260G,0
,,n261,CA_n261J,
CA_n260G-n261K,,n260,CA_n260G,0
,,n261,CA_n261K,
CA_n260G-n261L,,n260,CA_n260G,0
,,n261,CA_n261L,
CA_n260G-n261M,,n260,CA_n260G,0
,,n261,CA_n261M,
CA_n260H-n261A,CA_n260A-n261ACA_n260G/HCA_n261G/H/I/J/K/L/M,n260,CA_n260H,0
,,n261,"50, 100, 200, 400",
CA_n260H-n261G,,n260,CA_n260H,0
,,n261,CA_n261G,
CA_n260H-n261H,,n260,CA_n260H,0
,,n261,CA_n261H,
CA_n260H-n261I,,n260,CA_n260H,0
,,n261,CA_n261I,
CA_n260H-n261J,,n260,CA_n260H,0
,,n261,CA_n261J,
CA_n260H-n261K,,n260,CA_n260H,0
,,n261,CA_n261K,
CA_n260H-n261L,,n260,CA_n260H,0
,,n261,CA_n261L,
CA_n260H-n261M,,n260,CA_n260H,0
,,n261,CA_n261M,
CA_n260I-n261A,CA_n260A-n261ACA_n260G/H/ICA_n261G/H/I/J/K/L/M,n260,CA_n260I,0
,,n261,"50, 100, 200, 400",
CA_n260I-n261G,,n260,CA_n260I,0
,,n261,CA_n261G,
CA_n260I-n261H,,n260,CA_n260I,0
,,n261,CA_n261H,
CA_n260I-n261I,,n260,CA_n260I,0
,,n261,CA_n261I,
CA_n260I-n261J,,n260,CA_n260I,0
,,n261,CA_n261J,
CA_n260I-n261K,,n260,CA_n260I,0
,,n261,CA_n261K,
CA_n260I-n261L,,n260,CA_n260I,0
,,n261,CA_n261L,
CA_n260I-n261M,,n260,CA_n260I,0
,,n261,CA_n261M,
CA_n260J-n261A,CA_n260A-n261ACA_n260G/H/I/J CA_n261G/H/I/J/K/L/M,n260,CA_n260J,0
,,n261,"50, 100, 200, 400",
CA_n260J-n261G,,n260,CA_n260J,0
,,n261,CA_n261G,
CA_n260J-n261H,,n260,CA_n260J,0
,,n261,CA_n261H,
CA_n260J-n261I,,n260,CA_n260J,0
,,n261,CA_n261I,
CA_n260J-n261J,,n260,CA_n260J,0
,,n261,CA_n261J,
CA_n260J-n261K,,n260,CA_n260J,0
,,n261,CA_n261K,
CA_n260J-n261L,,n260,CA_n260J,0
,,n261,CA_n261L,
CA_n260J-n261M,,n260,CA_n260J,0
,,n261,CA_n261M,
CA_n260K-n261A,CA_n260A-n261ACA_n260G/H/I/J/KCA_n261G/H/I/J/K/L/M,n260,CA_n260K,0
,,n261,"50, 100, 200, 400",
CA_n260K-n261G,,n260,CA_n260K,0
,,n261,CA_n261G,
CA_n260K-n261H,,n260,CA_n260K,0
,,n261,CA_n261H,
CA_n260K-n261I,,n260,CA_n260K,0
,,n261,CA_n261I,
CA_n260K-n261J,,n260,CA_n260K,0
,,n261,CA_n261J,
CA_n260K-n261K,,n260,CA_n260K,0
,,n261,CA_n261K,
CA_n260K-n261L,,n260,CA_n260K,0
,,n261,CA_n261L,
CA_n260K-n261M,,n260,CA_n260K,0
,,n261,CA_n261M,
CA_n260L-n261A,CA_n260A-n261ACA_n260G/H/I/J/K/LCA_n261G/H/I/J/K/L/M,n260,CA_n260L,0
,,n261,"50, 100, 200, 400",
CA_n260L-n261G,,n260,CA_n260L,0
,,n261,CA_n261G,
CA_n260L-n261H,,n260,CA_n260L,0
,,n261,CA_n261H,
CA_n260L-n261I,,n260,CA_n260L,0
,,n261,CA_n261I,
CA_n260L-n261J,,n260,CA_n260L,0
,,n261,CA_n261J,
CA_n260L-n261K,,n260,CA_n260L,0
,,n261,CA_n261K,
CA_n260L-n261L,,n260,CA_n260L,0
,,n261,CA_n261L,
CA_n260L-n261M,,n260,CA_n260L,0
,,n261,CA_n261M,
CA_n260M-n261A,CA_n260A-n261ACA_n260G/H/I/J/K/L/MCA_n261G/H/I/J/K/L/M,n260,CA_n260M,0
,,n261,"50, 100, 200, 400",
CA_n260M-n261G,,n260,CA_n260M,0
,,n261,CA_n261G,
CA_n260M-n261H,,n260,CA_n260M,0
,,n261,CA_n261H,
CA_n260M-n261I,,n260,CA_n260M,0
,,n261,CA_n261I,
CA_n260M-n261J,,n260,CA_n260M,0
,,n261,CA_n261J,
CA_n260M-n261K,,n260,CA_n260M,0
,,n261,CA_n261K,
CA_n260M-n261L,,n260,CA_n260M,0
,,n261,CA_n261L,
CA_n260M-n261M,,n260,CA_n260M,0
,,n261,CA_n261M,
"NOTE 1: The SCS of each channel bandwidth for NR band refers to Table 5.3.5-1.NOTE 2:Unless otherwise stated, BCS0 is referred in each constituent CA configuration.NOTE 3:Void.NOTE 4: The delimiter “/” is only used in the uplink configurations for the sake of simplicity. For example, CA_nxA-nyA/B/C denotes CA_nxA-nyA, CA_nxA-nyB and CA_nxA-nyC, where nx and ny are two NR bands, ny is a FR2 band and A, B and C are the corresponding bandwidth classes respectively.",,,,
