Test,Number of bits of a DL-SCH transport block received within a TTI,Measurement channel,Reference value
8C,18336 (Note 6) for 5MHz CC36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-6 FDD for 5MHz CCR.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
8D,18336 (Note 6) for 5MHz CC36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-6 FDD for 5MHz CCR.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
9,75376 (Note 3),R.31-4 FDD,85
9A,55056 (Note 5) for 15MHz CC75376 (Note 3) for 20MHz CC,R.31-5 FDD for 15MHz CCR.31-4 FDD for 20MHz CC,85
9B,36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
9C,36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
9D,18336 (Note 6) for 5MHz CC36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-6 FDD for 5MHz CCR.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
9E,36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
9F,36696 (Note 2) for 10MHz CC75376 (Note 3) for 20MHz CC,R.31-3A FDD for 10MHz CCR.31-4 FDD for 20MHz CC,85
10,75376 (Note 3),R.31-4 FDD,85
11,75376 (Note 3),R.31-4 FDD,85
"Note 1:For 2 layer transmissions, 2 transport blocks are received within a TTI.Note 2:35160 bits for sub-frame 5.Note 3:71112 bits for sub-frame 5.Note 4:The TB success rate is defined as TB success rate = 100%*NDL_correct_rx/ (NDL_newtx + NDL_retx), where NDL_newtx is the number of newly transmitted DL transport blocks, NDL_retx is the number of retransmitted DL transport blocks, and NDL_correct_rx is the number of correctly received DL transport blocks.Note 5:52752bits for sub-frame 5.Note 6:15840bits for sub-frame 0.",,,
