Change history,,,,,,,
Date,TSG #,TSG Doc.,CR,Rev,Subject/Comment,Old,New
27/05/09,RP-44,RP-090529,238,1,Correction on CQI reporting,8.6.0,8.7.0
27/05/09,RP-44,RP-090529,239,-,Correction on the HARQ process number,8.6.0,8.7.0
27/05/09,RP-44,RP-090529,241,1,CR correction of the description on TTI-bundling,8.6.0,8.7.0
27/05/09,RP-44,RP-090529,242,1,"Clarify latest and initial PDCCH for PDSCH and PUSCH transmissions, and NDI for SPS activation",8.6.0,8.7.0
27/05/09,RP-44,RP-090529,243,-,Clarify DRS EPRE,8.6.0,8.7.0
27/05/09,RP-44,RP-090529,244,1,Clarification on TPC commands for SPS,8.6.0,8.7.0
15/09/09,RP-45,RP-090888,245,1,Correction to PUSCH hopping and PHICH mapping procedures,8.7.0,8.8.0
15/09/09,RP-45,RP-090888,246,-,Clarification on subband indexing in periodic CQI reporting,8.7.0,8.8.0
15/09/09,RP-45,RP-090888,247,2,Correction to DVRB operation in TDD transmission mode 7,8.7.0,8.8.0
15/09/09,RP-45,RP-090888,249,-,Clarification of concurrent ACKNACK and periodic PMI/RI transmission on PUCCH for TDD,8.7.0,8.8.0
15/09/09,RP-45,RP-090888,250,-,Clarify Inter-cell synchronization text,8.7.0,8.8.0
01/12/09,RP-46,RP-091172,248,1,Introduction of LTE positioning,8.8.0,9.0.0
01/12/09,RP-46,RP-091172,254,-,Clarification of PDSCH and PRS in combination for LTE positioning,8.8.0,9.0.0
01/12/09,RP-46,RP-091177,255,5,Editorial corrections to 36.213,8.8.0,9.0.0
01/12/09,RP-46,RP-091257,256,1,Introduction of enhanced dual layer transmission,8.8.0,9.0.0
01/12/09,RP-46,RP-091177,257,1,Add shorter SR periodicity,8.8.0,9.0.0
01/12/09,RP-46,RP-091256,258,-,Introduction of LTE MBMS,8.8.0,9.0.0
17/12/09,RP-46,RP-091257,256,1,Correction by MCC due to wrong implementation of CR0256r1 – Sentence is added to Single-antenna port scheme subclause 7.1.1,9.0.0,9.0.1
16/03/10,RP-47,RP-100211,259,3,UE behavior when collision of antenna port 7/8 with PBCH or SCH happened and when distributed VRB is used with antenna port 7,9.0.1,9.1.0
16/03/10,RP-47,RP-100210,260,1,MCCH change notification using DCI format 1C,9.0.1,9.1.0
16/03/10,RP-47,RP-100211,263,-,Correction on PDSCH EPRE and UE-specific RS EPRE for Rel-9 enhanced DL transmissions,9.0.1,9.1.0
01/06/10,RP-48,RP-100589,265,-,Clarification for TDD when multiplexing ACK/NACK with SR of ACK/NACK with CQI/PMI or RI,9.1.0,9.2.0
01/06/10,RP-48,RP-100590,268,1,Clarification of PRS EPRE,9.1.0,9.2.0
14/09/10,RP-49,RP-100900,269,-,Clarification on Extended CP support with Transmission Mode 8,9.2.0,9.3.0
07/12/10,RP-50,RP-101320,270,-,Introduction of Rel-10 LTE-Advanced features in 36.213,9.3.0,10.0.0
27/12/10,-,-,-,-,Editorial change to correct a copy/past error in subclause 7.2.2,10.0.0,10.0.1
15/03/11,RP-51,RP-110255,271,1,A clarification for redundancy version of PMCH,10.0.1,10.1.0
15/03/11,RP-51,RP-110258,272,-,RLM Procedure with restricted measurements,10.0.1,10.1.0
15/03/11,RP-51,RP-110256,273,-,Corrections to Rel-10 LTE-Advanced features in 36.213,10.0.1,10.1.0
01/06/11,RP-52,RP-110819,274,3,Correction to HARQ-ACK procedure for TDD mode b with M=2,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,275,3,Determination of PUSCH A/N codebook size for TDD,10.1.0,10.2.0
01/06/11,RP-52,RP-110823,276,-,The triggering of aperiodic SRS in DCI formats 2B and 2C,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,278,3,Corrections to power headroom,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,279,1,Removal of square brackets for PUCCH format 3 ACK/NACK,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,281,1,Correction of AN repetition and PUCCH format 3,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,282,2,Correction to timing for secondary cell activation and deactivation,10.1.0,10.2.0
01/06/11,RP-52,RP-110823,283,1,Correction to MCS offset for multiple TBs,10.1.0,10.2.0
01/06/11,RP-52,RP-110820,286,1,Miscellaneous Corrections,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,288,1,Corrections on UE procedure for determining PUCCH Assignment,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,289,2,Correction to Multi-cluster flag in DCI format 0,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,290,2,Joint transmission of ACK/NACK and SR with PUCCH format 3,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,291,3,Correction of uplink resource allocation type 1,10.1.0,10.2.0
01/06/11,RP-52,RP-110821,292,1,Correction on CSI-RS configuration,10.1.0,10.2.0
01/06/11,RP-52,RP-110818,294,-,ACK/NACK and CQI simultaneous transmission in ACK/NACK bundling in TDD,10.1.0,10.2.0
01/06/11,RP-52,RP-110823,295,-,UE specific disabling of UL DMRS sequence hopping,10.1.0,10.2.0
01/06/11,RP-52,RP-110821,296,-,PDSCH transmission in MBSFN subframes,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,297,-,Introduction of PCMAX for PUSCH power scaling,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,298,-,Power control for SR and ACK/NACK with PUCCH format 3,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,299,2,CR on power control for HARQ-ACK transmission on PUCCH,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,300,2,Correction to handling of search space overlap,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,301,1,Correction to simultaneous transmission of SRS and PUCCH format 2/2a/2b,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,302,1,Correction for Simultaneous PUCCH and SRS Transmissions on CA,10.1.0,10.2.0
01/06/11,RP-52,RP-110821,303,-,Correction on 8Tx Codebook Sub-sampling for PUCCH Mode 1-1,10.1.0,10.2.0
01/06/11,RP-52,RP-110821,304,1,Corrections on CQI type in PUCCH mode 2-1 and clarification on simultaneous PUCCH and PUSCH transmission for UL-SCH subframe bundling,10.1.0,10.2.0
01/06/11,RP-52,RP-110818,305,1,Correction on UE behaviour upon reporting periodic CSI using PUCCH Mode1-1,10.1.0,10.2.0
01/06/11,RP-52,RP-110818,306,-,Clarification for the definition of CQI,10.1.0,10.2.0
01/06/11,RP-52,RP-110818,307,-,Clarification for the definition of Precoding Matrix Indicator,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,308,-,Simultaneous SRS transmissions in more than one cell,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,310,1,Miscellaneous Corrections for TS 36.213,10.1.0,10.2.0
01/06/11,RP-52,RP-110821,311,1,Configuration of pmi-RI-Report,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,312,1,Correction on the support of PUCCH format 3 and channel selection,10.1.0,10.2.0
01/06/11,RP-52,RP-110821,313,-,Correction on UE behaviour during DM-RS transmission on subframes carrying synchronization signals,10.1.0,10.2.0
01/06/11,RP-52,RP-110820,314,1,36.213 CR on antenna selection,10.1.0,10.2.0
01/06/11,RP-52,RP-110823,316,1,Number of HARQ process for UL spatial multiplexing,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,317,-,PUCCH format 3 Fallback procedure in TDD,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,318,-,Clarification on CSI reporting under an invalid downlink subframe,10.1.0,10.2.0
01/06/11,RP-52,RP-110819,320,-,Multiple Aperiodic SRS Triggers for Same Configuration,10.1.0,10.2.0
