Change history,,,,,,,,,,,,,,,,
Date,,Meeting,,TDoc,,CR,,Rev,,Cat,,Subject/Comment,,New version,,
2025-06,,RAN#108,,RP-250924,,5608,,,,A,,(NR_ATG-Perf) CR on TC maintenance for Rel-19 ATG,,19.1.0,,
2025-06,,RAN#108,,RP-250912,,5613,,,,A,,"(NR_newRAT-Perf, NR_eMIMO-Perf, NR_CSIRS_L3meas-Perf) CR on maintenance for measurement procedure tests R19",,19.1.0,,
2025-06,,RAN#108,,RP-250921,,5616,,,,A,,(NR_redcap-Perf) CR on maintenance for SA event triggered reporting with SSB time index detection R19,,19.1.0,,
2025-06,,RAN#108,,RP-250945,,5621,,1,,B,,Big CR on RRM performance requirements of NR channel BW less than 5MHz for FR1 phase 2,,19.1.0,,
2025-06,,RAN#108,,RP-250960,,5624,,1,,F,,Core maintenance CR on less than 5MHz RRM requirements,,19.1.0,,
2025-06,,RAN#108,,RP-250926,,5626,,,,A,,CR on maximum receive timing difference requirement for UE supporting multi-RX,,19.1.0,,
2025-06,,RAN#108,,RP-250920,,5644,,1,,A,,(NR_NTN_solutions-Core) CR on NR NTN core requirements of (Rel-19),,19.1.0,,
2025-06,,RAN#108,,RP-250924,,5645,,,,A,,(NR_ATG-Core) CR to TS 38.133 on ATG core requirements (Rel-19),,19.1.0,,
2025-06,,RAN#108,,RP-250923,,5647,,,,A,,(NR_BWP_wor-Core) CR for correcting logical errors related to HO requirements,,19.1.0,,
2025-06,,RAN#108,,RP-250934,,5649,,,,A,,CR for Rel-18 Less Than 5MHz Performance part,,19.1.0,,
2025-06,,RAN#108,,RP-250911,,5652,,,,A,,(NR_newRAT-Core) CR on NR-E-UTRAN HO delay requirement maintenance,,19.1.0,,
2025-06,,RAN#108,,RP-250922,,5659,,,,A,,(Netw_Energy_NR-Core) CR on NES CHO_R19,,19.1.0,,
2025-06,,RAN#108,,RP-250929,,5661,,,,A,,(NR_RRM_enh3-Core) Correction to the SCell activation with L3 report_R19,,19.1.0,,
2025-06,,RAN#108,,RP-250912,,5668,,,,A,,(NR_newRAT-Perf) Correction to CSI-RS based L1-RSRP test case_R19,,19.1.0,,
2025-06,,RAN#108,,RP-250934,,5670,,,,A,,CR on PDSCH Reference Measurement Channels with NR FR1 less than 5MHz BW,,19.1.0,,
2025-06,,RAN#108,,RP-250926,,5677,,,,A,,CR corrections of RRM core requirements for NR MIMO Evo,,19.1.0,,
2025-06,,RAN#108,,RP-250927,,5684,,,,A,,(NR_MG_enh2-Core) CR on MGE2 R18 Core CAT A,,19.1.0,,
2025-06,,RAN#108,,RP-250927,,5686,,,,A,,(NR_MG_enh2-Perf) CR on MGE2 R18 Perf CAT A,,19.1.0,,
2025-06,,RAN#108,,RP-250932,,5692,,,,A,,CR to 38.133 on corrections to general aspects of gapless positioning measurements and core requirements for RedCap positioning,,19.1.0,,
2025-06,,RAN#108,,RP-250932,,5694,,,,A,,CR to 38.133 on corrections to core requirements for carrier phase measurement for positioning,,19.1.0,,
2025-06,,RAN#108,,RP-250932,,5696,,,,A,,CR to 38.133 on corrections to performance requirement for UE Rx-Tx time difference measurements,,19.1.0,,
2025-06,,RAN#108,,RP-250932,,5698,,,,A,,CR to 38.133 on corrections to performance requirement for carrier phase measurements for positioning,,19.1.0,,
2025-06,,RAN#108,,RP-250920,,5706,,,,A,,(NR_NTN_solutions-Core) CR on L1-RSRP accuracy requirements for FR1 SAN (Cat-A Rel-19),,19.1.0,,
2025-06,,RAN#108,,RP-250920,,5709,,,,A,,(NR_NTN_solutions-Perf) CR on NTN test cases for FR1 SAN (Cat-A Rel-19),,19.1.0,,
2025-06,,RAN#108,,RP-250930,,5711,,,,A,,(NR_NTN_enh-Perf) CR on NR NTN test cases (Cat-A Rel-19),,19.1.0,,
2025-06,,RAN#108,,RP-250927,,5714,,,,A,,(NR_MC_enh-Perf) CR on TC for DL interruptions at switching between uplink carriers in FDD-TDD CA (R19),,19.1.0,,
2025-06,,RAN#108,,RP-250949,,5717,,,,B,,CR to TS 38.133: Introduction of a new NTN S-band n252,,19.1.0,,
2025-06,,RAN#108,,RP-250920,,5718,,,,A,,(NR_NTN_solutions-Perf) Correction to NR SA SS-RSRP measurement accuracy for Satellite Access (Rel19),,19.1.0,,
2025-09,,RAN#109,,RP-252387,,5722,,,,A,,(NR_NTN_solutions-Perf) CR on SSB based L1-RSRP measurement for SAN,,19.2.0,,
2025-09,,RAN#109,,RP-252390,,5724,,,,A,,CR for m-DCI DL TCI state switch delay,,19.2.0,,
2025-09,,RAN#109,,RP-252392,,5726,,,,A,,CR for adding AoA setup for s-DCI test case,,19.2.0,,
2025-09,,RAN#109,,RP-252387,,5729,,,,A,,CR on test case for SAN distance-based conditional Handover,,19.2.0,,
2025-09,,RAN#109,,RP-252425,,5731,,,,B,,Big CR for RRM requirements of NR MIMO Phase 5,,19.2.0,,
2025-09,,RAN#109,,RP-252387,,5734,,,,A,,(NR_NTN_solutions-Perf) CR on perf requirements of Rel-19 NR NTN,,19.2.0,,
2025-09,,RAN#109,,RP-252388,,5737,,,,A,,(NR_redcap-Perf) CR to TS 38.133 Correction of test cases for Rel-19 RedCap UE,,19.2.0,,
2025-09,,RAN#109,,RP-252430,,5738,,,,B,,Big CR for RRM requirements of NR NTN Phase 3,,19.2.0,,
2025-09,,RAN#109,,RP-252383,,5742,,,,A,,(NR_RRM_Enh-Perf) CR on EN-DC inter-frequency CGI identification of NR neighbor cell in FR2 – R16,,19.2.0,,
2025-09,,RAN#109,,RP-252380,,5757,,,,A,,CR for UE timing requirement for first Tx after quitting dormant BWP for R19,,19.2.0,,
2025-09,,RAN#109,,RP-252423,,5760,,,,B,,Big CR for R19 NR_LBCA_Sw RRM,,19.2.0,,
2025-09,,RAN#109,,RP-252379,,5765,,,,A,,(NR_CLI_RIM-Perf) 38.133 CR on R16 CLI measurement accuracy requirement – R19 Cat A,,19.2.0,,
2025-09,,RAN#109,,RP-252389,,5772,,,,A,,(Netw_Energy_NR-Core) 38133CR on inter-band SSB-less SCell activation - R19 CatA,,19.2.0,,
2025-09,,RAN#109,,RP-252389,,5774,,,,A,,(Netw_Energy_NR-Perf) Correction of SSB-less SCell activation TC - R19 CatA,,19.2.0,,
2025-09,,RAN#109,,RP-252399,,5775,,,,B,,CR 38.133 on interruption of Tx switching for 3Tx UEs [TxSwitch_R19],,19.2.0,,
2025-09,,RAN#109,,RP-252384,,5781,,,,A,,(NR_unlic-Perf) CR to TS 38.133: Corrections to NR-U RRM test cases (Rel 19),,19.2.0,,
2025-09,,RAN#109,,RP-252388,,5784,,,,A,,(NR_redcap-Perf) CR to TS 38.133: Corrections to RedCap RRM test cases (Rel 19),,19.2.0,,
2025-09,,RAN#109,,RP-252387,,5787,,,,A,,(NR_NTN_solutions-Perf) CR to TS 38.133: Corrections to NR-NTN RRM test cases (Rel 19),,19.2.0,,
2025-09,,RAN#109,,RP-252378,,5792,,,,A,,(NR_newRAT-Core) Correction of typos in clause 9 of TS38.133,,19.2.0,,
2025-09,,RAN#109,,RP-252422,,5797,,,,B,,Big CR on RRM requirements for NTN less than 5MHz in Rel-19,,19.2.0,,
2025-09,,RAN#109,,RP-252394,,5798,,,,A,,(NR_NTN_enh-Perf) CR on NTN test cases for FR2 SAN (Cat-A Rel-19),,19.2.0,,
2025-09,,RAN#109,,RP-252387,,5801,,,,A,,(NR_NTN_solutions-Perf) Update on RRC Connection Release with Redirection for Satellite Access (Rel19),,19.2.0,,
2025-09,,RAN#109,,RP-252379,,5806,,,,A,,(NR_newRAT-Perf) Update on SUL test scenario (Rel19),,19.2.0,,
2025-09,,RAN#109,,RP-252392,,5811,,,,A,,(NR_MG_enh2-Perf) CR on Performance maintenance for EMW,,19.2.0,,
2025-09,,RAN#109,,RP-252413,,5813,,,,B,,Big CR on TS 38.133 for NR ATG enhancement,,19.2.0,,
2025-09,,RAN#109,,RP-252393,,5815,,,,A,,CR on Test Cases for R18 subsequent conditional PSCell addition/change,,19.2.0,,
2025-09,,RAN#109,,RP-252380,,5818,,,,A,,(LTE_NR_DC_enh2-Core) CR on Scell activation delay requirements with TCI-ActivatedConfig,,19.2.0,,
2025-09,,RAN#109,,RP-252421,,5823,,,,F,,Correction on test cases for NR channel BW less than 5MHz,,19.2.0,,
2025-09,,RAN#109,,RP-252421,,5824,,,,F,,CR to TS 38.133:  NR channel BW less than 5MHz for FR1,,19.2.0,,
2025-09,,RAN#109,,RP-252393,,5826,,,,A,,(NR_Mob_enh2-Pref) Correction on test cases for Idle mode fast CA/DC measurement,,19.2.0,,
2025-09,,RAN#109,,RP-252393,,5828,,,,A,,(NR_Mob_enh2-Core) Correction on conditional handover with PSCell,,19.2.0,,
2025-09,,RAN#109,,RP-252388,,5831,,,,A,,(NR_redcap-Core) Handover for unknown inter-frequency cell,,19.2.0,,
2025-09,,RAN#109,,RP-252386,,5835,,,,A,,(NR_NTN_solutions-Core) CR on requirements for Minimization of Drive Tests (MDT) for Satellite Access (R19 Cat A),,19.2.0,,
2025-09,,RAN#109,,RP-252379,,5844,,,,A,,(NR_CSIRS_L3meas-Perf) Correction to CSI-RS based measurement accuracy test cases_R19,,19.2.0,,
2025-09,,RAN#109,,RP-252384,,5848,,,,A,,(NR_RF_FR1-Perf) Correction to Rel-16 Tx switch test cases_R19,,19.2.0,,
2025-09,,RAN#109,,RP-252388,,5851,,,,A,,(NR_RF_FR1_enh-Perf) Correction to Rel-17 Tx switch test cases_R19,,19.2.0,,
2025-09,,RAN#109,,RP-252391,,5853,,,,A,,(NR_ATG-Perf) Correction to ATG test cases_R19,,19.2.0,,
2025-09,,RAN#109,,RP-252392,,5855,,,,A,,(NR_MC_enh-Perf) Correction to Rel-18 Tx switch test cases_R19,,19.2.0,,
2025-09,,RAN#109,,RP-252378,,5860,,,,A,,(NR_newRAT-Core) CR on correction to CSSF SA mode requirements for outside gaps for R19,,19.2.0,,
2025-09,,RAN#109,,RP-252379,,5864,,,,A,,(NR_newRAT-Perf) CR on miantenance for NR Cell test paramaters in measurement performance tests for R19,,19.2.0,,
2025-09,,RAN#109,,RP-252393,,5870,,,,A,,(NR_Mob_enh2-Core) Modification on measurement restriction and schedudling availability for R18 mobility,,19.2.0,,
2025-09,,RAN#109,,RP-252393,,5872,,,,A,,(NR_Mob_enh2-Core) CSSF within gap due to SSB based L1 measurement on neighbor cell,,19.2.0,,
2025-09,,RAN#109,,RP-252390,,5877,,,,A,,(NR_MIMO_evo_DL_UL-Perf) CR on TC maintenance for R18 MIMO uTCI R19,,19.2.0,,
2025-09,,RAN#109,,RP-252378,,5882,,,,A,,(NR_newRAT-Core)CR on maintenance for intra-frequency measurement Rel-19,,19.2.0,,
2025-09,,RAN#109,,RP-252385,,5885,,,,A,,(NR_eMIMO-Core) CR on L1-SINR core requirements R19,,19.2.0,,
2025-09,,RAN#109,,RP-252386,,5892,,,,A,,(NR_NTN_solutions-Core) CR on core requirements for R17 NTN R19,,19.2.0,,
2025-09,,RAN#109,,RP-252385,,5895,,,,A,,(NR_MG_enh-Core) CR on core requirements for R17 MGE R19,,19.2.0,,
2025-09,,RAN#109,,RP-252392,,5897,,,,A,,(NR_FR1_lessthan_5MHz_BW-Core) CR on core requirements for less than 5MHz BW R19,,19.2.0,,
2025-09,,RAN#109,,RP-252392,,5899,,,,A,,(NR_MG_enh2-Core) CR on core requirements for R18 MG enhancement R19,,19.2.0,,
2025-09,,RAN#109,,RP-252391,,5901,,,,A,,(NR_BWP_wor-Core) CR on core requirements for BWP operation without restriction R19,,19.2.0,,
2025-09,,RAN#109,,RP-252394,,5903,,,,A,,(NR_NTN_enh-Core) CR on core requirements for Rel-18 NTN R19,,19.2.0,,
2025-09,,RAN#109,,RP-252394,,5905,,,,A,,(NR_NTN_enh-Perf) CR on RRM test cases for Rel-18 NTN R19,,19.2.0,,
2025-09,,RAN#109,,RP-252393,,5907,,,,A,,(NR_pos_enh2-Core) CR on requirements for PRS/SRS BWA R19,,19.2.0,,
2025-09,,RAN#109,,RP-252393,,5909,,,,A,,(NR_pos_enh2-Perf) CR on test cases for PRS BWA R19,,19.2.0,,
2025-09,,RAN#109,,RP-252389,,5911,,,,A,,(NR_DualTxRx_MUSIM-Core) CR on MUSIM gaps without priority R19,,19.2.0,,
2025-09,,RAN#109,,RP-252421,,5912,,,,F,,CR on test case for less than 5MHz Ph2,,19.2.0,,
2025-09,,RAN#109,,RP-252378,,5917,,,,A,,(NR_newRAT-Core) CR on SFTD of NR SA_R19,,19.2.0,,
2025-09,,RAN#109,,RP-252385,,5925,,,,A,,(NR_MG_enh-Core) CR on the inter-RAT measurement_R19,,19.2.0,,
2025-09,,RAN#109,,RP-252383,,5928,,,,A,,(NR_RRM_enh2-Core) CR on the requirements of SCG activation_R19,,19.2.0,,
2025-09,,RAN#109,,RP-252391,,5930,,,,A,,(NR_ATG-Core) CR on CSI-RS based L3 measurements of ATG_R19,,19.2.0,,
2025-09,,RAN#109,,RP-252388,,5934,,,,A,,(NR_pos-Core) (NR_pos-Perf) CR to 38.133 correction for UE Rx-Tx time difference measurement requirement (Rel. 19),,19.2.0,,
2025-09,,RAN#109,,RP-252393,,5936,,,,A,,CR to 38.133 corrections to core requirement for NR positioning (Rel. 19),,19.2.0,,
2025-09,,RAN#109,,RP-252393,,5938,,,,A,,CR to 38.133 corrections to performance requirement for NR positioning (Rel. 19),,19.2.0,,
2025-09,,RAN#109,,RP-252385,,5944,,,,A,,(NR_HST_FR2-Perf) CR to amend missing SSB_RP for PC6 with 240kHz SCS,,19.2.0,,
2025-09,,RAN#109,,RP-252411,,5945,,,,B,,Big CR for RRM requirements of Enhancements of network energy savings,,19.2.0,,
2025-09,,RAN#109,,RP-252386,,5956,,,,A,,Modification on NR NTN MDT requirements,,19.2.0,,
2025-09,,RAN#109,,RP-252394,,5959,,,,A,,Change FR1 to FR1 NTN in NTN clause,,19.2.0,,
2025-09,,RAN#109,,RP-252395,,5961,,,,A,,Modification on measurement of inter-EUTRAN cells [Meas_inter-RAT_cells],,19.2.0,,
2025-09,,RAN#109,,RP-252394,,5964,,,,A,,Modification on NR NTN measurement requirements in IDLE state,,19.2.0,,
2025-09,,RAN#109,,RP-252380,,5973,,,,A,,(LTE_NR_DC_enh2-Core) CR on SCG activation,,19.2.0,,
2025-09,,RAN#109,,RP-252392,,5975,,,,A,,(NR_FR1_lessthan_5MHz_BW-Core) CR correcting the SSB reference for a 3MHz,,19.2.0,,
2025-09,,RAN#109,,RP-252392,,5993,,,,A,,CR on PDSCH RMC Corrections on TCs with NR_FR1_lessthan_5MHz_BW,,19.2.0,,
2025-09,,RAN#109,,RP-252421,,5994,,,,F,,CR on RRM performance requirements of NR channel BW less than 5MHz for FR1 phase 2,,19.2.0,,
2025-09,,RAN#109,,RP-252428,,6013,,,,B,,"CR to TS 38.133: Introduction of new NTN Combined L-bands n253, n251, n250",,19.2.0,,
2025-09,,RAN#109,,RP-252391,,6015,,,,A,,Corrections to ATG test cases,,19.2.0,,
2025-09,,RAN#109,,RP-252399,,6012,,1,,F,,(TEI19) CR on TCs with testability issues [TC with testability issue],,19.2.0,,
2025-09,,RAN#109,,RP-252421,,6002,,1,,F,,Rel-19 CR on less than 5 MHz RRM Core requirement maintenance,,19.2.0,,
2025-09,,RAN#109,,RP-252432,,5761,,2,,B,,Draft big CR for NR Radio Resource Management (RRM) Phase 5,,19.2.0,,
2025-09,,RAN#109,,RP-252412,,6017,,,,B,,Big CR on RRM requirements for Support of intra-band non-collocated EN-DC/NR-CA deployment Phase 2,,19.2.0,,
2025-09,,RAN#109,,RP-252429,,6018,,,,B,,Big CR on RRM requirements of Ku band for NR NTN,,19.2.0,,
2025-09,,RAN#109,,RP-252418,,6019,,,,B,,Big CR for RRM requirements of Sub-band full duplex,,19.2.0,,
2025-09,,RAN#109,,RP-252424,,6020,,,,B,,Big CR on RRM requirements for LP-WUS/WUR,,19.2.0,,
2025-09,,RAN#109,,RP-252433,,6021,,,,B,,Big CR on RRM requirements for NR XR Phase 3,,19.2.0,,
2025-09,,RAN#109,,RP-252845,,5743,,1,,B,,BigCR for R19 mobility RRM,,19.2.0,,
2025-12,,RAN#110,,RP-253631,,6049,,,,F,,CR on Ku-band NTN RRM,,19.3.0,,
2025-12,,RAN#110,,RP-253631,,6157,,,,F,,CR on RRM core requirements of Ku band for NR NTN,,19.3.0,,
2025-12,,RAN#110,,RP-253631,,6194,,,,F,,CR on core requirements for Ku band NTN,,19.3.0,,
2025-12,,RAN#110,,RP-253634,,6282,,,,B,,Big CR for R19 AI/ML Positioning,,19.3.0,,
2025-12,,RAN#110,,RP-253634,,6097,,3,,B,,CR on RRM core requirements for support of AI/ML for NR Air Interface for beam management,,19.3.0,,
2025-12,,RAN#110,,RP-253637,,6060,,,,B,,Big CR on RRM test cases for NTN less than 5MHz in Rel-19,,19.3.0,,
2025-12,,RAN#110,,RP-253646,,6093,,,,F,,CR 38.133 Maintenance for interruption of Tx switching for 3Tx UEs [TxSwitch_R19],,19.3.0,,
2025-12,,RAN#110,,RP-253649,,6285,,1,,F,,Big CR for RRM core requirements of NR MIMO Phase 5,,19.3.0,,
2025-12,,RAN#110,,RP-253650,,6195,,,,F,,CR on measurement delay requirements with SBFD,,19.3.0,,
2025-12,,RAN#110,,RP-253650,,6233,,,,F,,(NR_duplex_evo-Core)CR on RACH impact of SBFD,,19.3.0,,
2025-12,,RAN#110,,RP-253650,,6036,,1,,F,,CR to update RRM core requirements of SBFD,,19.3.0,,
2025-12,,RAN#110,,RP-253650,,6234,,1,,F,,(NR_duplex_evo-Core)CR on Scheduling restriction of L1 CLI for SBFD,,19.3.0,,
2025-12,,RAN#110,,RP-253651,,6286,,,,F,,Big CR on core maintenance for NR_LPWUS_RRM,,19.3.0,,
2025-12,,RAN#110,,RP-253653,,6087,,,,F,,Correction on NES requirements,,19.3.0,,
2025-12,,RAN#110,,RP-253653,,6210,,,,F,,Draft big CR on core maintenance for Netw_Energy_NR_enh_RRM,,19.3.0,,
2025-12,,RAN#110,,RP-253653,,6082,,1,,F,,Core maintenance for minimum requirement at transitions,,19.3.0,,
2025-12,,RAN#110,,RP-253653,,6209,,1,,F,,CR for network energy savings enhancements,,19.3.0,,
2025-12,,RAN#110,,RP-253655,,6059,,,,F,,CR for LTM event-triggered L1 reporting,,19.3.0,,
2025-12,,RAN#110,,RP-253655,,6252,,,,F,,Clearn up for CSI-RS based Intra-frequency L1-RSRP measurements for neighbour cell,,19.3.0,,
2025-12,,RAN#110,,RP-253655,,6162,,1,,F,,CR for Conditional Intra-CU LTM,,19.3.0,,
2025-12,,RAN#110,,RP-253656,,6167,,,,F,,(NR_NTN_Ph3-Core)_Modification on radio link monitoring for HD-FDD UE with SAN,,19.3.0,,
2025-12,,RAN#110,,RP-253656,,6197,,,,F,,CR on RRM requirements for RedCap UE in NTN,,19.3.0,,
2025-12,,RAN#110,,RP-253656,,6168,,1,,F,,(NR_NTN_Ph3-Core)_Modification on applicability rule for SDT,,19.3.0,,
2025-12,,RAN#110,,RP-253656,,6169,,1,,F,,(NR_NTN_Ph3-Core)_Modification on RedCap UE in NTN scenario requirements in RRC IDLE state,,19.3.0,,
2025-12,,RAN#110,,RP-253656,,6198,,1,,F,,CR on DL coverage enhancement in NTN,,19.3.0,,
2025-12,,RAN#110,,RP-253656,,6032,,1,,F,,(NR_NTN_Ph3-Core) CR on RRM core maintenance for NTN Phase 3,,19.3.0,,
2025-12,,RAN#110,,RP-253656,,6061,,1,,F,,(NR_NTN_Ph3-Core) CR on RRM core maintenance for NTN Phase 3 part 2,,19.3.0,,
2025-12,,RAN#110,,RP-253657,,6147,,,,F,,CR 38.133 Big CR on core maintenance for NR_XR_Ph3_RRM,,19.3.0,,
2025-12,,RAN#110,,RP-253657,,6251,,1,,F,,CR38.133 Measurement requirements with XR,,19.3.0,,
2025-12,,RAN#110,,RP-253657,,6148,,2,,F,,CR 38.133 Maintenance of XR core requirements,,19.3.0,,
2025-12,,RAN#110,,RP-253658,,6192,,1,,F,,CR on test case for less than 5MHz Ph2,,19.3.0,,
