NR CA configuration,Uplink configurationor single uplink carrier 2,NR Band,Channel bandwidth (MHz) (NOTE 1),Bandwidth combination set
CA_n1A-n3(2A)-n7(2A)-n8A-n78A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n8ACA_n1A-n78ACA_n3A-n7ACA_n3A-n8ACA_n3A-n78ACA_n7A-n8ACA_n7A-n78ACA_n8A-n78A,n1,"5, 10, 15, 20",0
,,n3,CA_n3(2A)_BCS0,
,,n7,CA_n7(2A)_BCS0,
,,n8,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7A-n20A-n67A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n20ACA_n3A-n7ACA_n3A-n20ACA_n7A-n20A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n67,n67 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n7A-n20A-n75A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n20ACA_n3A-n7ACA_n3A-n20ACA_n7A-n20A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n7A-n20A-n78A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n20ACA_n1A-n78ACA_n3A-n7ACA_n3A-n20ACA_n3A-n78ACA_n7A-n20ACA_n7A-n78ACA_n20A-n78A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n7A-n20A-n78(2A),CA_n1A-n3ACA_n1A-n7ACA_n1A-n20ACA_n1A-n78ACA_n3A-n7ACA_n3A-n20ACA_n3A-n78ACA_n7A-n20ACA_n7A-n78ACA_n20A-n78ACA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n1A-n3A-n7A-n26A-n78A,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7A-n26(2A)-n78A,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,CA_n26(2A),n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,CA_n26(2A)_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7A-n26A-n78(2A),CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78(2A)_BCS0,
,CA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n26,n26 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n1A-n3A-n7A-n26A-n78C,CA_n78CCA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78C_BCS0,
CA_n1A-n3A-n7A-n26(2A)-n78(2A),CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,CA_n26(2A),n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,CA_n78(2A),n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78(2A)_BCS0,
CA_n1A-n3A-n7A-n26(2A)-n78C,CA_n26(2A)CA_n78CCA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78C_BCS0,
CA_n1A-n3B-n7A-n26A-n78A,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3B-n7A-n26(2A)-n78A,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,CA_n26(2A),n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,CA_n26(2A)_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n26,CA_n26(2A)_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3B-n7A-n26A-n78(2A),CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78(2A)_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78(2A)_BCS2,
,CA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,CA_n3B_BCS 4 and 5,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n26,n26 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n1A-n3B-n7A-n26A-n78C,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78ACA_n78C,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78C_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78C_BCS1,
CA_n1A-n3B-n7A-n26(2A)-n78(2A),CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,CA_n26(2A),n3,CA_n3B_BCS0,
,CA_n78(2A),n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78(2A)_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78(2A)_BCS2,
CA_n1A-n3B-n7A-n26(2A)-n78C,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78ACA_n26(2A)CA_n78C,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78C_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78C_BCS1,
CA_n1A-n3B-n7B-n26A-n78A,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,CA_n7B,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3B-n7B-n26(2A)-n78A,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,CA_n7BCA_n26(2A),n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n26,CA_n26(2A)_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n26,CA_n26(2A)_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3B-n7B-n26A-n78(2A),CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,CA_n7B,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78(2A)_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78(2A)_BCS2,
,CA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,CA_n3B_BCS 4 and 5,
,,n7,CA_n7B_BCS 4 and 5,
,,n26,n26 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n1A-n3B-n7B-n26A-n78C,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78ACA_n7BCA_n78C,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78C_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78C_BCS1,
CA_n1A-n3B-n7B-n26(2A)-n78(2A),CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,CA_n7BCA_n26(2A),n3,CA_n3B_BCS0,
,CA_n78(2A),n7,CA_n7B_BCS0,
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78(2A)_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78(2A)_BCS2,
CA_n1A-n3B-n7B-n26(2A)-n78C,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78ACA_n7BCA_n26(2A)CA_n78C,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78C_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78C_BCS1,
CA_n1A-n3A-n7B-n26A-n78A,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78ACA_n7B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,,n7,CA_n7B_BCS0,
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7B-n26(2A)-n78A,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78ACA_n7B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,CA_n26(2A),n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,,n7,CA_n7B_BCS0,
,,n26,CA_n26(2A)_BCS0,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7B-n26A-n78(2A),CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78ACA_n7B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,,n7,CA_n7B_BCS0,
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78(2A)_BCS0,
,CA_n78(2A),n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,CA_n7B_BCS 4 and 5,
,,n26,n26 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n1A-n3A-n7B-n26A-n78C,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78ACA_n7BCA_n78C,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,,n7,CA_n7B_BCS0,
,,n26,"5, 10, 15, 20, 25, 30",
,,n78,CA_n78C_BCS0,
CA_n1A-n3A-n7B-n26(2A)-n78(2A),CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78ACA_n7B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,CA_n26(2A),n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,CA_n78(2A),n7,CA_n7B_BCS0,
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78(2A)_BCS0,
CA_n1A-n3A-n7B-n26(2A)-n78C,CA_n1A-n3ACA_n1A-n26ACA_n1A-n7ACA_n1A-n78ACA_n3A-n26ACA_n3A-n7ACA_n3A-n78ACA_n7A-n26ACA_n26A-n78ACA_n7A-n78ACA_n7BCA_n26(2A)CA_n78C,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 45, 50",
,,n7,CA_n7B_BCS0,
,,n26,CA_n26(2A)_BCS0,
,,n78,CA_n78C_BCS0,
CA_n1A-n3A-n7A-n28A-n38A4,-,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20, 25, 30",
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1A-n3A-n7A-n28A-n75A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n3A-n7ACA_n3A-n28ACA_n7A-n28A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n7A-n28A-n78A,"n33n73n783,5",n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20, 30",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,"n33n73n783,5CA_n1A-n3A3CA_n1A-n7A3CA_n1A-n28ACA_n1A-n78A3CA_n3A-n7A3CA_n3A-n28A3CA_n3A-n78A3CA_n7A-n28A3CA_n7A-n78A3CA_n28A-n78A3",n1,"5, 10, 15, 20",1
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n7B-n28A-n78A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n1A-n78ACA_n3A-n7ACA_n3A-n28ACA_n3A-n78ACA_n7A-n28ACA_n7A-n78ACA_n7BCA_n28A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20, 30",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7A-n28A-n78(2A),"n33n73n783,5CA_n78(2A)3CA_n1A-n3A3CA_n1A-n7A3CA_n1A-n28ACA_n1A-n78A3CA_n3A-n7A3CA_n3A-n28A3CA_n3A-n78A3CA_n7A-n28A3CA_n7A-n78A3CA_n28A-n78A3",n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20, 30",
,,n78,CA_n78(2A)_BCS2,
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n78,CA_n78(2A)_BCS 4 and 5,
CA_n1A-n3A-n7A-n28A-n78C,CA_n78CCA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n1A-n78ACA_n3A-n7ACA_n3A-n28ACA_n3A-n78ACA_n7A-n28ACA_n7A-n78ACA_n28A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20, 30",
,,n78,CA_n78C_BCS0,
CA_n1A-n3A-n7B-n28A-n78(2A),CA_n7BCA_n78(2A)CA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n1A-n78ACA_n3A-n7ACA_n3A-n28ACA_n3A-n78ACA_n7A-n28ACA_n7A-n78ACA_n28A-n78A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20",
,,n78,CA_n78(2A)_BCS2,
CA_n1A-n3A-n7B-n28A-n78C,CA_n7BCA_n78CCA_n1A-n3ACA_n1A-n7ACA_n1A-n28ACA_n1A-n78ACA_n3A-n7ACA_n3A-n28ACA_n3A-n78ACA_n7A-n28ACA_n7A-n78ACA_n28A-n78A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n7,CA_n7B_BCS0,
,,n28,"5, 10, 15, 20",
,,n78,CA_n78C_BCS0,
