NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n41(2A)-n66A,"n418,9 n668CA_n41A-n66A8,9,13,14",n41,CA_n41(2A)_BCS1,0
,,n66,"5, 10, 15, 20, 40",
,,n41,CA_n41(2A)_BCS1,1
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n41,CA_n41(2A)_BCS 4 and 5,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n41A-n66(2A),"n418, 9n668CA_n41A-n66A8,9,13,14",n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n66,CA_n66(2A)_BCS1,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",1
,,n66,CA_n66(2A)_BCS1,
,,n41,n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,CA_n66(2A)_BCS 4 and 5,
CA_n41C-n66A,"n418, 9n668CA_n41A-n66A8,9,13,14CA_n41C8,9CA_n41C-n66A8,9",n41,CA_n41C_BCS0,0
,,n66,"5, 10, 15, 20, 40",
,,n41,CA_n41C_BCS1,1
,,n66,"5, 10, 15, 20, 25, 30, 40",
,"n418, 9CA_n41A-n66A8,9,13,14CA_n41C8,9CA_n41C-n66A8,9,13,14",n41,CA_n41C_BCS 4 and 5,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n41C-n66(2A),"n418, 9n668CA_n41A-n66A8,9CA_n41C8,9CA_n41C-n66A8,9",n41,CA_n41C_BCS2,0
,,n66,CA_n66(2A)_BCS1,
,,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n66,CA_n66(2A)_BCS 4 and 5,
CA_n41(2A)-n66(2A),"n418,9n668CA_n41A-n66A8,9",n41,CA_n41(2A)_BCS3,0
,,n66,CA_n66(2A)_BCS1,
,,n41,CA_n41(2A)_BCS 4 and 5,4 and 5
,,n66,CA_n66(2A)_BCS 4 and 5,
CA_n41(3A)-n66A,"n418, 9n668CA_n41A-n66A8",n41,CA_n41(3A)_BCS0,0
,,n66,"5, 10, 15, 20, 25, 30, 40,",
,,n41,CA_n41(3A)_BCS 4 and 5,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n41(3A)-n66(2A),"n418,9n668CA_n41A-n66A8",n41,CA_n41(3A)_BCS 4 and 5,4 and 5
,,n66,CA_n66(2A)_BCS 4 and 5,
CA_n41(A-C)-n66A,"n418,9n668CA_n41C8,9CA_n41A-n66A8CA_n41C-n66A8",n41,CA_n41(A-C)_BCS0,0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n41,CA_n41(A-C)_BCS 4 and 5,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n41(A-C)-n66(2A),"n418,9n668CA_n41C8CA_n41A-n66A8CA_n41C-n66A",n41,CA_n41(A-C)_BCS 4 and 5,4 and 5
,,n66,CA_n66(2A)_BCS 4 and 5,
CA_n41A-n70A,CA_n41A-n70A,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n70,"5, 10, 15, 201, 251",
CA_n41A-n71A,"n418,9n718CA_n41A-n71A8,9,13,14",n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n71,"5, 10, 15, 20",
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n71,"5, 10, 15, 20",
,,n41,n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n41A-n71B,"n418,9n718CA_n41A-n71A8,9,13,14",n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n71,CA_n71B_BCS0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n71,CA_n71B_BCS2,
,,n41,n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n71,CA_n71B_BCS 4 and 5,
CA_n41A-n71(2A),"n418,9n718CA_n41A-n71A8,9,13,14",n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n71,CA_n71(2A)_BCS0,
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n71,CA_n71(2A)_BCS0,
,,n41,n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n71,CA_n71(2A)_BCS 4 and 5,
CA_n41C-n71A,"n418,9n718CA_n41A-n71A8,9,13,14CA_n41C8,9CA_n41C-n71A8,9",n41,CA_n41C_BCS0,0
,,n71,"5, 10, 15, 20",
,,n41,CA_n41C_BCS1,1
,,n71,"5, 10, 15, 20",
,"n418,9n718CA_n41A-n71A8,9,13,14CA_n41C8,9CA_n41C-n71A8,9,13,14",n41,CA_n41C_BCS 4 and 5,4 and 5
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n41C-n71(2A),"n418,9n718CA_n41A-n71A8,9CA_n41C-n71A8,9CA_n41C8,9",n41,CA_n41C_BCS1,0
,,n71,CA_n71(2A)_BCS0,
,,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n71,CA_n71(2A)_BCS 4 and 5,
CA_n41(2A)-n71A,"n418,9n718CA_n41A-n71A8,9,13,14",n41,CA_n41(2A)_BCS1,0
,,n71,"5, 10, 15, 20",
,,n41,CA_n41(2A)_BCS3,1
,,n71,"5, 10, 15, 20",
,,n41,CA_n41(2A)_BCS 4 and 5,4 and 5
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n41(2A)-n71(2A),"n418,9n718CA_n41A-n71A8,9",n41,CA_n41(2A)_BCS1,0
,,n71,CA_n71(2A)_BCS0,
,,n41,CA_n41(2A)_BCS 4 and 5,4 and 5
,,n71,CA_n71(2A)_BCS 4 and 5,
CA_n41(2A)-n71B,"n418,9n718CA_n41A-n71A8,9",n41,CA_n41(2A)_BCS1,0
,,n71,CA_n71B_BCS0,
,,n41,CA_n41(2A)_BCS1,1
,,n71,CA_n71B_BCS2,
,,n41,CA_n41(2A)_BCS 4 and 5,4 and 5
,,n71,CA_n71B_BCS 4 and 5,
CA_n41(3A)-n71A,"n418,9n718CA_n41A-n71A8",n41,CA_n41(3A)_BCS0,0
,,n71,"5, 10, 15, 20",
,,n41,CA_n41(3A)_BCS 4 and 5,4 and 5
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n41(3A)-n71B,"n418,9n718CA_n41A-n71A8",n41,CA_n41(3A)_BCS4 and 5,4 and 5
,,n71,CA_n71B_BCS4 and 5,
CA_n41(3A)-n71(2A),"n418,9n718CA_n41A-n71A8",n41,CA_n41(3A)_BCS4 and 5,4 and 5
,,n71,CA_n71(2A)_BCS4 and 5,
CA_n41(A-C)-n71A,"n418,9n718CA_n41A-n71A8CA_n41C8,9CA_n41C-n71A8",n41,CA_n41(A-C)_BCS0,0
,,n71,"5, 10, 15, 20",
,,n41,CA_n41(A-C)_BCS 4 and 5,4 and 5
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n41(A-C)-n71B,"n418,9n718CA_n41A-n71A8CA_n41C8CA_n41C-n71A",n41,CA_n41(A-C)_BCS 4 and 5,4 and 5
,,n71,CA_n71B_BCS 4 and 5,
CA_n41(A-C)-n71(2A),"n418,9n718CA_n41A-n71A8CA_n41C8CA_n41C-n71A",n41,CA_n41(A-C)_BCS 4 and 5,4 and 5
,,n71,CA_n71(2A)_BCS 4 and 5,
CA_n41C-n71B,"n418,9n718CA_n41A-n71A8,9CA_n41C-n71A8,9CA_n41C8,9",n41,CA_n41C_BCS0,0
,,n71,CA_n71B_BCS0,
,,n41,CA_n41C_BCS1,1
,,n71,CA_n71B_BCS2,
,,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n71,CA_n71B_BCS 4 and 5,
CA_n41A-n74A,n418CA_n41A-n74A8,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n74,"5, 10, 15, 20",
CA_n41A-n75A,-,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n75,"5,10, 15, 20, 25,30,40,50",
CA_n41A-n77A,"n418,9n778,9CA_n41A-n77A8,9,13,14",n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n41,n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n41B-n77A,CA_n41A-n77A,n41,CA_n41B_BCS0,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n41B-n77(2A),CA_n41A-n77A,n41,CA_n41B_BCS0,0
,,n77,CA_n77(2A)_BCS0,
CA_n41(2A)-n77A,"n418,9n778,9CA_n41A-n77A8,9,13,14",n41,CA_n41(2A)_BCS1,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n41,CA_n41(2A)_BCS 4 and 5,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n41(3A)-n77A,"n418,9n778,9CA_n41A-n77A8,9",n41,CA_n41(3A)_BCS0,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n41,CA_n41(3A)_BCS 4 and 5,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n41(A-C)-n77A,"n418,9n778,9CA_n41C8,9CA_n41A-n77A8,9CA_n41C-n77A8,9",n41,CA_n41(A-C)_BCS0,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n41,CA_n41(A-C)_BCS 4 and 5,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n41C-n77A,"n418,9n778,9CA_n41A-n77A8,9,13,14CA_n41C8,9",n41,CA_n41C_BCS0,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,"n418,9n778,9CA_n41A-n77A8,9,13,14CA_n41C8,9CA_n41C-n77A8,9,13,14",n41,CA_n41C_BCS 4 and 5,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n41A-n77(2A),"n418,9n778,9CA_n77(2A)8CA_n41A-n77A8,13",n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n77,CA_n77(2A)_BCS1,
,"n418,9n778,9CA_n41A-n77A8,13",n41,n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n41C-n77(2A),"n418,9n778,9CA_n41A-n77A8CA_n41C8CA_n41C-n77A",n41,CA_n41C_BCS0,0
,,n77,CA_n77(2A)_BCS1,
,,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n41A-n77(3A),"n418,9n778,9CA_n41A-n77A8CA_n77(2A)8",n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,CA_n77(3A)_BCS0,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(3A)_BCS 4 and 5,
CA_n41(2A)-n77(2A),-,n41,CA_n41(2A)_BCS1,0
,,n77,CA_n77(2A)_BCS1,
,"n418,9n778,9CA_n41A-n77A8",n41,CA_n41(2A)_BCS 4 and 5,4 and 5
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n41A-n77C,CA_n41A-n77A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n77,CA_n77C_BCS0,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77C_BCS 4 and 5,
CA_n41A-n78A,CA_n41A-n78A,n41,"10, 15, 20, 40, 50, 60, 80, 100",0
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1,
CA_n41A-n78(2A),CA_n78(2A)CA_n41A-n78A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n78,CA_n78(2A)_BCS2,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n41A-n78C,CA_n41A-n78ACA_n41A-n78CCA_n78C,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n78,CA_n78C_BCS0,
,,n41,"5,10,15,20,25,30,35,40,45,50,60,70,80,90,100",1
,,n78,CA_n78C_BCS1,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78C_BCS4 and 5,
CA_n41A-n79A,"n418,9n798,9CA_n41A-n79A8,13,14",n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n79,"40, 50, 60, 80, 100",
,,n41,"10, 15, 20, 40, 50, 60",1
,,n79,"40, 50, 60, 80, 100",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",2
,,n79,"40, 50, 60, 80, 100",
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n41A-n79C,"n418,9n798,9CA_n41A-n79A8,13,14CA_n79C8",n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n79,CA_n79C_BCS0,
,"n418,9n798,9CA_n79C8CA_n41A-n79A8,13,14CA_n41A-n79C",n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,CA_n79C_BCS4 and 5,
CA_n41C-n79A,"n418,9n798,9CA_n41A-n79A8,13,14CA_n41C8",n41,CA_n41C_BCS0,0
,,n79,"40, 50, 60, 80, 100",
,,n41,CA_n41C_BCS4 and 5,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n41(2A)-n79A,CA_n41(2A)CA_n41A-n79A,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n41C-n79C,"n418,9n798,9CA_n41C8CA_n79C8CA_n41A-n79A8",n41,CA_n41C_BCS0,0
,,n79,CA_n79C_BCS0,
,,n41,CA_n41C_BCS4 and 5,4 and 5
,,n79,CA_n79C_BCS4 and 5,
CA_n41A-n85A,"n418,9CA_n41A-n85A8,13,14",n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n85,See n85 channel bandwidths in Table 5.3.5-1,
CA_n41C-n85A,CA_n41A-n85ACA_n41C,n41,CA_n41C_BCS 4 and 5,4 and 5
,,n85,See n85 channel bandwidths in Table 5.3.5-1,
CA_n41(2A)-n85A,CA_n41A-n85A,n41,CA_n41(2A)_BCS 4 and 5,4 and 5
,,n85,See n85 channel bandwidths in Table 5.3.5-1,
CA_n41(3A)-n85A,CA_n41A-n85A,n41,CA_n41(3A)_BCS 4 and 5,4 and 5
,,n85,See n85 channel bandwidths in Table 5.3.5-1,
CA_n41(A-C)-n85A,CA_n41A-n85ACA_n41C,n41,CA_n41(A-C)_BCS 4 and 5,4 and 5
,,n85,See n85 channel bandwidths in Table 5.3.5-1,
CA_n41A-n104A,CA_n41A-n104A,n41,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n41,n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n104,n104 channel bandwidths in Table 5.3.5-1,
CA_n41C-n104A,CA_n41CCA_n41A-n104ACA_n41C-n104A,n41,CA_n41C_BCS0,0
,,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n41,CA_n41C_BCS0,4 and 5
,,n104,n104 channel bandwidths in Table 5.3.5-1,
CA_n41A-n104C,CA_n104CCA_n41A-n104ACA_n41A-n104C,n41,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n104,CA_n104C_BCS0,
,,n41,n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n104,CA_n104C_BCS 4 and 5,
